doc_idx,rewrite
1,Biology.
4,Russian language community.
11,Cricket and baseball crossover players in sports community.
0,Ukrainian language.
2,Vegan Fashion.
8,PowerShell Technical Community
10,Nutrition community.
9,Comparing Christian and Buddhist beliefs on eternal God and souls.
7,Graphic Design.
12,Underwater acoustics.
6,Question in the Zagon technical community.
3,Sports Science
5,Industrial Robotics.
14,Lego community.
15,Soccer community.
17,Energy Engineering.
21,Astronomy
22,Gardening community.
23,Web development
18,Community: Finanza immobiliare
20,Marvel Comics fans.
16,Islamic scholars.
25,Banking system in Puerto Rico vs USA.
13,Digital Communication
19,US App Developer
28,Hinduism
27,Poker community.
32,Linguistics.
33,Philosophy.
31,Harry Potter community
29,Cybersecurity.
30,Hinduism's view on other religions.
35,Medical community.
24,ASP.NET Membership
37,Cricket community
34,Project Management.
36,Literature.
38,Engineering.
40,Cryptography.
39,Patents
26,Battery storage community.
45,Spanish language community
41,Italian grammar
44,Japanese language community
43,Islamic community.
49,Canon AV-1 camera users.
47,Woodworking
48,German language community.
46,Fifty Shades of Grey community.
42,Cybersecurity
50,Technical community: Web Development
52,Astrophysics.
51,Russian Language Community
54,Amateur radio.
55,Homebrewing
58,Psychic community.
59,Translation community.
57,Neuroscience.
62,Nutrition.
56,Geriatrics.
61,Ghost Technical Community
64,Esperanto
53,Islam religious group.
60,Homebrewing.
67,Linguistics.
65,Furry fandom
66,Localization Naming Conventions
68,Language Learning
69,Soccer technical community.
70,IOTA Technical Community
74,Linguistics.
63,Knife sharpening.
72,Songwriting community.
73,Salesforce community
76,Network Security
71,Paleoclimatology.
79,Cryptocurrency community
81,Linguistic community.
78,Tor network.
80,Tor Browser and Tails community.
77,Patent Law
87,IRI Node System Requirements
85,Higher education mathematics community.
82,Poker community
88,Tor community
89,Russian language community.
93,Java Development.
92,Agile (Scrum) Metrics
91,IOTA/Tangle explanation for non-technical individuals.
83,Sitecore Technical Community
75,Networking.
86,Music Theory
90,Programming community
97,Poker community.
96,Superhero community.
100,Italian language community.
95,"REAMDE"" book IP address usage in technical community."
101,Philosophy of mathematics.
102,Game of Thrones fans.
104,Volleyball techniques.
107,Game Theory
106,Antenna connector identification.
98,Software development community.
94,Photoshop: Finding colors with specific blackness level.
99,Technology community
103,Gaming community.
109,Privacy and security in Tor vs. i2p.
110,"Translation for ""you have my vote"" in German."
111,Hinduism.
105,Baking.
112,Italian language community.
115,Programming
117,Mathematics community.
113,Jewish Technical Community
114,Esperanto Wikipedia community.
108,Ukrainian language community.
121,Cybersecurity.
84,Poker community.
122,Operations Research
116,Networking.
119,Geographic Information Systems
120,Poker community.
118,Exercise for reducing proinflammatory cytokines.
124,Civil engineering.
127,Web development.
123,Cybersecurity.
128,Psychology community.
125,"Spanish translation for ""Account"" in a technical community."
129,Energy Efficiency in Apartments
130,Web development.
126,Islamic technical community.
131,Mathematics community.
132,Web Development
134,Parasitology.
133,TM-V71A technical community.
136,Gaming community.
135,German political community.
138,Portuguese grammar.
137,Tolkien's Middle-earth community.
142,Esperanto language certification options.
140,Philosophers in mathematics.
141,Jannah technical community.
145,Spanish language.
144,MySQL Database Replication
143,Academic community.
146,SDL Trados Studio
147,Salesforce community
148,Indie/story game GMs.
153,Italian language community.
149,Renewable energy community.
151,Mathematics community.
155,Fitch Logic.
154,Esperanto
152,Sports Science
156,Grammar and syntax in the English language.
150,Task prioritization in the technical community.
158,Rune-Based Magic community.
159,Poker community
157,Healthcare Technology
162,HVAC community
163,Patent Law
167,Agricultural community
164,nWoD's Secret History (The God Machine) chapter in relation to other core books.
161,"Question about C418's ""Figure 8"" genre."
160,"Question in the linguistics community: ""What does 'Schnibbler' mean or imply?"
166,Patent Law
168,Homebrewing
165,Esperanto community.
169,Obstetrics community.
170,Never Let Me Go carer application.
172,Poker community.
174,Italian language community
180,Slavic Linguistics
171,Web development.
179,Mr. Beer community.
176,Medical community
175,Days of Moshiach technology.
178,Tor Browser community
139,Linguistics.
183,.NET Framework
185,Patent Law
173,Mathematics community
184,Astrophysics.
177,DoTA 2 Music Pack Icon Design Community.
181,Russian language community.
188,Vegetarian nutrition.
187,Russian language community.
190,Geospatial data community.
193,Woodworking.
191,Portuguese language community.
194,Cider Making.
189,Poker community
182,Roleplaying community.
195,Italian Language Community
186,Grace Murray Hopper in the technical community.
196,Writing habits in technical writing.
199,Tridion technical community.
200,Patenting in different countries.
202,Dungeons & Dragons
201,Retail banking.
198,California vehicle title transfer process.
197,Mathematics.
205,Cryptocurrency community.
203,Graphic Design
209,Homebrewing
207,Physics
208,Tridion Technical Community
192,The Expanse Technical Community
204,Telecommunications.
206,Russian language community
212,NBA community.
214,Stack Overflow
213,IOTA community
216,Homebrewing
217,Language Learning
215,Vegan cooking.
210,Harry Potter fans.
219,Star Wars teleporter technology.
211,Soccer vs. basketball.
220,XML community
223,Linguistica.
218,Chemical engineering.
221,Waste management in developing countries.
225,Russian Language Community
222,Software Development.
228,Patent Law
226,Information Security
229,Poker community.
233,SharePoint Development
230,Medical community
232,Internet of Things (IoT)
237,Wine-making community.
236,Virology.
231,Harry Potter community.
227,German language community.
238,Adobe Photoshop.
235,Amateur radio antenna measurement.
240,Baseball
239,Dungeons & Dragons
224,Vegan nutrition.
241,Technical community participation.
234,Music Production.
242,Calculus students: Intuition and motivation behind series.
247,Patent Law
244,Philosophy of technology.
243,Mycology community.
249,DD4T community.
251,Paranormal community.
248,XML Insertion
246,Furniture refinishing.
250,Literary analysis in Lukyanenko's Watch series
253,Calculus II motivation.
252,Nutrition for athletes.
255,Tolkien's One Ring in relation to the Ring of Silvianus.
256,Software development
254,SSL/TLS server certificate verification in technical community.
257,Vegan cooking.
258,Esperanto video game terminology.
259,Web design community.
245,German Language Community
262,Hard Cider Making
260,Mathematics.
263,Linguistics.
265,Tails OS
268,Linguistica.
266,Superman fandom.
264,Dog training community.
267,Doom community.
261,Fiction Writing
270,GnuRadio community.
271,Harry Potter community.
272,Poker community
274,Linguistics.
273,PokerTracker community.
275,Sports Medicine
277,Italian Language Community
280,Sherlock Holmes fans.
281,Robotics
282,Patent Law
284,Patent Law
283,Mathematics.
286,German Language Community
269,Task Management
276,Japanese language community
279,Linguistics.
278,Vegan food availability in shops and restaurants.
289,Sports officiating
288,Network engineering
293,Italian language community.
285,Patent Law
291,Philosophy.
292,Tor network.
294,Poker community
297,Patent community
295,Culinary community.
296,German language community.
290,Italian language community.
298,Ukrainian Linguistics.
287,Japanese language community.
300,Mythology enthusiasts.
299,Medical community.
302,Italian language community.
303,RF Engineering.
305,German Language Community
304,Tor setup advice for newbies.
307,Solar Energy Community
310,Russian Language Community
306,German language community.
313,Linear algebra.
311,SDL Tridion Sites
309,Ultrasonic sensor beam angle.
312,Hinduism
317,Patent Law
308,Texas Holdem community.
319,Political Science.
301,Medical community
314,Quantum computing.
321,Japanese language community.
327,Woodworking.
326,Patent Law
316,Esperanto community.
320,Gaming Community
315,Education Technology.
325,Translation for technical community.
322,Reggae music community.
328,Control Systems
329,Writing Community
323,Polygamy and Marriage Ceremonies
330,Materials Science.
331,Web development
324,Translation community.
332,Razor Mediator for Tridion 2013
333,Chemical Engineering.
335,Mathematics community.
337,Linguistics.
318,Physics
334,Language community
336,Project Management
340,Environmental Science.
341,Italian language community.
339,Jewish community.
343,Linked Data community
342,Russian language community.
345,Turbo Pascal 4 Unit introduction.
347,Russian language community.
344,Software Development.
346,Scrum project selection.
349,Salesforce community
348,Hinduism
350,Writing community.
354,Raspberry Pi community.
352,Gaming community.
353,Worldbuilding
338,Heinlein's Stranger in a Strange Land.
356,Linguistic community.
351,Italian language community.
359,Dungeons & Dragons
358,Sports memorabilia collectors.
357,Space Engineering.
361,Sexuality.
360,Tax community
355,.NET Managed Code
365,Graphic Design.
364,Woodworking community
367,Taxation community
363,Homebrewing
366,Introductory analysis courses.
370,File sharing community
369,Home brewing community.
368,COBOL programming community.
371,Metaphysics.
376,Linguistics.
375,Lord of the Rings.
373,Tor Windows Command Line Users
372,Astrobiology.
