doc_idx,true_label,kmeans_k19_s0,kmeans_k19_s1,kmeans_k19_s2,kmeans_k38_s0,kmeans_k38_s1,kmeans_k38_s2,kmeans_k77_s0,kmeans_k77_s1,kmeans_k77_s2,kmeans_k154_s0,kmeans_k154_s1,kmeans_k154_s2,kmeans_k308_s0,kmeans_k308_s1,kmeans_k308_s2,gmm_k19_s0,gmm_k19_s1,gmm_k19_s2,gmm_k38_s0,gmm_k38_s1,gmm_k38_s2,gmm_k77_s0,gmm_k77_s1,gmm_k77_s2,gmm_k154_s0,gmm_k154_s1,gmm_k154_s2,gmm_k308_s0,gmm_k308_s1,gmm_k308_s2,spectral_k19_s0,spectral_k19_s1,spectral_k19_s2,spectral_k38_s0,spectral_k38_s1,spectral_k38_s2,spectral_k77_s0,spectral_k77_s1,spectral_k77_s2,spectral_k154_s0,spectral_k154_s1,spectral_k154_s2,spectral_k308_s0,spectral_k308_s1,spectral_k308_s2,ward_k19,ward_k38,ward_k77,ward_k154,ward_k308,leiden_k19_s0,leiden_k19_s1,leiden_k19_s2,leiden_k38_s0,leiden_k38_s1,leiden_k38_s2,leiden_k77_s0,leiden_k77_s1,leiden_k77_s2,leiden_k154_s0,leiden_k154_s1,leiden_k154_s2,leiden_k308_s0,leiden_k308_s1,leiden_k308_s2
0,11,18,1,12,34,1,26,28,25,13,118,63,43,118,63,43,16,8,14,20,10,16,39,56,54,45,97,8,275,97,8,0,16,6,10,37,28,29,37,47,125,70,55,9,202,12,15,28,54,109,217,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
1,11,18,1,12,34,1,26,28,25,13,78,22,124,78,22,124,16,8,14,20,10,16,39,56,54,45,97,8,275,97,8,0,16,6,10,37,28,29,37,47,16,70,114,273,114,71,15,28,54,109,218,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
2,11,18,1,3,34,1,26,67,74,32,9,107,95,9,166,95,16,8,14,20,10,16,70,12,10,138,87,42,138,87,305,0,16,6,10,37,28,54,9,23,113,43,75,95,219,53,15,28,55,112,222,6,5,7,16,16,15,21,23,4,14,36,14,26,30,18
3,11,18,1,12,34,1,26,28,25,13,78,22,124,78,22,124,16,8,14,20,10,16,39,56,54,45,97,8,275,97,8,0,16,6,10,37,28,29,37,47,16,70,114,273,114,71,15,28,54,109,218,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
4,11,18,1,1,34,1,26,70,74,47,59,22,123,59,197,123,16,8,14,20,10,16,70,12,10,142,26,100,142,26,100,0,16,6,10,37,28,54,9,23,106,58,23,49,75,83,15,28,55,110,220,6,5,7,16,16,15,21,23,4,14,118,14,98,101,132
5,11,18,1,12,34,1,26,28,25,13,78,22,124,78,22,124,16,8,14,20,10,16,39,56,54,143,56,8,244,56,300,0,16,6,10,37,28,29,37,47,16,70,114,273,114,71,15,28,54,109,218,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
6,11,18,1,12,34,1,26,28,25,13,78,22,124,261,22,241,16,8,14,20,10,16,39,56,54,45,97,8,45,307,8,0,16,6,10,37,28,29,37,47,72,102,111,292,203,229,15,28,54,109,219,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
7,11,18,1,3,34,1,26,28,25,13,118,63,53,278,63,241,16,8,14,20,10,16,39,56,54,45,97,8,45,307,8,0,16,6,10,37,28,29,37,47,125,70,55,9,202,12,15,28,54,109,217,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
8,11,9,13,1,18,16,10,17,20,23,92,18,142,249,212,248,10,4,12,4,6,29,26,52,24,50,137,150,50,17,273,4,18,17,2,6,5,45,18,16,129,53,136,239,160,173,2,7,11,23,46,1,3,4,21,19,22,33,36,35,144,118,126,98,101,132
9,11,18,1,12,34,1,26,28,25,13,118,63,43,279,63,43,16,8,14,20,10,16,39,56,54,45,97,8,275,97,8,0,16,6,10,37,28,29,37,47,125,70,55,9,202,12,15,28,54,109,217,6,5,7,16,16,15,57,64,60,27,32,29,10,9,12
