doc_idx,true_label,kmeans_k2_s0,kmeans_k2_s1,kmeans_k2_s2,kmeans_k5_s0,kmeans_k5_s1,kmeans_k5_s2,kmeans_k10_s0,kmeans_k10_s1,kmeans_k10_s2,kmeans_k20_s0,kmeans_k20_s1,kmeans_k20_s2,kmeans_k40_s0,kmeans_k40_s1,kmeans_k40_s2,gmm_k2_s0,gmm_k2_s1,gmm_k2_s2,gmm_k5_s0,gmm_k5_s1,gmm_k5_s2,gmm_k10_s0,gmm_k10_s1,gmm_k10_s2,gmm_k20_s0,gmm_k20_s1,gmm_k20_s2,gmm_k40_s0,gmm_k40_s1,gmm_k40_s2,spectral_k2_s0,spectral_k2_s1,spectral_k2_s2,spectral_k5_s0,spectral_k5_s1,spectral_k5_s2,spectral_k10_s0,spectral_k10_s1,spectral_k10_s2,spectral_k20_s0,spectral_k20_s1,spectral_k20_s2,spectral_k40_s0,spectral_k40_s1,spectral_k40_s2,ward_k2,ward_k5,ward_k10,ward_k20,ward_k40,leiden_k2_s0,leiden_k2_s1,leiden_k2_s2,leiden_k5_s0,leiden_k5_s1,leiden_k5_s2,leiden_k10_s0,leiden_k10_s1,leiden_k10_s2,leiden_k20_s0,leiden_k20_s1,leiden_k20_s2,leiden_k40_s0,leiden_k40_s1,leiden_k40_s2
0,0,0,0,0,4,4,2,3,3,3,10,12,15,37,32,8,1,1,1,0,4,3,6,8,7,6,8,7,6,14,24,0,0,0,0,0,0,3,1,0,15,18,16,7,17,26,2,5,9,16,33,0,0,0,3,1,1,5,5,6,10,12,11,11,17,14
1,1,0,0,0,4,4,2,3,3,3,17,12,3,7,3,32,1,1,1,4,1,3,4,5,3,4,5,3,4,4,5,0,0,0,0,0,0,3,1,0,0,1,3,6,4,0,2,5,9,17,35,0,0,0,0,0,0,3,3,2,3,5,6,10,6,6
2,0,0,0,0,4,4,2,3,3,3,10,12,15,37,32,8,1,1,1,0,4,3,6,8,7,6,8,7,6,14,24,0,0,0,0,0,0,3,1,0,15,18,16,7,17,26,2,5,9,16,33,0,0,0,3,1,1,5,5,6,10,12,11,11,17,14
3,2,1,0,0,4,4,2,9,8,6,5,3,6,20,24,18,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,2,4,9,22,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
4,3,1,0,0,1,0,0,1,5,0,14,9,19,17,28,36,1,1,0,1,0,0,7,0,0,7,0,0,13,0,0,0,0,0,0,0,0,3,1,0,1,10,0,33,22,35,2,2,5,11,25,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0
5,4,1,0,0,1,0,4,8,6,4,13,6,2,14,10,27,1,0,1,1,0,3,1,0,0,1,3,18,25,17,33,0,0,0,0,0,0,3,1,0,17,2,9,39,35,38,2,2,3,7,13,0,0,0,0,1,1,3,2,4,5,11,3,5,7,13
6,1,1,0,0,4,4,2,3,3,6,15,12,15,3,5,32,1,1,1,4,1,3,5,1,5,5,6,3,24,22,34,0,0,0,0,0,0,3,1,0,0,1,3,8,11,18,2,5,9,17,35,0,0,0,0,0,0,3,3,2,3,5,6,10,6,6
7,5,0,1,1,0,3,3,0,7,7,0,7,16,0,38,31,0,1,1,0,2,4,0,2,2,11,18,2,39,33,22,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,2,3,0,0,0,1,1,1,1,2,1,1,4,1,22,21,19
8,6,0,0,0,4,4,2,5,3,2,18,3,12,15,9,16,1,1,0,4,3,0,5,6,5,5,6,5,10,8,3,0,0,0,0,0,0,3,1,0,11,0,8,9,3,17,2,5,10,19,38,0,0,0,0,0,0,3,1,4,3,6,3,2,11,7
9,1,0,1,1,2,2,1,7,4,1,7,16,1,32,15,1,1,0,1,2,1,3,2,9,4,2,9,4,35,35,10,0,0,0,0,0,0,3,1,0,17,2,9,2,9,5,2,3,6,12,27,0,0,1,2,2,2,4,4,5,9,10,10,13,12,12
10,4,1,0,0,1,0,0,8,5,0,8,5,4,39,29,27,1,0,0,1,0,3,1,0,0,16,13,0,14,15,19,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,4,8,15,0,0,0,0,0,0,0,0,0,14,0,0,29,29,26
11,7,0,1,1,0,3,3,6,7,8,6,19,8,21,18,21,0,0,1,0,2,4,0,2,2,11,2,2,21,12,29,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,1,1,0,0,0,1,1,1,1,2,1,6,3,5,7,8,11
12,4,1,0,0,1,0,4,8,6,4,13,6,14,38,10,10,1,0,0,1,0,0,1,0,0,1,12,18,1,20,20,0,0,0,0,0,0,3,1,0,1,10,0,1,1,31,2,2,4,9,22,0,0,0,0,0,0,0,0,0,0,9,0,6,5,4
13,5,0,1,1,0,3,3,0,2,7,0,18,7,24,20,39,0,0,1,0,4,2,0,4,8,10,4,8,9,2,8,0,0,0,0,0,0,1,8,9,18,19,11,0,31,10,1,1,1,3,5,0,0,0,1,1,1,1,2,1,8,8,9,3,4,8
14,6,0,1,1,0,3,3,6,7,2,6,19,8,31,30,37,0,0,1,0,2,4,0,2,2,11,18,19,11,11,21,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,1,2,0,0,0,1,1,1,1,2,1,6,3,5,21,20,18
15,2,0,0,0,4,4,1,3,3,3,16,12,3,7,12,13,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,3,3,2,2,2,0,2,4,7,13,28,0,0,0,0,0,0,2,1,3,4,4,8,4,3,1
16,7,0,1,1,0,3,3,2,2,7,2,2,17,26,12,13,0,0,1,0,2,4,0,2,2,0,19,2,0,38,2,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,4,8,0,0,0,1,1,1,1,2,1,1,2,1,9,2,1
17,8,1,0,0,1,0,0,8,5,0,19,5,4,12,16,19,1,0,0,1,0,3,1,0,0,18,0,15,19,23,23,0,0,0,0,0,0,3,1,0,1,10,0,25,28,21,2,2,4,9,19,0,0,0,0,0,0,0,0,0,15,15,14,28,28,24
18,0,0,0,0,4,4,2,3,3,3,10,12,15,23,22,32,1,1,1,4,1,3,1,5,9,4,17,9,15,18,16,0,0,0,3,4,3,2,2,1,4,7,15,5,14,1,2,5,9,17,34,0,0,0,0,0,4,7,8,8,18,17,17,33,35,35
19,0,0,0,0,4,4,2,3,3,3,10,12,15,37,32,8,1,1,1,0,4,3,6,8,7,6,8,7,6,14,24,0,0,0,0,0,0,3,1,0,15,18,16,7,17,26,2,5,9,16,33,0,0,0,3,1,1,5,5,6,10,12,11,11,17,14
20,0,0,0,0,4,4,2,3,3,3,10,12,15,37,32,8,1,1,1,0,4,3,6,8,7,6,8,7,6,14,24,0,0,0,0,0,0,3,1,0,15,18,16,7,17,26,2,5,9,16,33,0,0,0,3,1,1,5,5,6,10,12,11,11,17,14
21,3,1,0,0,1,0,0,1,5,0,14,9,19,5,28,36,1,1,0,1,0,0,7,0,0,7,0,0,29,27,26,0,0,0,0,0,0,3,1,0,1,10,0,33,22,35,2,2,5,11,25,0,0,0,0,0,0,0,0,3,7,0,4,12,14,9
22,2,1,0,0,1,0,0,1,5,0,14,9,11,27,21,14,1,1,0,1,0,0,7,0,0,7,0,0,29,27,26,0,0,0,0,0,0,3,1,0,1,10,0,1,9,0,2,2,5,11,25,0,0,0,0,0,0,0,0,3,7,0,4,12,9,9
23,9,0,0,0,3,1,1,4,1,3,4,1,13,33,19,22,1,1,1,3,1,1,3,1,1,3,1,13,3,1,35,0,0,0,0,0,0,3,1,0,17,2,9,6,4,0,2,4,8,15,31,0,0,0,0,0,0,2,1,2,2,1,2,1,13,2
24,6,0,1,1,0,3,3,6,7,8,6,19,8,21,30,20,0,0,1,0,2,4,0,2,2,11,18,19,11,11,21,0,0,0,0,0,0,1,8,9,3,3,2,36,29,25,1,1,1,1,2,0,0,0,1,1,1,1,2,1,6,3,5,21,20,18
25,5,0,1,1,0,3,3,0,7,7,0,7,16,4,39,31,0,0,1,0,2,4,0,2,2,0,19,2,0,3,2,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,2,3,0,0,0,1,1,1,1,2,1,1,2,1,24,24,1
26,4,1,0,0,1,0,0,8,0,0,1,0,4,22,29,29,1,1,0,1,0,0,7,0,0,7,0,0,13,0,0,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,4,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,1,0,0,1,0,4,8,6,4,13,6,10,14,26,5,1,0,0,1,0,0,1,3,0,19,3,18,25,17,18,0,0,0,0,0,0,3,1,0,1,10,0,1,1,31,2,2,3,7,11,0,0,0,0,0,0,0,3,0,11,7,7,19,10,10
28,9,0,0,0,4,4,2,3,3,3,17,1,3,25,1,2,1,1,1,3,1,1,3,1,1,3,1,13,3,1,12,0,0,0,0,0,0,3,1,0,17,2,9,6,37,0,2,4,8,15,32,0,0,0,0,0,0,2,1,2,2,1,2,18,16,5
29,2,1,0,0,1,0,0,1,6,9,3,13,9,8,8,17,1,0,0,1,0,3,9,7,6,9,7,6,5,9,4,0,0,0,0,0,0,0,0,7,2,8,10,15,13,4,2,2,2,5,9,0,0,0,0,0,3,6,6,7,12,13,12,14,15,15
30,4,1,0,0,1,0,4,8,6,4,13,6,4,18,29,27,1,0,1,1,0,3,1,0,0,1,17,18,28,32,25,0,0,0,0,0,0,9,9,2,9,11,4,3,16,11,2,2,3,7,12,0,0,0,0,4,0,0,10,0,15,15,14,36,38,38
31,7,0,1,1,0,3,3,2,2,7,2,2,17,26,12,13,0,0,1,0,2,4,0,2,2,0,19,2,0,38,2,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,4,8,0,0,0,0,1,0,1,2,3,4,2,1,9,23,1
32,2,0,0,0,3,1,1,9,8,5,9,8,11,30,2,6,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,4,7,13,29,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
33,1,1,0,0,1,0,4,8,6,4,13,6,10,29,26,5,1,0,0,1,0,0,1,3,0,19,3,18,25,17,18,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,3,7,11,0,0,0,0,0,0,0,3,0,11,7,7,19,10,10
34,4,1,0,0,1,0,0,8,5,0,8,5,4,18,29,27,1,0,1,1,0,3,1,0,0,1,17,18,28,32,25,0,0,0,0,0,0,9,9,2,9,11,4,3,16,11,2,2,3,7,12,0,0,0,0,4,0,0,10,0,15,15,14,36,38,38
35,6,0,0,0,4,4,2,5,3,6,5,3,6,3,35,18,1,1,1,3,1,1,3,1,1,12,15,1,17,16,14,0,0,0,0,0,0,3,1,0,17,2,9,32,37,32,2,5,10,20,39,0,0,0,0,0,0,0,1,2,5,11,4,5,7,5
36,0,0,0,0,4,4,2,3,3,6,17,12,15,23,22,32,1,1,1,4,1,3,4,5,3,4,5,3,4,4,5,0,0,0,0,0,0,3,1,0,0,1,3,28,39,37,2,5,9,17,34,0,0,0,0,0,0,3,3,2,3,5,6,10,6,6
37,4,1,0,0,1,0,0,8,0,0,1,0,4,22,29,29,1,1,0,1,0,0,7,0,0,7,0,0,13,0,0,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,4,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,1,0,0,1,0,0,9,8,5,9,8,5,20,24,6,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,4,7,13,29,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
39,6,0,0,0,4,4,2,5,3,6,5,3,6,3,35,18,1,1,1,3,1,1,3,1,1,12,15,1,17,16,14,0,0,0,0,0,0,3,1,0,17,2,9,32,37,32,2,5,10,20,39,0,0,0,0,0,0,0,1,2,5,11,4,5,7,5
40,8,1,0,0,1,0,0,9,9,5,16,9,5,10,11,38,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,5,10,18,37,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
41,2,1,0,0,1,0,0,1,6,9,3,13,9,8,8,17,1,0,0,1,0,3,9,7,6,9,7,6,5,9,4,0,0,0,0,0,0,0,0,7,2,8,10,15,13,4,2,2,2,5,9,0,0,0,0,0,3,6,6,7,12,13,12,14,15,15
42,6,0,0,0,4,4,2,5,3,2,18,3,12,15,9,16,1,1,0,4,3,0,5,6,5,5,6,5,10,8,3,0,0,0,0,0,0,3,1,0,11,0,8,9,3,17,2,5,10,20,40,0,0,0,0,0,0,3,1,4,3,6,3,2,11,7
43,0,0,1,1,0,3,3,3,2,7,2,12,15,4,32,13,1,1,1,0,4,3,6,8,7,6,8,7,34,14,6,0,0,0,0,0,0,3,1,0,1,10,0,23,23,16,2,5,9,17,36,0,0,0,0,1,1,5,5,6,16,7,15,11,36,32
44,2,0,0,0,4,4,2,5,3,6,5,3,11,19,9,14,1,1,1,3,1,1,3,1,1,12,15,1,17,16,14,0,0,0,0,0,0,3,1,0,17,2,9,32,9,32,2,5,10,20,40,0,0,0,0,0,0,0,1,3,5,11,4,5,7,13
45,9,0,0,0,3,1,1,4,1,3,17,1,3,7,25,15,1,1,1,3,1,1,3,1,1,3,1,13,3,1,35,0,0,0,0,0,0,3,1,0,17,2,9,6,4,0,2,4,8,15,31,0,0,0,0,0,0,2,1,2,2,1,2,1,1,2
46,4,1,0,0,1,0,4,8,6,4,13,6,2,14,10,27,1,0,1,1,0,3,1,0,0,1,3,18,25,17,33,0,0,0,0,0,0,3,1,0,17,2,9,39,35,38,2,2,3,7,13,0,0,0,0,1,1,3,2,4,5,11,3,5,7,13
47,6,0,1,1,0,3,3,2,2,7,2,2,17,26,4,7,0,0,1,0,2,4,0,2,2,11,16,2,26,30,32,0,0,0,0,0,0,1,8,9,7,13,14,26,32,23,1,1,1,4,8,0,0,0,1,1,1,1,2,1,16,2,15,30,30,25
48,4,1,0,0,1,0,0,8,0,0,8,0,4,18,29,4,1,1,0,1,0,0,7,0,0,7,0,0,13,0,0,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,1,1,0,3,3,6,7,8,6,19,8,34,30,21,1,0,1,1,0,3,1,0,0,7,0,0,31,29,37,0,0,0,0,0,0,1,8,9,3,3,2,37,34,22,2,2,4,9,18,0,0,0,0,0,0,2,0,0,0,1,0,0,13,28
50,2,1,0,0,1,0,0,8,8,5,8,5,5,20,24,9,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,4,7,13,29,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
51,3,1,0,0,1,0,4,8,6,4,11,10,14,16,33,10,1,0,0,1,0,0,1,0,0,1,12,18,1,20,20,0,0,0,0,0,0,3,1,0,1,10,0,1,1,31,2,2,3,6,10,0,0,0,0,0,0,0,0,0,0,9,0,6,5,4
52,1,0,1,1,2,2,1,7,4,1,15,4,1,32,7,11,1,1,1,4,1,3,4,5,3,4,5,3,38,39,38,0,0,0,0,0,0,3,1,0,0,1,3,31,24,36,2,3,6,12,26,0,0,0,0,0,0,3,3,2,13,5,6,15,18,16
53,5,0,1,1,0,3,3,0,7,7,0,7,16,31,39,28,0,0,1,0,2,4,0,2,2,11,2,2,21,12,29,0,0,0,0,0,0,3,1,0,3,3,2,2,2,5,1,1,1,2,3,0,0,0,1,1,1,1,2,1,6,3,5,7,8,11
54,6,1,0,0,1,0,0,8,5,0,8,5,4,18,29,33,1,0,0,1,0,0,1,3,0,13,11,10,12,6,27,1,1,1,2,3,1,4,5,3,8,12,7,14,6,2,1,1,1,4,7,1,1,0,0,3,0,9,3,9,11,19,19,35,33,37
55,7,0,1,1,0,3,3,2,2,7,2,2,17,26,4,23,0,0,1,0,4,2,0,4,8,10,4,8,9,2,8,0,0,0,0,0,0,1,8,9,18,19,11,0,31,10,1,1,1,3,4,0,0,0,1,1,1,1,2,1,8,8,9,3,4,8
56,8,1,0,0,4,4,0,9,5,6,5,15,6,35,11,12,1,0,0,1,0,3,8,0,3,8,10,11,8,10,17,0,0,0,0,0,0,3,1,0,17,2,9,19,0,15,2,5,10,18,37,0,0,0,0,0,0,3,3,4,5,14,13,20,19,17
57,1,0,0,0,4,4,2,3,3,3,15,12,3,3,5,32,1,1,1,4,1,3,5,1,5,5,6,3,24,22,34,0,0,0,0,0,0,3,1,0,0,1,3,8,11,18,2,5,9,17,35,0,0,0,0,0,0,3,3,2,3,5,6,10,6,6
58,9,0,0,0,3,1,1,4,1,3,4,1,18,9,36,22,1,1,1,3,1,1,3,1,1,3,1,13,3,1,35,0,0,0,0,0,0,3,1,0,17,2,9,6,4,0,2,4,8,14,30,0,0,0,0,0,0,2,1,2,2,1,2,1,13,2
59,2,1,0,0,1,0,0,1,6,9,3,13,9,8,8,17,1,0,0,1,0,3,9,7,6,9,7,6,5,9,4,0,0,0,0,0,0,0,0,7,2,8,10,15,13,4,2,2,2,5,9,0,0,0,0,0,3,6,6,7,12,13,12,14,15,15
60,0,0,1,1,0,3,3,6,7,8,6,19,8,34,30,21,1,0,1,1,0,3,1,0,0,7,0,0,31,29,37,0,0,0,0,0,0,1,8,9,3,3,2,37,34,22,2,2,4,9,18,0,0,0,0,0,0,2,0,0,0,1,0,0,13,28
61,7,0,1,1,0,3,3,2,2,7,2,2,17,26,34,30,0,0,1,0,4,2,0,4,8,10,4,8,9,34,8,0,0,0,0,0,0,1,8,9,18,19,11,24,26,33,1,1,1,4,8,0,0,0,1,1,1,1,2,1,8,8,9,3,4,27
62,1,0,1,1,2,2,1,7,4,1,7,16,1,6,15,1,1,1,1,2,1,3,2,9,4,2,9,4,2,35,10,0,0,0,0,0,0,8,6,8,16,14,1,1,9,34,2,3,6,12,27,0,0,1,2,2,2,4,4,5,9,10,10,13,12,12
63,2,0,0,0,3,1,1,9,8,5,9,8,18,30,2,9,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,4,7,13,28,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
64,9,0,0,0,4,4,2,4,1,3,17,1,3,25,1,2,1,1,1,3,1,1,3,1,1,3,1,13,3,1,12,0,0,0,0,0,0,3,1,0,17,2,9,6,37,0,2,4,8,15,32,0,0,0,0,0,0,2,1,2,2,1,2,18,16,5
65,8,1,0,0,4,4,0,9,9,5,5,15,5,35,11,18,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,5,10,18,37,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
66,0,1,0,0,4,4,2,5,3,6,5,15,6,35,23,18,1,0,0,1,0,3,8,0,3,8,10,11,8,10,17,0,0,0,0,0,0,3,1,0,17,2,9,19,0,15,2,5,10,18,37,0,0,0,0,0,0,3,3,4,5,14,13,20,19,17
67,2,1,0,0,1,0,0,1,6,9,3,13,9,8,8,17,1,0,0,1,0,3,9,7,6,9,7,6,5,9,4,0,0,0,0,0,0,0,0,7,2,8,10,15,13,4,2,2,2,5,9,0,0,0,0,0,3,6,6,7,12,13,12,14,15,15
68,8,1,0,0,1,0,0,8,5,0,1,5,19,1,29,29,1,1,0,1,0,0,7,0,0,7,0,0,13,0,0,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,4,9,21,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
69,0,0,0,0,4,4,2,3,3,3,17,12,15,23,22,32,1,1,1,4,1,3,4,5,3,4,5,3,4,4,5,0,0,0,0,0,0,3,1,0,0,1,3,28,39,37,2,5,9,17,34,0,0,0,0,0,0,3,3,2,3,5,6,10,6,6
70,0,0,0,0,4,4,2,3,3,3,10,12,15,37,32,8,1,1,1,0,4,3,6,8,7,6,8,7,6,14,24,0,0,0,0,0,0,3,1,0,15,18,16,7,17,26,2,5,9,16,33,0,0,0,3,1,1,5,5,6,10,12,11,11,17,14
71,6,0,1,1,0,3,3,2,2,7,2,2,17,26,34,7,0,0,1,1,2,4,8,2,2,8,18,17,20,24,11,0,0,0,4,1,2,7,4,6,14,4,6,20,10,9,1,1,1,4,8,0,0,0,0,1,0,1,2,3,4,2,1,9,23,33
72,4,1,0,0,1,0,4,8,6,4,13,6,10,29,26,5,1,0,0,1,0,0,1,3,0,19,3,18,25,17,18,0,0,0,0,0,0,3,1,0,1,10,0,1,1,0,2,2,3,7,11,0,0,0,0,0,0,0,3,0,11,7,7,19,10,10
73,1,0,1,1,2,2,1,7,4,1,7,16,1,6,31,1,1,1,1,2,1,3,2,9,4,2,9,4,2,35,10,0,0,0,0,0,0,8,6,8,16,14,1,1,9,34,2,3,6,12,27,0,0,1,2,2,2,4,4,5,9,10,10,13,12,12
74,4,1,0,0,1,0,0,8,5,0,8,5,4,39,29,27,1,0,0,1,0,3,1,0,0,16,13,0,14,15,19,0,0,0,0,0,0,3,1,0,1,10,0,21,36,20,2,2,4,8,15,0,0,0,0,0,0,0,0,0,14,0,0,29,29,26
75,2,1,0,0,3,1,1,9,8,5,9,8,5,20,24,9,1,1,1,3,1,1,3,1,1,14,15,1,22,19,1,0,0,0,0,0,0,3,1,0,17,2,9,38,9,28,2,4,7,13,29,0,0,0,0,0,0,2,1,3,4,4,8,4,3,3
76,7,0,1,1,0,3,3,2,2,7,2,2,17,26,34,30,0,0,1,0,4,2,0,4,8,10,4,8,9,34,8,0,0,0,0,0,0,1,8,9,18,19,11,24,26,33,1,1,1,4,8,0,0,0,1,1,1,1,2,1,8,8,9,3,4,27
77,5,0,1,1,0,3,3,0,7,7,0,7,16,0,6,31,0,0,1,0,2,4,0,2,2,0,19,2,0,36,39,0,0,0,0,0,0,1,8,9,3,3,2,2,2,5,1,1,1,2,3,0,0,0,1,1,1,1,2,1,1,2,1,8,2,1
78,3,1,0,0,1,0,4,8,6,4,11,10,14,16,33,10,1,0,0,1,0,0,1,0,0,1,12,18,1,20,20,0,0,0,0,0,0,3,1,0,1,10,0,1,1,31,2,2,3,6,10,0,0,0,0,0,0,0,0,0,0,9,0,6,5,4
79,8,0,0,0,4,4,2,5,3,6,5,3,6,19,9,18,1,0,0,1,0,3,8,0,3,8,10,11,8,10,17,0,0,0,0,0,0,3,1,0,17,2,9,1,1,0,2,5,10,20,40,0,0,0,0,0,0,3,1,4,5,11,3,5,7,13
80,0,0,0,0,4,4,2,3,3,3,17,12,3,7,3,32,1,1,0,4,3,0,5,6,5,5,6,5,36,8,36,0,0,0,0,0,0,3,1,0,0,1,3,28,39,37,2,5,9,17,36,0,0,0,0,0,0,3,1,2,3,6,3,2,6,6
