doc_idx,true_label,kmeans_k4_s0,kmeans_k4_s1,kmeans_k4_s2,kmeans_k7_s0,kmeans_k7_s1,kmeans_k7_s2,kmeans_k14_s0,kmeans_k14_s1,kmeans_k14_s2,kmeans_k28_s0,kmeans_k28_s1,kmeans_k28_s2,kmeans_k56_s0,kmeans_k56_s1,kmeans_k56_s2,gmm_k4_s0,gmm_k4_s1,gmm_k4_s2,gmm_k7_s0,gmm_k7_s1,gmm_k7_s2,gmm_k14_s0,gmm_k14_s1,gmm_k14_s2,gmm_k28_s0,gmm_k28_s1,gmm_k28_s2,gmm_k56_s0,gmm_k56_s1,gmm_k56_s2,spectral_k4_s0,spectral_k4_s1,spectral_k4_s2,spectral_k7_s0,spectral_k7_s1,spectral_k7_s2,spectral_k14_s0,spectral_k14_s1,spectral_k14_s2,spectral_k28_s0,spectral_k28_s1,spectral_k28_s2,spectral_k56_s0,spectral_k56_s1,spectral_k56_s2,ward_k4,ward_k7,ward_k14,ward_k28,ward_k56,leiden_k4_s0,leiden_k4_s1,leiden_k4_s2,leiden_k7_s0,leiden_k7_s1,leiden_k7_s2,leiden_k14_s0,leiden_k14_s1,leiden_k14_s2,leiden_k28_s0,leiden_k28_s1,leiden_k28_s2,leiden_k56_s0,leiden_k56_s1,leiden_k56_s2
0,9,3,1,2,6,1,4,4,1,5,9,10,7,39,13,28,3,1,3,3,5,3,4,3,3,3,3,3,3,3,3,3,3,1,2,3,2,6,10,7,3,3,6,11,11,3,3,4,8,15,31,3,0,3,6,6,6,11,11,11,17,17,17,9,11,11
1,2,3,3,1,3,6,1,9,10,1,8,18,1,22,37,41,0,1,1,6,1,1,8,11,9,11,10,18,7,41,9,1,0,0,4,4,5,8,11,6,1,2,2,10,12,0,4,7,12,23,44,0,0,0,0,0,0,2,4,5,7,8,7,2,1,2
2,6,3,3,1,3,6,3,0,9,2,25,26,15,45,31,37,0,1,1,0,6,5,0,13,5,14,25,5,15,17,6,1,0,0,0,5,0,13,2,2,19,15,14,13,16,7,4,6,11,22,43,0,0,0,5,5,4,3,2,3,10,12,11,32,30,35
3,11,0,0,2,0,4,5,13,8,6,4,20,19,34,4,23,2,3,2,2,3,2,3,2,2,2,2,2,43,2,42,0,1,3,6,2,1,3,9,4,16,4,8,49,52,14,2,3,6,12,26,2,2,2,2,2,2,1,1,1,1,1,2,10,26,9
4,12,2,0,3,4,0,2,5,0,3,14,19,23,53,20,44,1,0,0,1,0,6,5,0,6,6,0,6,31,0,26,2,2,2,3,1,4,7,0,5,6,7,11,1,3,5,1,2,3,8,19,1,1,1,4,4,5,4,3,2,2,0,1,1,7,28
5,12,2,0,3,4,0,2,5,0,3,14,19,23,53,20,44,1,0,0,1,0,6,5,0,6,6,0,6,31,38,5,2,2,2,3,1,4,7,0,5,6,7,11,1,3,5,1,2,3,8,18,1,1,1,4,4,5,4,3,2,2,0,1,11,7,29
6,3,2,0,3,4,0,2,5,0,3,14,19,23,53,20,34,1,0,0,1,0,6,5,0,6,6,0,6,31,38,5,2,2,2,3,1,4,7,0,5,6,7,11,1,3,5,1,1,2,2,4,1,1,1,4,4,5,4,3,2,2,0,1,1,4,24
7,2,3,3,1,3,6,1,9,10,1,8,9,1,11,37,41,0,1,1,6,1,1,8,11,9,11,10,18,7,41,9,1,0,0,4,4,5,8,11,6,1,2,2,10,12,0,4,7,12,23,46,0,0,0,0,0,0,2,4,5,7,8,7,2,1,2
8,7,3,3,1,3,6,1,8,10,8,18,25,22,19,35,4,0,1,1,6,1,1,2,8,1,15,24,1,13,21,1,1,0,0,4,4,5,1,7,13,13,17,10,8,20,47,4,7,13,24,47,0,0,0,0,0,0,7,7,8,5,5,5,7,6,7
9,1,3,3,1,3,6,1,8,9,12,15,26,13,45,55,3,0,1,1,6,1,1,13,5,12,9,12,12,9,29,48,1,0,0,4,4,5,5,7,3,0,13,7,2,1,9,4,7,14,26,52,0,0,0,0,0,4,3,2,7,6,6,4,5,3,3
