doc_idx,true_label,kmeans_k8_s0,kmeans_k8_s1,kmeans_k8_s2,kmeans_k17_s0,kmeans_k17_s1,kmeans_k17_s2,kmeans_k34_s0,kmeans_k34_s1,kmeans_k34_s2,kmeans_k68_s0,kmeans_k68_s1,kmeans_k68_s2,kmeans_k136_s0,kmeans_k136_s1,kmeans_k136_s2,gmm_k8_s0,gmm_k8_s1,gmm_k8_s2,gmm_k17_s0,gmm_k17_s1,gmm_k17_s2,gmm_k34_s0,gmm_k34_s1,gmm_k34_s2,gmm_k68_s0,gmm_k68_s1,gmm_k68_s2,gmm_k136_s0,gmm_k136_s1,gmm_k136_s2,spectral_k8_s0,spectral_k8_s1,spectral_k8_s2,spectral_k17_s0,spectral_k17_s1,spectral_k17_s2,spectral_k34_s0,spectral_k34_s1,spectral_k34_s2,spectral_k68_s0,spectral_k68_s1,spectral_k68_s2,spectral_k136_s0,spectral_k136_s1,spectral_k136_s2,ward_k8,ward_k17,ward_k34,ward_k68,ward_k136,leiden_k8_s0,leiden_k8_s1,leiden_k8_s2,leiden_k17_s0,leiden_k17_s1,leiden_k17_s2,leiden_k34_s0,leiden_k34_s1,leiden_k34_s2,leiden_k68_s0,leiden_k68_s1,leiden_k68_s2,leiden_k136_s0,leiden_k136_s1,leiden_k136_s2
0,9,0,7,2,10,4,13,22,7,11,38,26,34,124,76,34,0,1,2,16,13,14,8,20,12,21,10,16,21,10,16,7,7,7,11,11,4,19,9,9,11,5,4,88,17,126,6,9,15,24,44,7,7,7,10,10,10,19,17,17,6,6,5,0,1,0
1,15,6,1,7,13,9,7,4,2,18,31,1,63,78,121,63,7,6,0,15,6,9,13,6,15,51,50,26,51,50,26,1,4,1,5,9,0,33,3,11,62,4,60,121,120,120,7,13,24,45,89,0,0,0,3,3,4,12,7,7,54,53,55,63,65,61
2,15,6,1,7,13,9,6,6,11,18,25,57,64,102,69,11,7,6,0,7,6,9,6,31,22,15,65,39,15,65,39,2,1,0,5,9,0,27,25,28,52,17,26,97,98,10,7,13,21,36,67,0,0,0,3,13,4,28,28,27,34,35,32,19,80,14
3,16,3,5,1,9,5,1,9,4,1,10,49,17,10,49,17,5,5,5,5,5,5,5,5,5,50,27,5,90,5,94,5,2,4,6,3,5,26,6,3,2,9,53,38,7,30,5,6,12,20,37,4,4,4,1,1,1,4,4,4,27,38,12,124,117,115
4,15,6,1,7,13,9,7,4,2,18,50,32,50,117,27,73,7,6,0,7,6,9,6,31,15,60,35,48,63,104,116,2,1,0,5,9,0,33,3,11,7,6,34,79,28,45,8,15,30,60,123,0,0,0,3,3,4,17,15,21,37,60,4,58,73,90
5,14,2,6,3,2,6,11,28,5,29,18,45,54,95,79,25,2,3,4,2,3,4,32,3,2,29,43,49,85,43,75,3,5,3,4,4,14,11,0,2,16,10,49,6,89,18,4,4,10,12,21,3,3,3,0,0,3,10,10,23,15,13,25,9,23,11
6,21,4,3,5,4,8,5,31,27,4,3,15,12,131,21,122,3,2,1,3,2,15,3,2,1,34,53,1,34,53,1,0,3,2,2,5,1,6,11,1,0,66,65,83,2,124,1,1,3,4,7,2,2,2,2,2,2,1,0,0,13,1,34,12,24,30
7,29,7,4,0,8,15,8,8,18,6,49,18,51,91,18,126,4,4,7,4,4,0,11,12,0,52,18,47,122,4,106,2,1,0,3,7,7,1,8,31,17,56,30,79,12,53,8,17,32,63,127,0,0,0,4,5,5,23,19,29,48,50,51,26,33,21
8,1,7,4,0,8,15,14,10,19,7,24,22,30,73,112,107,4,4,7,11,11,16,18,11,28,30,14,18,30,92,18,2,1,0,3,7,7,1,8,31,46,40,50,90,126,96,8,14,29,57,114,0,0,0,7,5,8,15,13,13,4,19,8,46,14,41
9,21,4,3,5,4,8,5,19,16,4,54,36,58,100,36,68,3,2,1,3,2,15,29,33,1,34,24,38,72,87,129,0,3,2,2,5,1,6,11,1,12,1,1,73,44,124,1,1,2,2,4,2,2,2,2,2,2,1,0,0,13,1,34,95,119,78
10,21,4,3,5,4,8,5,31,27,4,3,15,12,113,15,83,3,2,1,3,2,15,3,2,1,34,53,38,72,87,38,0,3,2,2,5,1,6,11,1,12,1,1,73,44,124,1,1,3,4,7,2,2,2,2,2,2,1,0,0,13,1,39,39,29,78
11,15,0,7,2,0,6,7,4,1,24,4,37,15,118,23,15,7,6,0,12,6,9,26,17,4,26,47,19,71,47,99,1,4,1,5,9,0,33,3,11,17,56,30,115,6,32,6,11,18,30,54,1,1,1,5,4,4,12,7,7,53,36,36,113,71,101
12,2,7,4,0,8,16,15,15,31,32,57,14,16,90,99,101,4,4,7,13,4,7,14,19,13,46,39,11,46,116,122,2,1,0,3,7,7,0,29,5,32,63,2,8,33,7,8,14,29,54,108,0,0,0,4,8,5,5,5,5,8,14,17,45,12,120
13,9,0,7,2,0,7,2,21,1,19,4,42,37,4,42,135,0,1,2,8,14,2,17,22,6,28,11,58,28,11,58,1,4,1,1,1,16,3,33,30,4,27,10,17,28,45,6,11,18,30,54,1,1,1,5,4,0,13,11,11,2,3,1,78,116,39
14,8,7,4,0,8,10,14,10,20,9,56,17,47,56,17,95,4,4,7,11,10,13,31,29,29,17,33,35,17,33,76,2,1,0,16,13,13,23,27,22,47,46,38,47,37,93,8,14,26,48,94,0,0,0,7,5,8,23,22,26,28,27,26,8,8,31
15,16,3,5,1,9,5,1,18,4,1,46,41,14,109,81,14,5,5,5,5,5,5,19,18,5,23,46,30,112,46,91,5,2,4,6,3,5,31,23,14,25,14,28,134,86,63,5,6,12,18,32,4,4,4,1,1,1,9,9,10,9,8,50,35,63,10
16,16,3,5,1,9,5,1,18,4,1,46,41,14,109,81,14,5,5,5,5,5,5,19,18,5,23,46,30,23,117,91,5,2,4,6,3,5,31,23,14,53,14,28,128,110,62,5,6,12,18,32,4,4,4,1,1,1,9,9,10,9,8,19,17,27,10
17,15,7,4,0,8,15,14,10,19,7,24,22,45,85,112,107,7,6,0,15,6,9,13,6,10,51,50,62,92,98,92,2,1,0,5,9,0,1,3,11,17,4,60,39,32,31,7,13,23,40,75,0,0,0,7,3,9,12,7,7,66,67,66,108,106,99
18,15,6,1,7,12,1,0,25,14,7,66,23,57,31,117,57,7,6,0,15,6,9,27,14,10,6,6,14,75,101,55,2,1,0,5,9,0,33,3,11,17,56,30,48,28,45,7,13,24,45,91,0,0,0,3,3,9,12,7,16,51,36,36,54,79,106
