doc_idx,true_label,kmeans_k14_s0,kmeans_k14_s1,kmeans_k14_s2,kmeans_k29_s0,kmeans_k29_s1,kmeans_k29_s2,kmeans_k58_s0,kmeans_k58_s1,kmeans_k58_s2,kmeans_k116_s0,kmeans_k116_s1,kmeans_k116_s2,kmeans_k232_s0,kmeans_k232_s1,kmeans_k232_s2,gmm_k14_s0,gmm_k14_s1,gmm_k14_s2,gmm_k29_s0,gmm_k29_s1,gmm_k29_s2,gmm_k58_s0,gmm_k58_s1,gmm_k58_s2,gmm_k116_s0,gmm_k116_s1,gmm_k116_s2,gmm_k232_s0,gmm_k232_s1,gmm_k232_s2,spectral_k14_s0,spectral_k14_s1,spectral_k14_s2,spectral_k29_s0,spectral_k29_s1,spectral_k29_s2,spectral_k58_s0,spectral_k58_s1,spectral_k58_s2,spectral_k116_s0,spectral_k116_s1,spectral_k116_s2,spectral_k232_s0,spectral_k232_s1,spectral_k232_s2,ward_k14,ward_k29,ward_k58,ward_k116,ward_k232,leiden_k14_s0,leiden_k14_s1,leiden_k14_s2,leiden_k29_s0,leiden_k29_s1,leiden_k29_s2,leiden_k58_s0,leiden_k58_s1,leiden_k58_s2,leiden_k116_s0,leiden_k116_s1,leiden_k116_s2,leiden_k232_s0,leiden_k232_s1,leiden_k232_s2
0,32,4,1,2,3,15,12,50,21,4,50,21,48,144,222,192,13,1,13,28,16,0,41,1,26,103,1,97,116,1,83,2,0,2,1,8,6,36,56,17,91,94,115,58,110,105,14,28,52,106,206,8,4,8,25,16,4,53,41,54,97,106,92,169,136,197
1,0,3,7,7,16,23,24,25,52,15,25,111,45,118,119,76,13,1,13,21,5,10,47,42,8,47,70,8,87,66,106,2,0,2,28,28,22,12,30,43,54,24,32,35,107,65,6,11,19,34,67,9,0,8,6,15,0,54,50,55,92,67,90,100,98,111
2,22,6,3,13,0,19,3,22,44,6,95,26,41,81,88,114,9,8,7,16,21,7,10,3,38,92,82,44,37,123,70,13,11,5,21,26,17,1,35,41,94,29,21,11,7,35,2,3,3,6,13,0,3,2,2,10,5,2,4,12,45,43,45,39,72,46
3,14,4,1,10,15,18,18,31,6,50,31,6,88,215,229,229,8,4,12,10,6,14,13,4,23,13,69,108,8,184,154,8,10,10,7,6,3,32,54,5,28,95,37,170,204,62,8,14,27,52,98,3,0,1,0,1,1,5,9,6,3,2,2,52,62,64
4,0,3,10,7,8,23,9,12,34,10,75,39,60,116,7,105,13,6,10,21,5,10,54,42,46,112,42,46,38,165,124,2,0,2,1,8,6,36,56,17,26,34,52,2,102,8,14,27,50,99,190,1,8,7,25,2,17,48,51,50,86,87,76,89,85,72
5,0,5,6,1,17,7,15,56,32,11,56,32,95,82,31,227,3,3,11,19,14,2,18,43,30,64,88,114,78,42,195,7,12,7,24,16,21,42,17,40,58,38,48,93,159,33,14,24,44,88,172,10,7,9,14,13,11,3,5,2,33,31,35,24,21,17
6,1,12,12,9,27,27,27,40,24,29,40,39,29,8,116,179,7,6,8,17,12,28,9,30,11,113,30,103,168,185,7,2,7,1,23,22,4,36,56,2,113,40,87,87,195,40,7,12,23,45,86,1,8,7,8,2,10,4,1,5,87,110,98,141,147,130
7,37,0,3,6,9,17,13,44,16,45,44,16,66,190,46,35,11,2,4,14,3,3,34,14,21,34,14,21,60,134,227,5,3,4,18,18,11,14,6,10,46,65,24,77,13,137,1,2,2,3,6,0,9,11,13,5,9,1,3,1,1,88,86,7,20,70
8,57,10,11,11,7,12,16,17,23,57,115,100,57,110,40,140,10,5,10,7,23,8,7,8,6,7,8,6,124,94,84,2,0,2,9,8,5,4,7,37,102,53,25,45,79,21,12,22,41,81,158,5,2,0,5,0,0,19,18,26,14,13,99,85,126,119
9,22,6,3,13,0,19,3,0,44,6,95,26,41,81,88,113,9,8,7,16,21,7,10,3,38,10,72,44,215,70,70,13,11,5,21,26,17,1,35,41,94,29,21,186,74,177,2,3,3,6,14,0,3,2,2,10,5,2,4,12,45,43,45,39,192,46
10,29,10,4,11,7,3,25,39,34,57,39,87,74,178,25,59,10,5,10,7,23,8,7,8,6,84,105,80,221,100,185,2,0,2,9,8,5,4,7,37,82,48,25,66,17,10,10,17,32,62,117,5,2,0,5,0,0,36,35,26,30,13,28,105,112,169
11,14,0,3,6,25,17,13,44,31,3,89,31,107,218,56,128,11,2,4,14,3,3,34,14,21,34,14,21,164,12,22,5,3,4,18,18,11,46,14,49,60,3,18,217,193,122,1,2,2,4,10,0,9,11,13,5,9,1,3,1,1,1,1,6,2,2
12,33,10,4,11,8,3,1,28,51,13,108,102,13,130,23,29,4,0,5,20,20,23,22,15,29,22,80,29,24,48,24,2,0,2,19,17,26,45,40,36,97,89,7,31,82,179,6,10,18,30,62,7,6,5,20,23,25,27,28,24,11,10,8,25,26,28
13,37,0,3,6,9,17,13,44,16,45,44,16,66,53,46,168,11,2,4,14,3,3,34,14,21,34,14,21,130,134,77,5,3,4,18,18,11,14,6,10,85,34,24,192,56,187,1,2,2,4,10,0,9,11,13,5,9,1,3,1,1,1,1,7,20,65
14,0,3,4,4,12,13,11,2,10,14,28,92,79,11,205,10,1,9,1,1,11,1,46,41,1,46,41,113,104,200,78,9,2,9,11,5,9,0,4,52,78,100,83,129,76,200,10,17,32,63,118,9,0,1,6,12,7,21,21,22,19,17,15,87,79,78
15,0,11,9,2,27,16,12,9,17,36,9,98,36,6,146,107,6,11,3,8,9,18,21,38,18,21,60,111,45,97,152,2,0,2,1,8,6,48,4,50,49,115,39,151,128,92,10,17,32,62,117,1,5,0,10,25,14,34,12,39,64,102,115,143,132,121
16,30,10,9,11,7,3,0,39,20,24,39,94,24,184,74,217,10,5,10,7,23,8,17,39,57,17,39,25,113,142,91,2,0,2,9,8,5,4,48,17,107,15,78,100,106,158,14,28,52,107,208,9,2,0,24,0,0,39,34,34,67,57,43,83,52,60
17,38,3,2,7,24,23,9,2,8,47,2,112,47,2,120,60,13,1,13,8,27,13,26,53,49,73,58,49,64,59,68,2,0,2,1,15,6,40,5,3,18,22,12,68,86,75,10,17,32,63,118,3,0,12,22,28,29,55,54,53,85,79,87,120,84,104
18,45,2,3,13,14,19,16,41,21,4,41,21,115,25,27,114,10,5,10,28,16,25,49,23,26,70,23,101,15,136,64,2,0,2,1,8,5,36,56,17,49,34,0,74,227,101,14,27,49,98,189,1,12,0,10,11,24,30,41,46,98,93,42,166,183,149
19,6,10,10,11,20,15,16,20,39,4,79,108,71,152,203,83,10,1,13,28,16,25,23,23,54,80,23,54,185,82,139,2,0,2,1,8,6,36,56,17,49,34,0,74,28,108,14,27,49,98,189,5,12,0,25,11,24,30,45,41,80,89,93,152,221,213
20,0,10,10,11,26,12,24,32,55,33,83,55,39,136,13,93,10,5,10,26,4,25,52,36,25,52,59,52,160,226,220,2,0,2,9,8,5,16,48,12,79,103,76,142,196,166,7,13,25,48,94,5,2,0,5,0,0,42,43,42,52,58,55,55,100,164
21,4,2,3,6,14,5,13,46,11,37,46,58,37,75,184,147,11,2,4,14,3,3,12,14,21,12,97,68,12,115,81,5,3,4,26,10,23,5,47,8,45,59,40,65,31,7,1,2,2,4,10,0,9,11,13,5,9,1,27,1,10,5,26,182,1,50
22,23,10,10,8,20,10,1,20,30,4,93,89,1,62,203,83,13,1,13,13,27,13,32,47,41,111,47,41,166,34,90,2,0,2,1,8,6,56,33,16,36,57,103,50,183,132,14,26,47,92,177,7,6,5,22,6,6,25,26,27,53,71,66,132,137,77
23,35,9,0,12,21,0,19,11,53,23,61,67,91,71,217,205,4,0,5,4,0,5,4,0,4,67,64,4,136,68,5,4,4,3,3,0,12,3,49,19,80,109,89,225,135,180,5,9,14,23,51,7,6,5,7,6,6,0,0,0,5,0,0,71,29,36
24,40,11,9,2,4,16,0,41,14,25,41,14,108,153,200,51,10,5,10,26,4,27,33,32,43,33,32,43,20,124,51,2,7,1,13,4,5,34,24,38,16,79,87,75,19,223,11,20,37,72,138,1,2,0,10,11,13,15,12,13,21,34,29,36,43,33
25,0,13,8,5,22,9,22,18,38,28,18,59,110,50,62,133,6,11,3,22,18,24,15,6,27,15,6,98,155,21,58,11,0,2,5,23,1,21,10,6,21,19,106,128,175,90,10,18,33,65,120,6,5,6,9,14,12,6,6,3,2,3,4,2,92,18
26,50,5,6,1,17,7,28,54,1,11,57,1,11,34,117,9,3,3,11,19,14,2,18,43,30,18,99,67,174,14,74,7,12,7,10,16,20,37,50,28,70,74,17,15,57,87,14,28,52,105,203,10,7,9,14,13,11,3,5,2,27,50,49,35,25,27
27,0,10,10,7,16,3,24,37,13,15,66,13,108,118,119,164,13,1,13,21,5,10,47,42,8,47,70,8,87,66,106,2,0,2,1,8,6,12,30,43,54,24,32,35,107,65,6,11,19,34,68,9,0,8,6,15,0,54,50,55,92,67,90,100,98,111
28,47,0,3,6,25,17,13,46,11,3,46,11,92,75,184,147,11,2,4,14,3,3,12,14,21,12,97,68,12,115,81,5,3,4,26,10,23,5,47,8,42,49,55,186,28,108,1,1,1,2,5,0,9,11,13,5,9,1,27,1,10,5,26,3,1,50
29,14,4,1,8,20,1,21,29,37,54,87,110,64,36,24,197,12,1,9,9,10,19,53,49,20,53,49,20,54,10,17,3,1,0,1,8,6,26,44,7,63,16,62,54,15,163,14,27,51,100,194,11,13,10,15,19,16,14,14,16,31,35,38,17,17,21
30,4,6,3,13,19,19,4,35,21,32,64,21,103,221,106,154,9,8,7,16,21,7,43,25,45,91,10,64,80,39,12,13,11,5,8,9,13,9,27,0,95,13,95,81,231,60,14,27,49,96,185,0,3,2,23,24,21,23,24,28,9,11,7,1,3,1
31,11,6,10,8,20,26,26,22,56,35,22,56,35,149,123,79,9,7,7,27,7,22,38,10,9,63,10,64,11,196,137,13,11,5,20,1,18,30,1,26,74,26,99,118,169,128,14,29,56,113,224,11,3,10,18,17,19,20,19,17,32,9,5,16,40,67
32,12,4,1,8,20,1,14,47,37,12,47,37,12,198,38,97,13,13,6,5,15,21,29,17,24,29,17,24,25,16,18,3,1,0,2,3,16,41,9,11,19,64,26,212,210,167,9,16,30,56,107,10,7,9,21,22,22,16,15,25,34,6,36,11,12,8
33,0,8,13,0,3,12,0,17,40,52,113,80,59,158,26,106,2,10,0,11,8,12,50,55,13,97,54,13,209,40,71,2,0,2,6,27,0,36,56,2,25,110,75,22,22,116,12,21,39,78,150,4,4,4,1,3,3,17,2,14,47,69,27,34,101,96
34,40,12,12,9,26,27,7,40,39,8,40,39,89,56,131,131,7,6,6,17,26,9,42,18,33,42,18,33,152,183,178,2,0,2,1,8,6,36,56,2,4,2,68,78,154,226,7,12,23,45,86,4,4,4,16,20,18,35,17,10,65,96,62,76,107,68
35,14,6,7,8,13,26,7,30,26,52,97,112,20,33,73,118,13,1,13,28,16,0,23,1,26,103,107,97,17,129,173,2,0,2,1,8,6,36,56,17,25,34,87,212,210,167,14,29,56,113,224,4,4,4,22,28,18,55,54,53,104,79,87,120,84,171
36,0,6,10,13,20,26,26,22,56,35,22,74,35,149,210,53,9,7,7,27,7,26,38,26,9,63,73,9,11,33,121,13,11,5,20,1,18,30,1,26,74,102,99,186,169,128,14,29,58,116,230,11,3,10,18,17,19,20,19,17,32,9,5,16,34,49
37,0,11,9,2,26,11,12,7,17,19,94,17,98,6,146,107,6,11,13,28,16,0,44,38,18,21,60,111,45,97,152,2,0,2,1,8,6,48,4,12,49,115,39,151,128,92,10,17,32,62,115,6,5,0,10,25,28,41,31,39,77,55,57,143,146,121
38,50,1,5,3,2,6,6,49,36,5,49,78,31,188,147,173,3,12,2,15,13,11,45,11,28,110,65,28,56,11,104,1,5,8,14,15,19,44,36,55,108,43,107,112,45,230,4,8,13,20,42,2,1,3,3,4,2,7,8,19,17,22,17,103,117,123
39,26,10,10,11,7,3,16,37,30,39,66,13,71,116,203,105,10,5,10,28,4,25,49,23,26,70,108,101,69,229,41,2,0,2,1,8,6,36,56,17,26,34,52,2,102,8,14,27,50,99,190,1,12,7,25,11,17,48,51,50,86,87,76,89,85,72
40,19,13,8,5,22,9,22,18,38,28,18,59,110,44,62,89,6,11,3,22,18,24,15,6,27,15,6,98,155,21,58,11,0,2,5,23,1,21,10,6,21,19,106,116,175,90,10,18,33,65,121,6,5,6,9,14,12,6,6,3,2,3,4,2,92,18
41,14,4,7,8,13,1,7,25,8,17,25,28,17,170,185,103,12,1,9,9,10,19,53,49,20,53,49,20,147,10,150,3,1,0,1,8,6,36,56,17,25,5,115,183,20,0,14,27,51,103,198,11,13,10,15,19,16,14,14,16,25,23,24,67,6,114
42,0,5,6,1,17,6,17,14,15,2,14,90,11,111,198,163,3,12,2,3,2,15,39,37,16,108,2,40,2,2,123,1,5,8,1,12,2,40,57,54,15,76,38,80,163,130,4,7,11,17,36,2,1,3,11,9,8,24,11,23,28,24,30,56,35,26
