doc_idx,true_label,kmeans_k4_s0,kmeans_k4_s1,kmeans_k4_s2,kmeans_k9_s0,kmeans_k9_s1,kmeans_k9_s2,kmeans_k18_s0,kmeans_k18_s1,kmeans_k18_s2,kmeans_k36_s0,kmeans_k36_s1,kmeans_k36_s2,kmeans_k72_s0,kmeans_k72_s1,kmeans_k72_s2,gmm_k4_s0,gmm_k4_s1,gmm_k4_s2,gmm_k9_s0,gmm_k9_s1,gmm_k9_s2,gmm_k18_s0,gmm_k18_s1,gmm_k18_s2,gmm_k36_s0,gmm_k36_s1,gmm_k36_s2,gmm_k72_s0,gmm_k72_s1,gmm_k72_s2,spectral_k4_s0,spectral_k4_s1,spectral_k4_s2,spectral_k9_s0,spectral_k9_s1,spectral_k9_s2,spectral_k18_s0,spectral_k18_s1,spectral_k18_s2,spectral_k36_s0,spectral_k36_s1,spectral_k36_s2,spectral_k72_s0,spectral_k72_s1,spectral_k72_s2,ward_k4,ward_k9,ward_k18,ward_k36,ward_k72,leiden_k4_s0,leiden_k4_s1,leiden_k4_s2,leiden_k9_s0,leiden_k9_s1,leiden_k9_s2,leiden_k18_s0,leiden_k18_s1,leiden_k18_s2,leiden_k36_s0,leiden_k36_s1,leiden_k36_s2,leiden_k72_s0,leiden_k72_s1,leiden_k72_s2
0,0,1,2,2,4,7,7,0,1,12,0,1,32,0,1,32,0,1,0,0,5,6,0,14,6,0,20,19,0,19,17,1,1,3,6,8,0,8,11,12,31,14,15,52,23,12,2,4,6,10,18,0,0,0,0,0,0,11,16,16,30,30,29,40,38,39
1,1,0,1,0,3,8,0,9,10,15,3,30,18,3,49,30,1,1,2,5,3,7,5,3,7,30,21,27,34,28,47,1,1,3,8,0,6,14,17,11,0,35,1,0,69,57,4,9,18,34,68,1,0,0,1,1,1,0,0,0,12,14,4,2,41,50
2,1,0,1,0,3,8,0,9,10,15,3,30,18,63,6,71,1,1,2,5,3,7,5,3,7,30,21,27,66,46,31,1,1,3,8,0,6,14,17,11,0,35,1,36,14,47,4,9,18,34,68,1,0,0,1,1,1,0,0,0,12,14,4,2,36,31
3,2,2,0,3,0,1,7,2,16,7,8,34,26,60,14,5,3,3,3,4,8,5,10,8,9,10,6,9,11,10,9,0,2,2,1,6,8,10,4,0,9,3,13,30,43,56,4,7,15,29,59,0,2,1,4,4,5,16,11,4,23,26,24,12,16,11
4,3,2,3,1,7,3,8,7,3,8,17,35,17,52,57,3,3,3,3,8,2,5,8,2,5,22,25,29,48,32,42,0,2,2,1,6,8,5,2,16,1,1,6,64,71,1,1,1,1,1,2,0,2,1,2,2,2,2,2,2,0,0,0,16,18,14
5,1,0,1,0,3,8,0,3,10,15,9,23,30,48,19,60,1,1,0,5,3,7,5,3,7,8,3,4,26,6,4,1,1,3,8,0,6,14,17,11,0,35,1,50,3,8,4,9,18,36,72,1,0,0,1,1,1,0,0,0,2,2,8,8,8,7
6,4,1,2,2,5,7,1,5,7,1,32,20,22,30,60,41,1,0,2,3,5,2,16,5,2,19,28,1,45,71,38,1,1,3,0,1,1,0,1,1,2,4,2,63,65,61,2,5,11,17,33,0,0,0,0,0,0,1,1,1,21,24,22,18,27,23
7,3,2,3,1,7,3,8,7,3,8,17,5,31,54,26,53,3,3,3,8,2,5,8,2,5,22,25,29,62,60,42,0,2,2,1,6,8,5,2,16,1,1,6,56,66,44,1,1,1,1,2,0,2,1,2,2,2,2,2,2,0,0,0,50,48,45
8,5,3,2,2,6,4,6,16,14,6,31,9,28,40,30,65,1,0,2,1,4,1,1,17,1,3,23,31,30,62,23,2,0,0,4,4,4,4,0,14,7,34,28,19,29,13,3,6,14,28,57,2,1,2,5,5,4,3,3,3,4,3,2,6,1,0
9,6,0,1,0,1,8,2,13,8,9,34,28,9,45,41,33,1,1,0,5,3,4,15,12,4,21,13,12,54,20,13,1,1,3,0,1,1,0,1,1,4,19,30,5,31,5,2,5,8,13,26,1,0,0,7,1,1,14,14,14,15,15,15,5,5,5
