doc_idx,true_label,kmeans_k15_s0,kmeans_k15_s1,kmeans_k15_s2,kmeans_k30_s0,kmeans_k30_s1,kmeans_k30_s2,kmeans_k59_s0,kmeans_k59_s1,kmeans_k59_s2,kmeans_k118_s0,kmeans_k118_s1,kmeans_k118_s2,kmeans_k236_s0,kmeans_k236_s1,kmeans_k236_s2,gmm_k15_s0,gmm_k15_s1,gmm_k15_s2,gmm_k30_s0,gmm_k30_s1,gmm_k30_s2,gmm_k59_s0,gmm_k59_s1,gmm_k59_s2,gmm_k118_s0,gmm_k118_s1,gmm_k118_s2,gmm_k236_s0,gmm_k236_s1,gmm_k236_s2,spectral_k15_s0,spectral_k15_s1,spectral_k15_s2,spectral_k30_s0,spectral_k30_s1,spectral_k30_s2,spectral_k59_s0,spectral_k59_s1,spectral_k59_s2,spectral_k118_s0,spectral_k118_s1,spectral_k118_s2,spectral_k236_s0,spectral_k236_s1,spectral_k236_s2,ward_k15,ward_k30,ward_k59,ward_k118,ward_k236,leiden_k15_s0,leiden_k15_s1,leiden_k15_s2,leiden_k30_s0,leiden_k30_s1,leiden_k30_s2,leiden_k59_s0,leiden_k59_s1,leiden_k59_s2,leiden_k118_s0,leiden_k118_s1,leiden_k118_s2,leiden_k236_s0,leiden_k236_s1,leiden_k236_s2
0,0,0,1,12,0,1,2,0,1,32,106,1,32,94,1,71,0,14,6,0,20,19,0,19,17,0,19,17,0,21,17,7,10,11,19,11,9,12,28,11,39,2,19,21,118,153,4,9,16,28,54,12,12,4,25,26,26,40,38,41,33,31,32,3,3,4
1,1,9,10,14,3,2,25,24,49,58,77,49,30,222,180,21,5,3,7,8,21,27,34,28,47,34,28,111,153,90,221,5,2,2,2,4,0,21,56,9,94,63,39,164,52,170,15,29,56,110,218,0,0,1,2,2,0,4,10,9,20,45,40,113,114,108
2,1,9,10,14,3,2,25,3,6,30,63,6,71,114,16,96,5,3,7,8,21,27,34,46,31,104,79,31,158,97,52,5,2,2,2,4,0,32,45,45,87,49,72,215,131,25,15,29,56,108,216,0,0,1,2,2,0,4,10,9,20,22,25,72,90,77
3,2,10,11,7,2,13,24,38,14,5,60,14,74,95,118,41,10,8,9,10,6,9,11,10,9,11,74,9,104,151,9,6,14,7,11,14,13,52,48,12,66,95,112,28,154,199,12,25,48,94,187,14,8,13,21,22,21,23,18,19,4,2,5,16,14,25
4,3,7,3,8,17,5,17,52,57,47,52,57,53,109,178,118,8,2,5,22,2,3,48,32,42,48,32,42,45,199,170,11,1,6,1,2,5,57,12,10,57,10,71,190,167,52,1,1,2,4,9,2,2,2,1,1,1,30,20,21,37,29,30,116,117,117
5,1,3,10,14,9,23,6,48,19,6,107,90,60,45,221,196,5,3,7,8,3,4,26,55,4,26,91,4,229,77,39,5,2,2,2,4,0,26,26,47,26,101,4,196,139,45,15,30,59,116,232,0,0,1,2,2,0,13,13,12,41,44,34,32,40,48
6,4,5,7,1,2,20,22,30,46,41,30,46,41,104,222,17,11,5,2,19,28,1,45,26,38,45,94,85,30,145,117,1,3,1,22,1,8,8,42,50,54,30,114,7,54,131,8,15,27,45,81,1,1,0,0,0,2,12,26,24,19,16,17,63,68,45
7,3,7,3,8,17,5,17,54,26,53,85,26,83,196,122,123,8,2,5,22,2,3,48,57,42,62,60,80,139,25,49,11,1,6,1,2,5,31,15,41,18,76,24,32,16,129,1,1,2,3,7,2,2,2,1,1,1,52,51,45,94,92,93,129,125,121
8,5,6,14,6,5,9,28,40,30,15,90,30,92,78,209,167,1,4,1,3,23,10,30,17,23,96,112,108,208,229,109,10,6,0,7,12,2,43,8,21,78,54,6,68,6,218,11,24,46,90,182,3,3,3,5,5,4,0,2,1,44,34,29,153,100,84
9,6,13,8,9,18,28,9,45,12,33,45,41,33,17,33,116,3,12,4,21,13,12,54,20,13,84,78,13,89,87,235,5,2,2,10,26,11,0,13,8,45,33,107,218,48,9,6,12,21,37,66,6,4,9,14,15,18,5,5,5,0,0,0,53,49,41
