doc_idx,true_label,kmeans_k5_s0,kmeans_k5_s1,kmeans_k5_s2,kmeans_k10_s0,kmeans_k10_s1,kmeans_k10_s2,kmeans_k20_s0,kmeans_k20_s1,kmeans_k20_s2,kmeans_k40_s0,kmeans_k40_s1,kmeans_k40_s2,kmeans_k80_s0,kmeans_k80_s1,kmeans_k80_s2,gmm_k5_s0,gmm_k5_s1,gmm_k5_s2,gmm_k10_s0,gmm_k10_s1,gmm_k10_s2,gmm_k20_s0,gmm_k20_s1,gmm_k20_s2,gmm_k40_s0,gmm_k40_s1,gmm_k40_s2,gmm_k80_s0,gmm_k80_s1,gmm_k80_s2,spectral_k5_s0,spectral_k5_s1,spectral_k5_s2,spectral_k10_s0,spectral_k10_s1,spectral_k10_s2,spectral_k20_s0,spectral_k20_s1,spectral_k20_s2,spectral_k40_s0,spectral_k40_s1,spectral_k40_s2,spectral_k80_s0,spectral_k80_s1,spectral_k80_s2,ward_k5,ward_k10,ward_k20,ward_k40,ward_k80,leiden_k5_s0,leiden_k5_s1,leiden_k5_s2,leiden_k10_s0,leiden_k10_s1,leiden_k10_s2,leiden_k20_s0,leiden_k20_s1,leiden_k20_s2,leiden_k40_s0,leiden_k40_s1,leiden_k40_s2,leiden_k80_s0,leiden_k80_s1,leiden_k80_s2
0,3,0,0,4,0,2,1,17,16,10,5,8,6,45,38,52,1,0,1,9,8,6,9,8,6,15,33,7,30,18,53,1,0,0,5,1,2,10,5,13,2,36,10,20,21,41,1,1,1,1,4,1,1,1,4,4,4,6,6,6,3,2,4,18,19,16
1,7,0,0,4,0,2,1,12,10,16,34,35,32,50,42,1,1,0,1,9,8,6,19,13,17,30,35,28,48,42,36,1,0,0,5,1,2,2,9,18,21,10,24,45,54,42,1,2,4,8,17,1,1,1,4,4,4,10,10,10,22,6,7,32,64,22
2,11,3,2,3,8,7,9,19,7,9,12,7,31,37,68,30,2,1,4,8,1,2,18,1,2,9,1,31,33,55,77,2,4,4,7,3,0,7,3,15,13,22,13,13,79,0,5,9,18,38,75,2,3,2,2,2,1,0,0,0,0,28,28,60,52,50
3,20,4,3,0,4,9,0,4,14,17,25,14,0,66,8,26,4,2,0,5,5,0,5,5,0,3,7,26,76,77,31,3,3,3,4,5,4,4,13,7,12,15,7,12,7,3,3,6,11,24,46,0,0,0,7,7,8,8,7,7,2,1,3,20,45,26
4,20,4,3,0,4,9,0,4,14,0,25,14,0,72,8,26,4,2,0,5,5,0,5,5,0,3,7,26,76,77,31,3,3,3,4,5,4,4,13,7,25,29,16,12,7,3,2,4,7,14,28,0,0,0,7,7,8,8,7,7,2,1,3,20,10,26
5,14,0,1,0,4,6,2,0,13,19,19,6,26,75,5,64,0,2,3,0,7,3,0,11,13,0,11,30,0,10,12,1,0,4,1,4,6,9,1,16,15,5,12,72,65,30,3,6,12,25,50,0,0,0,9,8,5,9,8,8,8,9,9,70,70,65
6,16,1,0,4,6,3,7,13,3,13,33,35,5,9,70,37,1,0,1,1,0,9,12,14,16,31,29,37,78,68,56,1,0,0,9,0,7,15,15,14,29,23,1,30,54,64,1,3,5,11,22,1,1,1,6,0,7,5,4,5,22,22,22,22,27,22
7,5,0,1,1,9,6,3,9,6,3,28,25,14,68,59,54,2,3,3,6,4,8,6,4,8,7,38,6,39,50,34,1,0,0,8,9,5,18,10,1,6,14,9,68,2,1,3,7,15,33,67,2,2,4,5,5,6,3,3,3,1,0,2,26,13,14
8,11,3,2,3,8,7,2,8,7,9,27,23,17,17,30,29,2,1,4,8,1,2,8,1,18,24,22,19,77,59,70,2,4,4,7,3,0,16,16,12,19,0,5,57,78,35,5,10,19,39,78,2,3,2,2,2,1,0,0,0,28,23,14,51,58,30
9,17,4,3,0,4,9,5,4,15,19,26,16,3,29,74,61,0,2,3,7,3,7,13,17,7,18,32,17,28,3,14,1,0,4,1,4,6,8,19,3,4,19,33,22,8,67,2,4,9,20,39,0,0,0,0,3,2,2,11,11,29,30,30,69,32,40
