doc_idx,true_label,kmeans_k22_s0,kmeans_k22_s1,kmeans_k22_s2,kmeans_k44_s0,kmeans_k44_s1,kmeans_k44_s2,kmeans_k89_s0,kmeans_k89_s1,kmeans_k89_s2,kmeans_k178_s0,kmeans_k178_s1,kmeans_k178_s2,kmeans_k356_s0,kmeans_k356_s1,kmeans_k356_s2,gmm_k22_s0,gmm_k22_s1,gmm_k22_s2,gmm_k44_s0,gmm_k44_s1,gmm_k44_s2,gmm_k89_s0,gmm_k89_s1,gmm_k89_s2,gmm_k178_s0,gmm_k178_s1,gmm_k178_s2,gmm_k356_s0,gmm_k356_s1,gmm_k356_s2,spectral_k22_s0,spectral_k22_s1,spectral_k22_s2,spectral_k44_s0,spectral_k44_s1,spectral_k44_s2,spectral_k89_s0,spectral_k89_s1,spectral_k89_s2,spectral_k178_s0,spectral_k178_s1,spectral_k178_s2,spectral_k356_s0,spectral_k356_s1,spectral_k356_s2,ward_k22,ward_k44,ward_k89,ward_k178,ward_k356,leiden_k22_s0,leiden_k22_s1,leiden_k22_s2,leiden_k44_s0,leiden_k44_s1,leiden_k44_s2,leiden_k89_s0,leiden_k89_s1,leiden_k89_s2,leiden_k178_s0,leiden_k178_s1,leiden_k178_s2,leiden_k356_s0,leiden_k356_s1,leiden_k356_s2
0,0,20,11,15,35,11,23,38,38,25,25,6,100,234,202,280,12,12,10,12,12,10,10,11,12,12,11,152,211,11,152,15,6,13,32,13,28,26,43,60,14,15,37,190,263,33,17,33,71,143,291,16,17,17,33,31,33,38,39,38,14,17,17,1,1,2
1,1,5,16,19,42,1,1,35,34,64,65,40,55,202,40,344,7,1,4,24,26,4,25,26,25,25,27,169,25,27,169,19,19,21,6,22,15,15,5,75,64,62,9,16,33,125,12,20,39,89,175,3,11,3,32,30,31,37,40,39,17,20,21,12,19,15
2,2,15,11,17,28,43,17,73,66,71,162,134,124,162,134,124,2,10,6,26,24,25,3,77,44,42,108,123,234,305,123,1,0,0,39,36,37,78,78,83,118,81,116,269,254,53,18,40,84,167,335,2,2,2,19,20,12,56,67,70,87,91,95,51,57,52
3,3,15,7,17,15,39,24,32,10,78,44,115,130,187,302,130,0,20,18,28,20,30,27,64,29,162,152,21,162,255,207,1,0,0,35,19,39,65,71,59,16,148,55,168,35,265,16,27,58,126,253,9,12,11,28,26,28,29,29,29,113,16,15,228,229,228
4,4,2,10,17,28,43,29,26,27,55,143,149,71,246,149,338,0,18,3,8,41,36,52,13,78,72,69,78,72,69,78,16,20,17,7,43,0,87,87,88,79,93,63,76,350,95,5,10,19,40,78,5,6,5,2,2,2,78,79,86,98,100,112,142,102,136
5,5,11,6,6,11,6,6,74,7,22,8,3,84,259,282,186,3,3,1,3,40,1,58,56,1,131,144,171,348,194,317,3,15,20,3,2,2,88,29,9,4,141,65,185,198,196,3,5,11,24,49,0,0,0,0,0,0,60,59,81,147,128,138,252,184,292
6,6,2,10,18,40,10,27,50,56,10,60,95,168,223,203,298,8,18,3,43,18,24,67,46,38,65,168,93,65,186,238,16,20,17,41,10,22,86,84,58,93,83,3,344,271,243,7,12,25,57,108,5,6,5,2,2,2,5,11,11,24,23,26,40,39,40
7,7,18,21,7,18,22,39,83,15,39,69,140,158,69,140,242,0,20,18,38,25,18,86,29,16,89,79,70,89,294,70,21,21,19,0,34,31,21,22,40,119,76,89,202,273,224,5,10,20,48,91,17,12,9,20,19,19,17,15,17,4,6,4,278,97,106
8,8,16,7,13,32,32,13,54,78,51,130,168,2,245,168,206,21,19,14,35,19,28,21,60,61,21,106,128,192,106,128,1,0,0,43,38,40,50,61,66,7,54,103,129,100,8,16,28,62,130,261,14,15,14,17,12,13,45,34,44,22,41,24,96,93,101
9,9,0,5,2,5,35,35,79,83,41,93,50,175,147,50,81,5,4,5,5,4,33,47,78,82,177,46,26,177,46,260,4,8,7,14,5,19,57,77,79,88,136,121,330,49,159,16,27,53,119,238,1,1,1,22,36,21,41,55,40,47,42,41,25,26,21
