doc_idx,category
1768,1
2697,18
1551,78
772,47
2872,27
1241,50
1074,63
1149,61
2098,56
94,61
872,36
2783,19
1725,44
2801,6
2380,36
79,56
108,18
1772,58
3019,9
1959,29
3671,59
3152,47
1457,25
1783,26
169,48
2174,51
1373,31
1039,16
541,25
351,16
2252,28
3533,36
702,13
2544,69
359,59
2403,6
560,53
2567,7
790,47
3139,0
1217,33
3286,6
2985,13
1907,7
230,6
1956,29
399,43
581,13
3653,9
1412,26
1419,69
3203,47
2608,16
397,43
3150,13
2529,19
3175,13
3054,7
3370,43
2470,52
1960,1
975,78
1338,24
630,2
1566,41
2273,38
3317,75
3214,16
2816,6
3059,1
2878,2
3627,38
932,36
2702,67
102,18
1631,74
1759,58
2957,16
1697,65
3435,7
2331,33
1432,43
1481,22
2415,62
779,10
2639,46
13,24
1164,18
2520,25
1050,22
98,18
535,51
662,24
1507,16
1611,20
2768,19
758,4
933,7
2236,14
420,46
2578,54
1441,25
2744,38
2115,68
2535,64
416,14
3248,4
958,16
2054,22
854,16
2362,15
678,12
99,18
1524,26
796,47
1409,1
280,38
2078,56
1988,26
1893,25
2011,38
187,48
2165,51
1992,12
40,18
517,45
973,77
701,13
2701,68
45,14
93,18
6,12
1194,33
3554,26
2167,16
781,6
3647,16
3424,24
2282,38
1999,38
1305,28
442,31
2890,31
1836,46
1195,33
435,27
3667,8
1387,31
1685,65
318,6
3391,62
2253,28
3210,1
636,2
1030,6
3561,58
3279,54
1707,65
1626,20
1453,54
3192,13
2206,31
941,7
110,18
1550,26
321,59
1293,36
1045,22
2922,54
161,36
2495,52
2900,46
1452,25
2670,68
1398,1
2591,68
364,43
739,7
3369,6
588,53
2314,31
2604,10
2426,62
382,43
3079,17
1884,54
945,10
3362,75
1902,4
2048,6
557,67
2046,14
186,48
773,38
632,24
3412,50
2973,37
1167,40
2173,28
1895,54
2466,18
2132,20
546,14
605,27
2297,6
2734,38
1925,21
2513,69
1238,50
3417,39
1696,26
1603,68
1833,15
1065,22
3202,38
7,47
2124,34
802,10
1034,22
2104,56
3320,47
3497,38
2241,28
913,22
1026,13
3274,4
2201,31
518,45
495,45
487,45
368,72
1792,39
3460,9
2935,7
1051,16
2546,69
1915,21
2824,27
2746,19
1156,46
2509,69
2459,30
1395,74
3586,65
2577,7
1006,6
3588,58
19,24
1724,44
136,46
3305,6
1854,32
929,16
2893,5
2295,6
3237,16
2610,16
705,13
2135,34
1552,26
1678,65
2123,34
2950,20
3503,38
3518,36
846,10
1607,20
171,10
181,48
1862,15
3,24
1060,16
1995,1
1621,8
210,1
2157,51
366,0
2940,37
1145,61
725,1
574,31
203,38
1670,65
1533,21
1852,26
1477,16
797,47
3069,6
1220,33
2532,69
1650,58
2368,15
219,26
1402,21
3081,62
2444,31
1100,14
254,3
1040,16
3574,1
551,14
874,9
965,78
666,24
123,56
719,43
268,10
2130,20
834,22
2039,22
393,1
3127,14
1537,26
494,45
3408,14
1501,16
1038,68
3094,26
2756,19
1352,18
880,16
481,4
3229,37
2338,20
1379,31
2572,16
1716,44
349,16
1891,7
2008,1
525,14
3207,51
953,10
386,21
3060,52
1206,33
255,22
1991,1
902,22
2420,75
3273,25
1644,58
453,31
1911,21
3011,26
3548,36
2803,6
126,56
1931,21
3567,29
3508,38
3044,69
1918,21
3329,69
75,14
188,48
3073,52
994,77
650,24
893,16
3604,64
329,59
89,18
2056,10
1450,25
1169,73
1410,21
72,14
1041,22
2931,54
2284,12
297,14
1542,26
2150,51
3001,54
2621,16
3174,28
403,27
3339,6
83,18
664,26
587,31
301,6
968,77
1078,63
3106,60
1987,26
748,54
1536,26
1909,21
2646,18
2395,62
540,14
996,77
3535,36
2024,4
771,31
2662,46
2712,38
2381,15
2341,49
3395,39
2246,28
1684,65
1944,21
3235,51
1208,33
2755,77
2136,34
2542,75
1135,61
898,22
201,1
1513,16
1535,32
2908,54
2979,70
1456,54
1596,22
925,10
1077,2
1732,36
555,14
3226,51
1377,31
205,1
1489,9
1396,65
534,67
1219,33
2983,70
2298,69
331,20
1176,40
1503,16
3088,17
2479,52
839,10
1526,26
563,53
1929,21
3144,26
1563,41
2667,32
1848,47
291,38
28,47
1661,74
3186,13
2611,36
12,24
3157,69
2015,1
857,4
1307,56
267,22
2059,26
2274,38
3232,36
2531,13
3590,58
60,14
2108,27
165,48
4,24
3165,13
1221,33
464,31
2864,27
1427,19
3035,7
330,59
1701,65
3179,54
2182,51
2692,50
3390,6
3185,59
1549,13
2149,51
1463,25
3443,7
2894,27
2813,6
2500,6
262,3
906,68
3206,41
2503,6
3566,14
2739,38
2471,52
3308,13
2022,4
1946,21
2995,70
1943,21
3032,4
1870,7
3658,9
710,13
3595,38
2736,12
1316,24
1021,6
3336,69
2501,6
107,18
224,4
3441,59
2332,31
1906,54
1787,58
1784,58
2396,62
610,61
2106,0
3388,6
3319,6
2990,70
3198,13
589,31
799,28
2952,49
3116,24
2318,49
1126,61
1132,63
1142,61
305,1
3070,62
1131,61
3161,69
757,7
1924,21
1216,33
2807,6
3129,65
2073,61
756,54
50,14
58,14
462,31
306,38
2458,18
65,14
2569,54
1613,20
2152,56
195,15
3656,9
3471,54
1578,41
2765,70
3281,4
2863,24
3626,38
1336,23
1159,68
2545,69
1330,24
3315,6
709,13
3430,39
3425,24
3249,25
3366,6
1829,46
1791,14
2111,68
473,31
661,24
3624,38
1658,60
1520,26
1035,10
1073,20
2051,15
2991,70
137,31
876,16
407,27
2000,1
3414,39
516,45
220,29
2906,54
726,1
3156,69
2766,58
3005,70
1584,68
1965,29
1958,29
3421,24
1237,50
2213,13
1719,44
282,47
3300,47
936,10
700,13
1637,58
3307,47
749,55
2856,68
471,31
1710,33
3622,55
415,27
2876,27
3110,14
2779,65
2586,10
2817,6
544,67
2721,38
2580,54
685,13
2933,54
1089,63
1270,50
2896,27
2683,32
2740,38
3103,75
1098,63
180,68
2883,27
2209,56
2463,18
613,63
3311,52
616,2
2555,16
111,18
724,4
527,14
1223,44
3292,52
2064,22
2747,1
133,51
289,1
3007,70
2671,32
2121,34
2838,68
2725,65
41,14
1239,50
1248,50
1385,31
440,11
1673,65
2379,9
3196,28
3591,58
2805,6
2497,6
3409,24
3124,14
367,59
335,59
3420,24
592,53
1688,65
2340,1
2070,56
2102,56
2462,31
2483,75
2762,45
1592,20
1993,1
231,26
314,38
2096,56
340,16
3008,70
2854,27
383,43
3263,4
2682,43
3549,36
2043,68
586,53
2128,34
804,10
2211,31
434,18
2914,25
3670,34
1140,61
3494,47
812,68
1044,16
2320,31
1036,68
720,14
1729,44
1163,27
1255,50
1020,6
1268,50
1399,65
1105,63
644,24
346,3
582,76
3585,1
1032,35
396,67
2065,10
1012,13
2917,54
490,7
3523,48
2903,46
3492,74
3423,24
2093,61
598,53
3313,6
813,22
3014,70
3349,6
192,48
1120,61
1171,73
1690,65
2977,59
3607,38
521,39
829,68
1196,33
2017,1
2777,19
600,2
1554,16
439,15
1125,61
761,47
1064,22
1648,74
2183,51
87,18
982,29
3140,69
895,68
394,43
2970,76
2161,51
3385,6
3553,36
1934,24
671,12
10,24
1087,18
1660,58
2961,49
2234,28
1748,44
460,31
1856,29
248,22
157,56
984,77
1162,18
3326,62
2454,47
569,53
3415,24
2706,38
2105,61
2482,52
3500,38
2898,27
228,1
1459,10
1421,4
3504,5
988,77
2139,34
1782,58
2616,16
3298,6
1328,24
2392,62
3451,20
623,46
3551,36
2722,38
808,68
1698,65
1236,50
713,13
1263,50
1863,32
979,77
2822,6
3126,14
3383,6
1847,14
2438,31
1028,17
2427,6
3062,6
2399,62
3004,70
2259,28
2819,6
2708,55
3569,58
595,53
486,4
1227,33
943,16
2188,51
2402,6
299,38
1950,29
2474,62
1777,58
3510,38
577,53
1789,43
3466,7
1579,59
3033,50
3048,4
1496,16
1785,1
1141,9
2223,68
1333,28
3282,4
2696,32
993,77
2030,10
1359,33
1413,69
870,10
1010,6
1663,74
1334,24
2809,6
3512,47
2960,49
2443,30
3514,36
2913,7
1765,58
2084,51
227,1
547,78
1802,65
3091,69
1587,41
1173,38
273,3
1114,61
558,14
2348,49
3075,52
1296,61
957,10
3095,32
2512,69
1916,21
3276,4
836,22
3277,4
3640,9
899,22
3427,26
2867,46
3544,16
825,22
2146,34
1504,16
784,31
2243,28
432,18
855,28
1301,36
2194,31
2079,47
2726,38
