doc_idx,category
1789,22
1542,19
108,16
812,10
1162,24
223,19
348,7
1878,15
1249,9
87,22
1846,2
1282,6
1965,1
1628,1
1546,19
1104,24
414,15
1631,4
1178,4
1197,4
1528,19
1895,8
1210,14
1658,22
1494,14
1869,6
1468,20
1676,3
851,3
1073,12
1835,5
1117,24
453,17
1440,15
368,4
1960,13
321,13
1737,14
1662,22
614,3
1331,14
868,20
553,13
372,3
1171,24
1758,6
301,5
309,5
1793,22
828,7
1765,16
1441,15
1563,1
190,1
56,22
555,16
1505,14
1291,16
1102,24
120,16
464,17
790,10
1131,14
527,6
922,5
111,16
1419,14
1005,7
1668,22
418,19
887,3
1883,1
1317,18
48,2
697,14
1923,15
1079,12
236,8
241,4
1195,4
1962,1
186,1
1806,21
194,1
47,2
1702,19
1032,6
858,0
1145,14
675,19
893,3
764,12
331,13
1935,10
325,13
702,13
1905,8
1576,1
1229,9
1772,16
700,19
602,23
1231,9
434,19
736,16
1268,6
671,19
718,16
674,19
1247,9
653,3
820,7
386,3
161,23
654,3
1933,20
102,22
827,7
1451,16
1834,2
1004,7
558,14
959,3
292,5
1618,1
285,5
1685,3
1751,16
1854,2
177,23
478,19
1503,14
1124,17
1211,14
1637,4
231,20
1851,2
807,10
192,1
1534,19
181,1
1045,14
748,11
1936,10
282,23
563,14
698,19
1956,3
724,16
1535,19
1548,19
895,3
802,10
1410,14
994,12
996,12
1611,1
382,4
1880,6
1367,17
1293,16
375,4
968,16
643,3
351,7
927,16
793,10
1097,24
1602,20
1921,20
655,3
366,4
664,19
137,6
1152,24
1238,9
1517,20
525,14
894,3
1462,23
1093,0
1686,3
683,19
592,3
984,16
1918,19
1252,9
428,19
75,22
1037,4
1163,24
726,5
625,3
1483,14
757,11
1759,16
1767,5
1165,24
1385,7
634,3
1804,21
1974,13
510,6
534,16
37,2
641,3
761,11
1665,6
1008,12
1048,14
1875,15
1450,15
1796,22
1692,3
821,7
1489,14
560,14
982,16
890,3
8,1
304,5
1335,14
1785,22
1289,16
1439,15
1488,14
275,23
367,4
202,1
1897,8
1838,2
880,3
1507,0
258,4
966,16
297,5
60,22
598,3
921,5
1026,6
1627,1
403,15
1180,4
385,4
1086,5
1769,16
587,20
1403,14
1713,19
1198,4
585,20
1213,14
1167,24
126,17
1228,9
1703,19
1285,16
1189,4
1591,20
1648,4
98,22
1499,14
158,23
531,15
941,0
1058,14
1604,20
1643,4
535,16
1458,23
861,20
1547,19
1304,16
997,12
1147,4
1323,18
104,16
1529,10
82,22
1659,22
619,3
857,19
631,3
1388,7
1966,13
561,14
480,19
926,5
1196,4
1925,19
1357,14
1892,8
1493,14
227,20
133,14
447,17
91,22
1386,7
898,3
389,15
693,19
267,22
53,7
1661,22
1929,20
1967,13
1699,3
406,14
644,3
65,22
1541,19
107,16
1286,16
1452,15
660,19
11,1
424,19
1600,20
952,3
264,22
1059,14
1224,9
268,22
167,23
772,10
577,14
1116,24
1290,16
1215,14
3,1
1646,4
924,5
1340,14
1081,0
17,1
1950,10
1009,7
1395,7
248,4
899,3
281,22
442,17
1719,19
1536,19
299,5
1262,6
1609,1
1728,14
302,5
679,19
877,19
1396,7
1709,19
341,7
623,3
259,4
396,15
1954,10
789,10
1783,22
140,6
512,14
573,14
49,5
1000,12
1330,14
1832,2
1593,20
1422,14
1082,12
1539,19
486,19
620,3
1624,13
866,19
1265,6
986,16
737,11
1800,22
0,1
703,14
833,7
361,3
115,16
767,10
336,7
813,10
1714,19
1617,1
400,15
1681,3
1805,21
30,2
1636,4
1138,14
201,1
415,14
556,3
1443,14
589,20
1750,14
935,3
293,5
1445,15
1520,20
305,5
146,14
330,13
955,13
421,19
572,14
705,19
636,3
1766,16
1267,6
1264,6
701,19
1710,19
1276,6
1552,3
39,5
1573,1
774,10
80,22
1970,13
1364,4
1334,14
1283,6
228,20
1108,24
101,22
801,12
1598,20
1509,20
1256,6
1201,4
1084,5
1497,14
972,16
233,4
992,12
1374,16
943,3
1655,6
1379,7
1041,6
335,7
547,3
1135,14
1344,14
536,0
1605,20
435,19
1482,14
303,5
283,22
446,17
537,16
1398,7
1733,14
1852,2
1464,14
881,3
1740,14
936,3
40,2
58,22
1625,1
1361,4
1432,15
824,7
870,19
854,13
622,3
1964,13
441,17
1368,14
1352,14
549,3
1608,1
255,4
713,16
462,17
902,3
708,19
119,16
546,13
1613,1
920,16
507,6
1583,20
596,20
169,23
19,1
948,13
353,7
1273,6
1387,7
904,3
1732,14
432,19
270,22
823,7
1103,0
1250,9
1053,14
1090,5
1808,21
1237,9
799,10
1172,24
613,3
1248,9
906,16
288,5
208,1
1678,3
408,15
607,3
204,1
1047,14
1519,14
22,1
340,7
1206,14
1842,2
1112,24
579,14
608,3
81,22
51,2
768,10
94,22
1226,9
1638,4
778,10
1807,21
1705,19
1939,10
1454,23
1594,20
1561,1
1259,6
1616,1
1038,6
1318,18
1904,8
1328,18
1307,16
1315,18
650,3
1504,14
160,23
1347,14
913,16
286,5
16,1
669,19
1760,16
1518,20
1209,14
1118,24
1597,20
1811,21
1553,1
1621,3
1926,19
135,14
211,20
1153,24
1080,12
816,7
612,3
298,5
88,22
1913,20
834,7
1827,2
1437,15
1010,12
45,2
1969,13
1087,12
1459,14
1179,4
1716,19
481,19
528,16
1574,8
1623,1
840,3
1463,20
1700,3
571,14
1225,9
110,16
729,3
1457,23
62,22
874,14
1263,6
1,1
332,13
628,3
1626,13
1975,13
1886,8
1322,18
859,20
951,3
142,14
1400,7
1132,14
159,23
1043,14
198,1
460,17
1012,7
1582,20
83,22
1435,15
1947,10
672,19
1511,20
1664,22
990,16
529,16
289,5
427,19
1296,16
730,16
1543,19
401,21
599,3
154,6
1444,15
1823,21
1730,14
295,5
810,12
1510,20
1272,6
1828,2
1456,20
1896,8
575,14
1006,7
632,3
1017,12
1470,22
314,13
661,19
1687,3
426,19
175,23
1673,22
593,20
491,19
1381,7
490,19
680,19
521,6
422,19
750,11
763,10
983,16
779,10
1301,16
443,17
54,2
1857,15
1369,17
1871,13
640,3
1938,10
1959,1
995,12
409,21
771,10
1415,14
12,1
404,15
73,22
195,1
399,15
969,16
1556,1
815,7
1036,6
308,5
215,20
1746,14
163,23
1392,7
1241,9
1928,20
1218,14
538,15
804,10
1389,7
559,14
940,13
1577,0
1030,6
280,23
1903,8
496,6
131,6
311,5
251,4
1822,21
1194,4
647,3
1266,6
494,19
1773,16
136,14
1698,3
584,14
900,3
872,20
359,7
1761,16
707,0
976,16
925,5
239,4
1792,22
885,3
1115,24
350,7
1130,14
1351,14
1333,15
1872,15
659,19
745,11
1065,14
570,14
1338,14
1245,9
1675,22
27,1
557,14
1887,1
649,3
638,3
1845,2
1020,6
425,19
852,3
916,16
487,19
1234,9
597,20
1181,4
961,3
769,10
495,19
90,22
50,2
262,4
711,19
1407,14
1416,14
148,6
1015,12
390,21
1070,0
808,10
1240,9
35,2
891,3
1836,2
323,13
1894,8
6,1
1777,22
919,5
1861,6
78,22
1649,4
1230,9
1924,20
1671,22
1704,19
452,17
216,20
791,10
1141,14
1051,14
1028,6
1568,1
395,14
520,6
888,3
1438,15
594,23
1688,3
991,7
1183,4
1971,3
205,1
1550,19
733,16
725,16
1850,2
503,6
1726,14
310,5
785,10
383,4
759,11
1146,4
1467,20
1060,14
1787,22
663,19
574,14
678,19
1496,14
1856,6
1297,16
846,1
629,3
315,13
1089,12
742,11
1725,14
1501,14
1889,8
26,1
786,10
1159,24
1512,20
1693,3
1481,14
256,4
1864,15
1219,14
188,1
1554,1
242,4
1429,15
662,19
1865,15
987,16
688,19
825,7
498,6
41,2
189,1
863,20
99,22
448,17
953,3
582,14
1220,14
484,19
1882,6
1672,22
720,16
1157,24
250,4
1446,13
436,19
76,22
1663,22
819,7
719,16
1660,22
516,6
1629,1
1246,9
685,19
1279,6
1105,16
439,19
931,5
1382,7
831,7
957,3
419,19
1931,19
1143,14
502,6
777,10
1695,3
1243,9
1149,14
1242,9
839,13
635,3
349,0
200,1
1129,4
1371,4
1522,20
318,13
59,22
1057,14
581,14
355,7
1204,14
493,19
993,7
1917,20
723,16
1476,0
180,1
244,4
1927,20
274,23
1622,1
576,14
392,20
234,4
220,20
1184,4
1412,14
85,22
34,8
746,11
156,23
1244,9
1413,14
1735,14
970,16
1109,17
1701,19
1068,14
1208,14
1794,22
363,1
509,6
1313,18
