doc_idx,category
386,16
3408,10
2256,5
3684,19
4306,1
136,1
1381,1
4410,13
1825,8
1751,10
5429,15
592,15
2285,1
4706,6
1198,1
5234,13
1045,11
1793,17
1122,6
2702,1
2636,10
2406,1
1810,14
1238,12
4037,2
5066,6
1236,1
2983,1
1766,1
4933,1
4597,5
4291,1
3939,1
4902,2
4252,1
3078,11
2313,2
2338,1
3474,6
473,1
589,2
1028,16
1785,1
5390,2
4205,14
4107,14
2768,14
3278,6
1924,11
3887,5
5324,7
4124,6
5164,5
4269,16
3923,1
5186,2
545,17
33,2
116,1
250,5
3660,8
5470,19
5370,10
3997,2
858,11
2864,12
3127,5
1993,2
3379,14
2949,7
2728,13
3759,2
996,1
2641,1
1899,7
2837,1
3551,17
1963,2
1892,6
3371,6
1773,7
2916,19
4110,14
3661,11
169,1
503,1
3405,13
4886,1
3960,8
4459,1
5123,10
1326,5
2694,1
538,2
179,4
1145,1
4043,6
4713,2
308,1
4018,11
3350,8
255,8
2011,14
2378,1
2147,6
5269,2
2372,5
1577,19
1300,13
4322,8
1734,1
4172,5
82,8
2838,13
79,1
2030,2
72,6
4582,12
795,8
3941,17
1909,10
3001,1
1364,2
5337,10
428,10
1777,10
3401,1
2971,3
200,14
5377,2
325,2
3444,1
796,10
3227,1
1074,12
5479,1
2282,1
3777,8
4078,5
2084,1
867,15
3527,2
4811,9
2228,1
119,2
196,5
4220,6
1933,1
4500,10
2588,2
5203,5
1056,9
3398,14
1498,9
5350,16
2196,1
1937,7
507,1
3667,10
457,10
5353,1
2345,1
1298,2
2688,16
1235,14
763,14
4518,1
2970,19
2719,14
2874,12
1233,1
1504,14
4589,14
3443,11
1563,13
1724,1
2954,14
2684,5
5416,10
3203,1
4298,19
4769,1
1134,11
2252,5
4307,1
1831,19
3480,14
1850,1
694,1
1289,1
2487,2
3252,2
3672,1
3622,1
28,7
2363,1
4888,12
4690,2
4359,1
792,19
3076,1
5347,10
5482,1
5462,15
645,2
3930,2
3455,12
4,6
608,1
5077,13
1125,5
1729,1
2854,6
2753,2
2612,0
2146,19
1584,2
2165,1
1272,2
2667,4
1626,9
588,10
2343,10
4239,1
3409,1
1784,1
5081,16
1764,14
4430,15
4100,10
3359,11
2265,0
3650,1
5000,10
4267,1
4887,1
729,8
4185,1
81,2
486,10
2981,2
1897,1
684,2
5027,2
206,5
1139,1
5355,3
5328,10
313,19
3296,1
636,6
1392,2
3134,1
1197,1
4754,0
2027,19
2461,8
4583,14
4584,2
580,2
941,1
717,13
4826,1
1548,19
5339,6
2932,2
3986,1
1309,1
285,2
447,3
2501,16
3847,1
2340,19
