doc_idx,category
2909,1
62,8
3294,1
1237,3
608,9
2270,8
2300,4
4124,15
993,1
685,1
1546,8
44,18
2573,1
3630,7
3044,12
921,11
1751,1
4356,2
3787,8
3608,4
544,6
1123,9
769,1
1862,9
703,13
1690,5
2213,14
4343,6
1537,12
994,9
1991,14
1792,4
1126,10
3389,1
3816,15
4360,9
4382,14
3559,7
2535,1
3327,5
3818,7
4339,7
2620,14
2132,8
4247,2
560,5
3447,1
1929,18
3054,3
4183,13
1787,7
1028,7
1063,1
3680,13
2866,5
2360,12
2016,14
4002,21
3507,1
1227,2
3075,7
1863,7
1999,1
3975,8
1614,10
3293,22
4475,1
98,3
891,2
219,19
359,1
3163,9
2827,9
2159,2
1375,13
102,1
4375,9
3177,8
772,14
136,6
222,15
2458,14
1736,1
2811,7
3231,1
3413,2
2185,6
90,12
349,9
960,5
2932,1
2466,1
330,11
1518,6
573,10
636,7
799,8
2673,1
3130,13
1680,20
1850,6
3072,2
343,6
1840,7
555,2
941,9
2183,1
3737,7
200,4
749,4
3076,3
1447,8
1916,3
364,7
2490,6
2323,8
3198,1
1533,0
4275,2
2684,1
4220,11
2497,3
4088,2
133,7
3403,18
4126,6
2764,2
4426,1
40,10
2294,2
1272,8
895,18
834,20
3382,1
745,1
4072,13
1392,3
2755,2
2711,2
4061,11
2054,3
534,1
3206,1
3869,4
3777,4
3022,10
3319,17
4429,9
17,21
3344,3
4324,13
3020,15
420,9
1297,6
3916,7
2812,13
678,18
2660,1
3540,8
3470,2
3498,13
1020,3
2045,1
2253,1
2158,10
2167,2
2068,0
3756,1
906,1
161,1
2861,1
3154,2
1669,1
1896,14
3951,7
808,7
2053,8
1179,1
1913,1
1344,5
589,8
4349,4
2341,7
2525,1
2264,10
32,9
4335,5
21,4
1720,14
3854,8
3929,18
94,1
4264,11
2352,11
2197,9
1891,1
965,11
1768,5
3665,14
1524,4
2396,4
3620,20
2241,0
1162,21
4057,15
3932,7
2377,3
3477,8
2025,7
957,3
4282,11
299,6
3372,18
1248,14
2889,19
2456,15
2617,1
4215,0
2665,1
1666,17
2005,5
3128,20
1268,1
3543,18
418,10
1016,4
3230,11
99,11
1742,7
1692,1
3485,1
3810,7
3416,1
3215,1
854,2
190,1
4283,0
2662,1
372,15
3733,1
1043,10
1004,16
784,5
4205,3
3589,6
230,19
1822,10
1961,2
3926,8
644,6
394,1
566,8
3535,7
959,4
2415,9
3688,2
3227,3
1233,12
3166,15
1885,18
1008,1
3573,6
3243,7
1328,10
2451,1
3935,5
1584,8
1089,14
3268,13
2030,3
2630,18
724,1
2379,18
1921,1
3813,9
407,6
1456,9
329,1
840,1
4311,8
2102,5
3693,1
28,14
4435,16
2536,3
3625,7
1396,7
1299,9
3927,3
3705,1
1995,1
123,19
1865,2
324,19
1246,20
4046,8
1044,3
331,14
2921,14
3713,1
3465,7
100,6
1102,14
3357,15
4370,20
3320,15
3244,10
2119,3
108,7
857,14
2008,8
2882,15
2201,4
4327,3
4254,7
1926,5
3741,1
3858,3
366,2
2445,1
4307,7
1466,13
3770,7
870,1
3783,10
494,12
2489,6
1652,11
3067,3
3000,18
610,1
3523,1
1626,13
4257,1
2645,20
518,14
3784,0
2018,3
115,8
3560,1
3611,1
3501,4
4152,1
1941,5
1808,14
2722,4
301,10
1122,1
1441,1
1686,2
2515,4
3571,21
3155,1
2968,13
2786,13
2675,5
1721,9
4091,8
2425,6
13,1
2474,14
1435,0
1825,11
1171,3
1159,8
1707,10
1986,20
3656,4
453,21
3671,8
3104,1
3411,21
2093,11
4269,3
910,5
836,8
3830,7
1213,3
236,6
4156,18
1780,6
1540,14
3283,6
756,5
881,1
2887,8
3383,1
963,3
1176,1
4468,8
3618,1
3794,1
987,6
2347,14
4060,2
280,17
4130,5
2470,3
196,10
3419,12
1453,8
2577,1
4378,1
592,1
1355,11
1419,7
1230,1
4484,1
1641,12
1990,12
4369,11
3129,11
758,14
1766,21
1064,6
1773,1
3993,1
2217,2
2343,4
2716,5
2479,8
1011,18
2101,7
2550,4
4491,1
2965,0
4341,10
4055,1
1403,7
794,1
2476,1
3249,0
3644,13
4078,13
2340,13
3782,7
1550,3
4469,3
457,11
3194,4
3876,5
1296,1
2818,3
1781,12
1385,1
804,1
3065,8
2642,18
1351,19
4051,22
729,20
1457,1
1236,13
2511,9
1281,9
4018,18
2481,1
4312,2
1535,2
1080,0
3537,1
486,4
1857,4
1225,0
700,8
4094,9
1859,2
3904,7
940,3
931,8
2544,20
1635,6
368,18
3986,1
3595,7
563,13
3767,5
3510,4
1438,17
3042,13
107,13
761,2
1094,3
695,15
4368,1
3246,13
2114,1
216,1
1433,1
4226,15
2543,2
1098,8
645,1
1651,15
4295,4
3093,5
3764,6
3919,18
2249,1
188,1
1534,6
3207,6
3474,6
4354,11
1513,8
1777,1
2037,6
1235,0
2124,17
3248,1
111,3
58,6
4146,1
4270,1
3668,9
792,4
3337,15
2390,0
1273,1
3651,1
2514,8
275,1
2569,15
662,1
1155,7
3825,3
2190,5
1,7
210,11
438,5
4030,9
3563,1
2558,8
2858,13
4118,4
3326,21
2040,11
1507,10
1399,8
1177,1
1918,8
191,1
1672,1
4411,1
3934,12
4450,14
385,15
3539,3
1105,22
4137,6
3534,4
1030,13
3886,1
778,11
2473,3
2193,10
306,6
3124,15
2618,8
1653,8
2281,21
4234,1
2301,11
2538,1
2427,7
3060,7
2448,22
126,5
1794,7
4019,13
3643,3
1334,4
4430,4
3107,11
2000,1
3101,1
1143,3
1725,7
3304,13
4265,11
2773,3
1900,1
290,6
3639,3
1128,14
763,0
1650,5
1919,4
988,6
4256,19
4278,1
2694,6
3421,17
3781,1
1012,1
2754,3
1379,20
2606,6
3404,1
2494,1
345,8
2133,13
1217,11
1494,1
3123,11
557,1
2142,14
2298,4
2742,7
3682,18
4054,9
2945,19
3203,13
3167,6
3211,0
1523,11
268,7
3479,10
2099,1
932,1
3387,10
3315,18
779,9
1291,18
1922,5
2354,6
748,15
4103,1
1021,3
3482,0
4443,1
4090,13
181,10
2325,7
313,3
501,11
3019,4
2839,17
12,3
2443,13
1448,13
3484,3
2156,9
443,9
4261,15
3170,8
4037,1
2118,8
3989,1
1147,1
495,2
3978,8
4268,13
1216,1
4427,6
2506,10
3475,2
3634,4
3183,5
3635,6
3087,12
4189,7
1832,14
3398,14
3459,1
632,6
577,13
846,4
4357,12
2600,4
4497,4
2318,0
2972,1
2165,10
4428,1
1564,4
1562,1
1796,1
1977,4
3295,6
524,13
4345,8
4166,1
2350,1
1684,4
3239,0
4284,15
990,19
1937,1
4232,1
1710,15
3853,8
292,3
4021,1
561,1
556,16
2227,1
3667,1
93,5
671,6
661,8
2104,15
3338,8
37,4
1630,7
1827,4
393,6
2813,13
1352,1
2655,20
3371,10
3137,4
3057,1
1459,7
787,1
187,7
2982,1
657,6
1156,8
3158,0
389,6
4279,7
3351,18
4241,18
1745,18
256,4
4329,2
3144,10
3950,14
1657,0
1673,20
3686,6
6,7
1735,1
4487,1
79,10
224,1
771,10
203,8
4325,13
1501,2
613,1
4155,7
1851,11
19,7
1603,8
1232,3
4096,9
2794,11
2796,7
2650,4
2964,1
1697,13
314,3
3532,15
3141,8
791,5
3363,12
955,7
1163,14
1169,14
3807,13
913,17
3335,10
2105,8
3802,9
2064,0
785,1
464,20
1414,11
3941,3
4328,7
4442,1
3922,7
2733,1
231,1
1488,17
2065,1
3748,1
3910,22
1195,7
119,2
1427,10
823,1
3402,10
1412,4
1604,1
3171,7
3085,11
2867,15
1140,8
1758,9
2668,17
773,1
4116,2
325,1
1264,13
4198,1
2038,1
2013,8
201,4
2588,1
1914,11
3266,13
4070,7
2750,1
416,1
3028,1
1749,17
4371,7
796,1
1078,10
3121,0
338,15
2942,1
943,19
3254,5
4228,14
4297,21
