doc_idx,category
1041,1
757,1
2622,8
1852,2
248,3
2904,3
1781,10
825,13
393,4
2665,3
1734,11
4,8
534,13
1916,15
808,10
2618,2
1707,13
1532,10
1228,2
314,1
1359,2
1967,4
366,10
6,1
1421,3
2711,6
1832,14
110,3
98,9
28,8
2965,2
438,3
1308,5
1903,3
2750,2
2510,11
1016,3
2586,2
1227,11
330,1
220,1
2824,3
2167,16
2397,3
45,2
540,1
1292,7
126,4
610,4
1579,9
1891,8
99,10
2514,1
929,9
382,8
2362,2
1648,10
1442,2
2110,2
396,11
2275,11
613,7
909,4
546,13
2184,3
1466,3
725,1
1921,1
1301,3
1754,2
913,11
2043,1
41,4
2772,4
2939,3
1349,11
481,1
2867,7
1260,6
2847,8
1201,3
299,3
3,5
3006,1
840,1
2459,1
301,1
2765,2
1965,11
273,2
2812,1
916,2
1299,13
1893,11
171,2
616,2
1696,2
790,1
1705,1
1143,8
2683,16
2396,2
367,3
1680,1
2253,4
50,1
1369,3
2814,3
1919,3
636,2
1695,1
1068,2
2629,1
1986,8
679,16
2637,1
1073,1
1951,1
1502,4
2045,15
925,4
521,1
1241,1
2694,1
1443,1
1785,8
1937,2
577,1
1032,11
1926,3
2348,1
2606,8
2688,1
812,1
2994,4
1173,5
321,5
2209,16
383,2
2813,0
870,1
2529,2
1761,1
1401,4
1496,7
547,9
1905,11
255,3
2463,3
1805,10
2578,5
40,11
2581,8
693,2
2036,10
1162,2
1872,1
297,1
1563,5
2704,8
2344,5
936,5
10,9
2969,1
2455,11
306,2
777,11
2156,3
282,1
586,2
671,11
1387,5
1777,2
1592,2
205,2
2312,5
192,5
893,3
1210,2
2262,5
2466,1
2521,3
1810,3
2040,3
602,14
1036,11
678,11
2328,2
1468,8
1060,2
111,11
464,2
2650,1
1732,7
664,1
157,2
987,2
1498,2
560,1
1536,3
2856,1
1419,2
749,13
1483,10
2245,3
2717,15
1556,13
292,3
2619,2
2113,10
1163,9
2395,1
2031,3
2079,2
1291,2
854,11
984,2
1398,2
2006,3
2287,3
1266,9
1236,1
2102,11
2722,11
816,13
2933,5
2252,3
2785,11
937,5
1702,8
813,16
65,3
1650,2
1525,2
291,2
2112,11
346,3
683,5
761,9
2554,1
2185,14
1438,9
1489,8
1333,5
1247,4
1335,2
1406,9
2049,3
804,10
1500,5
1787,2
1264,5
107,7
2425,1
2401,6
2900,2
2016,4
2307,10
877,13
1404,9
2027,2
784,3
227,3
2910,2
2884,9
2367,1
2135,2
1870,1
1943,2
2609,9
224,13
1915,3
1396,3
102,8
1520,7
2030,1
2349,11
2909,3
499,14
2451,4
2777,10
2558,2
1673,3
2791,9
1065,3
2059,9
2227,8
1436,2
702,1
2543,8
898,3
2828,8
2956,15
351,2
