doc_idx,category
4643,3
3815,1
230,3
1620,1
4053,2
1342,1
3695,1
1122,3
579,3
1863,3
3406,1
1550,3
325,3
1584,3
3707,2
1064,2
2213,1
3336,1
592,1
3564,1
4312,1
3954,1
1296,2
2279,2
494,1
3823,1
1159,1
1891,1
3456,3
2158,1
4664,3
3729,1
3714,2
2593,3
3295,1
2296,1
4045,1
3346,1
3353,3
2471,3
3289,1
222,1
4270,1
4065,3
3994,2
3315,1
703,3
2408,1
3393,1
544,1
1225,1
3601,3
276,1
3733,1
1900,1
1548,1
4373,1
3407,3
1717,2
3450,2
1560,1
3988,3
3894,1
2646,3
3607,2
1615,3
2538,3
994,3
3991,2
1063,2
1217,1
1102,3
3692,3
1937,2
2560,2
4310,1
2661,3
1526,2
761,3
2487,1
486,1
2527,2
2045,1
880,1
1791,1
1614,2
965,2
895,0
1999,2
993,1
4397,3
2821,1
4180,1
874,3
4112,2
1321,2
1986,1
2136,3
37,1
1333,3
927,1
21,2
3551,1
165,1
4353,3
1759,1
990,1
62,1
517,2
3085,2
3579,1
1749,2
3646,1
1272,3
3647,2
783,2
4474,3
1669,1
4226,3
2702,3
4086,1
3345,3
2031,3
4098,2
3087,2
1772,3
1507,1
4206,1
1672,3
3535,1
2328,1
4429,3
4566,1
2318,3
1660,2
2655,1
1707,2
394,1
3138,1
552,3
2000,3
871,2
1419,2
4035,3
3732,3
3385,1
2325,1
3831,2
3055,1
2738,1
1055,3
3147,2
3479,1
2019,3
943,1
2529,1
3673,2
90,2
3343,3
4131,2
2117,3
324,2
157,3
1399,2
359,3
3329,1
4531,3
4400,3
3880,3
3905,3
1641,1
299,2
349,1
1828,3
2275,3
4089,1
1565,3
3355,2
358,1
1960,1
4518,3
4030,3
921,1
2678,3
987,3
169,3
1930,2
4009,2
960,1
2245,3
4593,1
3491,1
2822,2
2718,1
206,1
2735,1
4670,2
3971,1
2323,1
2816,1
3422,1
957,2
2098,3
1881,3
4289,1
3172,1
998,2
1939,2
2670,3
2815,1
2701,2
108,1
3388,1
2755,3
1714,1
4349,2
4259,1
98,2
3391,1
1766,2
1914,2
1608,1
4245,2
4471,1
3040,1
3244,1
3480,3
3584,3
4044,3
366,1
2594,2
2633,3
3972,2
4306,3
4441,3
4585,2
1008,1
1179,1
4326,3
4223,3
2692,3
1748,1
1720,3
2784,2
2424,3
3856,1
804,3
2929,1
3269,2
2320,2
2350,2
3781,2
3752,2
610,3
1494,3
2312,3
4592,2
1387,1
2973,2
2936,1
3171,2
4500,1
4220,1
555,3
44,1
1929,3
2583,1
4607,3
1297,1
102,1
218,1
4700,2
1020,3
599,1
1674,1
136,1
2682,2
3585,3
2610,1
846,1
1953,1
1650,2
1078,1
133,2
3376,2
4125,2
2293,2
1375,3
3588,1
3344,1
1080,3
82,2
2294,3
1273,2
4516,2
2165,3
190,1
1802,1
1922,1
3681,1
1837,3
3944,3
4060,1
2812,1
745,2
2601,3
314,3
573,3
3409,2
1361,1
3508,1
1991,1
4545,3
219,1
4726,1
2846,3
250,1
3132,3
4738,2
3274,2
3072,1
1563,2
4357,3
4021,3
4632,3
1921,3
1825,3
4137,2
910,3
3472,3
372,1
757,1
1810,3
203,2
996,1
4401,3
4496,1
2101,2
3290,1
4283,3
3312,3
724,3
2281,1
1822,1
1559,3
2916,3
4158,1
1396,2
119,1
608,1
1734,3
2938,1
913,1
13,1
4101,2
3466,3
1989,1
57,1
769,2
343,1
685,3
3310,2
4352,1
1624,3
891,3
1169,3
3467,3
2298,2
3219,3
273,2
1613,2
1030,1
2445,1
1126,1
2813,1
955,2
3135,3
4460,3
1248,2
4635,1
749,2
756,1
1081,3
3026,1
1426,1
40,2
3970,2
1195,3
447,3
19,3
1042,3
1814,1
4339,3
1739,2
4327,2
200,2
2579,2
2133,1
932,1
1427,1
2349,3
100,1
4371,1
1653,3
1417,1
1947,1
256,1
3594,3
644,2
3187,1
3975,1
17,3
161,3
3987,2
718,0
3759,2
1379,1
196,2
662,1
3656,2
3210,2
3165,1
1993,1
881,3
3430,3
3335,2
3851,1
3784,2
4676,1
3610,1
4106,3
2694,1
2276,1
440,3
3541,2
2030,1
3715,1
553,2
2334,2
2266,3
2451,3
2742,3
2653,2
4411,3
3427,1
3642,3
1578,2
3537,2
1247,1
3264,3
909,3
2940,1
3737,3
94,1
2536,1
331,1
4203,1
758,1
1771,2
285,2
330,3
3421,2
32,1
4520,1
3665,3
2886,1
1765,3
188,3
3301,1
1678,1
2040,2
2625,1
4739,1
1299,2
3454,2
4281,3
1413,1
574,2
2606,1
836,1
3731,3
3018,2
1023,2
3232,1
2673,3
2274,1
1457,3
2657,1
2740,3
221,1
1143,2
1232,1
2706,2
3465,3
2192,3
2346,2
2340,3
2054,1
1552,3
1125,1
3597,1
3195,3
3068,1
3331,1
1909,3
2672,1
3404,1
3518,1
99,2
3842,2
2379,1
1856,3
870,1
4356,2
566,3
2308,3
2888,3
4579,3
3943,3
1045,1
4421,1
3793,3
2687,2
1919,1
4710,3
2933,1
906,2
3853,1
4669,3
2352,1
2667,1
1686,1
134,2
646,1
3822,2
3713,1
1561,3
4535,0
407,3
3455,2
2316,2
1995,1
3626,2
4488,3
1422,1
589,3
4374,1
1230,1
3641,3
3155,1
28,1
2105,1
2010,3
2961,1
1535,1
1140,2
2078,1
792,3
2321,1
2270,2
1403,2
2775,1
123,1
1528,1
4563,3
304,3
3727,1
2743,2
771,3
1271,3
2155,2
2263,1
729,3
107,3
2249,1
1892,1
120,3
3231,2
329,1
1038,2
4501,2
364,2
3794,1
1373,3
3927,1
778,3
1564,3
1291,2
3969,3
4051,3
645,1
141,1
1113,3
1441,1
4062,3
3116,1
3048,2
2771,1
3415,2
1004,3
2636,1
3266,3
3262,1
899,1
1392,2
2833,1
3070,1
684,1
2948,2
3955,3
115,1
1508,2
636,1
1988,3
1044,1
4510,1
2741,1
2684,3
1518,3
560,3
1513,1
4170,3
791,1
301,3
1041,1
4571,3
3578,2
2385,3
1519,1
2555,1
86,1
4381,3
3092,3
2185,1
796,3
187,3
1352,1
1626,3
795,2
4414,1
3271,3
1060,1
1156,1
3446,1
1554,1
3142,1
1458,3
344,3
1897,1
1715,1
3740,1
128,2
779,1
2543,2
3496,3
2017,1
236,1
1523,1
