doc_idx,category
2369,0
1783,23
1965,3
2396,18
1328,18
2591,1
1984,4
2363,16
1967,7
2085,4
110,13
681,4
987,17
2060,11
1986,14
1993,12
654,14
45,13
1073,21
761,5
2491,5
1489,9
2211,16
2472,23
393,25
351,2
2295,15
802,18
2165,9
1165,12
2147,9
943,25
2234,22
1205,12
346,7
1500,5
314,5
685,2
2732,11
783,17
813,10
2196,9
273,25
1744,12
1336,12
2051,18
1807,2
98,15
812,9
438,9
1028,15
2082,9
2851,9
304,11
586,14
227,14
588,12
2685,4
2482,1
1908,13
2162,9
282,22
2805,13
2548,18
1421,15
2790,9
902,5
50,2
1039,21
1483,0
99,9
1943,0
748,1
525,14
1848,25
2318,14
2293,7
1238,2
220,9
2656,25
4,9
2752,2
2308,0
6,4
1536,1
936,11
2739,5
965,7
366,7
547,5
2662,22
205,4
473,12
2009,1
1375,13
1642,12
2223,9
1145,12
1164,12
1153,16
1224,18
2911,17
2501,1
1349,5
28,18
836,19
2242,4
829,13
955,5
2969,22
1397,21
839,25
1544,1
2742,11
499,22
2480,15
40,1
1588,5
866,24
299,8
1542,5
610,9
2963,13
558,11
2930,12
1036,25
1071,0
2285,0
1535,9
2314,4
2718,1
2074,13
899,12
1603,23
2476,4
2475,1
1944,9
2971,17
1551,4
1534,4
396,9
705,4
825,9
1699,3
1773,23
2744,15
1946,12
1960,12
1448,19
303,18
2897,16
2862,23
111,4
540,5
2681,13
481,23
192,5
157,12
2676,12
1466,5
2298,11
1362,9
630,17
730,13
2680,18
1812,11
785,12
2198,21
1171,3
2228,0
394,7
2306,23
804,4
1813,17
2745,16
1196,5
2874,4
797,11
2684,15
495,25
2263,1
958,1
2937,19
1924,12
577,25
2651,12
65,18
521,25
255,23
2619,2
2810,18
1636,25
2252,14
674,22
291,11
1292,14
1104,3
756,12
1931,23
1605,12
1143,22
107,11
1732,16
2395,13
2865,21
382,5
1325,9
1529,1
2107,13
1359,14
126,1
2759,5
771,22
2167,17
1661,9
1778,15
605,3
297,12
1344,4
301,18
2579,5
1836,5
1864,11
2513,12
1556,18
1628,23
885,18
1041,14
1668,12
367,9
1697,13
2065,14
2934,24
1564,19
2757,9
1080,15
1865,13
1169,5
1450,5
248,11
1487,5
582,17
403,9
620,18
1402,9
1227,5
1142,6
1827,1
2368,18
1562,14
1576,9
2338,2
2879,13
318,12
2273,3
2815,13
1399,1
2402,11
1270,5
636,16
1316,2
1098,9
2075,13
2708,9
292,25
230,3
1548,9
2743,4
17,7
2307,14
1525,24
1401,7
1149,25
702,22
749,20
2184,9
679,18
218,14
2833,2
2236,1
1991,21
773,4
187,2
2748,12
1716,12
2291,18
2163,5
1895,12
1907,5
880,18
1050,7
1881,17
2106,16
678,14
2155,13
2348,1
260,19
2226,18
1218,3
1782,25
1829,7
1392,3
1454,9
330,10
490,12
1866,18
1271,9
2813,12
700,14
1727,2
2448,22
1435,5
996,22
1916,5
790,9
1247,11
81,20
151,6
2898,14
201,11
973,12
1747,9
784,18
54,14
816,14
1688,9
2123,1
2447,5
1117,25
1246,9
1935,7
165,1
1398,9
808,17
2620,1
1230,16
1973,12
161,17
2826,18
1860,7
1233,14
2774,1
870,2
442,0
2632,7
1966,3
1208,18
534,14
1144,11
75,9
2367,4
1032,12
2441,4
1624,2
1658,15
1135,9
1735,12
2771,18
2667,7
1384,5
1833,5
1896,4
1862,18
2943,0
2820,5
231,14
934,2
1413,4
1334,12
1987,12
1654,13
916,14
1189,9
2695,12
1858,7
203,14
487,3
13,5
464,23
1978,2
1255,9
1651,18
1804,4
1138,7
598,4
602,4
2333,13
2889,4
1852,18
2113,22
560,14
757,18
1958,9
2939,15
1892,17
1652,2
589,12
195,14
2633,4
516,5
2319,5
1403,17
2869,19
2356,4
1546,14
2284,12
2927,9
527,1
87,9
1382,25
2039,18
2611,11
47,10
1772,21
2305,1
1193,23
2706,9
2794,12
58,14
1909,11
1575,2
2553,6
72,13
688,9
123,2
1847,3
1785,13
180,3
2652,14
2519,5
772,15
120,14
1264,9
1856,1
2360,9
2483,7
1784,9
1000,5
2325,13
335,0
675,25
1004,14
2845,6
1684,25
707,11
1569,13
2390,1
2768,12
171,9
2112,19
1925,25
737,25
664,12
2434,1
306,18
415,2
1100,22
1753,22
1442,18
1297,18
1436,18
2766,10
2891,12
1832,14
1452,1
1613,14
1126,5
1453,14
1322,4
1365,5
1415,3
1070,4
713,3
2373,23
1563,17
693,13
1565,25
1307,1
1249,25
2017,9
2436,0
1819,2
432,10
181,24
1957,15
321,1
854,16
177,24
41,19
1507,17
1237,15
1162,22
1872,1
1873,12
2053,1
2004,1
1404,18
224,3
285,18
1185,4
108,9
102,6
10,11
2064,1
1387,19
3,19
959,25
927,1
535,18
428,9
1225,5
2786,2
2213,9
2312,12
2118,1
613,6
2880,13
1604,9
1846,6
2605,20
725,12
600,24
1114,4
546,11
1730,12
563,1
2741,1
275,14
1223,8
1248,12
1443,22
2078,21
607,5
1268,18
2032,26
616,1
1385,8
911,24
876,12
895,25
1077,11
221,5
925,12
1335,24
937,5
1917,1
1950,1
137,5
2019,23
2554,9
1649,25
2948,9
1490,2
1178,2
2181,5
1068,25
1394,13
1011,14
1396,17
855,1
2836,23
1422,25
2728,15
1970,1
94,2
439,4
1884,9
1380,12
199,5
32,5
2908,18
268,6
2830,25
228,25
1570,23
1038,22
302,13
1791,20
1857,13
2640,16
2461,21
1128,1
2707,5
724,14
2589,9
909,2
2778,18
480,9
2179,13
2520,13
2586,12
1915,19
501,11
364,9
119,21
2038,25
287,9
2411,18
2508,2
557,13
1648,17
561,9
945,1
994,1
2256,25
1698,13
1265,2
2871,5
1044,1
777,14
1610,25
573,12
632,0
1215,9
2146,25
233,5
1002,1
1477,9
2485,3
82,0
2421,11
188,2
549,12
2751,7
2034,22
2340,3
2070,11
543,7
1728,15
975,5
1163,17
477,9
979,7
397,1
774,1
1301,0
1282,11
957,15
671,12
250,19
2294,7
921,11
280,1
683,13
1020,5
2429,21
