doc_idx,category
110,17
2363,4
2591,5
1783,27
2085,18
1965,1
1984,18
2396,25
681,18
1967,26
2369,28
1328,25
654,15
2060,14
2211,4
1073,28
1986,15
761,8
1489,22
1993,13
2472,27
987,11
45,17
2491,8
1165,13
2165,20
346,26
393,3
2295,12
1205,16
2147,22
802,25
2234,19
943,3
351,24
314,8
1500,8
813,14
2732,13
273,3
685,24
98,12
1336,13
1744,13
2196,21
2051,25
1807,24
812,22
783,11
438,21
1028,12
2082,21
586,15
2482,5
304,16
2851,20
2685,18
588,13
227,15
2162,20
2790,21
2805,17
282,19
1908,17
2548,25
748,5
50,24
1421,12
99,22
1483,17
1039,28
902,0
1848,3
2318,15
525,15
2293,26
1943,0
1536,11
4,21
1238,24
6,18
2752,24
2656,3
936,9
366,26
220,22
965,26
2739,8
2308,13
2662,0
205,18
1164,16
547,8
1375,17
1642,13
1145,13
2223,22
2242,18
1153,0
2009,5
2911,11
2501,5
1349,8
1224,25
836,7
28,25
1397,28
829,17
955,8
2969,19
499,19
1544,5
839,3
1542,8
2742,23
40,5
473,13
2480,12
1588,8
2930,13
866,10
299,27
610,20
2963,17
1036,3
558,9
2971,11
1071,16
1535,21
2314,18
2285,0
1603,27
2475,5
2718,5
2074,17
899,13
2476,18
1534,18
1551,18
1944,21
396,20
825,21
705,18
2744,12
1699,1
1773,27
1448,7
1946,16
1960,11
2897,4
303,25
2862,28
540,0
2681,17
111,18
1466,8
481,27
192,8
2676,11
1812,19
2298,9
157,13
1362,20
730,17
2680,2
630,11
785,16
2198,19
2306,28
2228,18
1171,1
394,26
804,18
2745,4
1813,11
1196,8
2874,18
495,13
2684,12
1924,13
2263,9
958,5
797,9
2937,7
65,25
674,9
577,13
2651,13
255,27
1636,3
521,3
2810,25
1292,15
2619,24
756,13
1104,24
291,13
2252,13
1143,19
1732,4
1605,16
107,9
1931,28
2395,17
2107,17
382,8
2865,28
1325,21
1529,5
1359,15
1661,21
2759,8
771,19
2167,11
297,13
301,7
126,5
605,1
1344,18
1778,12
1836,8
2579,8
1668,13
1864,13
367,21
2513,0
885,25
1697,17
1556,25
1628,27
1041,15
2065,15
2934,10
2757,21
1564,7
620,25
1865,17
1450,24
248,28
582,11
1227,8
1080,12
1169,8
1487,8
403,21
1562,15
1402,23
2368,25
1142,6
1827,5
1576,20
2338,24
318,13
2879,17
2815,17
2273,1
2402,9
1270,8
2708,22
1316,24
1399,5
636,4
2075,17
2307,15
292,18
2743,18
1098,21
