doc_idx,category
909,4
304,13
556,5
47,10
1010,11
1032,4
1583,4
534,13
1581,12
1123,2
302,3
48,3
994,13
737,3
1309,5
1057,13
1147,5
231,6
1694,6
726,13
158,14
1512,10
102,6
531,8
111,5
1700,11
1696,8
1491,3
382,11
285,7
301,12
108,10
572,8
1308,5
529,7
1576,7
920,6
1590,7
267,6
1100,6
1546,12
1401,5
1144,11
1291,14
558,1
297,6
1476,5
400,2
330,12
1163,0
1166,4
167,4
593,14
303,2
979,14
1146,3
846,7
1388,2
1279,11
1519,3
507,13
1606,10
1699,11
126,12
1392,2
992,3
632,12
661,12
1353,1
579,4
1426,10
1129,13
223,4
408,2
816,11
120,13
813,11
190,13
870,5
421,13
1047,2
1135,14
1368,9
462,5
512,14
804,13
1340,0
60,7
75,5
341,5
1343,4
348,5
620,9
589,5
826,2
643,4
1628,8
1406,14
292,12
674,10
1731,13
98,13
675,6
1384,13
1283,7
653,5
1253,9
1399,6
1446,6
660,6
1738,14
1447,13
428,6
336,13
1692,13
1732,13
1179,4
1114,13
1325,13
703,5
1477,1
577,13
1097,5
921,14
1009,1
177,5
1461,1
82,4
1286,14
1634,14
375,14
1244,5
1344,2
1359,4
725,12
1624,6
194,3
418,1
733,13
608,4
1390,7
1706,0
133,14
1185,1
91,11
1171,13
537,4
719,13
1257,1
1281,12
264,6
902,4
786,8
53,7
241,9
1143,12
799,3
1730,10
107,13
664,3
1554,3
1623,8
1703,7
1131,6
65,7
1471,10
669,11
1224,7
1728,11
1298,4
598,10
424,7
8,9
1400,6
186,5
1338,7
1620,13
396,10
202,8
1601,5
1204,1
1464,8
647,11
1641,8
693,9
1145,7
1367,2
1593,8
1722,7
1659,13
771,13
774,9
406,8
1716,6
1408,9
713,6
881,9
1215,13
1691,8
834,14
957,10
1357,12
824,5
766,8
268,12
890,14
1265,8
1586,10
592,10
1557,13
305,5
3,2
372,1
1563,9
1334,12
702,12
1080,9
1246,13
37,2
819,13
140,5
161,4
644,11
1501,13
860,8
366,14
528,4
1066,10
478,8
1355,2
181,7
599,4
962,4
1418,12
1165,3
309,4
248,4
1292,12
258,5
1415,13
638,10
894,5
1459,4
1181,4
623,4
0,13
1695,10
1112,10
1589,8
1457,9
1000,14
812,5
613,2
1604,10
1422,9
201,4
115,5
768,8
636,4
1494,3
972,12
1487,2
931,2
1609,13
30,10
1098,3
275,13
432,0
1211,5
563,7
1479,5
39,11
742,11
750,3
612,14
1389,8
80,13
435,10
1318,8
101,9
622,3
1719,1
602,8
403,11
1472,11
767,9
1665,5
761,7
1322,9
386,10
1424,15
1413,2
1463,5
368,3
510,12
1377,13
1556,7
283,7
40,6
1656,9
607,4
58,10
763,1
255,1
1441,13
1233,4
1733,5
1438,2
1030,4
389,9
841,10
119,0
1229,11
1427,1
654,11
361,6
711,4
1036,9
169,0
772,11
351,13
1432,2
858,13
270,3
1119,9
1045,6
555,9
575,13
778,2
1724,6
640,4
1085,8
236,8
22,12
104,13
1037,14
625,3
1271,11
1341,11
985,12
288,4
573,5
1600,14
204,12
892,13
208,2
1284,8
845,5
1456,4
19,13
571,2
527,2
259,9
1238,5
1065,1
1450,3
1545,2
480,9
1059,2
1251,8
1213,12
49,5
51,14
779,7
1028,2
81,6
1636,8
94,4
859,7
1742,2
1429,2
1595,1
1083,13
1409,14
299,7
1333,14
986,7
1134,11
536,3
839,1
1152,3
729,14
825,13
