doc_idx,category
4148,5
1578,8
1028,7
1105,9
3059,3
758,8
1814,5
1089,1
1246,1
4170,7
3514,7
3906,8
3957,8
3093,7
3956,3
719,6
2365,7
799,4
1542,2
3181,4
1296,7
2730,8
2761,3
2716,10
2891,8
2600,3
359,7
2174,3
4278,1
1038,1
3257,5
1060,5
957,3
1247,9
3246,5
3422,3
1938,7
3657,4
2132,5
1044,3
2606,7
1403,7
3630,5
3057,3
3587,3
1837,1
62,3
17,5
1330,7
3067,8
133,7
2954,4
3903,1
2594,2
3443,7
2443,4
1050,6
940,1
3124,3
1344,6
921,10
2377,3
1903,4
3214,1
1847,8
2921,9
796,4
3391,1
3055,3
544,2
40,3
880,1
3070,4
4161,3
1122,8
2099,7
636,1
644,6
4235,2
3837,2
1736,5
2183,7
1102,1
1641,3
3677,3
1657,8
102,8
1525,3
2942,3
4175,7
2158,8
90,1
3616,1
420,4
3376,6
94,8
3654,3
3484,5
4260,8
3861,3
3911,7
1195,9
1784,4
3851,6
1999,3
1893,8
4383,3
3887,7
2289,7
4199,6
136,3
1185,3
2983,7
200,2
2585,7
823,6
1094,1
2243,7
3025,5
577,3
2779,3
1827,1
407,2
772,6
44,6
2013,5
1896,8
3613,3
1787,8
3647,2
301,2
2703,3
836,3
1498,7
3037,6
2308,8
3853,7
457,4
857,3
1419,7
3959,3
3142,1
2666,3
330,6
1162,8
1548,7
4060,3
2689,1
219,6
2984,1
3545,0
3661,7
3408,4
1141,7
1020,8
4263,4
3395,3
2115,8
3392,5
2868,7
1466,7
3761,4
1854,2
3312,6
901,3
1143,3
4227,3
2119,7
1881,3
1885,3
3998,3
1535,10
2911,4
1937,5
3522,3
28,1
3455,4
4203,5
1128,1
906,5
534,3
343,3
3151,7
3075,6
1064,1
4122,5
4010,5
123,2
1402,3
2665,8
4339,6
394,7
988,7
4309,7
1177,6
3618,3
1523,10
1987,3
2745,8
1571,2
2535,9
4358,8
1235,7
3834,6
4319,1
2695,1
4262,2
1822,1
4176,2
2838,3
98,3
2457,7
3670,3
2296,3
1918,3
108,6
3019,3
1098,8
1406,5
4189,2
4013,5
748,4
555,6
3652,3
2749,1
3305,1
4205,6
4137,5
1848,7
2415,3
3755,8
1379,1
1355,3
222,3
299,1
4305,5
3385,9
1900,3
3746,3
453,3
2458,3
3694,7
778,8
4261,2
364,2
943,7
1494,7
560,9
3028,3
1377,5
2327,7
2793,8
1724,8
846,7
2933,7
573,7
329,1
2570,9
1546,5
3396,3
610,7
115,8
792,6
3084,10
2281,3
3340,3
1856,8
1503,3
3247,3
3252,7
1550,2
2946,6
1933,5
349,7
1792,6
3525,5
2279,4
4080,8
3431,1
4251,2
2560,3
1519,3
3941,2
1960,1
2641,9
2270,3
1962,7
1433,10
2347,1
3467,7
1561,1
4069,5
1810,3
1409,4
2470,8
645,1
1565,4
4285,8
2852,3
4269,4
2016,1
749,9
2823,7
3500,3
2117,9
3748,10
324,3
3304,6
280,3
3008,8
196,8
1417,3
2851,4
2048,2
1749,7
4177,9
494,7
840,4
3869,7
3702,6
2916,8
2129,5
2671,4
1508,4
987,6
2667,10
1169,7
2495,1
2812,8
2811,2
3880,7
3874,7
3763,1
756,8
592,0
1078,7
486,1
4102,3
3153,5
936,10
2182,4
662,5
1721,2
4221,3
3866,3
2491,7
4371,5
2379,1
2213,7
2167,5
960,1
2349,7
2111,6
2705,7
3380,6
1636,9
4134,3
1566,3
870,5
1850,2
3899,5
2833,7
2146,1
3730,3
1475,5
3928,1
2328,7
107,6
3773,7
608,4
3424,7
1427,3
2139,3
1021,1
1518,1
3288,1
1012,5
2611,6
2893,5
3595,9
3745,7
2334,3
111,7
4240,3
188,6
1942,5
4357,6
2830,6
1381,7
3598,1
3777,7
1239,1
2011,7
1943,3
230,7
2631,8
3130,7
2908,7
3631,1
678,1
2828,3
3568,7
1,5
58,9
941,1
216,7
2655,1
2159,5
210,3
566,3
1447,9
2663,5
161,7
1216,4
2454,3
3373,6
2528,6
2731,5
191,3
368,2
1441,7
1171,10
2805,1
2897,6
3266,3
2765,8
1448,3
931,3
100,2
3219,1
3310,1
3951,5
4301,3
632,3
3924,4
385,5
2982,7
3332,5
1413,3
4298,8
854,1
4220,3
893,7
1232,2
1727,5
1635,2
2256,3
3901,8
331,1
