doc_idx,category
758,10
3906,10
1028,8
3059,4
1578,10
1105,11
4148,6
1246,1
1089,1
4170,7
3514,7
1814,6
3956,4
1296,8
2365,7
719,5
3093,7
1542,2
3181,9
799,9
2730,10
2761,3
2716,12
3957,10
2174,3
4278,1
1038,1
2891,10
359,7
1060,6
957,4
3246,6
1247,11
2600,4
1044,4
3422,4
1938,8
3257,6
2132,6
1050,5
3657,9
2606,7
3057,3
1403,8
3630,15
3903,1
3587,3
62,4
3067,10
1837,1
17,6
1330,8
3443,7
133,8
2443,9
2594,2
2954,9
940,1
921,12
3124,4
2377,4
1344,5
2921,11
3391,1
1847,10
3055,3
1903,9
3070,9
796,9
3214,1
40,3
880,1
1122,10
544,2
4161,4
2099,8
4235,2
2183,8
1102,1
3837,2
644,5
3677,4
1736,6
636,1
1657,10
1641,4
2942,7
1525,4
2158,10
420,9
4175,8
3654,3
102,10
3484,6
90,1
3376,5
3616,1
3861,3
1195,11
3911,7
4260,10
94,10
1893,10
1784,9
3851,5
1999,3
3887,8
4383,3
2289,7
772,5
136,3
3025,6
2243,7
4199,5
200,2
1185,3
2983,8
1094,1
823,5
2585,8
577,3
2779,3
407,2
1787,10
1827,1
44,5
2013,6
301,2
1896,10
3647,2
2703,4
3613,3
1498,8
836,3
3037,5
3959,3
857,4
3853,8
1419,8
2666,3
4060,3
3142,1
330,5
2308,10
1162,10
457,9
1548,8
219,5
3392,6
2689,1
2984,1
3545,0
3661,7
1141,7
3408,9
4263,9
1020,10
2868,8
3395,3
2115,10
3761,9
1466,7
1143,3
1535,13
3522,3
3312,5
901,3
1854,2
4227,4
2911,9
1881,3
2119,7
1937,6
3998,3
1128,1
1885,3
4203,6
28,1
906,6
3455,9
3151,7
343,3
534,4
3075,5
1064,1
4122,6
4339,5
1402,4
2665,10
4010,6
394,8
988,7
1523,8
1177,5
4309,8
2745,10
3618,3
123,2
4358,10
1235,8
3834,5
2535,11
1571,2
2695,1
2838,4
4262,2
4176,2
4319,1
1822,1
98,3
2457,8
1918,3
1987,4
3670,3
555,5
108,5
2296,4
1406,6
1098,10
748,9
4013,6
4189,2
3019,4
3305,1
3652,3
2749,1
4205,5
2415,4
3755,10
222,3
1848,7
299,1
4137,6
1355,4
1379,1
3028,3
4305,6
1900,4
3385,11
3694,7
453,4
4261,2
2458,3
3746,4
1494,10
778,10
943,7
364,2
560,11
1724,10
2793,10
2327,8
1377,6
2933,8
2570,11
573,8
846,8
3396,4
1546,6
329,1
792,5
3340,4
115,10
3084,10
2281,4
1856,10
610,8
1503,3
3247,4
3252,8
4080,10
2946,5
349,8
1933,6
3525,6
1792,5
2279,9
1550,2
1519,3
4251,2
3431,1
1409,15
3941,2
2270,4
1960,1
2347,1
2641,11
3467,8
1433,12
1561,1
2470,10
4069,6
1810,4
1962,8
4285,10
2852,3
1565,9
4269,9
2016,1
645,1
749,11
2117,11
2823,8
324,4
3500,3
3304,5
3748,12
280,4
3008,10
196,11
2048,2
1417,3
2560,3
3702,5
494,8
2851,9
1508,9
2671,9
987,5
2812,15
2495,1
2811,2
2667,12
3869,8
1749,7
840,9
1169,8
2129,6
4177,11
3880,8
2916,10
3763,1
3874,8
1721,2
592,0
3153,6
1078,7
756,10
4221,4
936,10
4102,3
960,1
2167,6
4371,6
2213,8
2705,8
2349,8
2379,1
486,1
662,6
2111,5
3866,3
2182,9
2491,8
3730,4
3380,5
1636,11
3899,6
1850,2
2328,8
2833,7
2146,1
870,6
107,5
1475,6
3928,1
1566,4
608,9
3424,8
3773,7
4134,4
1021,1
3288,1
3595,11
2139,3
1012,6
2334,3
2611,5
3745,8
1427,4
2893,6
1518,1
4240,4
111,8
188,5
1942,6
1381,8
3598,1
2830,5
4357,5
3777,8
1943,4
1239,1
230,8
2011,7
3130,8
58,11
2631,10
2908,8
3568,7
3631,1
2655,1
1,6
678,1
2828,4
941,1
1447,11
2159,6
161,8
2663,6
216,8
3373,5
566,4
2528,5
210,4
1216,9
2731,6
2454,3
2805,1
191,3
1171,12
1441,7
368,2
2897,5
2765,15
1448,3
100,2
3266,3
3219,1
931,3
3310,1
4301,3
3951,6
632,3
3924,9
1413,4
385,6
854,1
2982,8
3332,6
4298,10
306,4
893,7
1232,2
4220,4
1727,6
1635,2
3901,10
331,1
3053,8
99,5
3072,9
3331,9
909,8
2256,3
3128,3
518,1
126,8
1669,10
3260,3
2961,10
4030,10
4037,8
1692,5
3879,5
2429,9
2679,1
1117,10
996,7
3170,8
3701,6
1560,3
913,9
3668,5
745,4
366,5
1396,7
438,5
671,1
290,3
1956,3
21,10
1988,3
3556,9
2873,4
1213,3
661,1
1011,5
1729,7
4171,5
1737,4
3757,4
1237,9
3488,1
2354,7
3172,3
881,4
1626,1
2771,9
2017,10
3765,1
1767,3
4156,10
13,7
4129,8
1080,3
4057,10
3141,4
1928,4
1125,2
2298,4
1385,7
345,2
3958,5
1624,2
2624,9
1163,1
2532,11
2738,8
2369,7
1785,8
3965,9
4364,4
3363,5
3319,10
4029,1
791,9
268,7
2263,7
3232,3
2880,11
557,4
769,4
1921,10
1147,8
181,1
2045,4
589,9
2645,2
4012,10
932,8
313,1
3134,1
2078,8
1977,10
443,4
4318,7
3023,3
2225,3
12,3
3120,2
3725,7
695,7
495,2
3778,6
2209,6
685,8
1740,1
3315,10
3847,1
994,5
3566,10
4228,5
1685,7
3665,9
1272,4
1329,5
895,3
2480,1
3330,6
3005,3
2854,5
2073,2
2079,2
1004,1
771,4
3971,1
1768,9
2084,11
700,10
1765,4
4237,3
891,8
2856,9
4206,8
3348,8
4072,11
3680,1
3406,3
3273,4
524,1
292,1
3206,10
3031,1
556,4
1697,5
1666,5
1176,3
93,6
1680,9
393,11
37,2
4214,3
1947,7
2330,7
2543,10
1649,11
1794,6
187,7
3759,14
2466,3
3157,4
3265,5
389,10
3245,8
1123,4
4316,5
256,6
1524,8
3228,3
79,4
2487,6
784,9
6,3
2229,4
224,3
3132,10
613,5
1264,6
203,1
2065,1
1061,1
2046,7
1140,2
990,2
3804,3
2815,10
761,10
3220,2
19,9
1959,5
2883,3
3195,7
2573,3
788,11
1249,5
3307,3
993,7
2684,2
2515,8
2813,7
1990,4
779,3
3468,8
464,5
2500,8
703,1
1248,7
2864,7
3370,10
4201,2
231,11
2538,10
2223,13
724,1
1333,7
2027,8
2874,5
3986,1
1375,4
3352,3
2583,9
3518,9
3202,5
2820,5
773,8
3540,6
325,3
757,2
4090,9
3943,10
3460,10
4142,8
3494,3
2934,6
2657,10
1742,12
201,6
1120,3
416,5
1373,9
2553,8
2197,4
1603,1
4303,8
3020,3
4256,5
1862,2
1651,3
3438,7
3904,8
3523,2
1281,8
2043,6
2917,6
4098,1
1801,1
1652,2
605,10
3646,6
2226,1
4374,8
3193,7
4047,1
1707,6
4254,10
3407,9
1630,5
2000,5
3483,2
2323,11
517,4
2536,1
1563,10
481,10
829,7
1073,1
710,8
1773,8
4281,8
3923,7
2715,11
440,11
813,11
1225,11
2360,1
3807,10
4246,9
834,3
4233,1
1851,4
763,6
3227,9
3413,9
490,4
899,8
965,4
4133,2
3287,10
3475,11
194,5
2358,15
351,10
186,1
2424,9
399,1
794,8
2345,9
165,15
1564,1
1526,5
1477,10
2678,6
2463,12
3076,4
1412,6
2284,2
4219,5
3752,9
808,8
2822,8
1236,9
1702,5
3470,1
4247,14
3644,3
3192,6
169,5
3938,4
2416,1
3299,4
2997,4
2300,8
487,2
255,2
2556,4
3163,1
2603,5
2520,5
3471,8
456,2
3249,5
574,9
3162,3
2555,3
2343,3
587,3
2201,7
398,6
4332,3
3026,3
955,1
2166,5
2673,2
2635,9
3092,9
2796,3
1802,10
3207,8
4259,10
2889,9
1875,8
953,10
1684,7
421,7
1958,7
4157,2
1610,9
2387,9
1919,6
1647,4
2608,5
3326,11
874,6
525,3
2114,4
321,7
2113,7
2702,8
3512,3
664,2
205,3
157,12
709,1
718,3
2876,8
3758,7
1155,8
3262,10
1621,8
3610,4
2881,7
598,3
2978,1
1291,2
2501,8
82,10
2015,6
332,10
386,2
435,3
4222,5
2816,6
2461,7
2204,11
1913,7
2656,5
2677,10
3492,1
3819,8
3081,7
45,1
498,2
3962,7
1781,7
1380,2
2372,1
2095,6
3354,4
3254,5
3147,6
2818,8
2346,7
3934,10
1034,8
2938,1
4147,3
2875,11
1459,3
2672,5
2569,3
3034,0
1144,2
3096,6
2401,7
1297,10
3210,7
3816,8
1533,3
3823,9
1650,9
3375,8
2913,7
1206,6
1520,2
367,3
2639,2
3080,2
3600,7
3620,10
4151,7
4287,8
2909,1
4312,2
1620,3
1573,1
110,5
314,3
2572,8
4120,6
3505,8
1865,2
4331,4
902,4
3855,10
2580,9
2352,6
4081,6
2896,3
3714,7
3822,2
2943,10
2720,7
2725,1
4049,1
929,7
3809,5
1754,9
1126,2
4245,7
3129,10
1217,3
705,11
2966,15
2936,6
1791,9
1675,10
1424,4
2161,4
2927,3
4359,6
383,4
1953,1
1534,10
4160,10
3868,8
1342,6
3872,11
739,5
2399,9
3490,12
1497,5
1030,9
2704,6
2053,1
910,10
2623,13
1366,3
2959,4
2024,8
2038,1
2633,10
701,9
3295,7
3736,4
3846,5
2882,5
3,10
2717,5
7,1
2245,4
1683,10
418,6
403,6
804,5
1189,9
4042,1
1836,10
50,7
1710,4
2157,10
650,7
3706,2
558,11
726,4
4153,2
4190,2
3164,3
4166,2
2133,1
1833,1
3537,3
3684,3
1435,10
1884,4
1131,4
3685,1
4381,1
4126,3
4004,7
