doc_idx,category
1852,2
757,4
393,3
2665,1
1041,4
2514,5
2622,7
1734,1
2904,1
248,1
825,7
1781,7
808,7
1359,2
1916,3
2618,2
534,7
366,7
1707,7
1228,2
4,9
1532,7
1967,3
314,4
438,3
28,5
1903,1
1016,3
110,1
1421,1
1832,7
98,7
6,4
2711,5
2750,2
2510,1
220,5
1308,6
1227,1
330,3
396,1
45,2
2397,1
2824,3
2586,2
126,3
2965,2
1579,7
610,3
1292,5
540,4
382,9
2167,7
1891,6
99,7
929,7
2110,2
1648,7
2362,2
1442,2
613,5
909,3
546,9
725,4
2184,1
2275,1
2939,3
1301,1
1466,3
1754,2
913,1
41,3
2772,3
481,5
1260,5
2043,4
1349,1
2867,5
3006,4
299,1
3,6
2847,7
1921,5
840,4
301,4
2459,4
2765,2
916,2
273,2
2812,4
1965,1
1299,7
616,2
1201,3
1893,1
790,4
171,2
1696,2
1705,5
1369,3
1143,5
1695,4
2683,6
2396,2
367,3
2253,3
2814,3
50,4
1919,3
1680,4
1068,2
2629,5
1986,6
925,3
2637,5
679,9
1073,5
1951,5
636,2
521,4
1502,3
2045,3
1241,4
2694,4
1785,7
1443,4
2688,5
2348,5
577,4
2606,7
1937,2
1173,1
1926,3
812,5
321,6
2994,3
1032,1
1496,5
2813,5
2209,9
870,4
1761,5
383,2
1401,3
2529,2
2036,7
2581,5
547,7
255,3
693,2
1162,2
1905,1
1872,4
1805,8
936,7
1563,7
2578,6
2463,3
40,1
1210,2
297,5
2455,1
2156,3
10,7
777,1
2704,6
306,2
2969,4
282,4
586,2
2344,9
1387,6
671,1
1592,2
205,2
2312,9
2521,3
192,9
2466,4
893,1
1810,1
2262,6
2650,8
1468,6
1777,2
2040,1
1036,1
1498,2
1483,7
1732,5
1536,1
602,7
664,4
464,2
678,1
1060,2
111,1
987,2
157,2
2328,2
1419,2
560,5
2245,3
2856,4
1556,7
2717,3
749,7
2031,1
2619,2
2287,3
1163,7
2079,2
2395,4
2113,7
1266,7
854,1
2102,1
292,3
2933,9
2722,1
2006,3
1291,2
984,2
683,7
1702,9
2252,3
761,7
816,7
1236,5
937,6
1398,2
2785,1
291,5
1650,2
346,3
2185,7
2554,5
813,7
65,1
2112,1
1438,7
1525,2
1333,1
1489,1
1247,3
1500,2
1406,7
804,7
1335,2
2049,1
107,5
2425,4
1264,7
1787,2
2016,3
2135,2
2900,2
2401,5
2910,2
1404,5
2307,7
227,1
877,7
2884,7
2027,2
784,3
2367,4
1943,2
1870,4
224,7
2609,7
1915,3
2558,2
102,6
2543,5
2349,1
2777,7
1520,5
2030,4
2791,7
1065,3
2909,3
2451,3
499,7
2059,7
1436,7
1396,1
2227,6
702,4
2013,2
898,3
2828,5
1673,3
1961,2
2623,1
2956,3
351,2
1928,7
961,4
1748,7
2138,1
791,3
230,7
17,4
2872,7
1132,2
2152,5
748,3
304,7
1884,3
797,5
318,1
2378,1
796,4
2508,4
600,3
2971,7
218,7
1946,9
187,5
2088,7
2563,7
1223,4
730,2
2478,2
802,4
2786,1
895,7
945,7
1026,1
2175,7
303,6
1588,3
785,7
260,3
2781,5
2293,7
994,2
2599,3
2745,2
620,5
2685,5
2373,1
2642,3
2863,1
688,5
2473,5
1114,7
2710,4
918,5
1966,1
1606,1
1909,3
2727,2
607,7
1861,1
2924,5
1782,3
1044,3
1448,1
1595,4
442,3
151,7
771,8
490,5
81,7
1433,6
2420,5
558,1
2360,7
54,5
201,5
724,5
1153,7
2304,9
2024,1
1719,2
165,4
2444,2
394,2
2368,7
955,7
2409,4
2026,2
2914,1
2684,2
2256,3
927,2
1171,3
1917,1
1131,7
1807,2
2004,1
161,3
906,7
1169,7
1246,3
2843,4
1238,1
75,1
2708,3
1328,6
2494,1
1857,3
1790,4
1179,2
495,2
1430,2
432,1
1382,5
598,4
958,2
2926,5
403,5
1385,7
487,1
1165,3
231,6
2208,6
2773,4
1818,2
1459,4
3007,10
1070,1
2805,7
1221,3
2060,7
1584,7
1929,2
203,5
1859,5
1657,5
2241,4
605,7
589,7
445,5
681,5
1497,2
2151,7
932,4
2713,5
2723,3
1974,5
700,8
1144,7
2661,5
169,1
535,4
2017,3
1601,8
1351,8
2974,4
428,4
1624,2
1945,2
2756,7
516,7
2664,7
2435,3
195,2
1856,8
1330,6
921,7
1071,7
2157,2
87,1
563,5
1596,4
2089,2
2226,1
13,3
2572,5
1828,1
256,5
1422,5
2038,5
588,6
47,2
705,4
1587,1
58,9
1365,9
2738,2
1038,1
525,1
72,7
1447,2
473,1
1225,7
2583,4
788,5
123,2
1988,2
1858,7
2735,1
2712,3
335,3
1808,3
1931,7
1028,2
707,1
1548,3
180,5
2193,3
2580,3
2145,2
108,5
1305,7
1100,1
120,6
1935,5
876,7
756,4
1865,3
1737,3
1452,2
2390,9
415,5
632,7
2303,7
1441,5
1410,5
1526,6
836,5
2106,7
1413,7
527,1
1578,6
773,6
181,7
1432,5
2922,5
177,3
1649,1
2379,5
2943,6
2699,7
1930,5
2310,1
2776,5
285,6
1944,4
1287,5
