doc_idx,category
3202,16
2471,16
2782,15
3809,25
2644,1
2213,26
2030,1
1177,3
3489,13
1561,5
17,1
2814,1
2437,17
2443,28
986,19
2130,18
555,25
3652,12
799,12
700,9
1012,23
306,15
3320,13
3832,5
1232,8
899,18
757,17
40,1
1945,12
2850,15
393,5
957,13
2404,1
1926,1
1195,18
3701,22
2534,14
4130,1
3287,25
1503,1
909,6
2867,23
3108,13
3532,1
1104,19
1419,1
2625,23
2097,18
1288,4
1614,1
219,16
2992,18
349,7
3627,12
3534,19
2425,15
1147,12
366,7
671,4
1727,15
1657,13
2340,12
1179,5
3288,1
953,12
2876,15
1087,12
1540,8
1773,13
2168,10
3702,18
1163,11
3016,1
3753,23
718,12
3333,12
1006,17
1587,1
834,9
1885,13
724,17
1928,7
3896,10
4062,14
2861,18
4125,17
2709,6
2383,4
2459,1
3531,18
929,12
368,1
2769,18
589,16
2826,11
2717,1
1036,28
123,21
1881,12
1720,17
1813,12
1249,18
2347,1
3079,1
613,3
1080,10
3101,12
664,5
1787,1
3430,12
3768,18
2665,17
2217,1
2155,19
3811,8
1452,18
3892,1
1903,25
2749,13
610,7
726,12
280,3
2585,8
748,18
1213,13
3999,18
3255,6
1413,16
420,5
1013,18
1173,12
577,18
62,4
1219,14
230,13
136,12
3319,10
1924,11
3682,12
3698,16
2552,12
1044,13
2182,11
3313,25
3343,13
2997,18
3591,6
1448,28
1513,19
3350,10
94,6
4001,12
3879,16
4054,12
1,14
1610,26
1833,13
1859,15
3967,7
3352,28
710,18
2667,18
3065,16
632,1
1475,5
200,1
3821,18
3888,8
2008,15
299,1
2423,18
2105,1
2968,25
1535,18
960,18
2878,17
1624,12
2733,7
2856,17
1644,11
1892,19
2136,5
2670,13
880,12
1322,7
3556,1
3484,10
2179,15
1141,1
2411,12
453,6
3723,18
560,19
1406,4
1373,28
1986,1
210,1
2909,17
2161,18
955,1
3235,18
1569,1
3977,4
574,1
2038,18
709,17
2451,21
2775,1
2236,11
1607,18
3922,1
4073,1
1156,20
2620,18
1299,16
2318,18
913,8
3870,4
557,10
21,25
3920,19
3814,18
3447,24
98,18
2420,18
2369,21
3792,12
792,1
1688,24
1028,11
2300,2
2490,11
608,18
2695,14
1995,15
331,1
2111,22
13,0
870,12
2448,1
1584,1
1335,6
2950,6
3494,1
2046,1
1548,13
4107,22
2494,18
2115,0
1094,12
2142,15
3492,15
4021,18
1225,13
102,13
781,2
2352,4
2708,13
3435,2
1098,25
4079,17
2169,25
587,18
3944,8
1783,1
1248,14
1004,6
3515,1
2028,20
701,17
3781,12
481,25
3970,18
1206,26
1956,12
823,18
1297,28
3878,12
902,18
3330,1
2164,15
1122,15
4151,20
3904,7
2293,6
3106,18
4081,2
1236,6
3680,1
1856,17
932,9
1732,5
181,5
761,10
3463,23
3670,8
2580,9
3244,15
3845,6
2509,1
1929,8
1696,4
4129,18
443,28
3426,11
936,11
2297,25
2960,15
438,1
854,13
1281,7
3898,7
2114,12
3105,26
161,20
1777,26
739,15
1991,1
1641,19
3275,15
945,1
2741,26
44,23
2827,14
292,17
1947,1
1396,22
2390,18
3414,14
3555,11
990,25
1891,21
389,12
1102,14
1578,14
2706,12
3024,12
2016,10
4035,13
1687,2
3853,12
534,1
3905,16
187,21
3843,26
1621,19
359,17
3197,19
1453,18
1737,23
3086,12
605,12
6,3
1703,5
1255,25
3488,11
763,18
79,7
224,23
3817,12
203,21
19,13
1848,12
1685,18
3474,19
407,12
3883,10
895,12
90,21
517,0
2481,7
1020,18
1922,1
779,19
2948,7
256,1
2098,21
3080,18
3822,28
4112,18
2576,6
1909,12
773,3
3311,15
1653,4
1386,18
1403,9
37,11
1123,9
364,1
906,12
3574,14
3472,12
2539,20
231,15
3648,18
1637,1
3911,21
2911,3
494,1
2073,12
2688,1
1427,20
3743,15
1143,21
1021,1
2711,26
3034,2
2887,5
996,1
2009,15
3421,4
1837,1
778,10
2433,23
2707,6
1070,4
2675,25
3810,15
2118,3
1766,6
1875,12
4101,6
2692,21
2682,13
3185,25
1412,23
201,1
3785,7
495,20
2672,11
3455,17
1683,12
416,25
2514,2
4017,18
2554,1
3799,4
1050,12
3493,1
3504,5
2132,12
2743,12
1670,12
3635,13
2597,3
1933,11
2188,10
1680,10
644,15
1162,18
4022,3
2881,28
108,19
645,5
661,26
93,19
3450,7
58,13
2000,13
1217,10
2357,18
1128,8
518,17
2284,12
3655,4
486,18
2702,0
1893,12
1642,18
1171,3
345,9
3147,6
1447,13
1751,13
1135,18
2544,19
1962,12
3917,17
2935,15
440,14
796,10
111,16
2633,1
1586,13
1858,20
2713,17
1216,12
3934,13
1556,14
169,21
2971,7
3903,1
1231,3
2823,12
1658,18
1167,1
4026,5
2289,23
804,16
2869,3
1546,12
1906,14
490,21
1488,25
857,17
2934,25
3886,19
99,12
3674,9
351,2
186,9
3446,18
194,18
845,12
4095,14
1291,1
399,19
1457,8
544,1
2681,6
1537,6
1410,18
1417,7
2472,28
636,12
3910,18
1126,20
1550,1
1131,20
2123,1
2245,13
2107,20
487,1
791,20
1064,4
2209,12
592,12
1566,10
3194,12
3661,1
2010,18
1596,11
2596,18
3522,6
3457,1
678,6
772,17
398,12
2532,17
2745,26
2066,9
3160,4
1385,21
2860,3
3400,5
2842,6
421,28
3643,19
1338,18
2606,16
2906,19
2538,13
1533,19
525,12
3672,26
1708,12
3899,21
3470,15
3849,26
1789,4
2573,1
157,19
321,12
1093,1
1765,18
2133,14
769,21
3851,11
3854,12
2263,4
1038,18
332,12
386,11
2866,1
435,11
1736,3
3834,19
808,12
2101,18
498,11
3384,13
1399,26
1862,18
3398,15
1144,15
45,2
3744,18
2988,18
2279,1
2680,18
2520,12
2470,23
4015,13
3422,16
1065,6
2750,11
3216,0
2104,15
1489,1
2765,9
2872,14
1395,12
891,1
2761,17
3919,12
3445,18
829,1
2893,9
2578,19
940,5
988,21
790,18
3750,27
771,12
2603,1
4072,6
110,15
2964,23
3625,11
2560,12
3662,5
1895,17
314,16
2022,1
3074,18
4135,1
2013,1
3171,20
3039,18
1988,1
2639,20
3607,15
1626,14
2627,23
943,26
2204,18
2027,12
3972,25
4060,16
662,13
3314,12
2418,5
749,13
383,6
893,18
3091,19
1402,28
1964,5
719,7
3240,18
3229,12
1919,18
2410,7
705,28
2351,1
3,26
3774,12
7,4
2579,23
3073,8
4104,17
2742,26
3129,8
403,8
3914,6
50,1
965,12
784,13
650,19
3297,5
3191,25
558,21
3617,18
1334,17
1913,6
1506,18
3279,13
2824,18
3315,20
1545,11
2594,18
1034,18
1724,3
2863,13
372,1
3093,7
1823,12
2851,12
4097,28
2917,17
745,12
318,5
3651,12
2102,12
3959,1
563,18
3317,18
1105,28
1238,7
427,12
1652,18
2637,7
931,25
262,15
813,25
3844,12
2314,28
1301,5
171,7
1734,9
3441,19
3386,1
3341,22
1608,17
3437,24
1564,3
3609,9
3848,12
1272,13
1501,13
2368,4
1707,12
1916,18
2292,17
133,20
1047,18
4154,8
4051,8
3831,18
703,18
1794,2
394,18
3401,19
541,12
630,12
254,12
3178,1
1329,18
1518,25
3713,14
3334,1
4153,1
1826,7
126,12
2794,20
2399,14
588,18
941,17
1729,14
1296,25
685,1
1030,12
1562,13
28,18
984,18
268,21
1604,18
1342,12
2805,3
1785,19
4013,27
3887,8
3676,22
1907,12
1247,21
3731,4
1078,3
598,23
2462,12
881,4
968,23
2517,12
3440,1
1380,25
1120,19
3113,12
3134,26
4005,18
2630,22
3691,5
2336,25
2601,10
3283,18
1819,19
255,18
2121,12
3641,1
1164,19
2051,1
3833,1
4002,2
2045,2
107,21
2572,13
1495,18
1519,10
1759,12
1387,12
2527,12
1780,24
1684,14
666,21
3726,6
1832,12
2784,1
2029,18
1767,17
75,1
313,1
551,20
382,23
3025,18
2990,1
1807,1
2800,12
1896,12
2885,14
473,19
3395,1
188,19
2852,18
1941,20
329,17
4045,19
1863,22
89,21
367,9
3338,20
2457,23
297,17
442,20
2883,9
1768,14
457,2
3780,21
573,12
1542,13
72,4
1669,8
1414,13
4049,4
4036,14
2424,18
836,14
3790,5
4103,1
3443,14
1631,18
83,25
2512,18
301,1
1074,26
3610,26
1060,18
1201,1
2372,18
1432,26
994,27
397,19
1264,26
2657,1
1648,1
1554,13
1239,12
1502,12
3875,18
874,15
3757,3
993,7
3041,18
484,3
2429,21
2607,9
2117,26
2328,15
1792,28
758,17
2157,4
2837,28
1675,11
3067,12
2170,12
1375,3
2815,7
3566,28
2605,5
2501,10
3344,18
3528,25
1672,1
2234,17
2535,6
2005,3
3296,3
1344,13
1959,12
1805,14
2048,4
2725,26
4000,18
3043,13
3541,13
3004,24
205,1
3642,3
1549,1
3916,7
855,19
3346,1
309,12
756,15
4087,14
2422,19
3794,23
921,21
2841,13
4065,12
3055,23
1176,12
1678,9
1748,18
546,18
3218,19
2362,1
720,12
3137,1
2500,21
291,17
540,0
1400,19
1504,21
4128,19
2558,5
2728,12
1865,7
12,17
2700,18
689,18
267,18
3359,12
4078,11
846,18
3131,26
60,23
165,3
2392,18
3567,12
464,2
4,6
1781,15
1565,19
2054,12
3537,1
3906,9
3007,10
535,18
2651,1
330,18
3752,12
527,14
4115,20
2350,4
3363,20
2056,1
581,12
2312,9
172,19
195,4
3971,12
3925,6
2614,7
1836,2
1915,12
1237,23
385,13
2276,6
2306,7
702,1
2330,1
3829,12
2764,24
3968,12
2886,25
1730,12
3511,17
3412,15
1273,8
642,12
1851,3
