doc_idx,category
2087,43
1520,52
393,10
351,24
1957,24
99,36
1394,2
2020,17
28,43
1098,49
1144,17
1352,17
1785,10
1436,40
2757,40
1225,43
681,29
2855,48
45,10
2996,51
1596,30
126,30
2027,1
297,36
2648,18
1270,3
636,3
547,43
1265,19
301,40
2747,33
1607,36
678,2
2612,49
705,48
2156,17
110,49
2353,3
2177,30
1508,17
282,0
563,39
1100,16
577,0
560,49
2048,33
1950,38
1559,39
1819,38
1922,29
2038,49
299,2
1065,43
534,38
2923,33
2765,17
2226,36
394,43
98,51
273,0
192,36
2245,2
1201,38
2630,16
540,17
1228,51
2388,40
955,10
41,43
2328,0
1135,48
205,49
1597,4
2259,3
2360,0
535,30
620,38
2620,43
292,18
927,30
1490,38
3,38
2300,3
432,16
1660,16
748,48
607,0
613,36
788,36
1988,16
2471,0
1792,16
783,2
2029,38
1672,33
796,30
2185,17
713,0
1965,38
2212,49
1636,51
50,0
1823,0
220,40
1430,18
1551,39
2459,52
291,0
2160,33
2545,43
2766,30
2963,38
2815,2
1153,2
1946,48
2698,3
813,49
1589,36
2672,37
4,38
2364,51
2455,39
1947,52
6,33
2680,0
1104,52
725,0
1629,36
1292,8
1926,17
2709,48
2848,0
527,17
911,3
525,51
1854,39
773,0
2096,37
902,48
589,51
1967,0
2703,39
2599,38
1683,37
2929,2
2582,10
1846,3
516,0
1661,37
1586,18
306,18
2999,3
2571,2
40,0
1613,24
366,18
10,16
1651,43
588,51
2688,26
2686,15
1238,38
2337,24
2341,0
2336,37
2656,30
1826,43
2946,39
2796,3
1375,18
1986,10
1218,10
1126,33
2922,40
1433,40
321,0
1562,3
396,9
1406,3
2190,18
2738,48
2145,43
771,43
111,49
1753,39
330,33
2534,48
2691,38
2696,0
1524,18
255,43
1145,29
2667,9
1241,17
2769,38
1655,26
1697,18
157,40
318,36
2206,2
1825,30
314,37
2015,40
346,17
2959,18
2397,3
1544,30
854,38
630,48
1533,51
2011,36
2847,52
1357,37
2900,0
1077,36
1990,30
965,3
855,51
761,17
2275,43
2000,30
2332,16
598,18
442,2
1637,40
2194,30
586,38
65,43
1234,0
730,37
1131,48
936,25
2316,48
1471,36
2026,33
2484,30
2249,39
756,52
2514,2
2255,29
2952,38
1593,48
797,0
2051,24
1268,49
248,37
2418,24
107,48
1608,16
1773,30
2749,39
2128,0
1900,51
2890,37
1504,5
2762,10
975,36
2601,40
1392,39
227,55
2683,45
2317,10
2036,39
885,48
224,33
2595,24
2045,18
2624,46
2237,37
1674,3
2182,0
916,49
1526,0
2402,49
487,6
2782,17
1767,18
2777,16
1732,48
1325,41
558,51
2034,16
2252,0
2803,19
1695,36
2627,48
2425,43
2454,16
2286,38
2615,2
1064,30
1260,3
2676,48
1652,39
1453,6
1991,2
230,38
870,39
17,0
1573,18
1071,2
1255,3
1701,24
2526,30
304,11
790,37
954,33
2609,10
1928,49
2551,52
2778,7
2065,39
664,39
187,17
2616,39
1931,36
218,26
2209,30
2960,52
1537,18
929,38
2989,17
600,33
2066,48
260,33
2169,40
303,8
1165,33
2767,0
2356,52
2496,30
1951,30
757,3
2298,10
521,30
1642,51
1678,48
2188,39
1080,40
2070,16
2426,38
1163,48
367,24
1301,49
987,18
2032,18
909,36
1380,2
151,38
2997,16
1171,15
961,16
81,18
2428,49
1768,36
2106,38
382,2
671,54
1305,0
201,30
2784,3
438,44
2437,48
54,12
2390,36
1421,10
165,3
1536,37
2501,49
1128,38
1004,0
2022,0
2028,51
913,40
2838,37
481,30
499,43
610,37
2280,16
918,33
1796,39
1193,30
1902,8
2150,40
2961,0
2925,17
161,48
75,51
1404,17
812,49
1237,3
1162,17
2074,18
2793,36
2702,48
1487,48
1397,0
2024,29
1833,39
1908,30
1875,9
1776,0
2287,49
2982,38
403,48
2704,51
2732,49
231,52
1333,3
1041,10
2331,2
1447,30
2589,18
605,18
1913,49
2444,52
1248,30
1142,16
2820,2
203,43
2440,52
784,37
2921,51
2372,1
13,18
2207,12
675,24
2602,37
2884,39
464,37
495,36
774,18
1934,17
2904,24
169,38
802,43
2168,3
2448,51
958,36
445,8
2964,52
1456,36
2001,39
895,48
428,33
195,26
2657,18
1422,48
1734,43
2555,52
546,33
2896,37
1827,15
1584,48
87,52
2548,39
1566,0
632,3
2745,39
582,49
1958,0
256,33
1089,10
1813,48
1529,33
47,18
1410,36
1650,0
1247,39
2730,49
58,37
1502,48
2682,48
473,36
72,48
1810,33
2576,37
1216,51
1381,36
123,24
2398,0
1335,5
880,3
1353,11
1147,43
335,48
2485,37
1916,38
180,40
1450,18
1494,3
616,29
2789,16
2229,39
120,17
108,43
2542,38
1961,33
1578,39
749,30
683,49
1703,49
102,43
1723,49
2457,52
2231,10
2544,16
171,17
415,33
1140,0
1164,51
1328,3
829,49
2768,38
1398,7
1377,3
490,38
1307,38
1399,0
772,0
1611,0
1351,9
1601,24
1680,5
181,2
693,16
1687,49
2399,18
177,9
2677,2
1011,37
1915,9
2727,10
285,48
898,36
893,2
2085,40
700,39
2912,16
1454,30
1850,30
1403,10
1186,39
1223,3
2234,51
2914,39
1918,48
2082,36
2095,49
2174,52
2607,0
2629,10
1141,43
2965,51
2371,48
1296,24
275,3
1407,48
2170,25
1644,17
1842,36
1592,51
1561,40
1970,40
1369,2
1604,3
945,17
866,30
979,30
1855,38
1322,48
1299,3
921,0
221,33
1993,10
1073,43
1432,43
1894,16
137,16
2577,36
1028,0
2392,17
2503,18
1363,5
2830,30
602,52
2700,51
836,30
1000,52
1836,41
2099,38
1817,17
439,36
2495,49
2183,48
1039,2
94,10
2742,33
1178,40
32,33
1999,39
268,24
1488,36
199,37
1138,43
302,52
1609,24
228,43
1549,3
134,0
2664,51
2798,24
480,24
808,43
679,36
1937,16
2378,24
840,5
1707,2
2748,17
2543,17
1956,33
688,40
1603,33
1435,49
685,39
119,48
501,52
2434,39
702,52
287,51
561,36
1316,38
364,43
557,52
2142,49
1151,4
1555,17
1977,48
666,52
2598,51
2792,36
2279,0
2306,10
573,10
2228,0
233,16
1120,49
724,24
2805,16
906,0
341,10
1188,33
188,37
82,52
2552,36
1671,16
549,22
804,33
2396,52
2776,40
2202,6
2791,8
543,40
2303,16
2752,51
654,38
816,48
477,15
2268,45
397,18
934,2
1009,48
250,48
2017,10
785,18
973,10
1224,2
280,2
2856,10
2973,51
791,37
1477,33
2345,9
777,43
674,43
1789,40
937,49
1012,33
1653,36
1217,39
555,18
1710,29
429,40
186,16
994,52
166,16
476,39
1236,0
1026,30
1807,10
56,24
208,29
1760,37
2510,49
1497,38
2505,43
2379,30
2644,51
707,10
425,48
1558,40
2756,0
1266,9
569,3
1569,3
241,51
2193,0
2246,24
2880,39
2047,48
1173,18
2531,39
1177,33
2282,36
1556,48
2653,0
2618,17
1929,43
650,9
2633,24
1517,10
1500,52
1016,33
1230,16
559,40
1459,17
737,40
1408,36
1973,37
1744,18
2563,43
825,52
623,8
257,48
219,3
1281,0
510,0
2774,3
216,10
925,24
2366,39
592,16
1587,2
331,3
492,51
2215,3
2131,26
2828,3
1907,2
644,49
414,0
1044,30
1038,30
1822,0
1507,1
2270,37
638,36
943,51
1294,30
574,36
2614,49
2361,49
2584,39
194,48
817,40
957,30
2710,51
896,30
2764,51
1861,24
254,8
839,51
635,38
720,24
2117,3
2771,3
1395,17
2004,25
1772,33
1730,39
2988,17
2950,39
1503,15
1205,39
1483,0
2861,48
1818,4
191,51
1419,33
452,16
196,52
1417,3
877,10
533,40
2456,40
486,51
2917,48
680,40
459,0
1036,16
2452,52
1891,30
2104,52
1349,43
876,49
2329,39
453,8
1708,40
1413,43
1649,37
418,51
1899,39
2875,17
579,18
124,52
446,24
1892,16
2857,38
1149,2
338,10
1415,30
89,52
2105,0
1897,2
1924,38
1847,0
1917,36
2608,17
627,33
1239,2
996,51
733,17
1938,48
329,40
1468,3
2511,36
2387,52
1427,0
1577,30
2641,40
2625,2
544,52
368,8
2613,37
2692,53
2801,33
1221,0
2395,36
2990,2
993,48
457,18
2401,52
736,52
1336,2
1563,10
2600,3
735,43
2985,17
1441,16
2060,38
932,48
1020,38
660,55
1992,2
1032,30
422,16
1043,33
2449,52
2804,48
288,40
2325,52
470,48
1906,36
1087,36
2173,0
1442,16
2876,39
1911,10
1060,10
760,16
226,45
576,51
91,48
514,40
2363,37
517,18
270,3
2383,48
1045,17
2717,33
2835,33
2481,38
2913,0
1387,30
2201,37
2519,25
768,40
2370,30
1859,3
984,18
1227,3
1812,49
2294,33
2870,49
846,30
2899,7
1159,0
1960,18
1805,51
468,9
1401,48
968,17
1196,2
2939,49
340,16
1791,24
2297,5
1966,18
899,43
2314,40
1068,2
1342,49
1575,10
1185,18
2253,30
692,48
130,48
587,0
2422,24
553,30
1396,48
444,10
2322,36
655,38
1482,38
2936,10
1156,43
1385,39
2649,48
93,48
767,48
133,1
1050,43
959,36
2930,36
1720,17
2853,49
1565,25
551,38
1542,48
858,49
608,37
2375,48
348,0
1489,36
2301,2
2296,33
1699,39
2487,30
612,52
1621,24
709,49
743,49
2868,3
1716,0
572,0
924,29
1832,49
703,17
2787,10
182,22
2806,2
242,52
653,37
