doc_idx,category
620,1
1068,36
1932,3
650,4
2313,23
2352,0
2163,3
1691,18
432,3
2235,32
282,4
107,6
1441,36
2193,36
693,36
1644,17
2270,5
1965,6
1759,36
486,21
1730,16
4,36
1586,3
329,18
2011,11
1248,36
499,36
195,36
108,6
1772,30
275,36
540,22
2156,0
228,6
2391,21
2288,21
1039,36
1009,3
2087,3
1985,36
1348,23
674,3
1220,36
1012,7
2030,2
1935,16
280,1
1036,29
1011,3
2285,0
820,36
555,4
906,18
171,18
1459,10
1334,20
2367,28
1386,9
321,2
521,36
2396,36
1608,5
287,1
477,6
757,4
2096,6
1289,3
2462,3
712,3
852,18
1517,6
1930,36
6,2
1551,36
632,5
589,36
1812,12
2248,4
1281,3
544,7
1842,36
2340,9
2036,3
760,7
1592,6
306,7
1892,3
608,2
587,6
1410,36
725,36
17,16
553,36
917,4
439,21
1496,18
610,16
1314,2
1326,18
1026,1
1737,36
1252,20
1721,18
756,16
1991,36
2269,36
736,0
846,5
1344,4
485,2
1761,6
579,16
975,17
1811,17
1786,9
517,2
713,10
1186,12
1509,36
1781,3
1494,6
120,5
1071,28
1743,24
2324,36
1374,36
636,12
1301,7
639,36
1934,7
2280,35
2406,18
1477,3
1529,1
1230,23
992,6
368,6
1188,3
1231,3
203,18
984,36
1357,20
40,7
918,36
1292,5
1652,3
58,36
1626,6
749,4
730,36
1087,3
2177,6
1028,36
1089,9
1403,36
304,24
1215,4
1162,22
56,17
2064,0
1073,2
697,6
764,12
1714,16
840,16
508,36
2017,34
2242,36
692,6
2006,5
1343,7
50,23
1909,6
2347,36
1966,21
442,36
65,1
2307,6
2123,6
1290,3
1407,6
2255,3
1631,36
1102,5
785,2
47,0
987,23
569,26
1625,5
440,12
1906,30
996,22
1569,5
1171,10
81,36
979,5
2331,2
111,4
1957,8
2294,1
2231,23
1034,9
444,13
119,17
1847,18
1442,36
297,12
2149,22
1952,0
1713,36
2410,18
314,36
913,7
829,3
2281,2
1681,6
1958,36
1271,1
126,12
1610,17
525,18
2138,19
1662,33
791,19
1886,24
487,20
586,24
2159,36
2016,15
1404,36
194,21
367,26
1316,4
1396,12
1855,18
1359,10
1177,16
1221,6
1975,36
2260,10
208,3
1115,5
1233,6
894,36
959,31
102,9
1736,8
1546,12
2297,36
1282,21
995,12
1335,1
1450,36
2377,5
285,3
1365,36
1322,36
2468,17
1969,36
1613,1
572,36
598,0
1642,6
2124,6
2075,7
2168,4
2002,36
683,7
1291,0
839,22
1823,12
480,4
2443,16
1299,31
1514,16
2067,5
1196,6
1988,6
911,4
705,4
994,30
1378,3
1297,5
292,31
1398,8
2169,4
1724,3
1503,36
1060,19
1749,23
2201,15
1977,30
2414,36
1943,6
396,35
1217,3
671,4
1414,36
2143,5
1287,26
397,36
1673,1
1828,36
1805,31
1349,0
708,0
2060,36
1504,36
934,4
592,20
557,9
1882,17
468,4
563,8
2279,3
1373,16
1727,2
270,6
870,36
1279,6
2259,18
1588,5
821,3
1037,10
828,36
857,3
1070,0
654,3
1323,7
1896,3
1672,2
366,3
2071,3
1454,29
880,6
2384,12
763,2
54,3
2187,36
1443,23
561,4
192,6
1791,3
340,36
527,9
707,0
1718,3
495,16
75,23
464,3
1897,29
514,6
130,24
1678,4
1418,3
93,18
2337,6
613,36
255,10
2118,5
2416,36
1429,23
1851,0
767,36
1753,0
664,27
1000,36
1044,17
346,4
1895,36
802,3
612,23
1836,16
348,26
403,4
1109,16
2442,36
1784,21
1433,17
2286,22
335,23
2088,6
1550,3
231,6
1179,1
1539,36
425,6
370,6
2100,0
1703,36
535,25
772,26
851,15
1355,21
1636,36
1802,4
1054,30
1065,6
925,5
1860,10
2470,25
1236,5
1237,36
2353,7
547,18
236,30
700,6
724,2
778,25
2289,26
1705,0
2360,3
2243,18
845,4
1406,16
1780,25
1872,1
453,3
899,36
1006,15
428,11
1436,4
1944,36
1122,36
242,36
1370,26
1825,36
1843,36
1059,30
1505,6
216,36
2253,36
1416,3
1605,3
206,4
1536,26
1043,36
895,3
807,1
134,36
258,6
30,36
920,36
1053,36
2234,3
241,2
1857,7
965,6
1422,6
784,1
808,3
1193,4
1225,4
169,4
957,36
1770,1
2203,36
1002,23
2009,6
443,20
1128,0
1729,18
737,7
1457,24
2262,4
927,5
2001,4
1401,9
2236,4
607,33
123,36
943,1
415,3
2309,16
481,36
1412,3
1558,3
1178,32
1810,36
201,3
124,36
