doc_idx,category
276,35
2373,36
3243,21
4248,35
4169,3
972,22
341,9
2390,27
788,19
2524,3
2238,10
2440,10
3912,3
4205,35
2795,36
3292,28
2176,28
677,3
2651,10
2166,21
3575,10
2068,9
2345,19
3975,35
1970,36
2037,6
2387,2
431,35
2177,35
3814,2
239,9
1302,10
1961,36
1542,14
2259,3
3141,36
289,3
3851,34
4068,2
3421,3
3143,15
1527,21
639,31
1047,20
1007,13
2583,22
1972,11
3600,7
608,26
4038,21
3025,14
2785,6
4378,27
3452,10
3893,9
3198,6
755,1
2181,3
500,2
245,3
2054,31
2219,7
3498,31
3338,20
3014,14
2194,6
2860,36
662,15
3574,31
3601,10
1634,31
3399,13
23,6
1488,19
3030,21
487,9
2062,9
602,9
3429,22
2880,36
1106,21
756,13
3204,12
278,36
111,12
1115,19
4366,3
2405,24
3355,35
10,1
462,1
1770,9
640,13
2875,3
2152,7
334,36
1686,1
73,3
633,6
4008,31
3248,29
466,2
2695,3
1156,7
3734,15
742,31
1330,10
3555,3
997,1
291,19
4216,7
2556,19
3699,31
2677,0
4032,13
2522,10
1118,36
2613,1
3004,31
2076,36
1224,7
1440,21
3944,21
3484,15
2864,6
1769,3
3524,10
2947,36
2342,35
3268,25
3180,36
2093,15
4294,25
1902,21
1832,34
1753,11
3560,11
3334,9
702,25
1984,1
2499,36
3306,22
298,10
3608,36
3902,22
2713,10
4375,31
1370,34
816,31
2035,7
803,11
716,36
1602,3
1857,33
1391,27
2188,28
1394,22
2055,3
731,21
2968,9
4457,35
2903,19
2554,11
392,13
3522,3
3475,21
2249,25
2961,21
2879,6
4145,31
809,33
636,21
3472,9
1227,6
69,0
2891,10
2715,3
751,28
2712,0
802,21
1540,1
1853,9
844,22
3381,28
465,3
688,11
4102,1
4291,10
1521,14
2549,35
3748,2
2568,10
344,36
1807,31
3901,7
1982,1
2953,36
575,6
1298,24
3365,10
3442,7
1849,3
3572,3
2007,34
1052,36
673,0
1088,36
1305,28
1651,6
3863,3
4340,36
3488,36
1738,11
993,36
1367,25
448,22
815,9
3391,7
1027,6
3588,3
3611,35
583,7
3687,7
408,0
783,26
3165,10
1380,25
180,13
1498,0
2384,14
1104,14
1906,1
3719,7
1954,36
1310,10
3925,22
1139,7
3570,3
3547,31
985,10
2412,14
4157,13
3446,34
1066,11
1721,28
308,36
4155,22
601,3
1825,24
4170,31
2312,36
2164,21
786,13
4256,36
2269,7
1140,36
4117,25
254,36
1250,20
2945,3
4437,11
1354,1
3760,36
698,0
1782,30
3561,35
1009,3
1745,22
2434,30
587,24
3998,36
2963,28
3709,22
3545,0
4404,11
1921,9
421,6
4194,25
863,10
4129,3
2031,7
1619,36
2806,3
356,22
2203,12
3704,25
3222,3
3649,30
315,36
390,21
3095,36
1331,6
2010,6
2048,10
354,21
4091,22
167,36
2865,14
3038,34
2946,1
4136,36
3658,36
2639,28
443,34
2304,25
402,36
486,12
2929,25
797,14
123,36
3227,7
294,29
2704,3
930,0
1371,28
4218,19
4222,21
3613,3
2471,6
225,6
1296,3
2003,21
679,31
351,13
2543,36
4464,3
851,1
4045,19
2790,25
2829,10
2825,3
1942,20
1204,3
1920,25
4273,21
4410,34
1142,35
3006,31
2335,14
262,7
1433,21
3622,3
2411,24
3775,21
1471,21
581,3
476,31
209,7
3546,3
692,35
3584,3
4053,6
1128,10
1229,36
2009,31
1730,35
257,3
1307,9
14,6
3230,12
518,3
4385,31
4393,7
1848,3
3352,6
2923,25
2999,3
2711,36
1016,31
1985,19
3525,6
3385,7
470,1
3836,11
3794,1
1137,27
1103,21
903,0
1800,21
747,3
1026,22
1813,3
228,36
3164,31
3282,36
2325,21
2264,3
808,35
4109,3
1392,36
3066,32
4361,7
109,3
299,3
1002,36
99,3
4191,15
366,31
2744,10
218,21
2399,7
932,7
339,19
546,3
2558,1
3120,31
973,31
2214,36
2430,22
1791,31
598,24
1010,13
919,3
1,27
4431,10
3216,36
2773,35
2920,6
192,21
1940,3
4334,10
1120,10
3194,9
1712,9
3703,21
589,3
3501,31
1144,6
221,21
1747,11
1952,34
2204,3
437,0
1171,36
2709,25
1864,7
311,3
2179,10
370,31
93,36
1788,21
3250,15
4304,3
2030,9
898,25
2136,3
3980,3
2683,22
2036,36
2230,35
1318,1
432,28
3644,28
2669,21
1350,13
961,3
4389,3
2955,28
3981,19
107,10
2553,31
3062,25
157,35
1192,31
1040,32
170,3
1182,21
4200,3
3566,3
279,22
2197,7
989,3
3664,36
871,9
2803,13
292,7
701,31
511,11
3262,27
2850,20
1774,34
3166,31
1212,22
4471,3
434,6
4411,36
2587,3
2376,9
3892,21
2666,25
2599,10
2088,10
2360,36
990,3
1897,3
1451,36
4448,21
3482,7
4474,9
4201,10
54,6
4305,25
40,3
3948,27
1831,31
3108,6
2818,31
1718,36
485,3
330,25
174,11
2482,7
3021,19
2758,36
3225,21
19,7
1358,3
537,36
446,33
2942,36
1484,10
1385,1
121,3
3826,7
2182,36
4207,20
630,13
2918,15
3448,7
4277,13
4412,3
4399,3
3191,36
281,21
2421,36
105,36
2703,7
353,22
1482,34
3197,34
3916,3
799,36
2222,36
52,7
1715,7
2186,22
2202,28
420,22
569,36
2601,22
3489,0
3544,21
3526,18
2454,11
75,7
684,35
721,36
3946,21
1974,3
3463,6
798,10
480,36
585,14
1087,13
1611,9
4043,35
3859,7
4103,6
405,31
940,9
4470,36
3808,3
613,7
2452,27
965,0
3713,3
1614,6
2475,10
2525,35
2689,21
3012,36
2976,6
1708,9
1841,3
3517,27
4354,14
1480,36
978,20
3554,3
1456,25
3535,31
2451,6
3625,15
3402,29
2274,34
1138,3
1529,35
3834,10
3685,31
2441,36
2318,9
2937,3
1349,36
603,10
1844,17
4420,13
3881,21
1924,21
4395,22
1453,31
2971,10
3845,35
2634,3
499,7
1892,6
3768,19
2110,10
915,10
259,7
529,31
2205,21
2212,21
1507,36
2217,1
3838,21
3325,15
2910,29
565,28
3678,36
3320,36
2774,34
2974,36
1136,25
2162,10
2208,36
964,3
1919,14
28,10
2782,3
4442,21
317,21
3019,3
2570,11
1375,6
3468,3
1044,29
2914,3
3045,36
2567,10
3273,19
1122,35
58,31
685,3
2606,21
481,3
2419,36
3146,7
3398,36
4234,36
3753,9
204,9
3167,35
2462,29
1867,21
2148,33
3559,33
1259,3
4074,3
549,7
645,36
1160,12
2098,24
3445,28
2580,15
1898,3
2023,6
195,21
247,26
1362,34
3651,32
4262,31
970,6
3665,36
3986,25
1301,13
926,35
1828,7
3839,21
2603,6
3158,35
724,3
12,32
3377,18
4397,13
3615,10
4417,31
2151,10
2247,22
2679,34
937,7
1994,22
539,3
995,1
3690,35
1741,3
857,3
777,31
2172,15
2444,20
1293,22
4359,11
2417,3
2460,6
4056,35
3786,31
2109,25
39,35
1165,7
3869,34
3409,36
3002,21
3010,3
1419,10
3813,6
4467,7
3940,6
1055,9
2490,31
1592,3
1100,20
1916,3
4163,21
1405,3
988,6
112,36
4098,35
2211,10
790,21
4221,21
1859,31
2812,21
3536,31
2349,28
696,9
4300,22
620,6
3626,35
2738,21
3511,21
1744,36
1291,6
3229,31
3078,34
57,21
543,36
1572,21
1557,14
91,11
572,31
3154,35
3471,36
4027,36
523,36
1244,29
3848,31
4005,36
1823,6
1357,6
3311,26
618,2
3491,27
3322,36
2643,32
4284,30
2251,14
3943,3
2253,31
1556,32
2128,7
1763,13
160,33
2060,3
1884,7
769,3
2598,3
3300,21
2381,21
151,3
4055,35
1409,19
4009,35
1605,0
137,10
440,11
770,6
4140,35
4052,6
4377,2
2578,3
125,11
301,13
3996,36
4461,25
4278,35
1396,9
2552,28
832,9
1641,20
3591,21
3348,21
1628,36
2670,7
2127,3
2121,30
1234,6
4086,21
2404,3
372,3
1166,34
3645,31
1914,3
1013,18
2071,31
2965,15
3788,11
4111,36
4241,27
987,20
885,36
1700,21
3161,10
3743,27
1069,36
3147,35
1886,36
1334,36
3272,36
4031,21
4392,33
1091,6
3278,28
2357,10
4213,21
2289,21
746,2
393,3
2370,34
656,3
4297,7
2466,22
3396,28
1342,21
2653,35
1856,1
2329,21
644,3
1499,34
4435,29
4150,9
3556,21
1404,3
2120,3
3780,35
100,6
1074,13
1057,28
1938,35
1643,6
2776,3
4176,9
1429,19
3129,11
2564,36
1966,3
3642,6
3001,11
2191,10
3798,20
1000,36
1545,1
1384,1
200,21
2100,11
4138,11
411,28
1251,7
737,11
1432,10
736,9
2315,27
1866,36
4146,36
757,36
4424,10
1525,36
4004,25
911,6
2091,9
7,31
3241,3
2654,35
2433,3
3182,9
3196,10
3883,7
2739,21
2293,21
2797,12
2649,20
2520,19
4113,13
1458,7
2429,10
3069,36
2822,31
2145,21
1512,20
3689,1
2983,36
1854,29
4013,1
3767,9
4293,13
1158,25
2798,36
2359,25
1706,7
1021,3
1202,11
1615,30
1181,6
3739,20
638,36
1677,25
1041,15
2526,36
567,7
1702,25
3508,10
3778,3
2496,20
792,7
735,7
1590,9
1957,9
467,28
1564,11
2959,27
188,9
890,33
3852,10
1327,11
1042,30
800,21
1840,36
726,36
4040,0
1826,9
2550,7
2414,21
3728,6
4453,9
2792,3
3490,6
4073,1
2701,21
373,15
916,32
2165,6
1767,3
1282,35
1135,21
4364,36
3824,3
1565,3
3098,3
2915,6
4228,7
2772,21
3858,20
2967,21
3015,20
1918,25
2751,36
766,1
4363,9
533,6
369,3
1513,15
2469,36
3373,0
3605,3
2363,1
3235,35
651,34
419,34
316,21
725,35
2099,25
2962,10
