doc_idx,category
1155,5
725,4
2705,6
2938,1
2482,2
2344,8
1865,3
3009,6
2694,4
2030,4
516,8
390,4
1181,4
970,5
2020,4
1981,6
1006,5
2170,4
2732,3
114,8
12,1
294,3
431,8
954,8
1813,2
1747,5
1602,4
529,5
895,6
2036,6
769,4
1406,6
737,8
2081,4
2276,4
292,3
45,2
1937,2
419,5
2322,4
832,2
2284,8
540,4
2009,3
1368,5
1854,2
1503,6
2335,7
174,4
1615,1
1826,5
2670,1
1621,3
1309,8
281,5
1547,4
1209,3
1691,5
962,8
2944,3
2354,8
2639,1
1234,2
28,8
1784,1
1385,6
446,6
2936,1
209,3
1328,8
1689,3
2918,2
1814,1
354,1
1830,6
892,5
742,2
961,4
2615,8
2916,4
2406,4
2422,2
1178,8
1715,2
2754,3
2659,2
1301,1
572,1
591,4
1859,5
1123,4
2924,5
14,2
2794,5
111,1
736,1
1945,2
341,6
2652,4
2076,6
188,8
1115,6
1905,1
428,4
2877,6
2895,4
1999,2
157,2
535,4
951,0
555,2
1521,4
2727,2
1243,6
1225,8
112,2
218,6
2185,6
569,3
2876,6
221,1
2188,3
2970,4
2557,3
1553,4
1393,3
2566,2
2995,6
877,6
2657,4
1399,1
460,2
1047,3
1310,1
1016,3
298,2
1950,1
2669,5
1009,6
2120,1
2329,2
518,8
639,8
2972,2
2643,6
586,2
2549,5
1982,8
2863,1
107,5
2370,4
696,8
1566,5
2824,3
1404,8
158,1
809,2
2628,3
614,1
274,1
420,6
1239,3
2098,2
1219,4
2255,3
543,5
2952,8
63,1
1293,5
565,3
618,2
2823,5
393,3
941,1
1716,2
75,1
1600,6
2537,1
2784,4
1753,5
1119,3
95,4
132,4
669,3
686,5
1572,8
444,2
2116,6
2942,6
359,4
2635,6
1721,6
2112,1
1618,3
645,8
301,4
2278,6
2974,4
527,1
2931,4
338,8
186,3
1191,4
1403,3
499,6
2448,6
1891,8
1917,1
2753,3
2421,5
464,2
972,7
2045,3
1688,5
1892,3
1674,1
2894,5
1646,4
105,5
979,3
2630,3
2212,6
2372,4
1641,8
2801,4
117,5
575,1
1517,6
2381,2
613,5
2267,8
1443,4
1044,3
2664,6
461,5
2028,5
2695,2
2660,8
1427,1
106,8
1671,8
1966,1
1652,4
648,2
432,1
2031,1
2671,1
1001,4
1492,5
2221,1
1440,8
921,6
1366,8
2573,6
800,8
463,1
1922,6
791,3
2114,5
1632,6
2798,3
73,3
1871,6
291,5
2449,4
2371,8
260,3
2771,2
1441,5
2383,1
1906,3
1763,6
1227,1
239,6
1297,6
252,1
2593,3
792,6
988,3
195,2
99,6
480,3
321,8
2692,5
123,2
1296,5
585,2
1326,6
87,1
2432,4
1137,2
681,5
1760,5
2978,2
2685,5
128,8
513,6
2012,1
1142,1
2523,3
546,8
226,5
1442,2
1049,2
241,6
2292,2
874,2
213,5
1979,4
23,4
465,2
1451,3
926,6
2847,8
2856,4
1240,1
2177,3
1876,4
1458,6
2108,5
7,0
987,2
711,6
1210,2
229,4
1809,1
1628,1
1812,6
1304,4
1120,2
2492,6
1737,3
282,4
448,6
3002,2
504,3
858,3
2578,8
1540,3
684,5
2061,1
100,4
2703,8
2417,4
44,1
2645,4
2534,2
1066,4
2024,1
896,5
2186,1
1594,5
2884,6
2840,6
1479,6
976,2
65,1
1370,3
160,2
1685,3
2360,7
1099,3
692,5
2948,6
1902,1
1171,3
2634,3
1954,4
2458,4
748,3
1173,1
1140,6
594,8
1543,4
193,6
1609,6
2222,6
415,5
2207,6
2833,5
1218,8
2627,6
2889,3
600,3
845,5
1003,5
2248,6
1968,8
1556,6
2881,2
2405,6
1778,4
523,4
392,4
381,3
631,4
2892,3
1835,2
2527,6
70,3
2025,5
1866,3
1918,2
1372,4
922,5
1394,6
1611,3
270,8
1433,8
199,6
1669,1
1030,1
2674,2
22,1
2240,8
2094,5
2233,2
161,3
1355,6
662,5
1050,4
2997,8
2103,8
1723,4
61,2
2193,3
984,2
2996,4
1516,8
145,1
2853,3
1122,8
797,5
2107,1
1313,2
1991,5
735,4
664,4
2529,2
1077,4
307,2
389,5
1840,4
2782,1
2414,4
2059,6
784,3
1631,3
2093,1
500,2
1857,3
537,1
819,8
2162,1
2655,5
1127,1
1751,5
1679,8
1576,4
182,4
1833,8
2115,7
2348,5
2455,1
2956,3
627,2
728,5
1916,3
1305,6
1952,2
2570,2
2145,2
1819,2
2953,2
88,5
1596,4
1555,1
1276,3
2604,8
757,4
2054,5
919,8
39,2
2632,0
2871,2
702,4
366,6
2217,8
2229,8
2472,1
1021,8
959,3
137,6
1474,3
2298,2
1502,3
439,5
604,2
991,2
1319,5
474,8
1019,6
2716,6
2176,5
1696,2
2535,1
1031,2
1869,3
2712,3
2597,1
259,1
1432,5
1940,1
285,8
1150,3
1805,8
2051,3
2554,5
247,3
1417,2
1550,5
459,5
1165,3
2461,4
2088,6
2552,6
644,6
217,8
2806,5
563,5
996,5
2357,1
2355,6
2419,3
310,6
1139,8
2022,3
495,2
315,3
787,4
1184,6
254,5
651,2
5,8
1341,3
1306,1
1884,3
2190,1
1837,1
1972,4
2842,8
2921,1
2693,6
376,6
583,1
102,8
2215,5
2347,1
356,8
2211,2
1334,8
1069,4
36,5
2194,3
1493,3
2740,6
1712,8
937,8
2100,6
194,5
434,8
1439,4
2986,3
816,6
2210,3
1156,1
1901,3
1782,3
654,1
2707,6
1212,8
1354,2
58,8
1897,5
1841,4
578,0
960,3
2287,3
2493,1
2403,2
2333,3
2169,3
2367,4
1772,1
1955,6
1500,8
596,1
1562,6
859,3
636,2
938,1
2251,8
159,8
975,1
279,5
1314,3
747,2
1380,8
872,4
904,4
1162,2
1335,2
2332,4
763,6
1346,8
181,6
2413,2
2137,8
1504,1
443,5
40,1
2587,1
2232,5
932,4
1498,2
1208,8
940,3
2834,1
325,8
478,6
2376,6
1202,2
302,1
2164,1
412,8
994,2
1177,6
405,2
887,3
1040,1
605,6
2519,1
169,1
1073,5
2620,1
568,2
2000,1
2864,5
1745,5
353,8
2888,5
608,8
2064,3
151,8
1136,1
598,4
1405,5
2220,6
398,5
837,5
971,2
602,6
2496,3
2395,4
1677,4
69,0
1484,2
871,5
2586,2
1708,4
985,4
1026,1
726,1
1847,4
1199,8
1460,6
2762,8
2791,6
2198,7
2767,3
2409,4
1614,8
98,0
196,3
1117,7
86,6
245,4
1580,2
2912,1
2756,8
2837,6
2261,3
2835,5
421,5
1411,6
2755,4
2814,3
2813,5
1070,1
2310,1
2595,1
1529,2
2603,4
2495,2
1279,3
2313,2
786,5
2260,1
2104,3
1396,1
2118,3
967,6
2231,8
868,3
807,3
1290,2
205,2
2717,3
659,3
2596,4
1703,6
1577,5
828,2
2404,4
2906,4
2575,1
2683,8
1741,3
1680,4
2775,1
869,1
2764,1
772,8
2599,3
1082,8
1675,3
2816,4
2544,6
2524,4
1034,1
1158,5
2998,6
2078,4
1371,3
1477,6
2121,4
974,3
2356,5
885,6
1793,5
20,1
734,1
253,6
2682,4
1004,5
900,1
