doc_idx,category
640,7
624,25
2405,1
685,20
2315,0
245,1
966,0
837,0
2307,0
540,20
2230,0
174,15
476,0
1170,3
1523,9
1480,0
2415,26
801,9
1021,3
1770,25
132,12
978,3
1651,2
636,12
270,0
962,10
1251,0
555,9
714,25
321,3
871,2
971,9
1502,2
1838,4
1164,25
45,0
2166,2
1047,2
260,22
36,0
1243,10
381,0
2385,16
199,24
1627,9
961,9
1351,0
2397,0
1604,0
647,24
504,12
1354,0
1884,9
1128,0
2156,0
356,2
1933,42
1897,0
1124,6
530,2
1615,2
1409,0
1355,5
485,3
14,6
2067,0
2140,24
7,14
819,37
904,0
984,0
39,0
193,0
196,17
1500,0
970,3
1670,0
241,3
2170,0
23,23
1026,25
1663,38
1801,23
1318,0
285,2
2063,0
591,0
2319,0
252,0
307,24
1919,2
335,26
1617,30
681,0
169,9
1094,7
1600,30
1881,3
353,8
594,36
2425,2
2452,15
488,0
2122,0
831,2
771,1
1167,12
1957,11
182,25
1469,22
955,10
827,25
2247,23
1536,0
516,2
613,0
434,7
87,0
194,50
725,46
1422,0
40,1
408,2
523,16
1308,2
2274,9
1439,9
1208,45
65,25
88,0
1022,28
774,9
790,44
1289,2
2362,41
157,2
1521,2
1479,2
315,20
586,22
2035,9
1730,8
937,19
1020,1
809,24
938,16
684,15
1136,43
58,38
20,43
1109,8
160,0
393,25
1719,8
662,25
1805,0
1202,9
1945,1
2103,9
102,13
2413,0
1506,0
1587,12
1234,2
161,25
811,0
734,1
1031,13
2373,2
2242,0
301,0
1930,0
2357,26
1416,2
997,0
369,26
2124,32
797,0
2443,8
2149,14
713,43
798,6
1992,46
1171,43
1182,0
226,9
195,0
1050,2
2193,39
1443,26
28,6
1442,0
2186,0
967,22
2441,0
563,11
1392,4
91,3
2369,45
670,1
117,0
2125,9
1956,9
1069,2
423,0
2101,0
946,3
2136,0
2293,0
1188,2
1257,2
328,2
2037,0
461,1
1423,3
105,38
631,10
1315,0
2162,0
1568,9
1088,2
554,2
1068,0
800,47
227,0
495,8
1758,2
217,3
1710,3
605,33
281,38
1593,28
799,0
1531,2
2023,0
299,0
2302,0
1922,24
897,0
225,3
205,24
259,0
1258,39
736,0
1177,8
1833,2
499,0
218,9
1484,23
93,6
2416,0
1996,0
2197,21
1865,17
1099,0
598,23
302,9
1991,49
914,6
1955,32
1692,25
1326,6
1649,17
1393,47
724,3
1156,8
642,13
1283,2
1402,0
872,15
211,6
294,2
12,2
1906,15
1173,38
1744,25
1190,38
428,33
2215,0
2312,4
441,2
810,25
339,0
1507,3
354,9
2347,42
910,16
2427,17
297,12
890,0
1750,46
280,25
100,25
154,6
1711,9
1504,30
974,8
1278,0
2345,38
89,9
2356,42
737,1
405,12
858,0
965,35
682,17
959,0
2376,25
911,9
828,0
656,43
422,18
531,39
1451,18
128,1
1962,4
1131,8
2328,0
1586,2
1083,9
1440,2
10,2
807,25
2449,25
990,43
1001,13
2467,5
1240,12
1237,0
1499,12
1184,0
1401,13
546,9
232,9
1119,0
900,41
2002,0
604,1
627,12
1211,0
991,12
61,24
2223,27
247,1
857,2
565,8
589,0
853,1
1644,4
996,20
2199,42
5,44
1574,4
443,17
2380,0
1100,32
1867,24
1421,17
1976,0
1577,17
896,42
573,2
310,0
1279,32
1732,33
855,4
2096,0
1658,3
1266,3
679,0
1701,1
474,23
2084,6
1306,0
1633,3
644,0
145,13
370,9
1417,6
1330,0
1928,1
2148,17
2083,48
2137,4
2248,9
1995,2
1616,9
945,0
1554,22
1185,21
735,26
1685,1
1155,3
1433,4
1624,4
870,0
453,2
1747,5
2295,0
639,0
1664,2
1998,3
298,25
1334,17
43,11
2408,6
373,47
2105,2
1572,0
25,3
1295,0
254,2
2462,2
1714,8
2406,6
1244,16
2200,0
2465,0
1890,25
703,3
1115,24
1070,0
2400,17
1218,1
1082,0
47,0
1966,5
1723,9
2112,0
2118,24
432,2
1313,10
2264,33
1420,0
1952,38
1224,2
1389,25
151,0
543,25
651,0
2459,0
2208,0
1571,2
903,12
282,9
1186,12
2255,2
112,1
156,0
2253,0
63,27
334,33
993,0
1290,2
98,4
85,2
596,29
1688,0
464,2
2399,0
845,9
951,1
881,2
19,9
1675,3
747,0
421,0
2303,1
505,25
1150,36
2381,0
887,3
1970,25
654,2
2080,0
2000,0
1826,8
2078,0
514,32
763,3
2325,0
2034,33
325,3
2251,25
2351,9
913,1
2235,0
1527,25
1081,5
2277,22
2206,9
1144,0
296,0
1691,6
239,9
2028,9
2164,30
1516,0
2464,2
52,23
1818,2
1413,5
70,0
1950,8
1404,0
1002,26
787,0
769,25
1558,2
1200,0
1456,43
1912,4
317,34
1372,9
403,9
2020,0
792,2
1004,9
510,0
460,26
1662,0
1815,0
916,25
969,0
1477,2
522,23
1019,0
1405,45
2066,32
459,6
442,0
