doc_idx,category
1293,16
1007,0
380,4
1362,4
919,5
404,1
1089,6
1943,1
644,2
628,1
1180,6
143,2
2019,14
997,7
395,1
1941,7
1067,3
1021,6
1799,16
2003,1
890,3
409,3
74,4
1192,2
743,7
2170,5
989,4
435,9
1411,5
770,4
1047,3
319,4
475,1
1740,4
2047,2
438,2
1303,4
448,1
135,15
881,7
2014,11
542,4
338,7
64,4
1584,2
2119,6
1130,5
1531,7
948,6
259,4
1287,5
1567,9
867,4
1702,3
405,14
177,2
80,3
1685,1
874,4
239,8
598,12
1819,5
27,3
1604,1
1158,7
1111,11
1400,4
928,14
2071,4
216,1
2123,4
1610,3
1857,4
355,1
733,10
715,10
1930,4
1832,10
1238,8
672,2
1620,10
447,16
1683,4
2107,7
1547,3
1121,14
287,1
1199,3
1862,4
1127,4
695,4
1532,2
2137,16
1523,10
780,9
506,6
110,1
553,4
1373,16
1811,3
2166,10
571,8
2046,8
1730,0
169,2
118,5
1705,4
705,4
69,11
1245,6
2036,1
1645,1
172,6
1514,4
2128,1
1595,5
33,4
1187,7
158,14
2006,6
369,5
2096,14
1870,4
1179,1
1750,16
1084,6
258,14
1905,6
1261,4
1337,16
1322,7
1902,4
162,6
988,1
532,3
1329,4
1561,4
565,15
954,6
1033,3
1721,4
1280,4
385,4
847,3
1305,0
2117,6
1946,4
309,2
256,6
1539,8
123,5
1582,10
1167,1
416,3
2030,16
503,4
2035,16
277,1
141,6
813,4
1466,6
691,14
2082,3
561,16
279,3
1807,4
653,9
1981,5
1170,3
801,1
2105,1
1214,2
445,7
46,14
567,8
747,4
1956,16
1875,4
414,6
795,4
1536,16
2063,5
1872,6
2200,2
351,6
1228,1
1221,1
1783,3
880,7
1113,3
1439,6
793,1
464,3
950,1
2055,4
1453,4
583,4
951,2
153,4
1148,8
1552,4
539,16
1346,12
1110,14
1607,1
756,1
1142,10
1503,2
574,3
1051,3
758,1
82,4
976,2
2106,4
1923,4
1340,3
1296,10
458,4
1085,4
308,8
450,2
1801,4
57,16
1590,5
1711,14
23,1
1274,4
541,2
1123,8
1755,4
1211,7
1090,14
2201,7
362,5
2034,4
1986,3
578,7
1050,6
900,1
1954,1
1826,1
1099,4
94,7
439,4
190,4
1236,4
673,1
1300,4
1446,3
318,1
290,3
1633,4
834,4
1480,3
634,16
965,1
884,7
632,1
1719,6
394,4
1267,10
343,4
2004,4
637,6
612,7
1580,4
2,11
2127,11
1281,4
207,3
1961,4
1957,9
955,15
806,1
441,10
2079,1
378,4
2112,1
19,16
520,6
160,3
1763,10
1132,4
1491,4
1760,3
1402,3
1879,10
364,4
551,1
932,6
604,1
1407,1
664,1
1208,3
1408,15
271,2
196,2
572,3
1463,3
826,3
687,1
1074,4
1377,6
712,4
727,13
560,1
1364,4
1695,8
1697,4
1517,3
608,2
2070,4
651,1
1736,4
661,2
1966,10
765,4
353,7
320,4
1786,1
655,13
425,3
1866,1
594,5
480,14
1867,4
1277,3
397,14
1530,1
345,3
432,3
754,8
535,14
1003,7
778,7
518,5
742,4
979,4
1703,4
641,4
146,4
1675,1
562,4
1087,5
2179,2
1014,5
1023,5
1299,13
763,11
1270,1
1649,8
1094,2
1509,14
90,2
568,5
1360,16
2177,5
2115,4
433,6
1712,4
1928,6
304,1
785,4
1225,4
126,4
281,1
1728,14
1798,4
523,6
1828,3
1776,1
2033,2
1009,11
285,6
1331,4
466,4
1182,10
1469,3
824,1
1588,4
529,4
1950,3
776,4
354,3
987,5
854,4
1091,4
899,3
1291,1
508,7
849,3
1700,1
1326,4
1689,6
16,2
421,10
1647,1
660,4
323,10
550,14
1045,4
1320,5
1039,5
2075,4
1998,4
1022,4
430,4
70,6
527,8
1854,10
164,4
1985,1
1785,7
701,5
922,5
2093,4
79,1
1574,4
1947,4
724,2
1802,1
1137,10
769,11
163,3
1932,1
1353,4
1255,7
842,4
2037,5
972,7
1500,4
723,3
303,5
391,2
779,4
748,10
1839,3
657,6
625,4
2195,1
333,1
2057,10
684,3
804,14
1359,3
1627,1
876,9
231,4
2188,8
1279,14
1186,4
1678,4
615,6
1781,3
478,4
134,2
9,4
1455,2
1011,4
42,7
291,6
505,8
1538,1
859,2
490,16
284,3
117,1
759,4
1049,11
166,2
1401,1
749,4
104,8
1472,6
1143,1
460,4
1348,5
195,10
77,11
1201,7
1478,1
457,4
1030,10
7,5
1017,4
1374,11
1096,1
484,11
188,4
1881,2
817,12
314,6
98,10
1560,6
2021,4
2058,6
1512,7
1847,9
995,7
1901,4
559,12
1338,10
607,6
1753,4
1976,3
580,4
599,5
1436,5
89,3
2013,4
963,6
1344,7
171,4
1355,4
1151,1
184,4
1537,10
1838,6
1746,11
1795,4
1247,14
579,1
1222,7
1805,4
996,1
592,2
1191,5
2203,3
846,5
2194,7
650,4
410,2
1497,5
34,1
898,1
1975,3
1078,2
1371,7
2191,14
1307,3
642,3
165,10
265,5
1421,2
1977,3
2176,4
990,4
2212,16
1742,11
2209,1
38,1
192,11
549,4
556,3
1934,2
2007,2
1860,1
2169,1
185,14
893,1
1762,14
1125,2
1629,7
1166,3
1415,2
1000,8
1268,2
1945,1
1286,6
1910,1
189,9
393,3
627,5
1958,6
498,4
1018,4
2027,4
288,5
906,6
307,8
1075,6
1525,2
1553,1
1775,4
1554,3
1119,5
1771,6
418,1
1829,16
1317,5
486,2
2143,11
2215,12
1465,16
96,4
2138,5
821,4
509,8
897,1
211,5
609,11
2084,9
1071,5
682,1
1794,3
514,12
2048,9
217,3
1441,11
1935,4
1665,6
970,4
1581,4
1614,6
1115,3
2015,4
588,5
1587,7
182,4
2193,7
735,14
557,1
236,16
1708,1
426,4
1072,1
2187,3
268,11
340,2
896,4
335,4
1664,6
1482,4
154,14
2088,1
482,2
2192,5
844,2
1735,6
750,1
1602,15
1691,9
1521,2
346,5
459,11
521,1
137,7
2184,4
219,4
1271,0
2052,4
1732,1
894,7
1339,1
1095,4
1841,10
827,4
2133,6
208,16
352,8
1027,1
1475,7
1709,5
1253,15
920,1
981,7
585,3
1384,3
1782,7
2062,1
1002,4
832,4
685,1
1452,4
1508,2
1929,1
2000,7
402,1
784,9
693,6
2041,4
812,3
683,5
2069,6
1434,2
108,3
1372,7
841,1
1440,6
2017,6
1169,1
671,6
1716,1
1886,1
1073,4
469,4
861,2
412,4
980,5
1622,7
622,7
2031,3
1967,2
1570,3
1757,3
54,5
974,2
218,13
1889,4
2026,4
1843,4
2102,4
203,5
1951,7
2085,3
1449,9
679,4
730,1
882,16
967,8
1044,1
1997,5
1419,2
1662,5
2083,14
917,1
798,3
1285,7
696,5
2139,1
399,4
1887,14
1025,1
1269,14
636,6
1319,12
2104,1
1217,10
479,9
1727,1
690,2
1288,4
728,3
1036,6
1093,4
851,0
602,4
1576,1
83,11
214,4
1779,11
909,3
775,4
984,14
1840,4
1743,4
1249,10
221,3
95,11
