doc_idx,category
1320,1
1888,6
2278,6
1384,5
1686,13
9,2
942,2
271,9
1191,1
2085,6
272,2
110,4
1744,2
2705,2
1425,13
798,6
864,1
898,11
2671,1
995,10
196,6
1031,1
472,1
1011,3
1665,5
2238,6
913,3
354,7
1109,6
1280,1
641,6
2754,14
1678,0
1240,2
946,2
1847,6
135,6
722,6
991,1
846,2
134,1
432,2
106,1
364,1
1590,0
1530,6
405,5
1348,2
548,11
1609,10
1230,2
1663,7
333,2
469,9
2058,7
1751,6
612,1
2861,6
797,2
1697,4
2530,10
203,3
1910,2
705,9
2623,1
1175,8
438,1
834,5
796,2
2737,7
1213,8
70,1
2254,9
2752,6
2139,13
1006,6
1417,7
2807,4
642,7
1221,2
860,2
1491,0
2397,6
1891,11
656,9
1324,1
1315,6
756,2
598,9
155,6
617,6
1802,2
1361,6
2846,6
290,5
1326,3
1834,11
54,2
2229,2
1534,9
2517,7
1199,0
571,9
2492,6
1720,7
592,3
2769,1
990,7
2878,1
507,5
2666,4
1676,2
2233,1
1566,0
1153,0
1517,3
2247,9
2786,6
979,10
1110,2
996,2
68,2
2461,8
1945,4
1646,1
2938,10
1319,2
523,2
1457,6
906,5
445,1
2772,2
1232,5
1249,2
2923,7
373,13
1845,0
1330,8
439,9
1393,4
2679,1
551,2
2,6
1679,13
1065,11
2087,12
651,1
184,2
1327,5
2377,9
1993,2
854,2
2495,7
2194,1
2862,8
141,7
2902,6
1287,1
2468,4
2020,8
2437,3
1527,2
558,2
1879,9
1764,6
207,2
2925,5
508,2
2236,6
2731,6
308,5
1095,6
958,6
1655,5
2391,9
1428,2
2894,3
342,2
39,2
968,9
2079,6
259,10
1302,4
1763,2
1532,9
2904,1
1904,6
1887,0
950,3
896,6
2922,2
1580,2
2834,2
830,6
105,2
20,6
2313,6
2483,10
1328,7
2060,2
46,1
1402,1
813,1
632,11
1950,6
447,2
821,5
2559,1
2865,8
2500,6
1727,6
1753,2
2620,6
1895,2
2968,1
1106,6
1151,6
1997,5
1688,1
1112,2
389,1
1283,1
2699,9
584,4
2355,2
2165,1
2756,9
440,5
2088,4
2649,6
2554,1
1912,6
2501,6
166,1
2412,6
2576,7
1783,8
1383,6
1166,6
1890,9
2295,14
2887,14
545,2
143,5
2096,0
1062,2
76,1
288,12
2003,11
1928,6
2277,6
1398,1
2449,2
2503,6
380,14
553,0
1013,6
2673,8
832,6
964,12
2719,7
500,1
765,7
2720,2
1461,1
1920,2
1620,7
2310,6
1970,6
150,0
829,4
1897,2
2510,6
1660,14
51,13
2164,2
2226,7
2055,5
79,1
693,4
1037,11
1359,3
1301,13
412,6
2660,1
2211,0
374,6
1441,12
1614,2
1137,10
1445,2
2389,0
1861,7
1603,8
301,7
1712,1
2545,0
2739,5
668,0
1050,12
980,2
2190,1
191,6
2466,2
1774,2
2809,6
885,7
1275,14
1316,6
2710,5
849,1
2717,6
876,2
1026,6
570,1
1263,8
1699,6
579,0
2907,7
1631,1
951,6
583,2
94,6
2686,1
2077,14
487,6
1654,4
1256,6
122,1
770,13
80,5
2763,2
672,13
1127,1
95,1
2272,8
1057,6
1958,1
1870,9
2713,9
1192,1
726,2
1362,1
90,11
318,2
2181,5
1438,2
1056,4
1025,2
2484,12
320,5
1735,2
758,0
2150,4
1024,9
1096,2
1279,1
303,7
604,13
682,6
2435,2
777,3
1618,9
2566,1
2674,2
464,8
541,1
1054,9
42,6
74,2
2521,4
2780,1
1730,2
580,2
2488,8
2571,14
1743,1
1704,3
2183,0
1286,6
69,6
835,8
26,14
2573,1
812,1
1304,7
697,6
2879,4
2017,1
1052,6
587,2
366,10
2884,2
1079,1
2385,3
1911,5
2372,2
2480,14
2476,9
844,1
1410,5
2193,2
2381,5
2647,6
338,9
355,4
2209,5
1668,2
2818,1
2513,2
978,1
1165,2
2595,8
1188,7
2621,2
608,1
2321,6
263,2
715,1
1255,1
510,3
2012,9
565,12
2522,2
2964,6
2586,2
60,8
775,6
1427,2
2789,1
27,10
2724,1
1507,2
2618,6
1084,4
2114,1
2407,6
231,2
2529,6
1115,9
2924,2
2292,2
19,2
838,7
1557,11
2207,7
177,0
574,5
2311,2
429,1
2457,5
2305,6
47,1
192,5
314,5
1111,2
881,1
137,5
1647,5
1465,12
2822,8
73,7
