doc_idx,category
3854,8
1353,1
4023,3
2781,3
4326,1
3153,5
3405,14
4336,6
384,3
4270,1
3074,4
1510,7
3828,0
3940,5
1011,2
1192,1
547,5
4352,5
4112,1
145,14
1381,5
4069,8
659,12
2143,5
1961,5
2222,6
1589,1
4292,5
994,4
125,3
3858,7
479,1
413,11
1238,2
2421,14
3716,3
1402,1
1528,6
3256,1
1208,9
2123,6
1863,3
3977,3
1429,12
1379,6
4233,4
301,2
2211,5
1164,1
90,10
3887,1
3809,1
1773,1
2608,3
1551,9
528,5
4141,1
4407,14
2935,1
781,13
3308,2
4456,8
4050,2
3010,7
1577,4
2818,7
2966,1
1759,9
3801,4
2919,5
227,1
163,3
207,5
3911,5
912,0
3053,7
3298,5
2544,6
1504,1
108,3
1452,8
1410,7
945,6
2772,6
1834,8
3323,3
841,1
3502,14
2176,3
3152,5
3328,5
2113,14
3009,1
642,3
347,8
2456,6
4158,5
3226,1
1822,5
469,5
3861,8
4087,3
1218,1
3313,5
502,5
2822,5
2983,1
404,1
1434,5
1469,1
1666,5
2860,2
623,1
2142,3
4374,9
265,1
1068,8
4381,3
2285,5
702,1
2283,2
4209,1
2266,4
113,1
3370,1
2603,5
3748,1
2579,5
951,5
3683,1
2326,4
2971,1
1105,0
4445,7
2479,8
1962,8
1631,13
3794,1
2069,5
2521,14
3026,5
2009,1
3561,13
1032,7
355,3
1016,6
2335,1
607,13
4399,7
1483,1
657,5
3011,7
435,3
2541,13
1447,8
3883,5
3795,1
3421,5
1695,8
4212,4
1251,5
287,13
2777,1
2802,5
1707,5
229,7
3083,4
3190,6
963,7
11,1
1713,3
2442,5
3695,5
2184,1
3686,5
2744,1
999,8
4252,1
2906,10
1616,11
4073,5
2946,1
2128,6
3165,8
2656,8
2526,1
2351,8
1217,3
3516,8
833,14
1301,6
3296,5
328,8
1761,3
2845,13
96,10
4454,13
433,1
1020,7
4256,12
3121,5
959,6
2111,1
3757,13
567,14
3784,5
1705,8
1740,14
2742,3
329,1
3904,3
1324,0
1163,3
292,7
4449,7
365,5
2624,2
3587,8
191,1
1269,3
1419,3
44,2
3684,13
3571,11
1895,8
731,12
2060,3
2249,1
2869,1
2497,7
3172,9
560,6
2968,14
1540,3
2474,3
3529,1
3668,2
2440,7
2016,3
1842,2
3816,6
3305,6
2337,1
4162,1
2416,3
434,13
4230,8
3783,5
4355,1
1188,1
2593,1
2745,2
4274,5
3043,8
121,8
3147,5
4015,2
4181,2
1216,1
1191,8
1906,8
1458,1
718,14
1557,14
3905,8
1775,6
4239,2
4276,5
3404,1
2517,11
2661,5
523,1
3991,1
3134,13
684,11
2413,7
3331,2
1676,1
3620,6
995,13
1727,4
2916,1
1958,1
943,12
2080,1
1564,6
2546,1
2117,14
3215,1
3536,2
2612,7
345,8
2973,3
4199,9
1030,14
3201,5
3060,5
1249,11
4133,8
3687,1
454,3
3523,1
3228,8
1121,7
379,14
3469,11
21,6
3471,2
4130,11
4419,3
4000,7
2726,5
3356,13
2406,8
1590,6
1295,1
3713,1
2960,2
2672,8
4070,3
3110,6
2750,1
2699,1
174,7
2265,6
2768,3
1278,2
3248,1
2149,1
3942,1
1360,1
3428,4
2273,5
1981,13
3843,1
3390,3
4026,8
2800,7
813,14
1846,14
972,3
1999,1
2977,10
3857,10
1255,1
337,1
2877,14
2589,5
2685,7
65,2
2151,8
653,5
3138,5
1061,13
222,6
3198,1
2354,5
2783,1
2382,13
3164,0
1025,6
2324,2
2243,14
3275,6
3239,13
1752,4
2190,9
1141,3
4251,7
483,1
3039,7
1973,2
812,1
857,5
2980,10
1535,0
2336,5
3061,8
48,5
3780,14
3855,6
171,1
1158,4
264,8
3447,1
2292,13
418,2
1286,3
4061,3
3908,7
2245,12
3792,6
4286,1
4440,3
552,3
2316,1
3219,6
4494,2
141,8
700,8
3921,5
161,1
79,5
4356,5
336,1
2355,5
1733,5
2712,1
3725,1
1387,5
2673,1
3320,6
2914,1
3746,5
3330,1
2930,5
1145,7
213,1
2231,13
1833,8
1117,14
3805,9
2765,5
450,1
445,1
52,8
2700,1
193,3
2864,8
1198,1
2198,13
2588,1
1746,2
1527,3
2551,9
1418,14
1945,14
3637,11
2681,1
2426,1
3673,1
2686,1
2639,5
3802,2
1439,6
2756,7
2766,1
3577,4
1169,3
3900,8
62,8
2555,5
804,1
2448,0
74,5
2625,10
3254,6
2597,6
3867,13
1518,5
3830,3
4496,1
4163,5
51,7
3335,2
1110,3
1422,14
1085,2
2122,5
2849,7
1531,5
1126,5
310,5
319,11
1599,1
3382,1
2727,8
504,7
1088,4
149,1
2452,4
3993,1
949,3
2562,1
3973,1
1065,6
4115,7
3167,5
2961,1
4137,5
1477,1
2809,3
2345,1
3040,1
694,5
1120,7
1708,1
3016,13
1047,7
4398,3
2055,5
3034,2
3541,5
1024,5
4320,13
815,4
2665,1
1390,1
4444,7
3813,4
1087,5
1002,6
194,11
3128,6
2810,13
219,5
1798,1
417,2
1139,1
3216,3
2573,1
2903,5
2071,12
1209,1
1639,5
1307,1
3909,1
4029,5
1436,8
3600,6
1441,1
879,8
3791,3
2182,3
3841,11
3304,1
146,1
2838,5
798,1
1306,1
1889,1
2045,1
2850,5
3311,3
2684,1
1917,4
3832,14
1632,5
2332,5
3229,6
3142,1
120,1
3665,3
419,1
1254,5
1522,1
1879,2
3732,5
3504,5
3935,11
2329,1
94,1
3876,9
104,1
199,1
3088,9
1912,1
2819,1
3068,1
1177,1
2179,5
3880,2
1788,6
928,8
942,6
1317,14
215,9
3238,5
816,13
2748,1
2340,14
4166,1
3594,7
2591,5
4436,1
524,14
2304,1
3641,2
230,5
392,5
1698,9
2011,1
1021,7
1764,3
2405,6
2317,7
2140,1
1615,7
2453,1
180,1
800,7
2216,9
3102,3
834,6
26,13
4136,4
2346,6
898,2
1568,1
3970,14
196,2
1817,8
3721,1
930,1
3759,5
2341,3
2932,1
4200,3
1629,5
2563,13
1924,14
3269,3
2780,2
887,3
4277,5
2824,6
1470,8
2770,1
3958,7
3550,5
837,3
2073,6
885,2
2529,1
2028,13
2533,3
1350,2
4123,6
4065,13
155,2
3194,13
854,5
409,2
4154,5
3263,6
402,2
3913,9
3875,7
4005,1
658,7
3035,1
3368,13
4284,6
2004,1
2407,1
2463,14
2227,1
2023,3
359,1
3955,0
78,7
2547,3
791,11
214,7
3616,5
2232,2
2701,5
4182,0
2508,8
1927,11
2599,5
1739,5
4178,1
1881,3
105,3
4369,3
321,1
1196,7
3293,5
1244,9
4464,1
1750,1
1264,14
3574,1
4033,5
3005,1
3569,9
3787,8
1476,0
3166,6
1440,14
3936,4
827,7
3964,1
4280,1
664,1
3920,5
2829,6
2841,7
2958,14
2719,2
1,3
3154,5
3669,8
55,1
2826,9
3326,11
4232,1
2460,12
1831,1
2644,7
2193,5
3535,3
3037,1
1967,1
2570,5
3566,3
3941,7
2506,5
461,1
4303,14
1567,5
4416,8
1075,11
4455,3
1538,13
924,14
1031,13
4077,13
2762,1
2210,7
1908,7
3473,11
2663,1
2470,7
1322,14
2027,1
3434,3
2492,1
1680,6
3768,8
427,7
2281,11
1506,1
2223,1
2083,5
529,6
3615,1
3044,10
1067,10
1424,14
1174,5
307,6
3322,2
636,3
3279,3
4283,13
521,8
2688,1
4194,5
2270,8
4484,1
3563,1
3963,3
3671,8
2981,9
2473,7
927,1
4060,5
2238,7
330,3
1893,9
3409,1
2598,3
1820,6
2119,7
1991,3
1035,5
72,7
1681,5
4159,1
2821,1
2107,2
3959,6
4063,7
1946,1
4057,6
206,6
2444,5
1583,1
2653,1
1884,6
1084,7
579,11
1849,5
2276,2
1245,8
3902,3
2396,7
4054,4
2418,1
1943,5
425,1
934,8
3207,5
2908,3
1365,5
2036,7
1561,6
1891,1
1725,3
2516,7
3056,9
3595,3
799,8
1892,5
1437,2
2472,2
3989,1
1520,5
63,4
3480,8
1479,5
1474,1
593,5
920,12
1179,1
1861,1
670,5
2937,1
2660,1
2125,3
3527,8
2827,4
33,3
2725,5
601,14
1855,3
3917,5
1963,1
2754,7
14,14
836,8
2851,8
4056,1
3906,12
2925,3
2378,11
4424,3
3662,14
4143,1
3137,13
2154,4
3065,8
1859,5
2438,6
666,14
3063,6
1827,6
3261,5
3589,5
2095,11
599,8
2683,1
3111,1
374,9
1157,5
4349,13
2571,0
4452,1
1811,1
3300,14
2476,1
1066,1
3354,7
4307,3
36,3
477,14
580,1
505,14
1699,1
2718,1
2482,1
2242,1
1851,3
1870,11
2309,14
2976,1
3439,9
4325,14
1576,1
3559,3
1161,5
3817,1
1953,8
754,3
2402,14
268,3
142,12
3650,5
1236,14
4420,7
3204,1
4170,5
4120,14
3702,1
3679,1
784,9
686,7
4341,5
3289,1
2300,6
4265,10
4304,5
770,14
1930,6
1347,1
4207,1
638,13
935,1
3634,6
4498,3
1155,3
3425,3
4058,1
1313,2
1929,2
1652,3
2837,5
2215,11
3834,1
1579,1
1807,7
3160,1
1609,1
412,3
1569,10
101,8
2704,2
2615,8
4228,3
4203,9
1348,2
1593,3
4404,1
4438,5
3628,5
3949,5
2457,13
1795,1
1355,3
1956,9
175,1
1331,7
3585,8
3299,5
1123,4
4234,1
2197,2
1503,14
3924,3
3894,1
4034,8
3348,1
1805,5
3208,1
851,5
3357,6
315,5
1231,7
1971,10
3427,2
662,1
2788,2
1094,7
1484,5
3947,5
4227,1
208,1
4099,1
3212,10
2156,2
3402,2
914,14
1779,2
4315,0
2929,6
2975,14
1455,9
2475,1
3737,3
795,1
2893,0
673,5
4443,1
4287,10
452,6
637,7
550,2
4357,10
