doc_idx,category
2842,43
1194,35
1447,63
3056,53
2376,43
3319,59
3343,59
1456,63
57,21
666,12
1738,34
67,21
2864,30
3259,55
2921,54
2675,15
2956,65
2900,30
31,61
2639,30
3235,29
304,60
583,34
3432,12
2024,11
889,41
3347,0
549,11
3663,46
2318,34
1422,0
1659,4
1105,23
1913,3
2558,65
3356,58
739,63
2273,60
1662,11
1418,3
2028,11
38,12
1740,35
1220,35
2442,27
2725,51
1176,22
158,20
815,40
2701,43
3166,29
2359,43
2931,54
2457,22
751,54
1411,3
1107,27
2548,51
1986,2
828,49
2166,29
3104,6
2539,1
546,6
1442,54
967,62
1616,49
3610,58
2775,8
252,41
1097,22
859,40
531,30
2177,29
2726,60
3655,46
610,17
3600,58
1357,34
1088,27
846,44
1882,54
2978,14
496,56
2432,25
3024,53
408,21
2791,59
1402,8
547,6
224,60
1893,55
1549,11
942,38
619,17
1071,41
28,31
2106,23
3570,11
3208,11
1236,15
2674,0
2769,7
1646,4
1613,49
586,34
3373,59
1281,47
1794,51
3004,14
3193,61
2390,11
136,30
32,60
189,50
3113,61
1767,4
2288,60
1640,4
1223,35
3233,38
1340,19
894,41
933,53
2763,8
3116,61
62,21
1361,33
574,34
1926,3
1076,27
3670,46
2908,55
642,12
3357,51
480,56
3586,8
3031,40
836,41
2152,20
2609,41
3513,40
42,21
2988,14
2403,59
804,40
2849,22
2935,54
1055,61
994,11
1818,51
2546,66
1526,11
2760,8
1957,2
1785,11
3488,60
503,56
1399,8
3218,29
2562,65
2566,47
1262,15
1803,40
3395,12
3649,37
1382,33
1706,5
874,39
868,40
2664,30
3384,31
1160,22
36,11
537,6
2904,54
2013,11
2109,46
1242,15
557,6
1419,51
2240,24
875,43
162,50
934,39
1825,51
2047,49
2907,65
1437,6
2813,11
3282,55
449,34
1377,33
483,1
2620,41
1057,37
1900,54
1648,4
992,62
2816,11
1206,35
2124,46
2671,28
2909,54
1916,3
26,61
2894,17
2615,40
1519,1
8,11
1653,4
406,22
2526,0
975,2
2602,41
564,34
34,11
472,34
1250,15
528,6
672,5
1655,65
1887,55
1618,49
2634,30
1641,62
3669,40
3036,38
1090,23
1263,15
733,55
629,43
1859,17
1824,51
1237,13
4,11
2110,50
949,39
1201,35
809,37
927,39
3408,11
270,37
2478,59
2085,31
2436,22
1981,1
1997,11
2253,24
2029,40
1420,65
2439,23
455,34
2402,51
1921,3
1657,4
767,31
2415,59
246,37
1319,19
165,50
1714,35
1389,34
1407,15
3447,47
2417,59
1890,20
955,39
1787,4
2071,22
3013,16
948,39
3628,11
519,56
578,34
2025,11
2632,30
1718,35
2317,52
842,40
2600,47
1025,59
679,61
1033,59
1068,49
843,39
2666,28
3241,50
3301,31
3100,6
310,60
2383,47
2357,43
1387,33
300,60
93,26
3320,31
2920,49
1021,59
2219,25
2952,48
3658,46
3221,47
1671,51
238,11
893,38
924,39
2982,14
3634,46
2688,11
1092,27
3333,51
630,17
366,5
3567,2
876,40
2131,43
1140,23
3418,12
3624,60
323,49
527,21
23,11
1098,27
1569,38
285,60
2326,35
1010,59
3306,59
1264,5
3421,12
1993,11
2280,61
731,60
44,21
465,34
772,31
398,5
7,28
693,14
3307,31
1400,8
3237,38
1392,34
2754,2
351,38
3615,0
1175,22
773,31
3084,59
116,26
1230,35
3461,39
2241,24
1289,18
2765,16
132,25
3553,39
755,54
2863,19
921,39
3229,42
1726,34
3377,1
2366,24
1617,49
636,17
3386,59
1035,41
1267,15
3617,31
2352,64
996,62
3538,47
2263,24
599,52
1589,49
330,49
3257,55
1354,33
2272,60
2156,29
3382,59
1844,27
587,33
2062,40
1749,4
2950,49
1238,15
2874,17
3548,47
1695,51
3085,59
2669,28
3521,47
441,33
3511,11
2184,20
2224,25
3236,46
1838,64
989,2
2437,25
2691,15
1698,11
3422,12
529,6
3613,58
608,17
21,61
3666,5
161,50
1345,19
1812,51
1592,49
3413,12
2645,27
834,41
3143,51
533,21
2389,59
1594,49
2538,0
1063,37
900,41
1072,38
3428,12
656,61
2467,22
3502,31
498,11
477,34
1245,5
159,31
2859,22
3539,47
160,50
3069,59
2075,17
3331,58
2843,43
3176,29
331,49
782,31
2059,11
370,61
2727,60
2997,14
3239,47
854,38
2855,22
2631,30
2038,51
221,11
3576,9
1034,41
2178,24
2953,61
1858,20
2881,22
2802,59
344,61
3106,6
2407,59
2890,22
2624,41
1806,51
3322,25
3058,29
1535,1
3133,58
2567,40
142,20
79,20
1153,19
1601,49
50,21
1802,51
1686,3
2943,48
3244,55
3609,21
3546,47
567,52
2308,15
150,25
341,38
2175,47
3194,16
2899,17
2115,41
222,11
944,39
1489,46
1800,61
103,26
1579,48
2193,25
194,50
1171,22
196,46
700,16
2414,59
971,11
3385,59
3177,11
1269,15
98,19
1467,63
