doc_idx,category
5482,2
2145,5
2518,2
5141,17
1763,8
4055,4
11,0
2636,17
621,4
2046,8
2577,1
4493,2
433,9
2050,16
3356,7
1666,5
139,2
963,8
2302,15
4881,1
2105,1
3693,0
5207,1
4940,2
2380,1
1851,2
3721,4
344,1
1025,1
977,3
916,3
1540,1
5125,7
5281,0
2944,18
2589,3
4737,1
4460,0
1734,2
1417,15
2263,4
1178,8
3741,22
4678,1
5413,11
4467,3
527,7
5456,9
167,3
5100,3
1942,11
2102,3
4556,1
2026,16
3294,4
4087,2
1975,5
2674,3
3139,3
4599,1
2876,4
1089,3
1325,17
914,3
657,7
94,3
710,3
4252,1
121,9
2791,10
1699,10
3309,7
3466,3
195,0
761,1
1834,3
194,11
2803,1
2873,3
1680,4
3605,7
2128,11
2885,15
4530,0
166,1
2181,5
2429,1
3942,6
4305,2
596,16
3633,1
1765,1
1568,16
2610,3
5202,11
4282,14
2047,4
2250,7
4337,1
3599,0
4107,11
4466,11
1019,1
1886,5
4218,18
2559,3
4385,1
1235,11
1668,9
2601,4
2583,11
4864,1
174,18
1031,7
734,15
3838,16
3116,3
1232,7
3465,1
3219,16
4990,16
3362,3
3495,11
5001,11
1379,18
4887,8
4929,17
1926,2
5404,10
5275,2
1750,15
2037,2
2839,16
4242,0
5203,9
5305,2
214,7
4300,1
3408,17
2563,0
1920,4
4116,1
4723,22
2194,2
4229,6
2287,1
902,16
1650,5
4643,6
3763,9
2631,7
584,9
5421,4
213,15
2355,11
1900,4
1469,16
4926,15
2020,21
2330,5
4615,1
434,1
3511,3
3537,1
3480,11
4429,3
922,9
5367,12
3821,1
43,10
3770,16
670,1
2044,22
2841,1
5449,0
1897,1
2243,2
470,7
153,1
4595,3
1187,1
5140,16
4989,8
3243,1
351,3
180,1
4582,8
5087,3
4952,3
2895,0
5377,3
145,11
1383,4
5327,2
4825,21
3189,1
4277,16
2736,7
591,18
164,3
3632,16
3105,3
3787,10
1060,14
515,8
1530,2
1584,16
1656,17
147,21
1163,1
4769,4
941,1
4328,3
2426,7
1489,4
2318,0
3099,4
4522,5
3079,3
2176,4
2823,16
1593,2
2234,1
739,3
3530,16
475,3
1879,1
1539,3
771,4
1969,3
4786,1
4600,11
1369,5
658,1
926,3
1208,3
2412,3
2789,9
376,11
3583,0
4978,1
4982,2
2394,0
4770,3
971,3
3387,8
2829,1
1283,1
2595,1
4972,13
4828,1
1968,18
948,3
5390,4
4655,4
3680,3
5206,3
2519,4
5051,1
426,1
3906,15
3285,2
2814,1
3358,5
1976,3
512,3
3968,3
3184,5
933,1
2555,1
1945,8
4439,1
248,5
2938,19
3868,16
5487,10
2985,3
2916,9
2414,2
2707,16
3687,1
1220,7
3931,1
3052,1
3501,1
3438,3
2920,1
5474,16
1107,1
4475,16
1264,2
20,4
2761,5
1357,1
4729,1
4830,1
2865,3
50,2
609,3
1890,14
1772,16
4255,1
3111,3
3907,1
532,11
5237,17
1338,15
2623,9
4576,11
4639,1
4961,11
57,1
3971,18
1848,1
4986,1
3024,1
4979,17
2068,14
3489,16
1223,4
3421,3
2586,11
1483,15
1137,3
3781,1
3007,2
551,0
2861,6
4499,11
3999,0
1470,2
1869,1
5254,1
4617,4
1697,3
134,1
2002,2
39,1
4006,6
2431,1
2308,12
3082,16
3824,7
1581,18
1940,3
5301,15
281,4
3850,15
4216,8
503,1
4105,3
178,4
1222,9
4190,1
5234,5
4968,8
5218,7
1150,1
1801,0
861,3
3125,4
2952,11
286,1
2400,1
1459,10
2226,4
5460,3
2862,1
4235,8
2902,3
230,0
2458,1
5079,1
5428,3
4489,10
