doc_idx,category
960,4
311,2
1357,9
2748,5
478,11
295,10
814,5
2214,6
1818,2
1923,2
277,10
2428,7
1856,1
1286,4
2940,2
1074,2
2248,11
898,4
1835,2
133,9
2351,9
1225,10
620,7
2547,5
2802,2
1051,10
210,12
952,4
1743,8
1366,10
2000,3
2490,9
1384,1
120,10
2674,2
1619,5
2217,10
93,6
246,5
454,1
2574,10
2909,4
2438,9
1129,5
701,2
160,2
2208,10
2079,2
2355,12
1171,4
902,9
24,10
2001,5
2125,1
473,6
2976,9
1414,6
1861,3
470,4
2623,6
20,6
1694,10
2521,4
1272,2
2273,4
2999,11
1745,1
2768,4
249,1
480,5
2378,3
167,2
1328,10
2435,4
2119,1
2541,8
1720,5
1415,11
1603,1
1785,10
1617,2
2404,1
950,4
1424,3
1018,1
1146,1
1466,4
1709,5
2402,2
439,1
1212,5
1915,4
2030,1
1273,3
1059,7
727,11
109,6
2782,3
1149,1
1112,1
807,4
966,8
809,2
1961,2
197,2
442,4
1107,3
186,4
1045,2
1666,7
1544,5
1423,1
2489,5
2801,2
2844,10
2094,1
2362,2
392,1
2381,14
211,4
1863,13
1404,10
380,5
2880,11
1512,2
2104,5
161,4
2163,11
2426,5
1026,2
221,5
1731,10
2045,5
2303,10
1940,13
631,1
776,5
2230,1
1077,1
543,1
1337,3
815,1
1037,6
379,3
520,11
612,10
1207,11
466,3
289,1
1787,2
2797,5
171,2
2824,4
529,7
1909,4
2760,9
503,6
897,3
2449,1
2658,2
1313,2
2067,12
2611,10
1550,1
1579,11
191,5
2414,1
598,1
2076,11
775,6
1094,10
1211,2
2966,5
481,1
831,10
416,5
2458,1
1447,2
72,11
1669,6
682,1
705,1
1320,2
2257,1
441,11
97,1
2475,10
3004,4
885,9
637,12
184,11
1802,4
2176,1
122,5
2789,3
992,11
254,1
1979,1
1997,1
2804,4
1616,1
2078,1
1192,6
39,2
591,1
2026,2
386,13
1912,1
2960,5
2562,6
2822,3
1726,1
1019,14
1434,1
1021,5
2287,4
100,1
2166,12
1513,5
2718,13
1870,1
2410,15
113,1
378,1
1103,5
1309,5
833,4
1969,11
540,1
377,2
2040,3
2462,1
1976,4
80,2
1660,2
777,6
2663,10
11,9
2898,3
984,2
2572,1
856,1
713,5
2417,1
2126,4
2158,1
433,7
1435,2
1081,1
418,7
1841,1
1158,1
2905,10
1083,1
975,3
321,5
2486,3
2702,5
1978,1
867,7
1033,2
1218,10
2778,9
876,11
1838,1
2754,5
2470,5
551,11
53,11
647,8
2993,5
2501,4
2596,1
1425,1
2110,2
1817,1
2061,3
1048,6
2757,11
2613,3
1459,1
2990,1
193,11
1803,4
2472,6
791,5
641,11
2893,5
2784,1
1270,2
1306,3
1468,10
1381,4
2539,5
431,5
2695,15
2992,12
1266,10
1294,1
1947,13
356,12
1265,8
1629,3
61,2
2265,11
2314,2
1165,4
626,1
1373,9
802,1
1490,5
926,12
2181,1
937,5
681,1
3009,11
2068,5
1181,1
842,1
732,10
554,1
782,7
1674,3
368,7
1808,4
2931,1
2710,1
236,2
323,3
2916,1
1161,10
1448,3
1120,2
1421,3
1637,5
1222,5
402,4
2535,3
854,13
2962,14
2769,5
1454,1
2086,3
19,1
2117,12
2315,1
1930,7
185,1
2498,5
1014,1
1244,4
1039,5
538,2
965,5
1332,4
1809,6
90,8
944,1
2779,1
2447,5
1362,3
834,2
1410,7
804,9
78,1
2168,12
1665,5
1897,7
2829,4
1113,5
2319,13
2666,1
1043,7
563,1
2302,3
936,5
1517,9
570,7
710,7
2920,9
567,4
10,11
2868,15
2288,5
2346,2
2461,1
2457,1
1539,5
1257,11
2998,11
164,1
1068,2
2019,5
927,2
1605,1
445,7
850,4
2713,1
578,1
1255,10
9,2
376,12
1894,9
1782,5
2745,2
2157,2
2038,1
2939,4
52,1
1494,1
1959,1
1336,1
494,2
694,2
2981,4
1695,1
1175,5
234,7
1359,2
1829,11
862,13
188,10
2827,6
1612,3
476,1
332,8
863,3
1331,8
2538,5
1382,7
435,11
893,3
1587,3
1717,12
734,3
1576,1
2929,12
1317,2
1710,5
1806,1
162,10
1988,2
801,6
515,1
1224,1
1514,4
2569,10
2366,2
255,4
826,1
1461,3
698,1
67,8
1476,3
294,5
846,11
977,2
560,1
58,5
1973,5
987,2
642,13
1934,5
2305,2
1868,1
3008,11
2175,11
768,1
2136,1
2988,5
489,7
2282,1
645,10
2281,11
656,1
1763,11
123,2
1216,8
2587,3
672,11
836,15
1172,1
2154,4
278,5
128,10
1163,11
1220,1
1836,5
794,1
209,4
1008,11
1849,1
2689,12
2321,2
1202,2
1388,5
2638,2
1025,10
640,3
2247,5
2885,5
239,12
2850,2
2656,4
805,2
2118,5
1823,2
1993,10
658,4
238,10
499,11
1391,12
995,4
405,2
1557,13
2206,2
1572,5
43,1
66,1
62,1
1609,11
2851,5
248,3
13,4
1251,1
1269,12
795,1
2357,6
2496,4
2655,1
903,1
1201,4
1593,5
127,5
2526,4
1253,5
1843,2
2070,5
2174,7
1383,4
328,1
2100,9
261,10
2353,4
283,2
887,5
437,1
2191,3
1826,1
1531,10
1041,1
2320,6
721,2
91,11
79,8
502,1
114,10
644,11
735,1
1592,2
2039,9
2051,5
2846,7
519,9
2588,4
2673,1
1354,2
2133,2
546,12
1733,5
2997,5
1131,11
1394,11
68,2
178,2
1090,2
1651,7
611,1
2339,4
1073,1
1632,11
1701,10
2583,1
1864,12
1524,11
2764,13
2954,1
1470,2
629,12
1283,2
743,5
2451,5
3,5
1097,2
2585,10
2708,5
2956,5
654,3
941,6
2799,5
2914,3
2836,3
388,1
1198,5
2744,5
2107,3
358,12
1871,9
2871,2
1432,1
872,1
1436,10
954,5
2298,2
835,11
463,3
2225,9
147,1
280,1
195,2
730,2
2733,1
1190,1
2700,9
1002,1
860,1
2691,7
263,5
667,1
1770,5
1239,4
660,1
838,11
2711,7
949,10
2169,4
2294,6
414,1
1647,2
1137,2
769,1
2285,9
42,1
2380,4
2171,11
881,6
1085,2
1195,1
465,2
940,5
2907,5
207,7
233,1
2102,6
2252,4
2156,4
653,1
2277,10
516,10
2261,4
1385,11
1071,9
2442,5
213,1
364,1
1032,6
2630,5
989,11
1044,4
2326,5
739,1
2626,1
1142,6
1226,2
1821,2
1663,2
2002,3
1397,5
1430,2
464,2
1577,1
618,2
951,1
2289,2
2405,11
2899,10
733,13
2750,2
44,3
2242,10
1624,2
2967,1
2280,9
2192,11
241,11
1778,1
300,1
702,1
1298,5
1124,2
2184,3
1150,5
1182,11
1530,1
1910,2
2567,5
219,2
2226,13
1933,1
1958,7
840,1
1508,12
2234,1
1767,2
2446,10
1967,5
535,1
1607,7
1010,1
227,3
1380,10
2455,13
904,1
256,5
869,3
1455,15
163,1
1827,6
707,3
1839,10
2331,9
265,2
83,7
2661,1
2481,10
2448,9
2785,6
2105,10
2317,3
621,7
922,7
920,5
2830,1
2848,6
1205,1
882,5
2811,5
715,5
1031,2
124,5
584,7
2584,7
1573,2
2108,1
1759,6
749,12
699,10
619,11
1730,1
2309,2
1755,1
252,3
2340,4
2398,2
1089,11
366,9
1643,4
745,1
2571,1
684,7
800,11
2528,11
1990,1
2464,5
482,1
272,1
718,7
2715,1
562,4
828,2
2,15
1571,2
2010,1
1921,1
1006,7
890,10
2454,10
2336,5
2443,8
2142,10
2749,1
2814,4
292,4
1857,4
1016,4
116,6
2832,2
2922,8
1160,2
731,1
2330,3
2527,11
2728,6
1691,8
2124,9
2862,6
2823,1
798,2
2441,11
2985,5
2422,2
1727,1
2854,2
628,5
703,7
347,7
999,2
2304,5
693,2
2692,8
847,1
2936,3
1280,1
