doc_idx,category
2868,26
3340,11
2958,33
3127,35
3651,1
1254,12
1961,3
594,12
642,32
1538,1
1019,26
480,3
3719,21
1237,11
1220,32
1006,33
1951,11
1947,11
2762,11
1455,12
1553,35
3747,20
3724,33
893,11
1709,13
1913,3
1356,16
520,40
1815,12
1561,1
3716,21
20,12
2554,11
3641,11
1036,5
1470,1
72,43
2257,18
2839,15
1847,7
739,38
114,18
3234,1
2876,34
950,29
1150,1
1212,1
2793,33
43,17
2944,17
1978,1
1669,11
2241,33
2895,1
1318,1
2056,17
3411,41
2217,17
1395,33
542,1
2632,12
3559,1
768,26
842,12
1636,12
3070,1
3140,12
2714,1
1085,13
1673,21
1670,12
2893,33
3305,20
1921,3
39,4
2369,19
1893,22
2385,11
2766,15
1591,17
2995,1
1405,11
3750,12
3468,1
1195,35
378,43
1033,1
1175,12
754,2
2976,1
238,15
975,20
3623,41
1982,12
3452,41
2634,33
515,12
147,33
1382,11
2064,2
3270,1
2166,1
2127,39
1870,35
3776,38
3554,35
1100,34
1632,31
2365,15
2817,33
1438,12
3548,17
3756,1
52,15
3207,4
433,11
1124,1
2290,1
3420,17
2892,33
1161,12
1702,1
1199,35
1226,41
1424,24
2107,2
674,33
960,32
1114,11
577,11
1940,1
1142,1
1997,41
2376,13
2287,31
2456,38
1602,14
1189,1
1638,2
840,18
2956,1
1031,17
1938,33
1524,13
2920,15
339,2
1039,16
1456,3
3174,10
1025,32
2095,14
3507,0
1373,19
1945,20
2310,15
1378,18
1705,15
992,15
2372,17
1494,1
903,26
100,13
2353,10
1973,18
1624,32
2856,13
195,12
1285,23
3699,17
2161,33
3007,32
727,13
3351,21
2681,13
1472,19
3508,27
2188,12
2225,28
3055,12
693,31
439,40
1837,38
1468,21
3743,1
775,1
2565,2
1513,18
3248,1
454,33
441,8
3191,7
3129,22
1471,12
1889,15
2583,26
3455,28
3579,32
2484,13
2930,19
2483,15
665,12
3217,15
6,1
392,2
2703,2
1207,1
3673,15
2336,15
124,15
1736,19
3496,1
2908,30
3759,1
3337,11
1923,26
2347,40
805,35
1864,11
860,11
2629,12
1111,40
2660,15
660,1
1336,1
671,19
1412,15
1262,41
3029,1
79,1
289,21
1394,24
1695,1
556,42
1855,11
2950,15
66,15
1264,27
3786,16
1107,1
1381,6
1250,13
434,1
3560,35
3636,17
3274,1
1343,1
2211,2
1550,1
853,11
787,37
2894,13
540,12
3356,38
2536,17
3423,3
2867,13
1733,2
2409,2
128,1
1158,18
2343,12
3505,34
2058,9
249,18
563,15
1041,41
2941,1
841,1
3463,1
1873,12
1728,35
2667,11
904,1
3268,33
890,13
1915,2
1218,33
1900,17
1477,2
718,2
164,21
1129,33
2571,1
794,33
3226,33
3640,14
2823,15
3694,37
78,12
2441,17
3518,11
1786,12
3503,32
1380,6
1995,11
1962,12
1821,31
113,18
105,19
3499,17
943,17
695,11
645,3
332,12
856,37
1495,19
3553,17
1489,15
246,11
1089,16
2146,26
838,1
153,13
94,5
3100,17
294,11
719,33
473,41
1573,1
1521,1
1050,15
2717,17
3607,11
3329,8
1759,17
2768,12
1166,33
2754,12
1776,26
1178,12
2732,18
3060,37
1679,15
2530,17
2094,1
2510,26
240,1
2506,18
2172,3
2475,24
1141,15
2393,4
311,1
1320,31
3363,14
3609,35
2627,26
3404,34
2302,12
3528,24
3085,18
1350,42
24,1
1681,11
221,15
97,8
712,18
2741,18
2591,11
2297,13
2666,38
2156,12
3592,38
3169,1
3002,2
1137,12
431,12
479,13
1449,32
481,19
2531,1
1843,33
388,33
2255,13
733,26
2810,39
1571,35
3087,2
1772,33
1433,12
502,33
3371,35
2194,33
503,3
197,12
1721,35
3133,1
160,15
2776,1
494,32
115,1
2609,1
3461,1
1230,1
80,34
2361,35
424,12
1630,4
1332,12
299,34
636,33
1192,31
902,26
2291,18
2978,35
1986,33
2134,35
88,19
2566,22
819,33
3422,27
1698,1
2070,15
883,30
2378,12
1770,1
1678,12
3583,28
133,34
1391,35
2692,35
936,11
673,13
1637,18
3018,4
3296,1
2526,17
3332,1
3043,18
386,33
3556,6
2398,41
1623,13
476,33
2246,1
621,34
826,12
1818,17
846,1
2481,13
3261,15
3258,12
2610,35
184,12
499,2
1272,10
2469,1
2705,18
1221,8
2041,19
698,2
2467,19
3664,12
1267,17
3489,1
863,9
1397,14
2358,14
2270,13
186,11
1083,13
1817,21
3441,19
2278,12
672,12
3678,15
1557,4
3586,13
2061,13
2853,1
1760,12
1260,18
1273,35
1160,2
1008,17
1490,12
3698,2
682,18
3152,12
3519,1
3552,33
1993,17
3192,4
248,40
3701,13
1910,19
2551,18
1014,1
2659,1
3529,12
2782,8
1152,11
328,42
2348,1
3049,1
3558,11
1385,1
2592,41
1131,12
2601,30
1791,3
513,31
1808,12
3377,1
306,12
3541,34
940,31
233,2
1967,33
2148,11
1935,18
1406,11
2698,8
801,18
529,2
1043,32
3596,43
1256,18
658,11
2771,1
897,2
732,26
2499,33
1508,15
1077,34
3526,5
3089,33
1750,13
1529,41
705,19
3358,1
3109,11
3395,17
120,3
342,13
255,12
470,11
363,33
2427,2
11,35
2001,13
3202,4
1205,16
2157,33
2,17
650,13
3107,26
2654,12
1094,20
2841,1
3657,25
551,1
2214,19
1417,17
188,21
9,1
1901,1
3203,8
1691,18
3285,27
2711,33
2902,12
1805,1
710,15
1430,40
1711,12
2152,2
1051,13
2885,40
1956,12
1957,21
3108,1
2909,30
2715,37
3284,1
3144,2
109,11
833,3
3215,12
3122,13
3557,41
2780,1
2276,17
3102,23
989,12
2656,12
828,12
3711,11
2114,33
3619,26
708,21
814,33
2233,12
234,8
1717,2
1984,2
2037,8
3610,19
2314,13
2812,1
3403,33
3634,38
3770,33
1163,41
582,12
2600,33
3654,12
726,1
3697,35
207,12
