doc_idx,category
289,13
1788,17
1163,23
321,17
529,13
2046,23
1276,15
2449,5
1471,7
1946,1
2336,22
1575,16
1513,13
1154,9
1665,7
1833,7
2878,10
2873,3
277,14
2215,11
1759,22
2757,11
2395,2
847,3
804,17
2747,22
2794,1
109,11
2070,10
1037,25
2437,3
2409,15
2650,14
1585,16
2826,13
2346,1
1954,25
1198,19
801,13
1802,1
191,16
2456,4
254,23
171,11
2787,6
1814,13
2062,0
1421,4
2808,13
1211,1
887,1
1182,13
2683,21
1271,11
2134,1
249,17
1019,22
2132,7
2125,9
1691,11
120,3
2039,13
392,13
2734,16
160,13
802,13
1843,20
2360,21
2323,3
133,13
386,17
2105,10
2493,22
2001,3
1576,10
715,23
2925,14
2481,13
2680,11
2801,11
1878,16
2457,14
1910,1
2250,1
902,9
2372,1
2852,17
376,14
1279,11
637,17
2029,23
2305,6
1062,1
2185,23
631,6
2326,10
2789,10
2334,14
24,22
702,9
2204,1
1296,19
93,16
1419,11
2030,11
1908,2
1244,7
246,11
161,1
554,1
2544,1
1538,16
1774,1
916,3
2535,14
999,7
1945,2
481,19
2956,1
1424,7
2871,7
2435,3
798,6
2733,1
1075,16
72,2
2564,21
1146,22
2660,11
642,13
989,1
1797,13
672,9
1379,2
826,5
1010,9
1564,13
97,0
1938,23
122,11
184,1
2501,16
701,14
2095,1
1817,8
1070,17
1838,2
1001,2
1572,12
1385,19
1120,7
380,4
1273,17
1619,2
1846,25
100,1
974,11
489,10
1034,11
1752,11
641,6
113,10
478,6
167,16
1239,14
442,18
2776,6
2429,9
791,14
1647,7
733,6
993,1
1530,16
378,14
1100,5
1051,5
11,13
1967,14
418,11
1181,15
815,7
1643,7
1922,16
1409,17
2902,15
2405,11
1022,23
2944,22
2905,23
476,13
1175,5
2629,19
1505,11
882,22
1894,12
2043,25
80,14
2937,13
598,16
1995,2
1270,7
2373,19
2468,2
1410,7
543,14
53,16
1286,6
2158,22
2562,14
2973,16
1816,9
2567,3
379,22
454,19
1251,16
2545,23
1005,12
2285,20
2385,3
2117,17
503,13
2278,6
2126,13
1622,1
435,14
1990,19
904,22
538,16
2962,13
897,18
2425,17
1971,22
611,5
2930,1
210,6
2888,3
2074,2
1963,11
1014,11
1630,1
940,13
1237,4
2857,7
1981,22
193,4
466,11
1090,23
567,1
920,17
1935,14
667,15
2503,16
1430,6
775,17
377,18
1423,14
1892,6
402,5
1261,15
2788,14
311,4
782,1
61,6
2051,13
987,6
1294,10
2957,3
1207,13
1124,11
1089,6
856,1
1716,23
776,5
2645,11
1565,22
2330,14
645,10
2422,16
295,16
323,23
563,16
745,15
881,17
1150,2
730,2
439,17
236,16
1384,7
794,13
1666,22
1041,3
1500,7
1592,7
814,14
2393,16
1561,3
1829,14
2455,1
840,14
734,16
2283,15
1018,23
185,20
1137,0
1875,15
546,10
19,6
2375,7
2604,14
2665,15
2580,7
90,25
1614,5
2325,2
2068,18
2294,23
863,1
1584,5
1233,3
78,9
1459,14
682,16
2814,1
520,5
2632,7
2123,6
1448,13
647,14
2615,16
2668,9
1477,11
2884,1
1867,1
356,11
2233,12
1085,23
1011,3
515,1
2428,11
2314,16
1059,1
1172,6
164,23
2381,7
1255,11
1366,22
922,2
739,12
1113,22
1006,17
2186,1
1230,1
416,22
473,1
9,1
2094,11
1222,2
2710,14
2834,3
1129,13
834,14
52,1
1733,1
2142,13
1025,23
1934,17
966,19
1648,1
2729,0
234,1
1787,13
560,3
2282,1
188,16
441,1
1201,2
1745,14
332,11
2237,13
2017,11
749,25
2407,16
1195,16
540,7
838,13
1083,4
1663,13
2554,11
1133,13
1669,2
1755,14
1283,11
707,9
2251,1
591,11
1328,13
1381,10
294,18
1107,1
2280,17
1879,17
445,25
1855,7
67,15
1568,1
58,3
2011,3
1260,17
941,6
2972,1
2197,20
681,16
1986,3
1818,20
612,11
433,11
1160,11
1002,16
2889,6
626,1
2320,16
123,6
2553,10
1601,16
1455,4
1768,22
128,2
278,6
2037,22
1166,6
1189,11
1859,18
209,22
431,4
1809,14
660,22
2738,16
551,1
927,6
2019,5
1354,14
1373,1
1957,4
1760,13
1112,1
769,6
2769,11
1738,17
238,7
2088,2
2169,16
405,14
1937,14
2275,13
2893,22
499,9
43,1
1039,9
162,13
248,1
255,19
1494,10
694,2
949,6
950,3
1453,3
62,16
2421,1
867,23
2799,17
2370,15
13,7
2096,23
2390,6
893,2
2714,3
1758,13
1621,16
1253,13
2207,13
2876,14
39,1
1387,12
66,11
721,5
2183,22
1339,10
239,2
127,11
1033,13
186,1
470,22
1397,5
1834,13
2507,19
644,22
2180,14
654,3
861,6
1280,11
1094,15
2270,6
2203,2
705,17
1550,1
1220,7
480,11
1850,9
2555,16
1045,11
2414,13
2382,2
197,23
1016,13
261,1
328,23
1068,22
2040,3
809,16
842,13
1008,25
2031,13
1726,17
79,13
114,22
1988,23
854,1
91,14
2071,3
502,10
1923,14
578,16
1472,1
2357,13
519,11
2810,13
710,13
2513,23
768,12
1686,9
2263,6
1869,3
2716,10
1367,6
68,1
1605,1
1587,17
178,13
1333,14
2038,22
2213,11
1736,11
2675,22
1964,17
1920,23
2548,13
2968,11
698,17
2593,17
3,13
835,19
1250,13
1432,16
2161,7
2054,13
914,13
2673,5
2920,6
1447,15
388,2
1171,8
2709,13
2304,10
2764,19
2484,14
2078,5
2885,6
358,6
2445,7
1142,23
463,24
1331,2
831,16
2266,15
2791,2
795,16
147,11
2678,14
280,6
195,3
2912,11
2948,12
805,11
2221,7
2127,22
1441,14
1722,7
263,1
629,13
2225,4
903,16
1376,22
727,11
2621,1
414,16
620,13
1652,15
1388,1
951,17
1031,11
2253,14
1707,15
743,1
653,11
42,16
2502,14
1371,3
2862,5
2439,7
1551,16
207,23
465,1
1044,6
2487,16
233,7
2255,16
516,14
2656,22
658,13
836,12
2229,1
1297,13
952,2
1591,4
364,11
213,1
992,7
2107,2
1675,10
2841,1
2175,6
1529,6
1826,12
2471,23
656,16
2903,11
1148,19
713,17
2369,9
1361,17
1580,23
1257,13
618,5
777,3
2534,5
1026,16
44,10
1392,17
2813,1
1929,11
2931,21
241,22
885,13
2610,11
1161,2
300,17
2024,1
1449,14
2897,1
1265,16
2220,13
2290,22
2754,1
219,7
2916,1
1216,6
1925,22
1493,11
869,12
735,1
2004,6
256,16
800,0
2413,11
828,6
2202,15
1912,8
535,13
227,3
2459,11
1997,7
464,19
265,22
1350,22
2168,7
1417,13
1256,16
163,22
2448,20
1772,5
2640,1
1437,16
833,11
621,2
2247,16
83,12
1678,22
1893,15
2309,7
2818,11
876,1
2940,2
2627,2
1978,6
584,2
2443,16
124,8
2926,14
1533,16
699,11
1848,22
619,6
2560,10
1603,19
252,16
2277,16
1032,1
366,14
2366,1
862,2
684,7
1071,1
936,6
272,10
1502,15
562,3
718,5
2348,16
2057,1
2000,11
1655,7
1952,15
2431,11
482,16
2,16
2273,15
954,16
960,3
1225,7
2112,13
846,23
1021,17
2248,23
292,20
2410,10
731,14
2779,4
116,1
1803,11
850,1
1740,11
1770,0
2565,8
2298,6
1730,1
2427,11
2060,10
2949,10
1318,14
628,9
2777,7
2676,6
2886,16
347,10
1677,22
703,17
693,2
1097,2
2750,16
926,15
2585,11
807,6
965,14
2009,17
2076,4
1178,17
2639,15
1906,1
2485,8
1357,16
1307,6
2613,13
2271,20
600,22
