doc_idx,category
2809,53
1384,91
3037,42
3924,98
3143,5
1051,1
752,3
2682,53
2408,7
478,1
36,5
17,1
1171,4
3457,3
3661,20
986,12
1450,46
3211,74
2678,1
1071,24
2888,76
2586,6
3408,76
1996,35
1435,4
1756,4
1442,87
157,11
2672,78
3888,43
919,62
404,50
1169,59
2164,75
4036,49
489,1
3939,3
901,11
3561,87
369,32
240,26
163,57
1962,57
2328,81
1416,40
2216,1
3686,96
3628,78
3073,40
1908,32
3637,4
918,26
582,33
2700,86
1091,47
3893,40
1673,11
2751,40
1599,39
2004,3
955,1
1530,23
3220,72
190,13
2922,15
2121,59
3633,31
2857,72
1762,5
659,1
293,1
1172,87
1340,33
3027,1
1732,51
1522,3
331,21
2726,68
2799,69
262,72
3194,64
2957,68
1866,68
1507,1
3390,40
1034,68
1862,19
2509,3
3869,32
3380,48
483,60
2902,57
1131,6
1645,51
2248,64
7,26
4115,6
1809,87
3859,61
1740,1
2186,57
3537,57
1894,74
2955,87
2711,1
2824,4
3128,35
565,5
3937,80
1390,28
2851,59
201,1
328,1
3163,96
3290,46
848,2
2727,45
4015,51
1045,61
2097,7
1080,34
1434,0
1750,79
2012,51
2101,26
2015,55
3079,1
844,62
1531,47
1227,15
179,19
455,5
495,6
2890,94
1005,1
1452,2
34,29
1627,3
3166,56
1858,69
595,12
1326,46
961,75
1649,60
407,61
2578,40
1021,93
2497,5
4046,1
2144,10
2465,98
2369,46
2899,73
1441,5
706,7
1640,26
992,57
212,2
2040,40
499,57
1459,29
1431,1
2692,46
3881,1
1365,9
1675,77
2081,57
4081,5
1438,51
145,1
3868,29
3327,95
2344,80
2399,49
2660,80
2329,1
141,59
2666,87
1137,93
741,7
2219,26
2808,12
594,33
3347,49
3031,44
4100,42
732,72
3845,34
239,21
225,78
261,13
2233,94
181,29
3348,60
3717,69
1647,42
3820,45
298,1
3311,74
2252,1
4141,61
62,28
1166,7
2810,28
676,96
2971,45
2088,5
50,1
3323,11
551,6
1896,65
3776,95
3599,29
218,87
1289,74
2449,62
1792,9
1488,35
3152,66
2176,45
1571,28
4068,2
1583,4
4103,1
950,86
2459,1
3005,1
3520,60
3657,53
2379,89
389,64
600,1
1943,1
2587,52
64,44
356,4
126,65
885,72
2178,57
3155,49
2162,87
4026,29
4067,40
569,21
347,79
852,19
1929,40
3002,1
3977,26
3828,76
3763,57
2598,5
3221,81
1074,94
2456,57
905,57
4146,59
1196,85
1863,28
881,28
1294,33
546,19
2812,59
2027,57
2983,81
2665,14
3375,26
2948,45
1684,51
626,80
365,14
3298,75
588,2
1678,87
892,7
3286,21
1915,60
1852,97
1992,87
3405,45
4013,7
2352,28
3082,86
3671,54
4059,58
1815,63
3056,7
1504,1
2426,32
178,42
2529,95
1505,0
3372,46
2593,49
1948,19
3704,19
2839,25
1980,43
16,1
1311,66
541,57
2273,78
437,78
2626,76
3768,2
3483,93
2267,31
1198,94
2942,64
2063,4
2281,29
2361,8
1156,7
2080,3
2921,80
2774,7
2209,63
3249,40
3650,0
849,26
3825,79
3814,4
523,4
2941,28
1429,4
1405,5
3865,49
2280,10
51,74
4097,91
2901,9
1299,44
4001,58
3149,1
2940,76
54,53
3434,4
867,28
4069,7
2394,4
152,2
3695,29
702,1
3341,79
2994,12
1426,74
1532,1
24,39
1705,57
820,3
1197,26
93,96
8,20
759,42
3553,5
385,54
1704,28
3140,79
172,4
1618,80
3972,33
