doc_idx,category
1821,1
2031,2
930,3
466,1
140,13
2482,3
2060,1
11,1
3215,2
1836,13
1661,7
3618,2
275,1
3470,3
2922,7
63,9
286,1
4406,18
2037,7
1876,11
1787,3
2371,1
4300,5
323,9
308,14
3415,2
1308,1
3,6
2047,18
3509,5
3186,2
3541,2
59,1
4321,1
1311,13
3594,10
1339,1
462,1
3540,4
2518,11
3328,7
365,1
1636,1
2461,3
1374,12
2966,1
2627,1
1607,9
2763,3
2198,3
3335,9
4463,8
896,13
4253,14
2516,6
2340,3
4193,1
2809,1
144,1
442,6
3800,18
3633,1
2003,18
4504,9
3396,1
2034,1
537,1
746,1
4289,1
3505,4
1625,3
3210,9
4316,7
3524,1
4536,1
362,2
1316,7
53,3
1358,3
4258,2
3583,6
4550,4
3966,1
1884,2
1841,1
802,2
1353,4
2049,6
3000,10
3597,1
4025,1
339,1
2458,7
1616,8
1011,18
3555,1
1911,5
3904,1
4259,1
2398,13
1761,2
3035,12
468,12
1584,3
497,2
2293,2
1792,6
4630,8
810,13
4526,1
2305,1
1690,10
2828,4
1708,1
4430,12
832,13
505,18
210,2
4325,1
2887,1
3306,1
1757,1
3117,12
2595,1
2690,8
2409,2
3073,1
4535,6
3046,4
4338,2
3151,18
1040,1
238,13
2056,13
3397,8
4398,1
3448,1
3551,6
2200,6
730,1
3723,9
3643,1
4328,3
1136,3
754,6
4003,2
450,5
1440,1
3176,3
3098,13
1537,1
1538,2
4494,1
355,1
3171,2
670,6
2946,1
2110,9
4143,7
3688,7
142,4
1689,6
4422,10
4557,17
1212,12
3135,9
726,1
503,2
1991,1
115,1
2375,4
2529,1
954,5
3510,10
3401,1
2744,9
2197,2
716,2
3700,1
2880,1
871,10
2700,6
3576,6
3220,9
544,1
4387,10
2718,1
2452,1
4154,6
423,3
2943,13
2108,2
611,1
2302,7
2702,9
2319,1
2397,7
1349,3
1174,2
3978,2
2455,1
2876,6
4389,1
2738,1
4285,5
3247,14
220,2
3422,1
2045,1
2634,6
1376,1
2216,4
2655,6
1087,1
942,3
1996,1
2252,1
671,12
3315,1
4214,2
856,3
2824,5
1234,6
2830,1
4091,1
3304,1
2847,5
2449,10
2041,1
1639,1
3360,2
1642,13
2227,8
3529,5
155,1
1064,7
3640,2
1738,3
2651,5
2142,1
2180,1
1875,8
2558,1
691,8
4413,8
3919,1
270,5
4382,1
3991,4
4192,3
2604,8
3385,1
110,4
1016,13
3675,3
2183,6
478,1
3383,1
2729,7
256,1
4207,1
659,1
449,2
1379,1
235,13
2581,9
3818,2
1824,3
3681,1
1794,3
4643,5
295,2
1002,2
3963,2
1893,1
867,1
1508,4
75,1
1782,18
492,1
3604,4
1309,1
2645,5
407,2
3197,13
3268,5
2427,8
909,8
2125,9
2942,2
3494,6
3632,4
2800,11
3004,12
879,2
3611,1
1606,2
356,1
41,7
1417,1
1184,1
1630,4
99,3
1529,12
30,1
199,7
4435,3
858,1
3703,2
1034,18
541,1
3019,1
1053,13
3819,5
2568,1
4460,18
3736,6
2163,1
1945,1
334,1
767,12
1038,12
4212,5
2796,3
3808,9
1863,11
4096,4
3556,9
3888,1
1043,6
4151,7
601,4
124,6
4408,18
3091,9
1976,1
1850,7
4493,7
4269,9
4542,4
1534,2
2248,6
2441,6
2563,11
2291,1
1502,6
3111,10
3419,1
317,1
1193,9
122,6
2789,2
3238,2
2790,1
2590,10
3123,14
1146,3
1369,2
1458,10
4717,2
984,3
1126,1
2831,9
2359,1
4134,1
470,1
397,5
2298,14
1923,2
3644,1
3239,1
1192,17
130,3
65,1
1798,1
1912,2
1229,3
825,11
1755,2
3180,1
1897,1
2239,9
91,11
1586,6
240,4
4715,4
1314,1
1550,5
1858,2
1189,15
3276,6
332,7
705,1
2095,5
1637,9
1699,1
2460,6
3845,1
1186,4
3084,1
2196,1
4450,18
1789,14
1804,1
994,11
263,1
480,13
2781,1
2080,7
3530,3
430,13
2201,4
2016,6
3777,13
931,1
2982,4
773,2
617,2
1788,1
787,1
2692,5
2905,12
4487,6
2459,13
52,13
2075,1
3729,1
2673,9
4116,3
2500,2
2671,3
3669,13
1200,2
4203,1
3918,1
4537,7
1409,2
1405,3
2290,8
3872,1
2503,1
2644,3
84,9
4004,1
2899,1
372,6
2107,1
3150,6
4378,6
981,1
2018,8
2053,13
1017,2
1729,4
1921,3
2155,2
3629,13
1056,12
852,2
2769,7
2112,15
349,1
3166,1
3752,2
2515,18
1282,1
1127,9
4084,5
3287,1
1288,13
2843,3
3503,1
2320,2
3773,13
4548,16
1682,1
4114,1
1245,1
924,1
3856,1
2745,1
2079,2
3281,13
4721,1
2362,5
3146,3
1014,2
2428,2
1054,12
458,2
4518,12
1299,2
3731,3
769,4
2541,5
2367,13
1360,2
894,1
3581,6
839,5
4383,10
2672,1
1345,3
2069,3
581,1
2993,13
3478,1
1259,1
3939,11
3322,3
3500,4
3495,1
5,18
2820,1
4699,8
4637,4
527,1
402,3
4069,1
1662,13
1678,1
1488,6
2703,3
2514,12
1585,9
1795,5
4512,1
642,7
4293,2
3931,3
1125,1
14,9
870,6
2608,1
662,6
2117,3
2680,7
3298,4
2684,7
3909,2
313,10
3377,3
2512,7
2641,10
2333,9
540,2
547,1
2134,6
4130,14
2720,1
420,7
1899,8
451,2
4614,5
4602,6
2215,1
1361,1
2434,4
804,3
3332,12
3961,9
3539,1
4682,2
54,1
357,1
4420,9
4449,5
4098,8
3680,8
4670,2
3144,1
3389,1
2959,3
1082,3
883,18
3986,3
1726,6
2306,7
1994,5
159,14
4295,11
2813,1
3929,6
1594,3
625,1
3770,15
2242,2
4360,2
3704,14
2466,7
4590,1
1856,3
1430,8
2286,1
797,1
121,3
4738,2
1631,8
3379,3
4322,6
3421,2
257,1
4206,1
1580,3
2584,10
3428,0
2147,6
1093,4
206,1
610,9
3695,1
1931,1
798,9
1815,10
4100,12
1979,4
453,10
3485,7
4705,7
1759,6
3823,1
1448,1
2405,9
3119,3
771,6
2574,2
1371,4
845,13
2871,1
4692,3
1251,2
3240,1
2694,6
1624,3
4122,1
3082,13
4334,3
3988,15
367,13
4065,3
249,11
790,1
3026,6
3284,1
2369,9
4,1
226,3
3246,2
4217,1
1115,12
4317,2
2562,1
2823,2
1745,3
1410,1
3273,6
2243,5
4202,1
3468,2
2162,6
2892,6
1399,14
176,1
1873,8
1619,1
903,3
4665,1
1822,13
4005,5
428,13
2425,12
1515,1
299,12
4578,5
1553,1
1769,6
2217,6
2601,2
1626,18
1092,1
2087,6
61,12
1007,13
1407,6
3941,6
3899,4
1213,6
551,8
3159,1
1813,2
2807,7
676,1
1780,9
1147,3
1089,4
351,1
818,1
2115,1
1310,5
1797,1
3734,2
3432,1
4680,2
3459,1
1428,3
1660,10
1210,1
775,6
4486,13
4739,6
3271,5
3410,4
359,10
2948,7
922,1
4054,9
1247,1
2088,11
3124,2
1999,18
2679,6
987,15
2246,1
3769,18
4427,1
3179,1
4252,13
1119,1
81,2
2081,5
3334,1
2332,1
1250,6
3348,3
2480,6
4423,1
1742,1
2860,2
3691,11
1926,2
3254,1
2758,2
1904,4
207,8
3528,2
1107,1
439,2
392,1
2121,3
96,1
1909,2
1684,5
548,2
565,3
1102,7
1540,1
4385,18
1568,15
1845,13
679,8
2347,1
3601,2
2566,6
1531,10
2576,1
737,3
4523,1
902,13
487,1
563,9
3172,13
250,6
3081,1
4319,3
3068,13
2941,3
360,6
3295,1
2974,1
116,1
174,6
4440,1
460,1
4698,3
3905,2
4344,6
4629,3
1335,10
2681,1
1256,13
1564,6
689,1
1715,1
3010,2
3264,6
2280,7
2472,2
4257,2
2995,2
2017,1
2353,18
93,1
2257,7
273,4
1658,1
1874,7
3460,6
2785,4
3404,1
3516,13
3417,1
2730,1
3543,5
1165,13
3720,1
1881,10
259,1
2973,6
2881,2
72,2
2192,12
4686,1
678,1
3305,1
3615,1
3222,12
2863,1
306,12
1065,9
2400,3
1344,8
2414,2
4354,1
3709,2
261,3
2374,1
2857,1
958,18
4092,5
884,13
2051,13
4200,13
4349,18
231,4
4330,8
3317,2
4108,1
1062,1
3427,1
3745,1
1072,3
3362,1
626,1
3897,1
919,1
3536,5
1906,18
100,1
2385,9
3708,1
4710,13
4647,13
1224,1
37,6
274,1
4470,3
2957,2
4558,5
1273,4
3067,2
3804,1
2891,18
2676,2
2109,2
3573,10
2370,1
3255,16
4024,3
1748,6
1860,7
435,13
1879,9
3794,1
3329,1
4404,11
2940,1
4524,1
3272,9
4071,1
2143,1
2476,1
1004,4
4274,18
4424,7
1077,5
2723,1
1489,1
3440,1
4437,5
1063,7
842,6
2605,3
4148,13
1719,3
70,3
1882,2
932,1
3563,1
2548,1
4380,1
1338,1
1974,7
3370,11
