doc_idx,category
4008,20
2618,0
275,13
439,20
65,16
670,0
1525,1
3561,13
2796,4
4039,19
2586,13
3334,13
155,19
2369,16
2982,13
2039,13
3392,26
1580,13
1386,20
1326,26
1661,15
110,11
3367,15
894,22
2986,21
1755,0
3789,13
2209,24
2338,21
144,15
1678,0
1458,23
1464,2
731,25
99,12
4329,22
1379,19
3585,22
2188,14
3814,1
1742,17
4074,21
1229,29
210,1
2589,15
1945,1
3,22
2331,19
797,7
1584,4
3279,9
540,15
3290,19
1136,1
4072,21
2374,15
2551,23
3744,24
2673,20
1508,23
2907,4
1186,23
1871,19
3229,22
2462,13
1586,20
2414,26
3986,19
2185,1
3026,6
1738,23
1722,22
2515,13
2203,12
3650,24
3546,20
2812,24
3955,19
2531,19
1316,8
458,1
2047,1
2333,23
4331,1
263,1
3828,29
1349,19
3883,20
896,25
3248,19
3893,19
3408,23
2201,15
2110,24
1704,19
3882,24
2679,19
960,19
1164,4
790,25
4172,9
1963,19
3097,13
3330,24
1975,19
3913,2
2830,11
1165,19
84,13
4017,16
14,24
2340,11
3488,19
130,23
3468,13
3317,23
1273,23
1066,24
2397,25
2092,23
605,22
3531,9
2080,22
2332,21
775,19
2559,1
3125,19
256,25
754,22
3758,15
932,13
745,6
1479,19
3000,19
2313,4
2003,26
506,22
3910,16
4032,23
2713,19
3761,24
362,21
1837,19
3904,13
2359,6
1488,22
3366,13
3812,23
3131,19
1921,24
3222,4
3058,21
2981,13
3177,4
2053,24
4063,19
270,15
3448,11
478,1
548,20
3103,1
199,8
91,13
121,19
3347,6
3514,15
1854,20
4352,4
3954,24
1490,1
4205,12
1034,13
1429,23
1918,4
825,24
2248,7
124,19
3111,19
402,7
537,24
332,22
3780,23
206,6
3373,8
356,28
1370,15
487,21
3909,1
2137,5
3495,5
3224,15
2648,20
4188,1
372,15
1336,4
1450,4
2574,8
902,3
3160,20
1418,14
4320,23
2335,19
2319,21
870,26
3351,21
2104,24
355,21
3712,23
3172,6
4176,20
2839,24
1616,4
423,7
547,13
3794,13
2578,18
4315,19
2298,5
3537,4
453,2
323,17
3838,8
3336,1
1808,11
360,1
3057,4
2504,9
1417,6
3967,15
2773,19
4013,27
771,7
3159,29
122,20
2017,22
4357,10
1453,7
3635,20
671,19
1958,15
1538,27
3662,1
365,23
3799,22
2958,22
2360,19
2987,23
63,13
3247,2
2418,21
428,4
1745,6
746,23
2597,23
235,16
2075,24
466,1
678,19
2850,20
3284,9
3194,1
2869,19
4276,13
610,13
1214,1
1119,21
848,25
4213,23
2271,22
61,25
1813,13
11,21
2785,7
2256,4
3484,26
41,1
4363,3
2692,23
3451,16
3405,21
1721,20
313,19
2507,20
3075,8
450,0
2198,7
716,24
2777,19
2439,8
1017,22
1799,15
2974,20
2949,13
308,24
59,23
625,17
1192,14
2391,19
762,13
3508,26
2884,22
3202,9
2054,18
367,4
2352,25
407,20
2485,10
3323,15
2798,15
1423,11
1708,23
3480,19
359,15
207,1
81,20
2995,15
3353,22
430,7
3763,19
1054,13
1014,13
3884,6
2881,15
3858,24
30,22
4164,21
3192,25
3620,24
4177,21
3665,23
3542,22
2905,23
730,25
3768,1
4182,21
3682,1
2361,20
2605,25
806,1
174,24
4281,13
3029,11
116,9
4336,4
3082,25
1302,2
2638,1
1077,1
2696,11
2457,13
565,1
3433,16
2656,12
2124,15
563,19
2315,25
2208,13
1471,13
1954,13
3568,15
273,4
93,26
295,8
3465,19
1682,19
3817,7
1272,1
626,13
4124,4
140,16
2350,18
2320,24
2289,15
2466,7
2827,22
2568,15
2876,13
4152,20
259,15
818,21
2765,24
3708,20
2383,16
3326,22
1636,21
1938,13
1180,16
2346,16
2112,11
4343,19
306,1
1118,15
1594,26
1253,20
1502,15
2729,13
1038,24
1230,1
231,24
4300,23
1353,22
492,19
397,7
1314,13
3387,20
3010,19
3206,22
737,25
1606,19
2367,22
1115,1
3272,25
1706,11
3933,17
503,24
1213,7
2428,21
1842,25
2427,16
1664,20
1882,15
2167,26
3692,11
1719,15
2476,4
1952,29
3661,15
4091,17
1335,4
4382,17
676,4
4187,15
3424,13
3043,10
1251,12
2247,16
611,25
2048,20
662,25
2787,1
435,4
2275,7
2887,9
2701,18
1126,20
2503,23
2038,19
1257,9
1776,23
1614,2
2142,21
4183,9
2709,1
1947,15
2804,4
919,23
1966,9
909,13
505,4
2826,22
2278,24
2500,13
262,19
3826,23
1187,21
1117,22
1617,11
1893,22
1437,25
1002,29
3305,19
2162,7
691,20
1850,20
3157,1
1531,20
883,1
2672,11
2529,18
1676,16
2086,1
2728,23
3981,20
1726,9
1869,19
96,24
1939,13
2581,21
1128,19
2988,15
3527,13
2041,13
778,22
4005,21
1189,23
1048,15
3491,23
2829,9
4080,22
4243,6
2599,2
100,20
1780,13
2395,4
1672,11
4327,11
1884,1
1449,13
1413,1
3760,18
4181,26
509,20
798,24
1274,13
1006,19
617,13
3656,19
153,20
689,15
3035,24
1624,20
2896,4
381,25
3460,22
1459,4
2159,25
2214,7
178,13
1289,19
1097,1
1059,23
2781,21
283,13
1695,11
2199,25
2562,8
114,21
1211,14
954,1
3252,13
4279,23
2537,23
3119,21
4094,24
2946,11
1569,19
4347,4
4165,7
2168,20
2057,13
1361,19
1240,26
721,7
1073,19
46,13
3073,15
4194,23
232,4
3870,23
3095,19
2156,4
3004,4
265,1
1420,19
4018,26
2109,13
2849,22
858,24
1778,1
804,8
3238,13
3705,23
4254,22
930,1
3137,0
4303,13
2860,14
601,26
4372,4
3444,16
4370,7
1789,23
3462,1
3142,19
4095,13
1007,19
1851,1
924,23
2004,4
1224,22
1748,15
2456,1
3557,16
3519,24
2116,4
118,25
2892,21
3487,4
3916,13
1904,15
139,24
3107,16
3777,13
2975,19
1371,12
177,24
3570,20
2825,20
1578,24
3866,4
895,7
3005,4
2966,24
2403,22
4112,20
1264,25
4222,8
3666,1
1065,19
1248,15
642,8
3309,23
3742,22
1092,19
3450,25
52,25
480,4
1444,5
1597,1
2055,20
2087,4
1210,20
4128,8
4207,26
3181,24
1694,4
4023,13
3006,5
3419,15
1245,20
1200,15
2459,4
832,12
2341,15
3589,4
879,13
982,4
4160,22
3481,21
2375,15
3786,23
796,23
1994,15
4377,20
3624,24
1728,19
726,1
2452,22
868,15
3649,19
1290,13
2155,23
3275,16
4093,20
4180,23
2127,4
769,1
462,4
2190,1
2511,15
1522,19
3410,15
2307,4
1524,14
3894,4
3719,13
1063,1
3949,22
3414,1
3384,19
4361,4
2433,15
1082,16
3857,15
2242,15
2763,15
55,24
190,4
1088,4
3143,15
4001,17
1125,20
1469,19
1642,20
3927,23
2423,20
1752,22
2393,4
1590,25
3738,19
2102,7
3169,12
3942,14
3878,20
4042,19
132,1
2257,13
842,4
1574,25
1448,6
1056,15
3316,4
845,4
2517,21
2994,16
341,8
3022,0
1338,1
1099,16
720,13
1974,19
3376,8
4055,19
3917,0
1004,19
4004,15
1222,4
1301,22
2831,25
4231,13
2322,26
115,22
1540,15
2853,4
892,23
1848,15
2107,25
161,13
2813,15
3170,13
4212,29
2778,19
