doc_idx,category
1049,7
2,1
1112,7
1013,10
172,8
1683,1
764,9
1047,4
513,6
974,3
464,4
1320,9
726,3
927,3
1668,8
1271,6
305,2
818,1
188,1
1819,5
73,8
376,1
1005,10
877,5
1123,7
365,1
579,4
1368,4
1251,3
322,3
222,5
14,1
641,1
31,1
1570,1
1684,1
203,1
1442,7
803,9
1587,11
1864,7
1376,7
35,1
1329,4
517,6
1557,1
308,3
683,5
741,3
335,1
987,7
86,8
1025,6
1824,5
123,7
1132,4
1426,7
1430,7
1772,7
1795,8
1642,1
1467,4
490,5
1171,7
1886,1
624,1
805,9
347,1
256,1
1779,8
402,7
1789,8
1825,5
800,9
1928,5
573,4
1961,1
1072,3
541,7
1038,6
1387,1
1625,1
899,1
319,3
334,1
738,3
294,3
562,4
1450,7
1523,5
1439,7
588,5
242,1
1162,7
100,8
919,3
1126,7
833,1
980,3
884,1
1763,2
1842,1
1857,7
1716,5
336,1
888,1
80,8
1504,4
1125,4
1410,4
1938,9
1114,7
362,1
806,9
1324,9
1687,1
990,7
1392,1
1010,10
338,1
1793,8
1298,7
907,3
1290,7
1645,1
272,8
1747,4
664,5
1427,7
1539,5
1690,1
415,4
654,1
860,4
271,8
1518,4
114,7
302,3
1603,5
1455,11
863,5
1402,4
1969,1
649,1
285,3
333,1
998,10
220,5
1837,1
607,1
942,6
1403,4
451,4
933,6
105,7
1745,4
154,6
1868,7
1314,9
584,4
934,6
1661,8
1576,1
458,4
1914,5
1419,4
1235,3
632,1
1552,1
1528,9
1183,7
1851,1
591,11
561,4
1095,3
966,7
332,3
808,9
282,8
1301,7
1106,7
1574,1
246,1
245,1
532,7
921,3
1335,4
1196,7
127,7
1549,5
1209,4
130,7
1829,1
842,1
1860,7
1285,7
1913,5
917,2
1415,4
1571,1
1544,5
26,1
1734,4
597,5
923,2
586,5
1611,1
496,6
1073,3
536,7
502,6
47,1
1517,5
1350,4
1548,5
1822,5
996,10
1696,1
1432,7
915,3
1637,1
655,1
1386,1
468,4
1849,1
1833,1
1367,7
259,1
692,6
1479,8
1501,4
1325,9
1884,1
1414,4
783,9
1841,1
797,9
618,1
605,8
1035,6
616,1
840,1
918,2
379,1
1107,7
1082,10
223,5
389,4
133,4
59,8
1531,5
1689,1
439,5
1620,1
360,1
1207,4
976,3
1810,5
1629,1
1472,5
1061,4
1217,4
521,6
1180,7
1709,5
1349,4
230,5
1281,6
1589,5
1807,5
1653,6
290,3
69,8
807,9
512,7
1555,7
180,1
962,6
71,8
1855,7
1034,6
463,4
1881,6
460,4
549,7
1821,5
297,2
1045,7
397,7
1509,5
1845,1
221,5
1304,7
763,9
767,9
1121,7
1435,7
29,1
437,5
551,7
1836,1
469,5
598,11
698,5
1751,3
1118,7
1550,5
711,5
1462,8
1170,7
303,3
556,7
1318,11
374,1
568,4
85,8
1160,7
1483,4
361,1
1152,7
1156,7
119,7
762,9
23,1
234,1
839,1
1872,7
225,5
548,7
340,1
1130,4
1906,1
650,1
1116,7
382,1
1741,4
720,3
1735,4
1458,8
212,5
1947,9
103,7
483,5
1964,11
932,6
1601,5
1276,6
619,1
939,6
1681,1
903,1
1773,7
359,1
1545,5
1717,5
373,1
1748,4
634,1
194,1
1214,4
1051,4
957,6
174,8
508,6
1852,1
580,4
1520,5
1638,1
64,8
372,1
1243,3
1572,1
1921,5
289,3
766,9
1693,1
1737,4
681,5
736,3
81,8
642,1
261,1
40,1
491,5
61,8
457,4
695,7
1540,5
393,5
448,4
659,5
871,5
472,5
983,7
1715,5
1875,6
1222,4
1733,4
1150,7
1484,4
891,1
1729,4
377,1
988,7
1519,4
4,1
1333,4
577,4
518,6
709,6
701,6
1583,5
88,8
592,5
1594,5
1926,5
236,1
1597,5
621,1
93,8
1978,1
1224,3
1945,9
1578,1
320,3
394,5
1493,10
1974,11
1429,7
757,3
67,8
1538,9
1310,9
1918,5
1257,6
830,1
826,1
1465,4
1834,1
208,1
1302,7
353,1
1409,4
1388,1
929,3
958,6
1413,4
1680,1
329,11
341,1
1092,3
1342,4
112,7
1255,6
953,6
1617,1
724,3
606,5
1556,1
169,8
812,9
928,3
1503,4
68,8
1710,5
735,3
1393,1
1618,1
1586,5
1071,3
1440,7
713,3
731,3
587,5
288,3
1241,3
1856,7
444,4
349,11
949,6
699,6
1408,4
1223,4
1626,1
390,5
978,3
1843,1
1592,5
802,9
113,7
937,6
20,1
1846,1
1863,7
1808,5
599,11
687,5
1398,1
506,6
1236,3
1159,7
82,8
1289,7
492,5
1593,5
28,10
495,5
1944,9
1445,7
850,1
1287,7
1079,3
749,3
1220,4
1714,5
1164,7
625,1
1677,1
1609,1
41,1
484,5
1506,5
1713,4
594,11
1738,4
273,8
732,3
8,1
1145,4
1811,5
343,6
1174,7
755,3
1743,4
1391,6
1026,6
853,11
44,1
176,8
17,1
1739,4
1943,9
1153,7
276,8
1672,8
1750,4
702,6
1581,5
747,3
1437,7
70,8
1293,7
1284,7
238,1
1754,6
38,1
132,7
486,5
91,8
1436,4
1250,3
898,1
25,1
1525,5
985,3
1939,9
50,1
1798,8
109,7
1165,7
1014,10
96,8
1649,1
1443,4
1282,6
1452,7
693,6
211,5
1331,4
480,5
1790,8
1640,1
1666,8
1277,6
777,9
1894,1
679,5
1726,4
1113,7
1260,6
775,9
350,1
1659,8
5,1
644,1
1654,8
13,1
961,6
1247,3
410,4
706,4
1370,7
820,1
1791,8
