doc_idx,category
747,5
792,11
962,3
245,8
1597,10
1161,8
1449,3
14,4
1228,4
361,4
86,3
1073,3
1425,6
1609,11
1627,2
282,4
127,7
1293,11
1411,11
1387,8
713,4
803,7
123,8
1290,11
1145,7
1151,7
336,11
1304,10
958,11
1247,0
1355,2
683,5
490,10
483,3
1595,1
641,3
1419,10
230,2
1521,3
1545,2
1365,11
1434,6
365,8
1421,10
180,11
755,1
1694,4
1361,3
513,7
1503,3
1540,2
644,9
1243,6
26,8
985,10
2,3
1701,10
35,2
1429,2
1298,3
994,11
1337,1
1406,5
839,3
656,9
1592,5
1593,7
1723,1
1555,1
1232,10
1340,9
305,6
508,5
1102,6
100,8
495,5
1584,1
1236,8
154,9
961,2
659,3
684,2
679,11
1277,5
1663,7
1697,11
1414,3
1394,3
720,3
928,8
458,3
1118,3
1234,11
654,9
1114,11
649,7
797,3
59,7
80,11
133,5
303,2
468,6
736,10
642,0
1612,2
1174,9
1623,7
308,8
1331,7
661,10
105,7
1375,7
871,7
729,5
1378,9
655,11
329,2
711,3
394,2
1542,7
1607,3
632,10
692,7
1729,5
491,5
1610,5
242,2
896,7
333,5
1253,5
1412,4
353,5
980,3
1182,7
71,7
1310,8
338,9
359,5
1319,8
598,8
860,7
777,5
1617,3
360,11
1741,3
1092,7
591,3
1622,11
1373,5
780,3
1131,4
650,5
1660,1
1594,11
1738,5
29,11
1257,1
975,6
1251,5
1376,9
85,11
1046,7
807,4
289,3
752,4
1313,1
259,5
47,8
943,7
696,3
1126,7
723,5
347,4
1048,8
823,7
212,6
763,1
340,11
1630,3
390,11
731,4
119,10
290,1
341,6
23,5
297,4
203,11
1300,11
1034,4
592,8
1011,0
1532,11
1624,4
1100,0
518,7
1399,4
1194,2
225,1
1525,3
573,6
246,6
1296,9
1032,3
103,7
1140,1
1408,5
221,11
1270,7
1418,10
840,5
1484,3
769,1
850,3
460,5
194,3
1424,7
372,1
1720,11
130,3
1342,5
1075,4
320,10
172,11
1175,8
506,3
1585,5
31,9
174,3
1447,11
1513,8
1143,10
1322,5
1442,11
1157,7
1019,3
1245,9
706,11
1679,5
334,3
1495,7
1626,7
732,1
40,4
1349,1
1558,3
1010,9
1091,8
1654,2
709,2
302,3
1006,2
256,10
1323,5
597,8
1530,11
64,11
1490,8
294,11
1431,3
271,11
1492,11
1489,3
735,3
695,3
393,2
568,11
4,5
349,0
937,3
1057,11
1294,3
1684,8
88,11
236,7
1309,8
486,7
1392,2
1616,1
551,7
1671,4
67,8
1085,7
1065,7
1393,3
834,0
990,6
397,3
549,7
1124,3
762,4
741,6
1483,8
833,7
918,8
496,3
1315,11
1082,2
664,3
169,9
767,5
112,5
1534,10
1509,9
68,3
899,4
1203,11
1405,2
927,1
472,4
1369,8
1099,10
1637,4
802,11
288,3
1437,7
1665,6
113,7
1167,7
332,11
1613,3
469,4
457,8
978,7
561,7
520,1
82,3
1728,9
1455,4
1428,11
28,9
1576,7
362,11
1539,5
1274,9
1132,7
953,7
579,3
1214,3
703,8
1633,1
640,3
586,7
41,3
402,9
1101,11
634,3
439,8
541,11
1381,2
1103,11
222,6
1699,9
1379,11
484,11
273,7
726,11
1415,11
521,5
1292,10
599,3
335,10
343,3
1196,5
826,1
624,6
625,3
1650,2
1439,6
749,8
577,11
984,11
1715,2
17,11
176,2
548,2
957,8
1726,7
1146,3
1641,7
517,3
783,3
220,7
1543,3
276,8
1529,8
1013,7
926,7
70,2
415,6
1691,7
594,3
941,5
584,7
1130,11
693,5
1358,11
261,1
1056,6
448,1
38,10
891,8
1731,11
132,3
1535,1
818,10
1272,3
1109,3
188,8
1328,10
1035,11
379,3
1256,3
50,9
109,3
1155,7
492,7
1152,3
376,5
1579,8
373,11
898,8
25,2
1192,8
605,9
285,7
463,7
1485,1
775,1
909,3
607,3
853,2
1669,5
350,0
621,3
877,0
821,6
389,5
374,3
1422,5
1478,5
1120,11
1524,4
1181,3
773,7
1465,5
675,4
616,5
5,6
238,3
588,7
1106,4
1486,7
1089,5
1589,7
758,5
1334,10
903,5
964,8
1636,7
410,10
211,2
13,11
1544,1
319,1
1283,7
1652,0
939,3
91,9
800,9
619,4
128,10
480,5
1087,11
502,9
1642,1
1362,3
73,7
733,11
1094,7
1116,7
1708,0
1587,3
1721,3
1403,6
380,11
966,1
451,3
226,9
1170,7
444,11
947,11
1507,1
479,7
764,8
724,6
1335,11
60,7
1656,5
606,7
437,8
101,5
1580,10
122,4
580,11
988,5
199,9
1207,9
161,3
1718,3
902,3
1474,6
915,7
280,10
243,8
587,7
454,0
150,7
186,6
1327,8
942,11
1016,5
1557,11
9,9
1703,7
956,3
1742,2
636,8
882,6
1367,2
698,10
1566,10
929,7
633,9
842,6
1501,11
1049,9
772,9
652,4
798,7
209,3
1071,3
1446,4
996,3
1222,5
244,7
1639,7
562,5
959,7
327,4
738,5
442,7
274,3
1372,10
1459,3
795,5
1113,4
239,2
1391,8
121,11
1254,2
328,8
452,3
813,9
1538,11
858,11
618,7
