doc_idx,category
1790,6
3751,1
2107,4
3899,4
2810,8
2288,5
1323,2
3592,1
2020,3
1212,3
3109,4
3720,9
1656,6
2752,6
3422,1
632,2
1145,2
828,1
1756,1
871,2
984,7
2951,7
98,2
4311,2
2584,3
2891,8
3366,3
947,1
3534,3
1726,1
3697,2
1479,6
3310,6
185,8
2797,1
3519,7
496,3
1425,1
3376,1
2236,1
4258,1
2267,5
3255,4
2175,1
2148,5
1530,3
3327,6
4046,3
3053,3
1221,2
2139,2
2725,6
3862,2
2350,10
2835,7
2950,9
412,5
4180,5
2627,8
4066,4
310,2
2121,3
3536,8
3864,7
2222,6
693,1
1883,3
908,6
2557,3
1291,7
2554,6
1618,4
4380,4
2795,9
3027,2
826,7
840,5
2496,3
1979,7
2579,3
1779,6
580,1
1177,1
3418,1
3191,6
779,2
3873,3
550,2
100,7
3221,6
144,3
749,9
712,3
2061,9
4121,7
1649,9
2715,9
4049,6
3395,2
3887,3
3856,3
448,6
1801,6
2018,1
4009,6
4073,5
1254,1
3070,5
3640,1
465,3
333,3
1049,2
3771,7
2329,6
2698,5
894,8
3127,1
2367,8
2679,6
3208,3
868,3
3643,3
3497,7
2545,10
1446,2
379,5
2180,3
3547,4
883,1
112,3
2801,3
2447,3
1951,1
3988,1
2754,4
1526,1
623,8
2297,4
597,4
1222,2
3941,7
1920,3
1833,6
698,3
164,1
2390,5
2069,9
3526,4
543,3
382,4
3976,5
1006,6
3296,4
3629,4
3611,10
3201,6
1809,3
4264,6
3223,8
2458,2
2908,3
2987,5
1312,3
3798,6
2861,3
2159,4
1776,5
1299,4
1670,3
622,9
2597,5
2868,3
4021,1
2676,3
2784,3
1164,2
2512,2
2841,7
775,6
380,9
4045,6
3308,2
3480,6
99,1
1603,6
2550,1
4166,7
4314,4
4256,1
3858,7
3447,4
2796,2
2348,4
521,2
1762,2
4274,9
322,2
3309,5
1977,9
2440,2
933,1
2406,1
812,3
2924,2
402,2
2281,1
2256,2
3917,1
4309,3
3655,5
2154,3
2750,3
3565,1
1092,6
769,1
4028,7
3646,4
2307,2
1764,3
1544,4
2667,10
2487,4
2410,6
3269,6
3469,1
1994,3
1472,2
4252,2
336,3
3750,2
1672,1
3351,9
2768,4
3651,8
4230,3
2083,9
2251,8
3575,1
4234,5
3799,8
4160,8
805,4
2241,4
2462,3
2433,3
830,8
3564,1
1681,6
2177,1
983,2
1937,4
2105,9
1551,4
1506,2
3888,7
3253,7
2606,3
2097,2
512,5
2058,4
2565,1
3407,4
1631,10
2915,6
634,4
1616,2
1733,4
2823,3
365,5
283,3
1244,2
1718,2
235,3
1634,4
1223,7
2576,3
3485,2
930,1
2890,3
124,6
1755,0
1938,3
4251,7
135,1
1546,4
445,2
1519,2
1636,9
262,6
2683,2
2321,5
4152,7
3236,5
1692,1
1877,3
4097,9
709,6
4345,6
2855,2
777,3
674,4
1612,9
1910,4
221,4
2101,2
3455,5
3098,1
2079,7
4065,6
3505,3
3179,7
803,9
293,2
1398,2
3377,9
4217,3
1340,3
1390,1
2848,7
1087,3
2776,8
1033,1
3908,4
2746,3
2434,4
2817,2
1731,9
3224,3
3194,1
1038,6
532,1
3583,2
4094,5
877,3
1068,1
1012,4
3682,1
745,1
104,3
2694,3
1632,2
3142,6
1279,6
437,4
0,3
774,1
628,6
2093,6
3420,6
3466,2
1533,2
795,5
130,5
1335,2
1535,10
4332,2
109,3
419,2
1150,6
50,3
4364,1
1624,7
2829,1
3210,3
642,1
3840,2
1487,7
3133,2
852,2
225,2
531,7
673,6
909,3
4186,6
1414,3
2060,3
1760,6
2628,4
1594,4
487,7
4101,1
3836,3
874,4
2438,2
987,1
1470,4
449,5
1410,1
1184,9
2158,9
3428,3
3832,9
2680,5
1592,4
3811,1
319,1
3638,3
891,3
1804,5
3145,10
2759,3
3755,8
3703,2
1807,3
2031,3
3535,2
4175,3
3017,6
2070,6
5,0
2176,7
1306,1
81,7
372,3
534,1
3063,1
4245,3
4248,7
3028,2
2898,2
35,4
2366,3
3993,5
4239,2
3064,6
1701,1
3846,1
2534,1
335,1
3352,2
1606,6
1657,8
1708,4
2723,3
3304,1
4047,6
3018,9
1418,3
2672,0
3604,6
3325,1
1628,3
850,2
3889,3
1922,8
110,1
4133,7
3733,1
2196,2
3118,3
2976,2
3186,9
1251,1
2398,1
2661,0
1238,2
3861,2
3721,6
3661,3
3579,2
415,3
3841,2
3731,8
1882,3
957,1
892,5
2375,3
252,1
1325,7
2681,6
1467,2
2639,7
3632,2
4275,3
390,1
1784,5
2237,2
1079,5
2468,6
2323,9
61,4
3012,6
244,4
1740,6
3881,2
462,2
1818,10
3734,3
3803,5
4013,4
1916,2
2542,3
2130,4
1103,3
556,1
513,0
1599,9
1914,10
627,3
702,3
