doc_idx,category
448,6
880,18
2404,7
2688,20
2577,5
806,15
336,16
892,7
1946,3
2102,0
2289,5
2078,17
1038,1
2066,3
393,2
1356,1
2976,12
578,9
1420,14
44,9
1592,10
234,1
2385,18
2429,8
1383,5
1684,10
2543,4
874,3
1193,1
1010,12
1006,0
1565,15
1686,1
1526,0
506,3
1480,14
2042,21
624,8
112,3
1656,3
2390,5
1282,5
2547,8
1737,4
2986,13
245,17
2478,9
556,7
1884,3
1876,0
2859,3
2379,1
1113,14
128,18
1806,2
606,10
1376,1
1801,2
2635,1
1482,19
900,6
1208,3
1254,8
248,11
955,2
1668,7
365,11
1757,4
751,8
850,8
957,1
2151,13
86,16
1055,18
803,18
1823,8
1370,16
465,4
1295,13
840,15
762,19
709,3
1610,5
2476,7
1750,10
1577,1
1079,6
1751,3
1145,0
2235,11
1716,0
362,1
2220,11
2108,0
2720,5
2400,18
132,18
2627,3
1564,5
2797,3
2412,3
214,14
1259,15
598,9
2145,16
1697,9
1059,3
2811,15
1813,3
2401,13
2115,12
860,11
2053,4
411,17
1122,10
2274,4
302,13
2364,13
1997,3
2893,7
953,7
2336,11
2358,5
852,3
728,0
1385,17
2685,13
716,7
1540,16
16,3
2077,19
1906,5
2983,15
379,13
242,13
2879,20
224,14
1220,0
2156,4
1279,7
291,0
375,9
2207,3
1196,12
889,18
1588,1
63,9
1904,15
1332,17
848,17
1047,3
1168,11
1930,5
2044,1
1143,5
1201,19
2395,5
684,0
284,9
1614,2
2359,13
2269,10
896,1
707,2
775,8
496,0
2186,6
980,19
2489,15
459,0
1738,7
2312,8
2505,16
790,11
405,10
644,8
1315,12
1327,10
1768,5
100,19
990,0
2719,3
2598,10
2690,4
2136,0
103,3
1570,2
1736,16
1694,16
2809,9
2304,2
532,28
1578,17
2987,14
2898,17
1241,4
1314,16
947,19
1095,15
208,15
2444,13
1671,6
252,1
923,8
2658,13
1895,9
1947,13
1412,1
485,1
1365,9
1077,5
1621,15
262,5
2867,18
144,13
1281,10
2305,14
1726,17
1442,6
156,8
437,8
2190,9
1710,15
575,3
2890,11
2338,6
1042,17
2821,16
1508,4
335,3
1392,17
1132,19
917,16
1597,0
1821,11
426,14
1781,0
2134,4
1029,18
825,13
2636,7
1277,8
2105,0
319,10
842,12
1381,5
2352,14
673,12
1641,3
449,6
205,8
2925,4
1718,1
1735,18
592,6
37,8
1779,5
521,1
1426,8
1955,17
1325,14
2825,15
2708,15
1549,18
2411,6
2778,3
911,18
907,17
283,17
1036,6
727,0
1402,6
2094,3
181,12
2201,11
619,15
1266,13
795,16
2793,5
2340,6
271,3
2130,11
2716,9
111,8
1953,3
2008,0
285,3
140,11
329,7
2560,11
1492,19
2780,1
2994,6
2920,3
203,21
387,3
1377,18
1630,0
1379,12
1175,19
2928,11
19,4
1634,7
2630,6
1021,12
2768,19
921,0
334,9
961,6
1916,19
1128,19
130,3
1984,16
1690,14
440,8
2202,15
621,18
1302,7
655,19
939,4
2915,3
988,6
2071,9
2458,0
50,0
1936,3
85,4
1035,4
180,7
2578,1
1506,11
2209,1
1380,12
415,14
1980,14
1917,5
1012,14
2765,4
1571,9
2953,6
2537,15
797,8
2236,11
2965,10
2226,5
2107,16
2969,19
2089,9
2019,9
2684,4
932,3
1251,3
2624,12
1858,9
188,11
866,1
1659,8
2292,16
756,13
1445,16
403,3
2849,14
2425,16
65,16
1335,0
1977,3
893,12
1481,12
1063,19
550,10
1800,15
1871,7
213,3
2531,17
1981,6
2245,12
389,0
2554,19
1224,12
1804,3
1353,15
1879,4
1358,6
442,12
80,3
1631,14
2896,11
77,16
883,14
1755,3
2759,6
605,9
805,4
324,8
377,3
382,12
1853,11
706,8
1014,5
124,13
2963,19
924,0
820,19
1642,10
1809,5
2155,8
2335,19
2776,7
1425,10
2535,19
1866,11
769,6
2779,14
1276,1
29,5
2653,0
2743,8
763,8
1430,9
1313,3
744,9
434,10
220,7
215,11
757,18
2812,18
1728,10
306,9
98,10
2096,11
1974,11
68,11
2835,14
276,0
27,7
110,8
2590,12
1901,5
812,8
1342,8
123,15
2374,9
2828,18
749,1
2670,0
2259,18
1720,4
2448,10
2414,7
1988,6
2322,5
1937,6
2664,10
2607,0
1092,18
1456,5
1072,18
1673,2
1171,0
2502,8
1968,0
2865,10
293,3
0,7
927,1
1683,11
1557,7
327,11
186,6
1472,3
266,2
1940,7
1252,10
159,0
875,3
2090,16
580,2
1411,5
531,13
1696,17
562,17
2095,8
1598,17
2659,22
445,0
643,11
919,14
587,0
99,5
1107,11
1550,1
770,18
891,0
666,13
984,9
1522,19
2496,1
906,0
76,9
1899,17
2621,17
1996,17
2737,8
2407,7
1645,15
733,4
2445,11
627,14
402,23
2005,13
2179,6
1559,17
2707,19
2528,8
2421,13
1649,11
2075,1
918,14
2697,8
1770,19
1100,6
2196,12
1674,18
888,12
17,0
1366,5
104,2
2850,11
778,8
1076,19
1005,12
2480,15
1783,10
1831,7
685,17
1567,10
2911,0
1253,14
1943,21
2237,11
1516,4
1022,2
114,12
2348,16
768,7
2762,2
2771,18
1166,13
346,6
308,19
2649,3
2615,12
1618,8
2918,0
966,7
1094,1
1606,10
2820,12
2014,15
495,5
1530,6
2282,5
2945,0
185,5
2815,12
2018,5
1888,17
1921,7
634,2
2662,0
1428,16
174,17
2229,17
1569,18
2714,15
910,15
1498,8
1574,19
320,10
2520,2
1703,8
2503,9
1219,17
1586,9
916,8
2009,6
1665,17
288,7
2325,13
2346,12
1907,12
1706,14
2397,18
385,18
909,5
1102,10
1375,9
1519,0
663,2
1733,12
573,2
515,14
1174,8
2801,14
1223,18
240,16
989,4
2265,9
307,10
633,6
1485,10
1948,0
2260,11
198,10
702,13
1803,11
1033,9
2721,2
1362,17
2845,5
2663,0
1856,13
1207,2
2060,19
1638,6
1932,10
1329,3
2372,0
2877,0
481,1
1169,6
564,3
81,9
2212,8
628,3
1320,6
958,5
2391,2
13,9
615,14
1826,16
2754,3
2287,8
572,3
995,20
2349,8
1993,2
265,10
2427,6
2837,8
2908,12
3,19
2140,3
1639,8
2205,18
2286,19
641,9
2974,16
2438,14
2172,5
383,1
479,6
2360,18
879,19
492,10
1926,4
739,0
73,18
1815,3
704,10
2139,9
2162,12
2003,3
1604,18
1591,13
1310,16
1312,2
2456,7
1417,18
2410,12
1371,14
2119,12
2468,13
517,9
66,1
2713,8
1368,4
2611,1
1887,4
1244,10
2509,11
2271,14
2331,12
834,0
273,0
14,6
1923,3
802,16
653,11
2957,13
934,12
1025,2
2584,17
2930,5
454,0
1677,4
2131,20
317,14
1020,19
2081,14
1499,1
417,13
305,0
1798,1
2227,13
398,3
1234,0
2157,8
1221,0
1180,16
2144,4
1912,8
1780,15
1475,5
2781,19
1360,18
2253,1
1439,1
642,19
2378,15
2786,6
2874,17
272,10
800,0
82,13
1421,2
35,10
908,1
1000,13
1292,0
1583,1
483,0
40,8
2368,19
2761,13
672,3
1681,19
597,13
421,9
1663,6
1553,14
974,1
2386,1
807,18
2704,10
2573,0
2832,16
2428,8
985,6
2092,12
1227,18
314,11
2652,16
2149,6
1822,18
2807,0
987,28
2133,7
2572,14
1390,14
1154,2
648,8
1391,15
826,6
2057,12
2449,13
390,11
2487,1
2050,9
133,2
264,5
2121,11
2951,0
338,2
715,0
2403,4
2334,13
1323,12
1562,18
1546,14
