doc_idx,category
1191,1
527,7
1188,1
1894,10
2268,4
1977,11
1644,4
1685,2
2560,1
312,6
1772,3
2542,13
1833,8
891,6
1274,4
458,7
2549,6
1206,1
331,1
516,8
2954,1
1684,9
697,7
606,1
1350,8
2755,1
2702,12
1220,1
1996,11
2234,1
311,7
102,8
189,8
2338,2
1167,7
1661,1
955,9
2620,3
1543,1
1122,13
444,4
2070,12
2244,8
1212,13
1131,9
2492,9
465,4
2646,1
1404,8
904,1
755,1
2139,1
1141,2
2735,3
127,13
2596,1
788,1
488,4
1622,2
1541,13
1509,1
1740,13
253,10
1793,6
2973,10
1117,8
2340,2
2054,6
550,7
2050,4
451,13
1692,10
2442,12
2237,9
1638,1
2354,13
1332,2
1203,3
2221,7
3009,9
900,13
2742,13
2093,7
1523,9
194,1
2220,9
252,3
1147,7
1180,5
1234,5
436,12
921,10
807,2
406,6
1273,3
409,4
1838,1
2361,9
2483,6
448,9
518,13
1655,13
954,13
2105,8
2718,7
1312,1
199,9
1997,1
1686,13
405,4
1021,13
1330,13
2878,10
2551,10
1902,7
2477,1
174,1
1401,12
262,1
248,3
205,5
1389,13
1691,6
1296,6
2056,10
1923,4
2444,5
2280,10
2380,2
1843,4
2319,7
722,11
1776,9
1187,1
2448,10
1540,2
2087,3
1983,1
940,12
2085,12
1414,7
2255,2
2889,12
963,11
653,1
121,1
403,6
2174,6
2569,8
1288,6
369,8
2513,4
2800,1
953,2
2073,6
1947,7
2691,6
1059,7
1450,3
1679,8
1473,9
389,1
970,6
1550,1
1049,4
1439,1
2856,1
1361,9
508,6
1711,13
2504,7
987,4
352,10
338,8
1219,1
2285,10
2997,13
2793,9
2083,12
1925,7
2946,4
947,10
1210,4
120,8
806,2
673,1
1749,4
2196,13
2808,5
2921,3
734,3
1972,1
2149,7
975,3
75,7
88,1
1745,1
1883,4
1611,12
349,1
1154,2
1197,5
2760,10
2023,13
2601,9
588,8
2011,11
1670,13
2548,10
1067,6
407,3
135,11
2055,13
780,6
541,9
92,6
363,12
1138,2
1538,8
2880,9
834,4
1320,4
1637,12
61,5
2207,11
2603,1
1689,2
2655,1
351,5
2389,5
874,4
223,12
2829,2
1567,4
1982,13
1532,10
660,1
98,9
2473,6
218,9
142,3
1305,10
450,6
1962,8
2397,3
2416,1
2686,2
1629,3
700,1
1375,5
1444,6
1990,1
1975,1
2358,11
393,12
1233,1
2464,12
2538,12
1271,5
2776,6
2781,6
543,1
2674,4
1761,1
580,1
1652,1
1440,13
897,3
1211,4
2689,11
2778,10
357,12
60,13
2982,12
1764,12
1665,13
671,7
2842,13
928,13
2813,6
266,9
2260,3
509,13
355,9
1755,1
836,6
1283,4
2593,12
1002,1
1367,2
2277,8
2469,11
1613,13
2995,9
2209,13
439,1
2282,1
420,1
2487,1
1812,10
2525,4
2961,6
9,5
1430,4
1355,9
2431,3
1585,5
2661,1
254,1
1884,12
2447,13
809,5
1932,10
2053,1
709,1
1022,7
1112,1
365,5
2584,6
786,6
354,3
1405,6
869,3
2640,3
2650,1
116,7
1160,5
816,11
776,12
1032,7
810,5
730,4
3,13
353,8
1202,4
1314,12
3001,2
95,1
2929,11
1539,13
678,7
1434,1
209,2
581,1
915,1
597,12
371,8
560,1
265,4
2157,4
2008,5
1680,1
2288,13
2436,7
2607,1
1209,2
2185,10
774,5
1955,9
2979,10
2896,8
587,10
1531,8
2154,2
1974,6
814,12
512,12
438,2
1906,2
332,6
478,9
307,4
934,12
1822,13
2768,2
1425,1
2326,13
2870,6
2518,8
911,12
996,6
691,4
879,1
862,7
2459,1
1393,12
2643,10
1076,2
1668,1
2347,3
1857,2
1621,2
2887,9
1780,3
472,1
1424,3
361,3
221,13
1696,5
2034,1
686,6
2580,2
1023,1
1537,3
71,4
2335,13
314,1
2554,1
1525,4
1981,9
2045,12
795,1
564,1
632,8
2505,3
1658,10
1339,2
596,3
2531,6
733,7
2179,5
276,6
206,12
224,11
346,2
2939,2
278,13
1237,11
1270,4
2089,5
414,1
2833,6
1596,1
2293,10
284,5
838,9
631,1
1676,5
1090,5
2782,3
2412,4
991,5
1987,8
536,3
63,3
2631,3
1319,1
1060,4
1105,6
916,5
222,5
1299,11
1027,12
2893,12
1736,8
474,8
2976,10
828,4
988,2
2146,1
2387,3
328,1
892,6
6,1
1196,13
721,5
2243,8
2565,6
1353,2
1502,12
579,3
318,7
627,5
950,2
1164,1
1065,2
561,8
1066,1
2245,2
1895,1
2460,8
1971,4
1522,13
182,1
876,9
1781,10
280,1
2708,12
2190,7
1777,5
1419,5
239,11
1286,2
2609,9
130,11
1256,3
27,8
1285,3
1519,7
2737,2
2328,4
648,4
2809,5
2744,13
305,6
2812,1
201,1
2527,9
1493,12
1052,11
2218,1
1752,3
122,12
105,1
1073,1
399,7
549,5
2064,2
1170,13
2738,5
2797,12
936,13
1701,8
2748,12
1083,1
2932,4
1331,6
1727,1
1823,4
2175,9
93,7
944,1
524,3
1407,7
1467,8
2579,3
1249,3
2081,1
1921,1
1545,1
1422,1
1396,3
2582,7
2246,1
1057,6
2088,9
1053,9
219,4
1562,9
418,6
1513,13
2693,9
883,3
2152,1
301,1
720,7
2457,1
681,1
2118,12
1674,3
471,4
1365,8
1719,4
1214,7
1995,7
1044,2
1448,3
196,2
802,1
690,1
2688,1
663,13
1912,1
1544,13
2930,1
169,3
495,5
1445,4
1520,6
1848,4
958,5
2872,10
923,12
1698,7
203,1
2164,7
