doc_idx,category
1429,12
2294,12
589,14
486,13
1588,4
2715,13
1711,13
940,6
2171,6
3013,6
2993,11
4017,1
3352,9
4169,4
1828,1
1041,1
2179,5
3048,10
3698,4
1188,17
3465,9
3189,13
2661,11
3581,9
3513,13
3558,18
3382,1
10,6
2194,2
4003,19
111,13
2713,7
3991,1
630,9
2870,14
3438,8
40,4
3085,9
608,10
4213,14
1770,2
1857,13
254,4
1993,11
2711,6
23,12
4412,4
2656,14
1886,10
585,7
421,13
1370,8
1525,9
1480,14
1712,9
2045,1
2552,16
354,11
4399,4
1562,1
315,7
4224,14
1714,10
2507,11
1572,1
2285,11
3303,9
3151,5
2031,1
308,16
1917,10
2679,1
3289,1
470,8
2206,4
2751,6
3504,5
2003,9
662,1
4385,8
3912,1
2858,1
1757,1
4011,1
3484,13
995,13
511,1
1308,4
1498,2
3084,13
4437,1
3764,5
278,1
4189,9
465,1
1052,10
2462,4
2230,13
4188,14
3681,3
832,13
2743,9
3516,14
1027,4
2054,13
569,1
402,10
2182,9
2937,17
988,12
2417,3
1115,13
2816,16
73,14
2517,8
1746,4
2857,1
390,13
3373,13
2214,15
3830,9
3004,4
3818,9
1010,12
1342,5
3001,11
2071,9
2621,18
4295,15
2592,0
2180,11
4235,17
448,1
1140,14
3602,6
2885,9
2860,2
1540,11
344,1
3452,1
2120,1
1914,12
2699,1
1484,9
3066,1
1160,1
1158,10
2165,4
2383,13
4138,8
4117,13
2008,14
4313,0
2091,1
3056,8
1643,1
1100,1
3863,1
2984,8
537,13
1815,1
684,6
4430,4
1021,13
3948,1
1305,1
4241,2
2456,4
2550,13
3160,12
702,1
276,19
1598,13
3902,11
808,9
546,5
790,7
2205,9
2747,9
351,5
724,1
1916,13
640,14
4024,16
742,14
2947,5
1955,19
1892,11
54,19
3552,4
3578,2
2452,10
1016,15
239,9
2812,19
636,9
602,1
69,9
1330,17
2546,1
2670,15
3793,9
898,10
1139,1
2411,8
2888,1
1542,1
1385,1
4378,1
4351,1
1750,1
2033,1
245,1
4074,7
3050,1
2373,1
1956,8
786,1
476,15
613,1
2480,7
3889,14
4219,11
2514,14
3248,1
3577,12
1592,16
3566,9
4068,9
3474,5
2758,1
4175,2
3567,16
1940,1
3860,4
167,1
1825,9
3144,9
2969,9
3503,13
1813,1
2903,5
3221,13
1774,1
1488,7
2807,0
2076,0
2829,4
2576,4
3797,5
4427,5
1118,11
3230,9
3700,11
1302,1
2162,4
1761,16
3336,17
1212,13
3975,14
1013,11
2766,1
500,13
3849,9
4472,14
1040,10
3043,14
581,6
2633,14
518,11
3637,7
844,1
1832,11
716,19
972,9
180,1
1841,9
1392,4
310,6
3479,4
3748,1
2497,4
2580,11
3843,1
2556,8
2599,5
4457,6
1335,4
3167,5
289,14
2062,2
2128,4
291,7
298,6
3894,19
1938,11
2197,10
1088,10
575,14
3170,14
809,17
3956,19
1831,1
1796,1
857,11
408,1
1817,14
1042,11
1689,5
3130,19
2980,3
1694,1
1651,4
2125,9
341,16
932,19
1686,6
3676,5
2968,19
1244,8
755,1
1128,11
431,4
1634,1
2322,4
4275,6
123,1
2653,17
3431,1
3380,14
356,9
2890,4
294,12
1166,15
688,11
3229,4
225,13
2312,6
1767,14
1310,4
2574,5
2444,6
4435,14
2110,1
14,19
2994,1
3025,14
2009,1
485,13
2710,15
2818,13
3883,5
2477,15
4073,9
3429,7
2211,5
1609,1
3120,14
3275,4
443,10
3559,9
2687,10
3399,1
4141,1
601,2
1482,2
3409,19
209,2
1745,2
2623,1
2474,11
4089,5
970,3
930,7
4381,11
3300,13
3242,1
257,12
1350,2
1259,10
3928,14
2728,1
392,6
437,4
1844,5
228,6
2081,1
3478,14
2282,15
3779,13
1456,10
3572,15
3110,4
3533,2
3023,17
109,15
4471,5
299,5
366,6
1291,2
3042,16
4283,13
2137,7
1971,3
334,1
3665,16
2029,19
4424,11
721,9
2002,5
639,14
3900,14
3329,14
3857,3
701,4
747,9
1558,9
4310,1
262,13
587,1
673,9
851,9
99,9
3728,10
218,3
1890,1
731,9
3325,1
339,4
633,1
2232,11
1513,14
1362,4
2973,16
1,9
2357,19
3802,10
4151,1
4490,1
3596,1
3861,14
783,1
192,4
2795,19
3736,13
3241,14
2611,1
2127,15
221,1
1044,13
2321,1
583,2
1791,5
797,1
466,3
4247,9
603,19
462,12
777,3
2053,14
985,13
3918,6
677,15
4451,1
487,13
1529,1
311,3
93,8
3277,11
370,1
1399,14
3211,18
1327,13
1446,1
432,19
2036,13
2277,14
3119,13
799,14
885,2
4484,1
4408,13
1755,4
3538,2
107,19
3770,9
