doc_idx,category
12,7
3362,0
2523,1
281,6
3747,13
1419,2
1953,2
1258,2
3775,6
2194,8
3646,8
1499,2
2823,2
1840,10
800,4
1891,2
2134,2
137,2
301,3
2325,3
2670,5
696,2
354,3
28,1
2736,12
1955,1
1420,3
3562,4
3397,6
2383,4
2496,3
921,9
2896,2
1596,2
344,1
2206,3
3158,1
3627,14
587,2
1669,2
2282,10
3439,1
2632,2
2547,14
3141,14
1940,1
1646,3
906,2
807,10
1625,10
868,1
1548,14
2336,2
2954,2
221,2
3720,2
1761,3
1120,10
39,3
894,15
2415,4
1547,2
23,6
2567,11
3422,6
2779,5
3774,2
2750,2
1948,2
844,2
485,3
3267,2
2507,4
2276,4
2208,2
1531,2
2231,7
3531,1
2543,3
3260,1
2810,16
2580,9
2814,1
245,1
3306,3
247,6
3483,6
2909,6
920,3
200,6
299,6
1128,0
3431,1
1346,12
1575,2
1615,1
3582,2
940,6
2426,10
3041,3
2550,5
503,3
1248,14
369,5
52,10
3565,12
2429,4
1993,4
2182,1
642,5
1965,4
2994,1
2705,3
1366,11
951,9
2401,3
2489,6
1782,3
1881,3
2829,2
3783,3
3029,1
1714,7
2649,1
2962,1
330,5
786,1
1601,2
1570,3
1897,3
2804,3
3658,13
569,1
111,14
1354,1
1712,10
3633,16
3178,11
2780,1
204,2
3394,2
2672,3
291,1
1559,2
1156,2
465,2
2273,1
1144,0
2615,6
679,2
3131,1
1307,10
880,2
1607,15
3428,14
2799,4
2047,1
1065,3
1137,2
2847,2
1223,2
3360,5
1331,3
766,7
341,1
1456,3
613,1
1357,2
1170,3
2879,2
618,3
3725,6
1857,2
3310,2
1819,4
1605,3
2735,11
1788,3
1189,1
3162,2
793,3
2893,12
3132,2
3718,12
1849,3
2560,2
3144,3
1211,3
1443,2
644,1
1181,6
1309,0
523,1
2260,2
1002,2
669,4
2766,2
7,4
1611,11
2153,2
40,3
3400,2
3636,4
681,4
2392,12
1831,3
1979,2
3337,2
3365,3
1503,14
3459,2
1919,1
726,1
1654,9
3378,0
1990,14
1757,2
1381,3
218,1
1961,3
500,1
1003,3
2683,14
3023,15
2254,1
1040,2
239,8
788,2
2017,3
2860,4
970,6
2223,3
2031,3
2742,2
2108,1
1405,2
2454,3
1199,10
1767,1
499,3
366,3
612,2
2055,1
2795,15
316,4
254,6
1952,2
995,3
3518,2
2097,3
751,3
645,3
1446,1
276,2
1340,8
3086,2
3143,2
3430,3
2505,1
2947,5
1994,2
123,2
1453,2
3451,2
808,3
2958,14
353,3
105,5
315,2
2061,2
585,2
2269,5
1167,4
537,7
3371,10
289,15
2286,7
3136,3
2890,2
747,2
2885,12
3705,1
1082,2
3683,1
188,7
630,16
3515,11
1124,1
1590,3
1011,2
1515,2
2771,1
529,3
2755,14
1533,6
3210,2
2552,2
832,11
2536,4
2476,2
3013,1
1210,1
2198,1
1371,2
932,1
1660,11
1758,13
3503,5
1869,2
3334,1
1417,4
1978,1
2331,2
1151,1
937,15
2003,7
692,1
731,4
1460,2
1100,15
928,3
2197,6
1971,2
1835,3
3696,1
3721,7
3641,2
1234,2
2985,5
1050,2
556,14
1310,3
2669,1
2443,3
3381,1
890,2
1069,1
1173,1
195,2
3630,1
2825,2
3080,6
448,5
112,2
797,13
1350,14
546,2
3631,1
3347,4
1334,1
1009,11
2629,2
2957,2
2435,2
1013,15
3570,11
1822,1
2926,3
643,4
2666,3
3293,5
2819,14
1689,3
2013,3
2187,3
1403,1
828,3
1394,1
2335,5
2075,3
2971,4
274,13
3723,15
1774,2
504,1
2220,3
1218,14
1540,13
3694,2
2337,1
724,2
1230,1
1826,1
962,1
1429,4
1044,6
742,1
1972,3
1271,2
3520,2
1088,3
3207,3
2519,4
543,3
1326,3
3232,3
518,14
3669,2
1587,1
2596,3
2120,1
1859,4
3235,1
698,3
3236,14
1204,1
1052,4
680,8
2498,4
1290,4
2193,8
3105,3
1526,7
3099,3
2870,1
3274,1
3377,1
1554,3
339,3
3385,3
3157,1
984,2
2704,7
1469,2
2066,2
2145,3
405,6
1821,10
2298,9
3659,6
2404,2
3050,11
2183,3
650,2
109,2
809,1
325,5
2790,7
1968,6
916,2
979,1
2309,1
1706,2
2983,3
3071,7
2527,3
1577,2
3416,7
598,1
620,3
3374,0
3713,3
1613,2
975,7
3737,0
2230,2
70,2
737,12
891,3
2373,5
3396,11
3346,3
734,5
1182,3
1671,1
3123,7
684,9
3005,1
1905,2
1246,1
3780,3
3472,3
2470,4
3133,1
2094,1
2720,2
438,4
1139,9
1884,6
2370,2
1543,6
294,2
2096,4
1225,1
2307,3
1305,5
2133,5
1066,3
373,14
2612,9
2675,11
3697,2
157,1
3614,1
1812,3
3058,12
446,2
2852,2
1816,3
2656,2
583,5
1202,4
3220,6
467,14
3336,2
169,9
3529,3
