doc_idx,category
4008,4
466,8
3248,0
1156,9
2695,11
3734,20
3555,13
1330,6
742,12
291,19
997,1
2556,19
3699,5
4216,12
2677,15
4032,21
2522,20
1118,15
2613,1
3004,5
1224,17
2076,8
1440,14
3944,23
2864,0
3524,10
3484,20
2947,15
1769,1
3268,18
1902,23
2342,8
3180,21
4294,18
1753,7
3560,7
1832,8
2499,22
1984,23
702,18
3334,8
4375,6
3306,2
3608,0
298,1
3902,2
2713,3
1370,0
816,5
2035,12
803,7
716,0
1602,1
1857,14
1391,9
2188,13
1394,2
2055,8
731,13
4457,8
4068,8
1527,4
639,5
608,17
2583,2
1047,9
1007,21
1972,7
3600,17
3198,6
2785,15
3452,20
4038,1
4378,5
3025,25
2181,1
3893,17
755,8
245,12
2054,5
4205,8
3575,20
2387,8
2345,19
2037,15
3814,8
3975,8
431,8
1970,4
2177,8
1302,20
1961,0
239,9
1542,25
2259,1
3141,22
3143,7
3421,1
3851,9
289,24
3429,2
2880,5
1106,6
756,4
334,8
1686,23
278,4
4366,10
1115,19
111,22
2405,11
3355,8
462,6
10,8
1770,9
640,21
2152,9
633,15
73,13
2875,12
500,8
3498,21
3338,16
2219,17
2194,15
3574,5
3014,25
662,15
1488,19
2860,8
3601,10
2093,0
23,15
1634,0
3030,4
3399,21
602,0
487,17
3204,22
2062,8
276,11
2373,8
2651,6
4169,1
341,8
2166,13
4248,11
2068,8
788,19
2390,9
972,2
3243,1
2238,10
2795,11
2440,6
3292,13
3912,1
2176,13
2524,2
677,1
575,15
1849,20
3442,17
1088,10
673,0
3572,1
1052,16
1651,15
2007,11
1305,13
4340,0
3863,12
3488,10
1738,7
993,6
815,9
3391,17
1367,18
448,2
1027,15
3588,1
3611,8
2384,25
583,17
3687,8
408,9
1380,18
3165,20
783,17
180,21
1498,4
3719,12
1906,20
1954,10
1104,25
1310,6
3925,2
4157,21
3570,12
1139,9
2712,0
1540,1
802,6
844,2
1853,17
3381,13
688,7
1521,25
4102,23
4291,6
2549,8
3748,8
2568,15
1807,16
344,0
1982,21
3365,6
2953,0
1298,8
3901,12
2903,19
2968,8
2554,7
2249,18
465,12
392,21
3475,6
2879,15
2961,0
3522,1
809,13
4145,12
1227,16
402,10
636,23
69,8
3472,8
2891,20
751,13
2715,3
4117,18
4437,7
1250,16
1354,6
3760,8
698,13
1782,15
3561,8
1009,3
1745,2
2434,19
587,11
2963,13
3998,10
3709,2
3545,8
4194,18
4404,7
1921,8
2031,12
985,6
3547,4
3446,7
1066,7
2412,25
4155,2
1721,13
308,17
1825,8
601,24
4170,4
2312,0
3227,17
786,4
2164,4
254,5
4256,4
2269,17
1140,8
2945,2
1433,13
3622,12
2411,8
476,5
3775,13
1471,23
1128,6
209,14
581,1
692,11
3546,1
4053,15
3584,12
1229,22
1730,8
2009,5
257,2
2923,18
3230,22
518,1
1800,4
1813,1
228,8
2325,13
3282,8
2264,1
3164,5
4109,23
3066,10
4361,9
808,8
1392,9
109,3
1002,4
299,3
366,5
4191,4
2744,6
99,1
2399,17
2471,4
1296,12
679,4
351,4
851,16
2543,8
4464,1
4045,19
2790,18
2829,21
2825,16
1942,16
1204,20
1920,10
4273,23
4410,11
3006,16
2335,25
262,5
1142,11
3352,15
4385,5
4393,13
14,15
1307,9
1848,3
2711,17
2999,1
1016,5
3525,0
1985,19
3836,7
1026,2
903,0
747,1
3794,1
1137,9
470,6
3385,17
1103,23
3703,0
1940,17
3194,9
1120,12
221,13
3012,8
1747,7
1144,15
1712,8
589,1
3501,5
437,15
1171,4
2204,5
1952,0
1788,14
898,18
2709,18
2030,9
2179,20
421,15
863,0
1619,15
4129,1
2806,5
356,2
2010,15
2203,22
3704,18
315,8
3222,12
3095,8
390,4
3649,15
2048,10
1331,21
354,4
1371,13
4091,23
167,10
2865,25
