doc_idx,category
1819,5
598,2
1158,4
1400,3
2123,3
27,2
2071,3
1604,1
216,1
1111,6
928,5
1857,3
355,1
1610,2
715,6
1832,6
733,4
1930,3
1238,4
447,5
1293,5
404,1
380,3
997,4
1799,5
1007,0
1943,1
1067,2
644,2
919,5
1362,3
395,1
1089,4
1021,4
1180,4
2019,5
1941,4
143,2
628,1
409,2
309,2
1721,3
385,3
1280,3
2117,5
847,2
1305,4
1539,4
1946,3
1582,3
256,4
123,5
1167,1
503,3
2030,5
141,4
416,2
1466,4
2035,6
277,1
672,2
1683,3
1620,6
2107,4
1547,2
1121,4
695,3
1199,2
1862,3
287,5
1127,3
1532,2
1523,6
553,3
2137,5
506,4
780,1
110,6
1373,5
1811,5
2003,1
319,3
743,4
890,2
989,3
74,3
435,1
1411,5
1192,2
770,3
2170,5
1047,2
1740,3
475,1
1303,3
338,4
438,2
2014,1
881,4
2047,2
2063,5
1872,4
1228,1
2200,2
795,3
351,4
1783,2
1221,6
880,4
1113,5
1439,4
464,2
793,1
950,1
153,3
2055,3
1453,3
583,3
951,2
1552,3
691,4
813,3
2082,2
46,4
561,6
1807,3
653,1
279,2
1170,2
2105,1
1981,5
445,4
1214,2
801,1
567,4
1956,5
747,3
1875,3
1536,2
414,4
458,3
57,6
1801,3
1590,5
1711,2
1274,3
541,2
23,1
1755,3
362,5
1123,4
1211,4
2034,3
1986,2
2201,4
1090,4
578,4
1050,4
900,1
1954,1
539,5
1148,4
1110,5
1346,1
756,1
1607,1
1142,6
574,2
1503,2
1051,2
82,3
1923,3
758,1
2106,3
1085,3
976,2
1340,2
1296,4
308,4
450,2
439,3
190,3
1480,2
1099,3
1826,1
673,1
1300,3
1633,3
94,4
290,2
1446,2
834,3
1236,3
318,1
634,5
884,4
965,1
1267,6
2,6
632,1
2004,3
1580,3
394,3
1719,4
343,3
612,5
207,2
637,4
2127,1
1281,3
1961,3
1957,1
955,1
441,6
2079,1
806,1
19,6
378,3
520,4
2112,1
1763,6
160,3
1132,3
1491,3
364,3
1402,2
551,1
1760,2
1879,6
932,4
604,1
271,2
1407,1
664,1
1208,2
572,2
1364,3
1408,5
196,2
1463,2
826,2
1074,3
687,1
712,3
1377,4
727,1
1695,4
560,1
1697,3
1517,2
651,1
2070,3
608,2
1736,3
1966,6
661,2
320,3
594,5
765,3
655,6
1703,3
2179,2
1675,1
1509,5
1087,5
1014,5
1023,5
562,3
763,1
1649,4
1270,1
1299,6
1094,2
2177,5
90,2
1360,5
568,5
2115,3
126,3
1928,4
353,4
1786,1
425,2
1866,6
480,5
1867,3
345,2
1277,2
397,5
535,5
432,2
1530,1
754,4
1003,4
742,3
979,3
778,4
518,5
641,3
146,3
1588,3
1950,2
529,3
776,3
987,5
354,2
854,3
1091,3
899,2
508,4
1291,1
1700,1
1326,3
660,3
421,2
1647,1
1689,4
16,2
323,6
550,5
1320,5
2075,3
1039,5
1045,3
1998,3
70,4
1022,3
430,3
1854,6
527,4
164,3
1985,6
701,5
79,1
922,5
1785,1
1947,3
1574,3
2093,3
2188,4
1712,3
433,5
304,1
785,3
1225,3
281,1
1728,4
1798,3
523,4
1776,2
1009,6
1331,3
2033,2
1828,2
285,4
466,3
1182,6
849,2
824,1
1469,2
724,2
1137,4
1932,1
163,2
769,1
1802,1
1353,3
1255,4
2037,5
842,3
1500,3
972,4
2057,5
723,2
779,3
391,2
303,5
1839,2
748,6
2195,1
1011,3
42,4
291,4
505,4
490,5
117,1
284,2
1401,1
1049,2
166,2
759,3
1472,4
749,3
1143,1
104,4
1348,5
460,3
195,6
77,1
457,3
542,3
448,1
135,2
64,3
1584,2
2119,4
1130,5
1531,4
948,4
259,3
867,3
1287,5
177,2
1702,2
405,5
1567,1
80,2
1685,1
239,4
874,3
2046,4
169,2
571,4
2166,6
1730,4
118,5
1705,3
705,3
1245,4
69,6
2036,1
1645,1
1514,3
172,4
2128,1
1595,5
158,5
33,3
1187,4
1337,5
2096,4
2006,4
369,5
1750,6
1870,3
1179,1
1084,4
258,4
1905,4
1902,3
1322,4
1261,3
162,4
988,1
532,2
1561,3
1329,3
1033,5
565,1
954,4
579,1
1795,3
1247,5
1191,5
1222,4
1805,3
996,1
592,2
2203,5
2194,4
846,5
650,3
898,2
410,2
1497,5
1078,2
34,1
1975,2
642,2
1371,4
1478,1
1201,4
1030,6
1017,3
1096,1
7,5
484,6
1374,2
1075,4
188,3
1881,2
817,2
1338,6
314,4
1901,3
98,6
1512,4
995,4
2021,3
1560,4
1847,1
559,4
2058,4
580,3
599,5
1976,2
1753,3
963,4
1436,5
171,3
1344,4
607,4
89,2
2013,3
184,3
1151,1
1355,3
1537,6
1838,4
1746,5
657,4
625,3
333,1
876,1
804,5
1359,2
684,2
1627,1
231,3
1186,3
1279,5
1455,2
615,4
1678,3
134,2
859,2
1781,2
1538,1
9,3
478,3
2191,4
165,6
1307,2
1421,2
265,5
1977,2
2212,5
1742,6
2176,3
38,1
1415,2
2209,1
1934,2
549,3
990,3
