doc_idx,category
2821,1
642,3
239,9
864,6
2791,7
362,11
19,10
487,11
1563,12
4002,5
1151,6
2541,2
2459,2
3451,4
1250,2
3500,2
2073,8
1829,2
1795,8
683,7
90,6
859,5
4049,6
1302,1
2351,5
4149,1
3090,6
3152,1
2475,1
2811,8
1887,6
854,6
1391,3
608,9
3928,6
3506,11
2495,6
1271,1
1327,12
3662,1
3199,4
3234,5
3783,3
3012,6
4263,9
3793,2
598,2
2366,4
1784,9
3859,2
1928,1
507,8
3200,0
2885,9
1323,2
2010,9
404,1
836,2
2962,6
1967,11
4189,8
2583,9
2676,4
992,6
3762,6
4075,9
798,0
3551,6
2725,0
3734,5
511,5
3789,5
291,0
1974,6
1609,9
2279,9
4091,13
2784,4
1677,4
3133,2
2325,8
3959,2
1924,12
3821,6
373,4
4261,8
1202,9
3457,2
3715,6
4104,9
1165,6
2435,7
3924,9
3139,7
3222,2
740,6
790,7
2288,9
4082,3
1039,8
3305,6
51,9
1042,5
1944,11
941,6
583,4
594,10
2597,10
1037,6
2243,4
1015,7
2139,2
712,5
3776,3
2590,5
2316,8
108,3
2238,2
1689,1
3759,0
3013,2
4076,1
3626,13
4045,6
2411,4
264,6
205,2
1210,8
1469,6
3712,9
3822,8
2925,1
1412,7
4339,3
3153,7
1402,1
3517,2
1260,7
1733,10
1277,6
909,5
3462,1
3227,10
640,10
1847,12
3682,1
3459,2
2496,4
2151,7
443,1
369,9
2607,8
2971,1
1399,1
508,9
1754,9
308,8
1446,2
4200,8
1588,1
4219,3
1087,5
850,2
1930,9
4311,2
170,5
1372,8
3508,7
2437,8
1946,1
3073,4
2145,2
1383,12
4370,2
932,5
1207,5
4340,12
4171,3
1442,5
1607,2
1659,4
735,5
1960,6
27,7
1675,13
4167,8
1096,7
935,2
4297,10
3632,2
2143,5
2809,12
3688,3
3639,1
3401,5
2968,12
2664,6
1395,1
4259,8
2012,12
338,12
1962,5
571,4
916,3
4299,8
1233,0
4209,12
588,1
2559,1
2918,6
3775,2
1985,11
2947,11
1403,5
3386,5
742,12
2852,2
3239,10
1178,7
2106,5
805,7
177,7
2691,11
2616,5
3610,1
4089,12
1175,9
2517,11
4302,12
3217,9
1491,9
838,2
1879,9
2657,12
3240,9
1541,6
2080,2
1598,8
3225,10
1895,3
2055,8
2141,7
4295,5
4170,2
208,7
146,5
1497,3
1359,6
793,2
2440,2
1209,8
1283,5
2975,6
1713,2
157,5
2813,4
3777,5
3277,7
3613,2
353,6
1488,12
3540,7
950,9
2043,7
991,6
2598,9
3973,9
3075,3
2356,2
1858,7
4182,11
2865,6
3757,1
1480,8
2170,8
3374,8
1161,5
842,2
2615,10
3470,6
996,4
1834,0
2627,0
3055,2
2418,11
3235,9
2570,11
2546,4
1577,7
42,2
4351,10
3244,0
4210,7
2610,6
1544,7
3078,1
3176,9
488,11
3442,9
3038,10
2670,12
2278,8
4178,5
1905,6
334,4
4273,6
1676,4
3750,2
2860,5
3141,1
2984,6
2371,9
1584,2
1214,1
1031,6
2457,5
618,11
1914,13
191,2
2094,6
3210,4
1635,8
3746,1
1869,6
398,7
3260,2
967,2
2640,4
579,1
4100,4
4207,7
3220,8
2625,5
2955,6
2988,4
1413,1
2509,12
109,5
1049,2
2997,1
885,2
601,7
1354,1
3782,2
1604,6
2875,0
3839,12
3101,12
1572,7
1654,12
4264,6
3170,5
1683,12
1665,6
523,5
976,5
2393,2
1230,1
4353,11
3642,3
1891,3
3825,6
322,2
1576,8
3421,1
3901,12
617,5
2460,10
1821,2
3292,13
323,13
2373,8
1344,3
2248,2
1213,2
3375,5
1710,1
2265,2
2156,2
2609,3
317,6
2267,9
3952,6
3334,5
368,8
2045,1
1113,6
879,5
1030,9
60,7
2940,2
565,1
2901,12
2991,1
1646,4
1925,6
4157,8
2800,5
4025,6
2538,12
990,8
574,9
314,2
258,6
3419,4
2914,5
4275,5
3954,0
3794,5
1671,8
2586,5
2613,7
577,2
835,5
4312,8
1630,3
2424,10
346,8
1534,12
3355,1
1415,8
1473,0
389,12
3754,6
2305,8
414,3
596,3
2182,9
2519,11
4174,9
592,0
4229,6
82,12
4021,1
1342,7
3406,2
2967,1
2300,5
1234,8
797,2
1472,2
730,7
1688,6
3172,2
2731,7
3509,2
3304,3
3145,0
1332,5
3365,3
2674,2
2892,11
4198,7
4343,6
758,12
1554,2
4148,7
1953,6
4130,5
821,7
3806,2
913,9
2575,9
2990,4
447,5
2244,7
2439,3
1279,6
4255,8
902,1
137,2
3737,8
228,11
817,11
3379,6
2701,13
95,11
3021,2
3167,7
1166,6
3627,6
1828,5
804,3
4230,5
3935,11
3784,5
3739,12
127,4
2189,3
2002,8
2827,12
2942,2
1725,2
57,1
589,9
315,6
2749,6
4087,1
1628,4
3118,4
1983,5
166,2
1160,8
638,8
132,1
3466,2
4202,8
2861,5
1596,2
2774,6
843,6
2554,6
1562,2
2950,11
1079,10
3620,12
2342,7
1337,8
812,4
1319,7
2465,6
2388,6
1084,2
106,11
2671,10
1262,2
1920,5
3592,1
656,5
3921,12
1221,2
739,3
438,3
2487,7
4074,11
2071,0
3697,2
4123,6
342,13
1611,1
80,6
3083,5
4052,4
1382,6
3215,5
3178,2
2367,12
654,9
1614,1
3373,3
1875,5
1033,1
2391,6
2458,2
412,9
2555,2
2399,10
2818,5
3670,2
4094,9
2227,1
2276,9
3221,6
4303,5
4018,7
1387,12
3957,12
1884,1
2254,1
943,4
545,4
1865,8
2321,9
1264,7
3144,8
3987,6
1597,1
1311,1
1004,6
672,7
4168,11
1429,10
2114,1
3042,6
2780,1
1305,1
2009,5
54,10
1121,12
3811,3
1486,13
4092,12
3543,1
303,7
1871,6
3293,3
3573,2
1162,12
3303,2
634,7
3295,4
3606,1
3847,6
2275,2
3881,2
580,1
4372,2
2621,1
3138,12
3122,7
1099,4
1769,1
2462,5
3259,12
1330,5
1150,6
1375,1
195,6
989,7
682,5
3016,3
4336,2
2643,9
92,7
2577,11
3319,12
2505,2
726,1
3910,4
1799,4
2633,12
722,9
3294,5
1483,12
4337,6
1095,4
1424,1
1625,4
3488,6
283,5
3023,2
2608,3
834,2
452,2
455,2
1371,3
1810,1
1776,10
3342,2
576,6
126,5
3450,7
3278,6
997,6
3569,2
1433,13
4262,8
2142,11
671,6
310,2
272,0
4015,6
3628,2
378,3
2771,9
1300,12
2553,5
1627,5
1761,2
4008,8
366,3
2172,9
1427,1
2260,4
977,5
4254,12
738,6
1006,6
4231,5
1524,5
3931,2
2958,12
3059,1
309,3
207,1
3120,8
2425,3
651,0
2407,2
3858,8
2946,3
2277,5
615,1
3565,1
2237,2
1416,2
1022,1
2837,1
2943,12
3833,3
3667,7
449,9
3096,7
4276,5
116,3
3460,12
698,4
1837,6
2721,4
3818,2
2782,3
3764,12
597,7
1843,12
435,2
2,4
4034,4
2872,12
978,7
3195,4
1111,3
1073,6
3748,13
3206,12
3895,6
619,6
3449,7
3902,2
4294,12
2332,11
26,11
47,5
2441,12
745,2
3696,6
4088,12
2684,8
4243,2
3180,9
3315,12
2601,13
2929,9
2711,5
541,5
1818,13
4331,1
4310,1
1692,3
3068,9
918,11
3129,12
4062,0
2902,2
3106,5
3851,3
1866,7
2706,4
1051,4
731,7
380,12
3669,4
3097,5
1566,1
724,6
1532,7
3993,9
4109,3
4375,9
3184,12
3398,12
890,8
3985,2
3204,2
4323,5
2543,8
632,2
1724,12
3208,5
770,5
1504,3
155,6
2768,7
625,13
4233,6
3908,7
813,9
3638,5
694,1
134,5
532,1
2826,0
151,2
4166,8
3864,8
2526,1
408,6
3047,2
3956,1
3082,7
606,2
2528,3
3318,3
824,3
2919,4
535,6
271,6
3984,7
1690,5
4124,2
4378,2
2874,3
1120,2
3877,7
4251,8
2057,5
429,4
1740,6
4126,2
1013,5
2137,2
203,6
3791,12
1259,3
3949,12
3804,2
2082,3
3124,1
1789,10
2550,3
2849,4
1792,3
1464,1
888,2
936,13
826,8
684,3
2521,2
2566,12
425,5
4314,7
3391,6
3348,5
881,1
2185,1
3800,3
3933,13
784,9
1248,4
1557,7
3322,11
1091,4
1298,2
723,2
3479,6
105,10
480,2
1802,12
4102,2
3331,9
1335,2
3520,7
1026,9
3192,7
2890,4
2075,6
2453,1
4122,7
492,6
1917,8
2307,2
1011,3
2970,8
3147,7
1110,8
3929,3
1705,5
2054,13
2041,5
2320,0
765,5
1367,6
1224,12
1055,2
3420,6
58,11
3425,9
2293,4
2481,11
1280,11
3469,3
1445,2
954,1
2120,9
2202,6
3181,9
968,1
469,1
2907,2
708,1
4305,7
1148,3
1057,6
2213,5
2328,5
3344,7
3481,11
3018,11
655,8
4364,1
2017,12
3584,4
1255,3
1624,8
3253,8
2428,11
2432,7
1054,5
70,11
3756,1
1047,8
2525,5
3157,1
3,12
3633,11
965,1
2355,13
970,3
4341,5
2581,11
4366,6
2909,6
987,3
352,9
919,9
3316,2
827,5
221,7
1465,7
2329,6
2880,11
288,5
4373,5
1414,4
959,3
234,3
1738,9
3247,1
3582,8
1553,5
2102,2
1573,6
3333,4
3283,7
3937,3
3092,9
2286,3
2739,13
3497,8
39,9
68,12
3429,12
1498,5
1232,8
333,5
3169,3
3870,9
1065,6
2869,6
3726,0
3553,2
948,3
2921,0
2429,9
1667,5
4154,2
3798,0
1961,5
2568,4
931,2
161,5
3411,3
4322,5
3269,0
2882,3
2230,11
3171,1
184,5
1136,1
2724,6
1971,6
2620,1
3321,12
3579,2
3048,12
4265,11
3296,7
3998,2
143,5
2915,6
2313,2
