doc_idx,category
1354,1
2198,8
2757,3
1244,3
1157,8
3422,3
1592,10
175,10
2736,14
3613,4
2574,11
1884,11
370,3
907,2
2204,8
1169,8
3139,14
101,8
1944,3
2022,11
2002,14
1673,10
858,2
911,2
2218,8
79,8
2584,10
2837,8
1957,3
1296,8
3148,4
1776,10
1940,3
567,1
3417,3
1863,3
2099,8
1419,4
1032,12
3450,11
2152,8
2719,14
1062,2
1785,3
402,8
1716,1
1911,3
945,10
2545,4
141,8
1536,3
1,3
3231,13
2783,3
1026,4
3386,12
3189,8
2176,8
2855,8
2273,11
2657,8
94,8
174,1
2968,6
331,10
2359,13
2990,3
3635,2
2971,6
2352,13
479,1
427,8
1828,4
2909,11
2624,2
1542,3
3165,8
1779,3
906,13
1174,8
1987,3
1301,10
1975,3
1894,11
1824,14
1005,4
381,3
264,2
329,2
2821,12
78,8
348,2
1535,3
628,8
3618,14
3025,11
1287,8
121,8
321,2
1255,3
2270,10
686,3
1572,10
2058,2
2612,2
461,1
2060,2
2293,14
2433,8
1869,11
355,10
3572,3
3403,3
1892,11
3011,3
55,8
1764,3
2726,14
3114,4
1540,3
3533,10
1765,3
2408,4
3434,4
3370,4
1902,11
337,2
3443,10
1254,3
2429,8
3517,10
2070,8
2169,14
1215,1
2549,11
3483,14
3226,10
1208,1
3424,3
3120,4
885,2
2421,14
1440,14
801,2
412,8
413,8
2355,10
1280,10
2179,3
2329,1
2555,10
929,9
1209,1
2439,8
3475,14
48,8
1269,3
2672,3
96,8
2314,1
3427,3
3156,4
975,3
2916,11
1680,3
1365,1
1457,11
2361,7
2903,8
2042,2
1958,3
2961,6
1340,8
21,3
2601,4
287,14
523,3
2282,14
780,8
3410,3
521,3
1238,3
3532,10
3320,14
2142,13
434,8
2832,8
731,14
227,3
3408,3
1621,2
1292,8
2358,2
1164,8
1823,3
1948,3
2871,8
1520,3
2296,4
2712,14
2945,10
1021,4
301,12
2300,11
2016,11
2123,1
219,3
3622,14
1187,8
959,2
3560,3
2269,11
1261,3
366,3
3258,14
2571,11
3260,11
603,8
939,11
2878,8
2097,8
3357,4
1170,8
3670,10
392,3
3232,10
2232,8
3268,11
2444,8
384,3
3652,10
1642,11
244,2
1455,11
1416,4
946,10
44,8
3362,4
1710,1
1155,8
2235,8
922,10
400,8
1443,14
3338,4
1793,4
1034,2
1919,3
3589,3
718,3
1649,10
3529,1
1004,12
1206,1
11,3
454,1
1323,8
265,2
1676,3
1388,1
1616,10
508,11
1916,3
1320,8
763,14
1246,3
1483,2
2394,12
2475,12
1599,10
2348,1
2977,2
1478,2
854,2
2426,12
1961,3
3534,10
1751,3
2406,12
3129,4
1814,9
2135,1
1188,8
3347,0
1469,10
492,11
2184,8
1194,1
36,3
