doc_idx,category
1320,1
2688,5
2438,1
155,4
331,1
1475,5
1387,14
1888,4
2291,6
1832,7
841,14
1910,8
721,17
1373,8
2193,8
2964,3
523,1
1797,14
1259,8
1727,4
1576,1
2185,1
1286,3
341,3
2018,7
2565,4
920,9
2950,3
55,8
2384,4
1201,5
2791,5
545,8
1187,3
1600,4
2022,1
2634,10
1698,5
648,14
1590,16
565,0
1206,17
959,0
1555,4
2051,6
2742,7
2790,1
1779,9
2830,13
1628,11
2804,3
1946,13
1763,8
491,8
2514,8
2357,6
2524,3
1636,16
1542,2
2788,10
359,15
2870,4
33,15
2360,1
2042,3
2120,0
989,15
174,3
1467,14
1126,2
2748,0
1004,0
1936,0
1194,4
2167,15
939,8
400,6
370,0
2915,5
866,14
2355,13
1449,2
1360,8
2081,16
2139,13
384,1
1775,2
2829,13
175,1
2678,2
2828,2
11,6
540,2
1588,2
413,5
2304,1
1161,5
1208,6
1301,13
2613,14
418,1
840,0
529,6
505,4
2472,11
2773,0
711,8
307,2
2374,8
1811,13
1292,7
1030,5
2546,5
207,8
2723,10
1031,1
2306,11
1324,1
476,6
1919,13
2343,3
26,12
2369,0
1469,1
1956,2
2315,12
330,0
1052,3
1391,3
2767,1
1250,6
1350,15
1711,8
999,2
333,8
1773,11
2361,8
983,8
975,2
1034,1
1351,8
1437,3
108,1
2050,1
231,8
286,11
2138,5
1562,7
747,2
2550,1
321,3
874,8
21,11
651,1
1968,6
1931,11
1073,17
2762,6
2264,4
481,11
2846,3
755,0
712,10
2875,8
2173,0
2671,1
1524,11
684,2
459,11
1478,12
260,14
744,8
461,8
2583,3
559,3
1570,11
434,16
1819,4
2122,8
1652,4
1451,5
911,0
626,13
2430,8
871,6
642,6
2906,3
1987,0
2141,16
254,0
2753,0
691,13
2011,7
1667,4
1907,2
981,4
762,15
1464,1
1699,4
1230,8
1113,1
1332,3
2552,4
937,2
1196,2
2412,3
2249,6
2693,6
456,1
1179,4
2612,6
79,14
1460,11
48,1
2351,3
2652,7
2099,4
2496,8
1680,7
714,4
577,5
1347,1
2769,1
2350,15
946,8
1032,8
1594,9
793,3
2154,4
2209,2
2118,3
2166,8
1980,1
2972,13
1,4
2573,1
581,6
1018,10
2054,6
1065,14
1849,1
1087,8
1753,8
910,3
2951,1
2779,12
1733,8
1632,6
603,15
123,4
2030,1
77,14
1535,1
1020,2
1266,2
1412,16
2127,0
412,3
2661,0
1088,6
245,8
1739,1
1828,3
455,0
1606,5
2131,11
1909,16
436,1
287,1
2848,4
1612,1
1845,13
1939,3
2079,3
1963,1
427,1
2529,4
2971,15
2826,6
661,1
2831,8
1844,8
2203,5
1177,4
1754,0
1546,7
2538,11
2397,3
2856,8
2492,3
628,0
1002,3
1742,6
264,3
2218,2
1402,1
1323,6
2093,13
2016,3
213,13
2794,8
495,8
1759,0
295,3
2677,4
102,8
1322,9
2689,1
2326,1
2413,1
1591,12
1238,4
580,8
836,14
2618,4
2536,6
570,1
1842,8
1459,2
2680,1
801,6
2409,3
1766,2
2261,2
1748,8
101,5
1204,8
2599,1
2432,5
1661,1
329,1
1255,1
2334,10
1403,15
1948,6
1154,13
35,5
1499,2
2669,13
1442,6
171,1
1881,15
880,6
2653,6
760,1
659,2
2200,3
1021,9
2391,9
1189,1
1764,3
2105,8
47,1
363,5
121,6
294,13
2575,9
63,1
1793,17
2616,6
2740,1
1572,1
23,8
502,1
1924,8
1900,14
788,4
2176,4
1011,7
186,8
2512,8
1386,3
1898,1
2476,9
1381,8
1195,4
758,16
281,13
1369,1
942,8
1745,2
680,6
2168,2
2427,1
2177,13
1821,3
1168,8
673,6
2467,11
2783,2
131,4
2415,16
1722,2
1116,15
404,4
1313,14
537,4
2386,8
658,6
1703,13
1869,8
379,16
2761,11
168,1
2544,13
1146,16
2382,5
1390,14
2041,15
2337,8
843,15
2065,7
2312,8
2274,9
2389,0
2865,17
1485,0
392,6
74,15
1164,13
280,3
601,6
876,8
1325,1
1239,2
1577,8
150,17
1057,3
913,7
2072,14
2418,2
2443,3
1673,9
2718,3
2146,1
991,1
482,4
117,3
1155,1
1675,1
2590,4
2676,15
1637,3
164,16
1796,0
950,7
1592,2
2729,10
682,3
1213,11
862,5
2520,5
381,8
1395,7
142,1
126,3
226,4
473,8
1307,3
2250,13
2153,13
2013,14
2656,16
1450,2
2371,8
2646,14
322,6
468,4
395,10
356,14
1917,3
2886,3
1816,11
2407,3
454,11
1407,15
869,1
12,5
544,10
604,13
1192,1
433,1
1339,1
1874,3
1185,9
2043,14
2104,2
509,13
1593,5
980,8
1631,1
2137,2
2465,1
2452,6
227,7
2734,3
256,16
1055,8
300,9
1575,4
2143,8
2034,13
1957,12
191,4
154,1
2681,5
188,4
2631,13
2833,4
1736,14
1943,7
373,13
2901,8
2398,4
1075,4
2044,13
1426,3
2069,9
731,10
1277,11
166,1
180,4
914,6
1169,2
2433,6
1349,2
457,7
1961,17
1815,2
1448,14
1975,3
504,3
2555,9
2284,13
1062,15
1047,14
1579,16
451,5
2600,9
766,8
306,6
2379,2
2339,7
2075,5
352,3
1406,8
638,16
2096,8
383,4
111,9
2047,1
827,13
493,8
222,3
2257,7
1145,8
2111,14
1822,8
2283,4
1111,15
1697,5
406,6
2640,8
313,5
1556,6
1296,11
2097,8
664,8
2633,9
1840,15
528,3
2324,3
1038,13
2534,11
2448,13
2394,6
2778,6
660,0
274,6
1807,3
904,0
1776,3
2269,1
2685,9
1005,1
2144,0
1614,8
96,1
2223,1
1839,0
