doc_idx,category
704,3
789,6
1011,12
226,10
209,2
828,9
1520,5
1524,4
1393,1
111,1
1567,7
1519,2
315,13
427,2
1065,6
188,6
616,8
63,3
540,7
706,12
1216,4
1103,12
164,1
1008,11
749,7
1423,2
961,3
1289,11
1697,12
1041,12
268,11
813,10
493,1
1612,3
1249,1
1491,2
1179,2
1200,2
79,8
1730,7
1015,1
1627,3
329,3
1305,9
11,5
445,9
1592,8
526,1
436,3
871,5
491,8
714,8
545,7
713,4
476,12
101,8
263,8
570,2
1465,8
929,6
1150,7
304,12
1543,1
244,6
1475,9
1026,8
1585,1
721,10
1517,1
1220,6
1280,1
1547,1
737,2
1555,13
331,9
1611,5
1425,9
471,1
1113,4
34,4
149,7
528,1
347,4
654,10
383,3
1404,6
340,12
1344,3
719,12
1317,8
514,6
1348,9
595,2
969,5
866,1
898,7
1111,5
1468,8
1540,3
434,11
1235,5
36,11
1287,4
26,7
697,9
1479,9
1411,12
575,12
832,3
281,11
1304,11
355,3
1398,12
1528,7
1721,2
1652,2
213,12
296,7
479,6
736,11
1156,1
1293,12
1278,8
661,11
702,11
612,2
1478,8
0,12
599,1
1490,7
854,5
7,9
1242,11
1649,13
175,1
382,10
509,5
891,1
1703,6
1403,9
325,12
787,1
207,6
1094,6
550,3
6,10
505,2
730,11
1534,11
883,9
1258,7
485,12
48,2
876,2
391,1
960,8
1420,2
962,1
1217,11
1674,1
1722,5
1268,1
488,11
1582,1
55,10
1663,6
1510,1
625,2
1501,12
651,12
1329,9
397,2
1532,12
603,8
1641,6
788,0
1004,4
1227,1
594,2
981,6
294,12
1140,13
1009,13
827,7
541,12
1653,9
131,3
970,2
1363,8
428,4
1132,6
472,4
185,2
1281,11
1412,4
312,2
1673,13
1081,1
350,0
295,4
1019,2
919,13
1604,7
1141,5
418,6
1530,12
1225,6
4,8
1313,13
1590,5
87,14
186,9
772,10
258,9
1077,3
83,6
773,5
1122,4
96,2
300,1
195,11
307,2
1735,7
1159,7
1099,11
1366,12
917,5
659,1
679,12
529,5
425,4
1634,1
148,13
256,11
155,0
1370,1
115,1
125,11
1743,12
23,8
780,2
319,13
1138,1
1069,11
801,8
1443,8
803,6
555,8
1192,7
308,7
1357,11
1522,1
260,11
567,1
502,10
321,4
829,7
546,13
1509,10
746,3
705,12
121,12
1518,4
293,10
1586,7
47,7
1388,3
454,14
1339,12
384,8
370,7
1056,9
1163,2
1645,3
400,3
565,2
1155,6
640,1
1037,3
1330,9
120,12
255,13
1106,4
543,13
908,2
194,2
366,1
683,8
1467,4
443,3
1320,8
844,2
