doc_idx,category
472,1
2924,3
1387,16
2260,3
57,9
4587,10
2074,3
681,14
583,5
4663,9
1201,10
2573,4
2336,8
5476,2
4583,15
1681,10
3935,7
633,5
3187,3
3447,8
4691,3
3596,3
3572,6
2656,15
3166,14
2947,11
3385,4
3716,3
1139,11
1045,6
3814,9
1035,4
2652,17
3548,9
1310,13
2275,9
4518,11
1410,9
1632,9
2062,3
2247,3
1289,9
4494,9
642,7
1731,18
5436,9
2923,9
1775,3
1501,10
2461,1
4571,14
1428,3
1964,3
5123,2
3155,3
5052,6
2013,15
4786,3
4998,0
2489,3
2900,9
509,17
3352,8
2733,9
5222,13
3836,11
2950,15
4638,4
877,9
2337,9
671,9
5067,9
1250,8
635,3
5424,17
5306,9
2934,11
3244,7
3507,9
4103,9
82,1
163,9
5312,5
4634,4
173,9
1933,7
4041,3
4319,8
2953,6
4864,9
260,14
1597,9
1207,3
1489,9
1061,17
643,16
3545,10
5221,2
2980,10
2888,0
4687,8
5360,0
4242,14
698,3
261,9
1151,9
952,19
3094,5
4843,6
5268,9
2319,12
1047,15
406,8
822,4
1891,9
1088,9
3064,3
2539,9
4142,15
2880,5
975,10
2564,7
246,9
3138,9
4020,16
2799,16
1920,7
351,3
4783,9
571,3
3237,9
5377,1
3014,4
4984,9
2426,8
2605,1
1652,3
50,9
4089,10
785,16
5200,9
3290,3
2361,6
2774,15
5297,5
4281,4
4372,3
3641,17
490,1
3588,5
4750,3
2728,4
3423,11
2565,1
498,15
564,6
3611,9
1945,8
609,3
4895,15
2857,3
2833,16
1950,5
3371,3
1995,5
2035,15
1587,13
1378,20
5432,7
757,10
4334,12
3514,9
4352,7
4838,9
4213,3
2585,9
1923,3
4564,5
1998,9
2816,7
3889,14
2200,15
3647,9
427,8
579,9
1149,9
3080,10
2545,4
5218,2
2987,9
1220,2
2789,17
621,3
2398,3
2884,8
4071,16
648,13
3844,17
1812,10
3264,10
4557,4
3076,9
3127,6
4332,9
359,2
4965,1
1840,1
904,3
3163,9
1176,3
265,7
1845,9
3307,6
3698,4
3963,14
26,11
5049,9
4166,14
3503,7
4994,19
4526,3
2204,4
4702,4
5136,20
3081,5
1949,4
1216,10
100,8
2180,9
1751,2
3990,9
2745,9
1408,0
3899,5
1364,9
3173,0
4155,3
588,2
3159,9
1456,17
4077,16
1807,7
2402,0
4005,13
432,13
4267,9
1177,2
3909,8
3274,3
4907,20
4695,15
2967,3
3787,16
2307,8
3084,17
572,13
917,9
4410,4
3556,14
2115,6
4116,10
4177,7
195,17
2949,6
3282,9
3790,12
2274,9
3746,7
4316,9
2937,9
2427,9
3718,3
3378,3
799,9
4569,4
69,20
4247,2
2016,18
1475,7
292,7
5180,5
885,8
2004,3
4976,15
836,9
523,9
864,1
3700,9
2241,4
693,9
2754,9
677,6
285,3
1672,2
1084,6
3751,9
4905,11
5085,9
547,13
1091,10
4655,10
816,9
97,7
4438,4
5175,7
2079,3
3360,9
3279,9
728,17
3884,15
654,1
3906,9
4473,7
2604,17
2459,4
3654,9
1195,6
950,4
98,4
830,6
1809,10
2184,9
3358,4
5132,9
3396,11
1494,7
3970,9
4761,9
2990,3
2409,7
2802,2
2190,3
426,9
3494,10
4658,6
1066,9
3204,2
4865,1
2747,7
2288,16
2865,1
5214,15
4178,10
4947,11
2294,15
2109,1
142,9
3544,6
761,3
4098,3
3158,8
2391,3
4890,4
909,3
5381,13
2428,9
3705,0
5431,7
323,6
4666,4
1296,9
1929,8
2757,9
840,9
1900,9
4480,16
2581,16
5247,9
4162,9
2612,6
1523,3
1025,9
4958,10
1530,0
2437,0
2290,11
5401,2
4271,9
1467,5
3985,4
5313,3
3254,15
438,15
331,9
1524,16
136,7
3846,4
1236,19
4805,10
4208,4
5385,3
4012,15
3050,5
5228,9
3191,17
2718,8
1240,3
4488,9
5163,6
1350,14
4341,1
2371,6
1072,5
1847,4
4146,6
1225,15
1054,9
5478,3
1447,8
549,5
3730,4
2765,5
4908,9
3505,6
1157,4
4552,13
4713,3
1679,15
3219,4
175,3
3021,3
1589,2
3765,0
3773,11
691,9
4387,0
1862,4
4253,6
1797,3
2618,9
748,4
4772,9
4246,6
2414,9
3955,17
3684,17
1482,4
3582,4
4656,3
4848,5
4381,16
1971,15
557,16
551,18
5211,3
3341,9
895,3
5213,4
839,1
41,3
4822,4
4972,13
1651,10
