doc_idx,category
4421,5
1188,3
2650,10
2105,1
1345,2
3352,9
3713,5
3980,1
341,7
351,5
3003,13
565,2
4625,5
556,1
789,1
1892,1
2023,6
4169,1
4402,5
934,7
2861,3
451,14
1771,12
3167,0
2839,3
1830,3
4503,2
1894,14
3643,1
3703,4
3677,5
1422,7
1240,1
2511,1
4142,2
4549,6
1153,5
2467,1
4243,3
3084,1
483,1
4217,7
2827,1
449,6
7,13
3641,4
148,7
889,13
1473,3
1569,7
1390,8
2961,6
1373,0
736,5
1708,6
2214,5
738,5
498,7
2294,13
1045,2
113,4
2389,4
412,3
3313,9
4725,5
2071,13
2547,3
1862,4
2387,12
1933,5
2992,11
4063,4
3105,14
2636,1
4308,5
3901,2
4173,13
785,1
1276,1
3033,4
4037,12
790,7
1364,5
4005,8
2053,4
1975,3
2288,8
730,7
946,3
4375,8
2954,5
3685,4
3439,2
1789,9
3746,6
4130,4
4515,8
2352,3
2657,7
3270,0
3092,7
1178,9
4394,5
4137,6
2674,13
58,6
4038,14
2546,7
1171,14
3875,11
4671,5
1008,1
4415,12
693,12
2209,3
3633,1
373,1
4281,8
505,8
788,5
1661,12
4508,5
1296,11
3078,5
579,8
2325,5
3199,7
4447,6
4085,3
3619,1
841,5
1996,7
2951,3
465,3
1098,11
4126,1
441,1
1533,1
416,3
3476,6
885,13
2969,2
142,13
3499,1
2076,5
3387,5
572,1
2185,1
4018,8
1420,1
1028,3
2224,5
4689,7
1977,5
4272,2
195,1
1500,12
2881,6
4558,8
2114,7
1247,1
4318,10
4660,5
2977,2
1058,2
4435,2
1237,1
4427,1
4638,7
1519,7
295,8
408,7
55,5
1250,11
4370,6
1576,7
1728,2
587,2
3993,10
2460,3
2642,4
3799,7
676,1
1322,2
2679,2
1582,5
1802,4
3088,12
2229,6
377,1
323,10
3969,12
635,5
1549,4
3557,6
395,2
2188,8
894,7
3239,1
4128,1
2198,2
2924,1
3525,5
2532,1
2805,4
3497,6
1419,12
4046,5
2165,2
551,13
2911,7
2581,10
3097,3
3061,1
3815,5
2893,5
1304,14
4696,1
821,3
3908,6
4352,6
1408,5
3931,2
757,1
3298,11
639,14
4035,8
732,7
4728,5
4086,3
836,2
3162,5
218,1
2452,1
2607,5
761,1
3095,13
998,8
4211,1
2704,5
3242,13
3269,10
1202,6
1494,8
2826,6
900,9
2129,7
3962,7
145,10
2789,6
1061,5
2707,10
2393,5
4570,2
1532,7
3940,3
4721,6
1055,8
3646,5
1995,1
3786,7
44,3
3460,3
3634,6
2900,5
3224,3
1221,5
3752,13
1499,1
1195,4
1650,13
3005,8
3922,12
3110,7
1793,6
3878,6
4389,1
4440,6
3517,13
427,6
1496,3
1308,6
4450,8
2489,2
1640,1
2542,7
4486,5
3448,7
3706,8
2491,1
3209,10
3950,10
103,11
675,1
2428,11
4553,5
82,6
2895,7
477,3
1959,1
3952,8
3691,7
3824,11
1788,1
523,5
2249,1
478,1
260,13
3607,12
1463,5
3587,11
564,12
3434,13
1882,6
2190,1
325,4
2518,7
3480,13
2689,9
3483,5
3632,6
2544,5
220,6
1181,11
2379,1
2600,1
4060,7
2050,4
4559,4
4690,11
265,5
642,12
547,5
890,2
739,3
2767,2
2633,12
3117,14
2113,8
4731,2
4459,3
3120,5
2216,11
4497,1
29,11
2115,1
1783,14
3202,7
3688,11
1160,5
3505,11
2639,12
4314,3
3156,12
1389,8
4580,14
997,10
3278,1
2118,10
2979,1
1384,13
3874,1
1937,11
3751,2
4737,7
2260,13
2395,8
609,13
728,14
2108,6
586,7
97,3
3283,5
1625,2
3705,1
285,13
1210,5
2849,7
1632,5
1437,2
1350,5
9,2
4455,9
1233,7
1575,1
3272,10
1816,1
3400,10
3138,1
3718,2
309,1
3422,5
3645,7
2797,4
4255,11
26,13
3570,9
707,8
1782,8
748,5
875,5
1257,6
3235,1
879,11
4246,5
3841,11
1263,1
810,5
2021,1
221,1
3547,1
37,3
4674,5
392,6
157,8
2701,7
3425,4
2819,5
1657,9
636,3
475,3
1574,1
4367,6
3615,1
3407,2
877,6
336,12
2876,3
3446,5
988,3
2469,6
1252,1
2801,8
433,1
4518,14
1679,1
1097,8
4641,5
3295,7
3467,7
2652,3
1952,2
299,11
4655,5
2534,5
509,6
4166,1
2804,6
2081,8
1832,1
955,1
4441,4
3930,4
42,3
4319,2
158,1
1107,5
2825,3
4552,2
4183,5
3394,8
4271,10
4208,3
4003,11
3482,5
3694,7
1953,5
621,2
3174,2
4073,5
943,3
2233,2
1391,5
3149,5
4364,4
4439,6
196,4
