doc_idx,category
2779,3
1800,2
23,3
161,7
1770,7
2522,4
1504,1
2276,3
7,6
1025,4
2386,4
1210,6
1570,6
1766,1
1602,3
2176,2
975,1
1107,1
1980,5
394,6
1382,2
869,1
2334,2
2105,4
900,1
768,3
1819,6
556,3
2958,4
1735,6
2417,3
2058,4
1585,6
1474,7
196,7
330,0
1852,6
21,7
2057,3
1355,5
2282,2
1264,4
264,1
793,5
427,5
388,3
2996,3
2122,7
1928,5
2327,7
2318,3
1510,2
755,3
1736,4
994,6
336,3
1718,9
1140,5
549,6
1741,0
1785,4
627,6
2594,6
2933,4
230,5
2099,7
2832,6
1008,5
1765,4
2106,5
1962,4
1797,6
688,2
533,7
2485,6
1018,0
226,2
36,2
1489,4
1774,7
1496,2
1466,9
1917,1
2606,4
1374,2
872,3
1920,1
1925,1
1888,4
2924,2
366,5
1305,5
1730,3
1573,6
2482,6
2601,5
1216,2
2503,2
1557,1
1723,3
2175,5
505,4
503,1
221,4
2774,5
2538,7
1991,2
1083,2
62,2
1871,5
1020,5
1749,6
854,1
2717,7
1710,7
2466,3
2172,6
2617,5
1578,4
778,1
846,5
1462,5
1638,3
845,2
2852,7
362,6
1049,6
637,5
1097,6
324,6
2738,6
2066,1
2047,3
27,4
1549,4
1422,2
2320,1
2636,2
874,6
1909,7
855,2
1390,6
2650,3
787,3
2770,3
211,0
1907,3
2887,5
1893,1
1727,3
898,0
974,0
1251,3
2728,1
1214,1
1702,4
2035,5
2715,2
2313,6
406,2
1244,0
2153,4
2705,5
1889,5
370,3
117,2
2125,3
2834,1
1357,5
842,3
1330,4
2655,2
2191,1
2608,5
2416,3
1515,7
1492,2
2438,5
44,1
3001,0
1809,1
31,4
449,6
351,6
15,3
237,3
2541,2
69,3
2689,5
2854,6
2664,5
1959,3
2307,5
2366,6
2683,4
642,1
1746,5
2354,4
2014,5
2718,1
1981,5
2074,8
1832,5
2729,6
2876,5
1409,5
136,3
2013,6
1698,1
418,2
675,5
2766,6
2558,6
2097,2
1791,6
1392,6
369,4
218,5
840,3
2990,3
2300,4
1906,8
2490,5
421,2
224,5
2568,3
1131,5
1116,2
681,2
546,1
1005,3
194,2
804,5
2015,1
766,8
2908,1
135,5
617,5
1806,2
1467,4
207,2
2675,2
656,3
50,3
24,4
1335,6
1377,4
1778,3
921,5
1951,2
2537,1
1969,5
2389,6
2959,3
537,1
2979,5
1533,6
850,7
1445,6
2701,6
2350,1
304,4
129,2
2229,4
594,4
57,2
2805,5
1175,7
1387,4
2273,7
1454,2
839,5
2232,2
323,1
228,5
165,3
2752,1
924,2
1728,2
2304,4
3000,7
310,4
527,1
1151,6
1804,7
2584,2
2029,5
83,2
1859,2
2352,3
1237,5
2803,6
2810,4
1625,6
875,1
1434,2
1696,6
815,2
1731,4
252,1
630,2
2972,6
1273,1
2949,1
1071,4
515,2
481,2
2923,7
2662,2
67,2
2572,2
1927,3
2067,5
475,7
2220,5
572,1
1949,1
175,3
1380,4
954,4
2118,7
1152,5
506,2
2217,4
1586,4
1255,4
2932,6
2748,7
37,4
192,4
295,4
287,3
1856,3
2018,2
1604,6
2495,6
2199,5
882,4
2872,5
2069,4
217,4
491,2
659,8
2751,4
1561,7
1882,3
2249,4
2692,2
1345,9
2424,1
1613,1
1617,6
2440,2
2806,2
3007,1
1238,1
1361,5
639,4
2391,2
1990,2
905,5
4,4
1194,7
2878,5
2786,1
1470,6
691,6
2224,1
1838,2
431,4
2104,8
2845,6
1659,5
811,5
2196,4
2533,3
2258,3
2743,4
283,6
127,4
890,4
1364,6
1275,3
619,5
536,1
1976,7
2252,7
1429,5
1527,6
1420,6
1601,3
1593,4
2991,1
2742,4
823,4
964,6
2305,6
2192,5
730,6
1484,6
1979,3
2746,1
2396,6
2920,5
1848,6
222,6
1624,6
1310,1
2633,0
1679,4
1782,0
1034,1
1608,7
1402,4
1170,4
1156,1
2681,4
483,2
1666,2
687,2
1987,4
868,7
2171,5
353,4
2804,7
858,7
1157,5
1544,4
464,6
2025,2
167,6
2453,3
672,5
1588,7
2822,1
1362,1
1201,7
2383,1
2960,8
2358,5
2111,3
2586,6
1494,3
987,6
2929,5
2578,4
940,7
780,2
2773,3
595,7
172,5
877,5
1808,7
989,5
2698,7
1646,3
465,6
2357,1
2,2
1811,2
318,1
2447,4
2575,1
1669,1
1366,4
535,3
599,2
2321,6
1569,7
1954,3
547,5
1358,2
2585,4
1263,1
498,5
398,2
2034,3
887,7
1896,2
2963,4
2359,6
1559,7
2868,2
1319,2
1685,7
698,3
788,2
1341,7
1085,6
2079,6
1967,7
517,2
773,4
43,3
1442,6
1921,2
1160,6
1863,1
2291,6
810,6
1945,6
14,6
814,7
2225,5
2187,2
2059,5
1472,6
977,6
1523,5
2257,3
1495,1
2651,1
152,4
1342,5
929,5
529,2
1989,5
971,6
263,4
2559,4
282,3
739,3
1974,2
277,4
1964,1
1135,3
666,4
750,1
482,3
2926,2
828,6
2337,2
1924,3
1189,7
794,2
685,5
2759,2
525,1
377,6
1517,5
1165,9
300,3
8,1
1663,6
1298,7
2716,5
458,1
251,7
1577,2
1975,2
1614,4
1776,5
625,1
972,4
2385,8
2082,1
748,7
2866,5
1399,1
2284,4
2326,4
134,4
821,4
68,6
38,4
1304,3
407,1
2068,4
1507,1
2520,6
1028,6
2623,1
2795,7
1128,1
586,6
502,3
948,5
2177,7
942,0
341,5
1221,7
279,2
180,2
2420,2
1068,6
1197,6
2473,2
1405,2
186,7
1431,2
220,2
1536,1
2368,5
2487,3
46,4
1250,1
1916,7
98,5
1331,2
259,1
1443,3
2921,1
2370,3
2514,2
2548,5
2078,3
2792,5
2123,1
2967,3
480,7
2542,1
2445,1
1535,2
1506,5
1172,3
763,5
567,7
1655,1
2726,4
1796,8
1823,6
2611,4
628,4
1616,3
2129,4
2402,6
1963,1
2546,4
1220,3
1105,2
1369,7
1900,5
107,2
1026,1
1053,5
298,6
852,2
331,3
2881,6
2782,1
1519,1
60,4
2091,0
677,6
565,7
2649,7
1288,2
2837,5
438,7
2682,3
2604,4
1793,2
2031,1
1426,5
2851,4
1777,6
1805,0
1465,6
2895,3
1016,7
1222,0
2275,1
2367,3
1831,9
2114,2
742,6
2248,5
484,3
102,4
153,6
657,4
789,3
520,4
2409,3
1839,4
700,3
2467,2
1252,3
927,6
1456,1
299,1
1747,2
496,5
2544,5
2797,7
2732,7
1988,6
1683,6
2316,4
2376,5
61,6
2560,3
542,7
2405,5
797,2
1396,1
1763,5
1772,1
2632,3
2911,1
2497,3
253,5
841,6
1017,1
1862,1
576,3
2659,6
557,2
834,6
705,3
2883,7
1242,4
1261,2
49,4
836,2
147,3
561,4
764,1
633,2
142,1
367,0
334,6
902,2
199,5
2221,1
2299,2
3004,7
669,9
1352,4
2393,5
564,3
1451,7
1258,5
1042,1
2251,4
1884,7
889,7
587,5
1653,4
1099,7
2371,4
761,5
714,1
859,7
733,1
2156,7
2042,7
1644,6
138,1
813,4
1448,1
2944,7
2910,6
2666,3
1236,2
1571,6
261,4
99,5
1709,7
2472,1
751,1
1027,9
2919,0
514,4
150,2
2524,3
2236,7
2994,9
609,0
1555,1
1072,1
1033,6
103,7
2526,0
436,0
2009,7
416,7
2317,1
1742,6
246,7
1932,5
807,7
1630,1
1421,1
1088,3
459,2
1934,4
2262,4
1404,4
97,3
976,6
2603,3
2609,5
2281,5
2226,1
329,1
2794,2
2902,6
1913,6
1767,6
2193,7
2574,4
1717,5
2997,4
1759,1
2038,2
2388,1
1537,1
2787,2
1212,4
59,9
2113,5
1035,1
1477,5
653,2
943,4
2915,1
2050,6
1734,1
1057,2
2709,3
2971,5
128,4
2241,3
1648,5
1914,3
631,3
1090,6
2897,7
1946,4
1662,7
1177,5
1468,4
2272,3
2150,6
2238,6
1699,3
1228,6
1543,3
2261,0
2913,1
1225,4
2983,3
2753,7
559,4
1750,1
1313,6
2654,3
2049,1
2023,4
292,7
2286,5
2333,7
100,3
1378,9
2474,3
1260,2
433,2
950,9
1395,5
1389,4
1680,3
2615,4
1652,3
2116,5
775,1
1940,1
1332,7
354,1
1905,1
1311,6
876,5
893,1
2115,1
1930,2
203,2
1270,6
2706,1
1184,5
2688,2
187,2
2077,7
2641,4
2477,3
42,3
1055,2
2245,8
2141,5
2708,7
2403,6
2637,2
640,1
174,3
1173,1
2218,3
2188,7
509,4
2953,6
697,1
1487,2
1481,2
1739,2
2628,7
2616,2
2595,1
955,5
1545,3
531,6
1657,2
2684,6
2280,1
2827,1
191,4
2204,6
2702,7
1119,7
1566,2
2246,3
1830,5
2072,7
1283,6
2433,2
809,6
1475,2
1583,3
28,4
2765,6
1795,2
2657,3
1002,3
2674,6
2459,3
1801,3
73,7
1605,3
1320,6
1004,2
2465,6
1542,1
446,5
2076,5
2988,7
2062,7
1524,5
676,4
453,5
2807,0
402,7
1217,3
2037,1
1531,1
2644,1
2764,1
1562,5
2784,3
2613,1
2419,7
719,2
2562,1
967,5
2024,1
1584,5
667,3
781,7
26,2
219,6
946,0
1703,5
374,2
1408,4
1473,5
2483,2
145,1
1321,6
1836,4
1388,0
1512,6
2478,6
1844,1
1911,0
392,3
798,6
2148,7
2107,1
1257,5
2512,3
2202,5
302,1
1686,4
528,4
2075,1
1926,0
1206,3
130,5
400,7
608,4
441,5
2213,7
727,5
1780,1
