doc_idx,category
2819,80
2634,36
773,58
3421,1
1442,12
859,81
408,40
2816,20
1008,55
3808,84
894,42
1695,9
1170,41
3803,99
992,72
3552,78
2243,101
3146,68
2268,49
3982,86
2096,33
3968,84
2308,15
4111,89
1840,101
2305,73
2388,105
4067,62
1493,68
4017,37
3848,27
319,63
252,82
224,56
3359,27
2166,53
3441,62
3806,86
578,26
2885,64
2757,17
427,47
1157,99
3346,86
323,37
872,66
2962,73
549,9
3475,48
1759,65
4039,72
3141,88
1449,81
586,42
1822,29
525,33
547,32
988,55
3823,72
1396,67
359,1
1131,37
3412,105
4012,55
739,56
3620,56
843,0
2826,4
1825,32
3983,92
3643,94
1207,17
2771,86
3095,90
3770,51
2027,65
876,63
2024,98
2457,42
468,65
3016,30
4053,106
1517,77
2713,66
1262,26
1926,86
132,89
527,61
841,86
2143,41
3907,11
57,4
551,99
2214,86
2987,100
3175,53
2303,77
1499,100
537,0
687,0
3726,8
4072,0
3228,86
2512,91
1382,37
3668,86
755,58
3850,1
1944,64
2514,19
483,36
1537,59
3773,0
1354,32
2139,77
1230,83
3270,86
325,36
1176,45
868,101
3067,45
2627,42
1678,0
3793,37
1088,107
1951,77
994,101
2013,79
1172,0
772,93
352,46
1686,36
2455,25
842,86
1582,27
4041,34
672,91
336,93
1129,89
4057,100
2417,8
2113,106
1467,48
793,15
1191,32
2150,58
955,86
787,42
1340,60
748,100
751,20
3530,87
3402,9
3799,53
3693,101
2560,45
1524,32
643,73
1245,90
8,73
2624,58
1599,17
38,57
2312,0
2837,81
2272,64
1488,48
1809,0
619,17
32,17
3814,0
1221,55
546,77
26,101
2414,42
304,57
120,55
310,77
3165,62
854,46
3280,4
2145,34
1907,65
136,33
3119,4
1411,46
2724,57
3352,89
1255,17
1895,93
3384,15
3372,55
1237,53
2979,72
2355,28
519,98
1308,106
3039,78
4060,59
29,32
1749,86
318,53
1777,29
1681,50
1890,25
3881,89
2806,62
789,89
1927,20
3774,27
2808,89
1526,8
31,38
3063,60
2131,31
441,81
1937,1
1549,78
3394,55
1463,36
1153,87
2728,72
330,51
1358,58
733,67
944,40
732,106
3632,45
2440,21
1801,36
42,42
3150,95
1638,91
3062,57
2910,27
2298,77
529,81
291,66
1033,29
1976,8
3324,15
3311,74
1273,93
2040,62
2717,86
574,100
3771,64
1092,39
211,37
2654,53
69,51
2023,51
2605,63
1113,8
1559,89
3902,10
3293,36
1941,99
103,99
1672,35
3560,89
1821,105
472,101
449,98
1107,81
900,96
1407,57
4129,30
2551,49
610,64
1428,84
1087,45
963,101
921,55
2707,32
3465,89
2710,63
3279,46
2809,15
3928,37
3882,82
2988,78
531,39
2700,89
840,36
3736,21
3110,81
158,14
804,59
1424,11
3399,53
2060,95
3753,38
1894,74
780,42
3157,86
2025,66
480,27
2957,82
1258,97
2262,77
2675,17
924,84
1137,87
1885,40
14,80
1445,86
3949,42
1957,81
2752,72
2153,57
1402,62
1561,83
398,84
1618,92
1380,48
2652,72
909,32
1216,49
2423,100
3765,60
3064,86
2483,98
1184,86
3604,27
1288,53
4104,101
4154,95
2106,67
3019,53
1021,87
3435,41
3538,86
2849,69
2609,58
498,4
949,95
351,94
34,38
1420,56
1188,93
2528,91
285,6
3912,26
67,15
526,86
465,24
2588,45
946,45
1503,86
583,105
1223,98
2649,75
1706,45
353,8
1661,52
528,89
2969,55
196,69
4081,9
1218,53
1374,88
338,67
3615,81
3636,94
2792,86
3516,52
2521,95
1083,99
1201,80
3043,46
2,48
162,89
3642,58
885,91
3077,49
3180,89
2651,98
1979,52
477,17
2937,99
2494,78
2751,62
2531,62
366,25
1533,26
1977,68
2753,55
503,20
3977,20
2959,33
1041,98
145,51
2833,81
1650,104
2564,19
1150,43
3361,5
3390,62
3825,67
4128,58
1767,93
1655,42
2538,46
2558,83
2983,83
1236,8
265,63
3351,82
1683,45
902,100
2617,99
3582,86
1787,86
1656,53
3655,88
1466,19
2669,89
2718,95
1318,8
1878,73
2701,79
1410,89
1898,56
61,59
721,56
2552,65
3088,41
4153,101
2415,86
1312,72
788,99
3888,93
2689,89
875,101
3999,89
3584,83
1475,83
3194,97
407,33
1604,77
889,29
3249,62
3085,86
4071,68
82,77
1813,36
982,8
362,60
1904,33
1834,69
2586,37
1287,53
2828,11
596,77
23,86
3102,78
270,39
3619,63
1035,49
3408,71
1815,45
3672,94
3066,59
3034,94
2134,96
3009,11
2895,93
1810,95
3026,42
629,50
299,51
4127,98
1068,80
2445,53
3707,33
3875,37
572,12
1214,105
2331,38
