doc_idx,category
2172,16
572,0
1434,18
761,38
974,12
441,3
1221,15
503,5
1571,3
246,15
858,15
977,6
561,59
1870,3
1796,12
876,2
436,15
1974,3
1057,26
745,3
1426,54
69,2
2344,0
1369,4
764,26
1555,44
676,0
877,35
1668,52
464,3
514,15
1557,3
509,64
1195,13
1842,16
2238,0
1085,0
1415,3
1799,15
1463,17
2252,26
1657,7
2469,14
1746,9
427,0
1055,3
2118,10
1961,2
1448,11
2353,6
2367,62
2220,54
1861,51
948,27
585,31
714,2
292,0
1208,15
1609,6
2412,15
222,54
14,24
2022,6
1400,30
498,23
552,38
221,0
2141,4
1865,17
1651,3
882,26
807,2
1352,43
23,52
1517,15
1776,3
329,24
653,10
2121,0
153,20
1988,15
505,2
1116,0
525,24
1308,3
1893,24
795,36
840,12
506,15
1592,15
775,17
1335,2
218,7
1885,0
705,7
2326,24
945,23
1161,50
2163,3
1852,35
1782,62
2262,59
1431,4
318,0
60,18
1337,20
924,18
7,41
129,21
475,2
1699,25
2347,38
1124,24
617,3
1396,26
609,29
1387,21
2270,10
1027,50
2074,38
2280,0
15,0
2122,51
1129,10
2087,3
1535,6
2072,42
62,5
2289,23
2061,4
2090,42
2155,14
1658,14
1600,21
199,10
1466,50
2037,0
549,3
2309,12
641,2
1429,56
1275,36
1824,0
1920,0
1502,3
656,30
67,6
738,3
136,38
625,15
2438,0
230,52
2013,9
388,14
846,10
542,14
567,9
237,6
211,24
1399,30
1156,64
832,6
2171,38
251,15
127,0
1884,18
1286,0
700,15
1236,10
1220,54
1558,3
496,20
97,8
996,42
1297,27
147,5
677,32
2019,8
2389,29
377,37
1774,2
2273,36
1000,9
2435,24
2130,56
1791,3
2112,9
353,12
1621,4
1393,13
1740,17
1828,0
1234,3
192,15
1723,7
913,6
1218,6
2295,0
1211,69
1807,10
842,3
1801,52
1049,9
1678,18
1506,15
766,26
1481,15
2031,37
1601,26
1663,11
1041,29
639,0
264,29
1509,0
946,14
2257,2
559,3
1281,3
982,15
993,15
631,0
334,32
228,15
2030,14
963,0
1680,8
283,0
1565,4
1088,3
61,10
2464,3
2319,33
1016,15
330,47
691,9
49,60
2093,2
1176,66
2316,15
1939,24
331,26
1814,15
2063,0
2302,58
546,18
1848,62
1874,6
1883,0
2203,13
83,59
2310,15
1989,3
277,36
914,24
1253,14
1632,15
2399,0
2146,7
161,2
1166,18
2431,38
1546,26
1595,3
1329,18
1935,64
418,14
978,14
1946,18
100,2
828,0
300,15
1229,4
2265,26
282,18
940,3
1716,56
2108,43
354,59
2405,6
59,60
1378,3
407,2
1743,5
2,0
150,8
1042,2
1251,0
1182,9
2381,33
252,51
1331,36
557,36
446,2
1201,2
971,18
1636,0
1902,30
1151,15
2420,15
1737,13
1735,0
543,2
433,38
657,56
324,14
821,3
1895,13
2416,60
750,58
1364,21
341,15
1787,36
2335,18
1569,10
1261,25
2202,9
1230,56
1630,2
1341,7
402,39
2240,61
1614,15
1447,26
1108,12
1686,52
594,0
2293,15
1661,23
1624,4
1304,20
1153,53
2390,3
2408,24
1169,29
2073,26
621,15
2354,15
1154,9
1002,56
1763,3
1070,0
797,15
630,0
50,56
1200,15
400,9
1273,24
793,2
800,13
1357,17
951,6
1422,15
220,33
2214,29
755,59
1183,59
909,30
1876,42
1669,0
2313,70
1912,4
1238,0
1928,6
1602,9
431,15
788,29
1492,2
1862,39
796,24
823,26
481,20
1109,12
1891,3
484,24
1298,3
2085,0
813,9
627,26
449,1
187,14
1445,29
1003,7
362,25
1020,6
2008,3
453,3
1537,58
1190,0
1582,26
1538,26
26,51
219,23
2042,42
1377,6
367,23
2105,3
1083,18
145,36
854,24
773,0
943,2
778,50
905,6
640,24
852,24
681,0
1810,0
2306,4
1198,6
73,30
1231,3
1457,25
392,16
2170,66
1573,54
921,38
564,6
1500,9
2373,3
302,59
1642,15
839,41
465,43
1167,26
31,15
955,0
841,36
748,9
1696,27
1553,6
215,3
1659,24
167,3
1831,17
2232,2
196,17
428,32
1419,10
128,6
1318,15
2437,3
21,39
1826,12
1551,21
680,15
1392,4
226,27
186,56
2396,20
1998,14
1262,39
2455,24
2364,20
667,51
991,26
1488,6
102,36
1287,23
1526,24
2159,0
787,67
2307,15
1749,56
1759,16
113,35
276,15
1471,2
1068,0
887,14
2081,15
556,35
727,10
1465,15
369,56
1536,23
967,0
239,7
1593,0
2460,14
406,0
77,9
2166,3
326,15
2145,25
1950,12
1442,9
751,9
1486,23
2434,7
190,3
619,15
1235,35
308,3
1753,41
337,59
146,0
1410,9
789,59
2221,3
950,21
57,0
2357,56
1773,16
1347,38
1114,59
868,20
2233,3
908,32
1291,9
310,20
2047,15
299,9
301,0
2070,4
1504,0
458,52
2050,18
1899,1
24,58
394,15
434,0
2345,11
972,0
1026,2
482,69
2111,59
1046,20
360,15
2395,10
1672,14
70,0
253,2
2263,6
850,3
336,12
1139,26
1594,23
1532,2
1667,0
1194,37
383,31
2227,6
2391,29
1118,7
1938,13
2180,35
1264,4
174,35
659,26
1217,3
652,0
576,0
537,9
1255,5
1128,0
1512,36
524,12
1222,27
2274,18
719,13
1252,17
899,20
798,24
442,0
763,14
1005,6
1311,26
2358,35
1228,6
38,3
29,2
224,26
2225,25
1480,0
1847,24
1765,52
2370,5
1310,3
352,0
1900,25
1212,0
259,9
861,24
548,69
944,3
836,37
1197,53
893,35
1994,15
1639,55
2005,3
351,3
2301,18
2106,3
42,9
71,15
1225,18
1780,0
1839,20
2154,15
2272,3
669,0
962,50
144,0
1260,15
480,18
573,3
2371,35
2331,14
2414,0
1712,0
1421,17
580,8
1806,35
2138,48
1709,25
1072,43
217,14
2124,15
733,0
1916,1
584,24
1090,40
2075,6
687,32
1289,3
1373,12
2300,3
2363,2
2374,9
586,47
535,50
768,24
2453,15
1473,62
1769,0
834,3
1105,63
1321,3
2429,12
1860,30
1206,8
366,3
2236,59
2043,1
1489,0
743,3
1397,20
1119,0
2164,21
473,15
287,2
1054,35
697,15
2318,15
698,9
1921,23
1598,25
1721,24
859,14
1479,3
2342,0
1613,0
1730,12
1758,3
814,0
547,0
1866,36
478,2
1924,0
1040,11
1744,2
1510,20
1547,20
2088,15
1728,15
172,27
487,17
1559,12
2458,35
1499,26
1319,9
1028,0
725,54
1361,0
207,9
1034,36
1401,36
765,12
1142,63
1131,12
255,30
278,24
2027,20
1830,15
1520,0
2304,68
642,36
1464,0
483,0
309,69
981,35
2060,54
178,0
1330,33
134,0
1985,9
1714,12
2004,9
35,0
1189,6
1263,2
742,12
1380,51
1528,14
643,10
526,17
582,2
250,18
339,15
1267,3
1964,9
515,0
338,10
2387,0
1693,6
1152,0
1638,20
665,15
1451,39
1219,54
1404,0
130,25
210,12
1957,1
579,12
1240,26
596,0
1646,3
82,18
626,12
46,3
1741,48
1845,59
1682,59
2018,9
1170,14
2029,36
1461,0
703,14
355,24
2432,29
780,6
602,26
819,31
695,0
2137,4
1092,6
1722,16
1607,8
2062,0
833,16
1788,36
688,36
1581,36
1907,7
2294,2
2413,23
63,62
2463,6
1472,15
874,0
1835,0
1813,3
2261,0
370,18
920,46
1312,12
1543,26
1913,3
1755,3
191,3
672,2
2143,10
2402,33
1990,0
689,4
1428,20
1973,63
438,0
1934,6
870,9
1932,3
862,24
385,54
2380,0
2158,24
1804,15
1025,0
1948,10
1545,6
1498,1
2284,18
175,14
1956,18
2210,4
2188,12
2117,3
1833,3
203,24
2386,3
1223,12
1771,3
2406,24
685,42
2115,0
2007,2
54,3
491,15
28,24
384,19
1586,3
2102,9
1160,2
1475,15
419,30
1574,4
350,3
1706,2
628,2
1346,24
1148,18
929,21
265,9
2340,36
2039,15
1503,0
2131,2
1564,47
975,4
805,2
2126,64
2372,2
2241,20
1625,10
597,13
