doc_idx,category
1278,10
24,4
241,2
323,18
1221,5
853,0
1467,0
254,2
1185,2
782,16
1550,9
762,16
442,6
597,9
835,3
902,1
991,17
535,14
1238,18
560,5
1111,13
100,15
1499,5
1201,2
1123,13
543,14
834,3
433,8
1555,1
462,6
213,9
978,12
184,4
1460,15
1712,8
943,10
552,14
127,10
1404,5
1073,17
1957,0
912,12
463,6
825,1
839,1
1124,6
109,12
1952,16
419,8
526,10
926,1
1519,5
604,15
1644,2
1928,9
1824,9
1705,8
123,14
917,1
1212,5
227,9
1913,9
1498,5
1822,9
209,9
861,9
1087,17
946,11
1313,19
1542,9
1043,2
701,8
1687,1
823,3
1440,7
1134,5
1742,5
1753,12
1601,9
591,15
1508,9
1037,10
1894,1
1562,1
1795,15
1475,9
1448,14
1772,12
47,1
1617,4
580,5
653,0
1557,1
465,6
802,16
1723,8
318,0
1227,18
193,4
1188,2
1067,5
282,15
1898,1
1879,11
1803,9
1320,19
1674,15
1114,6
1137,2
332,18
1305,12
1058,2
233,2
160,15
949,0
349,3
1633,2
328,18
281,15
66,15
947,10
1768,12
644,2
1468,9
1026,10
898,1
500,10
880,1
941,10
558,5
642,2
1874,11
420,8
381,2
1009,17
887,1
163,15
1322,19
473,9
554,14
1339,7
581,5
517,13
1596,9
1809,9
1698,1
1045,5
1730,5
988,12
775,16
931,1
1670,11
712,12
1222,5
19,4
657,0
1161,13
958,0
1604,9
710,8
1737,5
255,2
122,14
741,18
144,10
1090,17
1005,17
1642,2
1344,7
661,8
1085,17
966,12
872,9
435,8
1726,5
470,9
1162,13
1783,15
1153,13
549,14
612,1
1000,17
1253,18
843,1
916,12
1239,18
769,16
1812,9
1950,16
1922,9
842,1
795,17
1246,18
848,1
1605,9
139,10
1946,16
9,4
185,4
178,15
1254,18
1008,17
1745,8
53,1
358,3
1432,7
1175,13
529,14
195,4
2,4
1545,9
833,4
165,15
707,10
1547,8
975,12
667,8
290,1
567,5
359,3
1269,10
1630,2
70,15
937,10
1564,1
920,12
1299,12
1003,17
11,4
1262,10
1621,11
170,15
1424,5
177,15
189,4
380,2
405,7
261,2
904,1
175,15
283,15
1643,2
516,10
1759,12
1282,10
1849,1
239,0
68,15
1535,16
1102,13
1241,18
448,6
791,16
957,10
94,14
1792,14
1145,5
1839,1
1818,9
236,1
124,13
1367,13
6,4
984,12
1614,1
1360,13
136,5
1110,0
1146,2
1205,5
1376,13
1328,19
582,5
1343,5
278,15
1495,5
262,1
869,9
528,14
789,16
732,12
1059,0
557,5
1004,17
246,2
713,12
1348,7
366,2
1178,2
1638,2
726,1
630,1
296,1
935,0
219,9
1428,7
1289,12
641,0
655,0
656,0
234,2
1899,1
1762,12
845,0
222,9
414,7
256,2
1317,19
257,2
481,9
1051,5
915,1
914,12
450,6
1420,5
922,1
1455,9
1856,11
1028,10
1355,8
859,9
1100,13
1728,7
1845,1
459,6
410,7
10,4
379,2
696,19
1739,8
763,16
272,15
494,9
1438,7
324,18
1139,5
1267,10
1743,5
804,16
308,1
1125,5
210,9
80,15
694,8
1692,1
996,17
62,15
854,1
232,9
1483,5
1369,13
386,0
1068,2
180,4
1570,1
1096,1
249,1
627,1
1138,5
120,12
1592,9
815,4
565,5
840,1
721,12
1699,1
1500,5
831,3
974,12
1453,15
200,4
1932,9
307,1
722,12
736,12
896,2
650,2
1140,5
93,15
1040,10
38,1
1940,16
1828,1
509,10
1062,5
940,10
1589,9
1190,2
1675,15
625,1
1079,17
351,3
398,7
1177,13
485,9
1494,5
1390,3
1611,4
451,6
445,6
841,1
1287,12
551,14
886,1
1893,1
1373,2
1622,1
1533,8
137,10
665,8
553,14
113,14
1021,10
1193,2
299,1
482,9
777,16
563,5
1197,2
794,17
350,3
1763,12
539,14
1071,17
1546,9
1270,10
1794,15
868,9
1356,13
1077,17
503,10
378,2
774,16
1826,9
1097,13
1237,18
584,5
1408,5
593,9
13,4
1195,2
108,14
1459,0
1895,1
269,15
986,12
1338,0
1841,1
1233,18
1388,3
1892,1
1445,7
681,8
164,15
1736,5
1130,5
965,12
1571,1
1286,12
515,10
562,5
174,15
1766,12
1029,10
336,3
447,6
362,2
1797,14
522,10
1497,5
651,0
1273,10
807,16
1522,9
569,5
1807,9
754,18
506,10
979,12
1391,3
1539,8
611,1
1155,13
1024,10
662,8
285,1
527,10
519,10
217,9
1060,2
819,3
808,16
1089,17
311,1
321,18
972,12
1375,13
409,9
1399,3
1881,11
846,1
814,3
1977,0
1013,17
793,16
1458,15
618,1
78,15
743,18
1837,1
669,8
1543,9
1334,5
631,1
1821,9
1044,5
1075,17
1049,5
1701,8
718,12
1567,1
464,6
1433,7
976,12
1978,1
439,8
1775,12
203,4
75,15
621,1
1250,18
1311,19
1695,1
63,15
749,18
1430,7
1099,13
1925,9
342,3
377,2
1735,5
1738,5
683,8
954,11
329,0
1158,13
1502,5
292,12
1063,5
1266,10
1517,9
1888,1
1041,10
1691,1
300,1
1754,10
275,15
1884,1
1930,8
235,1
388,7
654,0
540,14
1022,10
1363,2
1368,5
1746,5
1312,19
478,9
547,14
992,17
745,18
1591,9
167,15
693,8
242,2
1688,1
1427,7
277,15
614,1
146,10
1595,9
1454,15
126,10
166,15
441,6
871,8
1186,2
1031,10
1529,16
1082,17
474,9
1867,11
1926,8
14,4
1370,13
878,9
240,3
1019,10
909,12
1615,1
1796,15
1514,9
1561,1
959,11
1298,12
962,11
770,16
297,1
772,16
499,10
836,9
1482,5
1332,5
496,10
279,15
1048,2
88,15
532,14
383,2
1365,2
690,8
183,4
26,4
1290,12
1588,9
374,2
434,8
1871,11
682,8
1357,8
1251,18
107,12
1901,1
411,7
1226,18
867,8
265,15
1397,3
684,8
817,3
951,10
1568,1
897,1
1014,17
1296,12
1919,9
1093,17
1176,13
418,8
1112,13
1572,1
228,9
484,9
1734,8
1650,2
1225,18
483,9
1101,6
810,16
847,0
1385,3
1852,1
691,8
1752,12
134,10
1635,2
1379,3
1128,7
1078,17
487,9
679,8
671,8
891,7
1304,12
800,16
579,5
310,1
881,7
1431,7
428,8
1620,1
199,4
521,10
1878,11
639,2
542,14
432,8
1802,15
1423,2
1779,15
1603,9
1156,13
371,2
797,16
346,10
401,9
1150,13
955,10
250,2
1872,11
312,18
1565,1
12,4
1661,15
1474,9
1579,1
1785,15
295,1
1283,10
1039,10
243,2
1904,1
1218,5
288,1
1647,2
504,10
56,15
440,6
1838,1
1219,5
643,0
7,4
1541,16
1877,11
159,15
1248,18
438,8
637,0
895,1
863,9
1719,8
1941,16
1908,1
1574,1
1377,6
734,12
1435,7
1173,13
1716,8
115,14
1337,0
634,0
1648,2
699,8
1319,19
1154,13
1816,9
860,5
546,0
1767,1
37,0
1944,16
1969,0
599,0
