doc_idx,category
191,7
1802,15
171,2
1198,9
1421,14
2787,1
1814,6
2062,0
1211,15
2808,6
887,5
1182,16
2134,17
2683,11
1271,13
249,0
2125,5
1019,24
2132,4
1691,2
2878,5
277,10
2395,3
2747,24
847,8
804,11
2650,10
109,12
2794,5
2409,1
1037,0
2070,5
2437,8
1585,11
2826,6
1954,0
2346,5
2456,14
801,6
254,19
2095,5
184,5
701,4
2501,7
1385,9
1817,7
1572,2
1070,11
1838,3
1001,3
1120,4
1273,1
1619,3
380,14
974,12
1752,2
489,5
100,15
1846,19
1034,12
1296,9
2204,5
93,7
1419,13
2535,10
1908,3
1538,11
2030,2
554,5
246,12
161,15
1244,4
916,8
2544,5
1774,5
999,4
1945,3
481,9
2956,5
2871,4
798,1
1424,4
2435,5
2564,0
2733,5
1075,7
72,3
989,15
642,6
2660,12
1146,24
1379,3
1797,16
1010,17
672,17
826,18
97,0
1564,16
1938,0
122,2
2039,6
392,6
120,8
160,6
2734,1
133,6
2493,5
802,6
1843,21
2360,2
2323,8
1576,12
2001,8
386,11
2105,5
715,12
2925,4
2852,11
2481,6
2680,12
2801,12
1910,5
902,23
2250,17
1878,1
2457,4
637,7
2372,17
376,4
2029,5
1279,2
1062,15
631,1
2185,13
2326,2
2305,1
24,24
702,17
2334,10
2789,2
2757,2
2449,18
2046,5
1946,17
529,20
1471,4
289,20
321,1
1759,0
1163,15
1276,7
1788,1
1575,7
2336,16
1154,23
1513,6
2873,8
2215,12
1665,4
1833,4
478,1
113,5
167,11
1239,4
641,1
442,17
2776,15
733,1
1530,7
2429,23
1647,4
993,5
378,4
791,4
1100,18
1051,18
11,6
1967,10
418,2
1181,7
734,7
2283,7
1875,1
19,15
185,21
1018,0
1137,0
2375,4
2580,4
546,0
2068,17
2604,10
2665,7
90,0
1614,18
2325,3
1448,16
1459,4
863,15
78,5
815,4
2944,0
1643,4
2905,18
476,6
1922,7
1409,7
2902,7
1022,19
2405,2
2629,9
1175,18
1995,3
882,24
1505,13
1894,16
1270,4
598,11
2043,0
2937,16
1014,12
193,14
1630,17
2857,4
1237,14
1090,0
466,2
1981,0
567,17
920,11
1935,10
1430,1
667,7
2503,1
377,17
1006,1
1423,10
1892,15
1261,1
311,14
503,16
2117,1
435,10
1622,5
1990,9
2278,1
538,11
2126,21
775,1
2962,21
897,17
2425,1
2930,5
2888,8
1971,18
611,18
210,7
2074,3
1963,12
940,6
2788,10
402,18
2051,6
61,1
782,17
1294,5
2957,8
1207,20
987,15
856,17
1124,12
1089,1
776,18
2645,2
1716,5
1150,3
1565,24
2330,10
2422,11
645,5
80,4
2373,9
1410,4
2468,3
543,10
53,7
1816,18
2158,15
2567,8
1286,1
2973,1
2562,4
2545,0
379,24
454,9
1251,7
1005,22
2285,21
2385,8
904,0
745,7
323,19
295,1
563,1
881,2
730,3
236,11
439,11
1500,4
1384,4
794,21
1666,5
1041,8
1592,4
2393,7
1561,5
814,10
2455,15
840,4
1829,10
1233,8
2294,10
2123,1
1584,18
682,1
2814,5
520,18
2632,10
647,1
1867,5
1477,12
2668,5
2615,1
2884,5
356,0
2233,22
1085,5
1011,8
515,5
2314,11
1129,6
52,5
1025,19
834,4
1934,1
2142,6
1648,15
966,9
2729,0
234,5
1787,16
560,8
2282,5
441,5
1745,4
188,7
1201,3
2237,0
332,0
749,0
2320,7
2553,5
123,7
1601,7
1455,14
2037,24
128,3
1768,0
278,5
431,14
1189,12
1354,10
1166,0
1859,17
209,24
660,0
1809,10
2019,18
551,5
927,1
294,17
445,12
67,7
1879,11
1568,5
58,8
1260,7
2011,8
2197,21
941,15
681,11
2972,17
612,2
1160,2
1986,8
2889,11
433,13
1002,1
1818,21
626,17
2428,12
1059,15
164,5
1255,12
1172,1
2381,4
1366,16
1113,2
739,12
922,3
2186,5
416,24
1230,5
