doc_idx,category
2147,0
2097,14
73,6
1340,6
752,19
2323,15
281,19
172,15
2116,3
1721,19
1774,4
1097,7
2124,10
786,15
691,2
801,18
585,8
997,19
2546,6
2111,12
1704,16
1508,8
2063,1
1423,0
190,14
1885,19
575,19
2876,14
1273,6
112,19
524,19
293,19
720,1
1190,3
1124,16
2044,15
1066,18
1113,12
218,17
1156,17
1368,8
2638,6
1051,3
2493,2
1599,0
324,3
2036,14
379,5
2900,13
1429,6
539,6
737,16
1288,4
854,9
2446,3
1301,3
755,8
2497,14
2213,8
745,14
927,15
991,4
1339,4
1847,0
87,5
181,13
2217,15
2315,5
266,11
826,7
1597,19
1417,6
1193,15
1664,4
905,12
1267,13
2354,18
885,0
664,14
2168,6
596,3
2665,11
1180,17
1212,0
1567,10
2883,7
1239,13
2303,7
2125,15
2121,4
2660,19
2912,7
1238,9
205,3
1240,16
526,18
2344,4
1404,8
2405,16
150,0
2237,4
1087,18
1094,15
2151,5
1228,10
2272,3
962,8
2583,5
2653,0
404,7
1502,19
298,11
325,18
1188,12
2836,11
2218,8
1353,1
2824,0
2599,9
2918,0
2551,0
1200,4
2256,13
1257,13
1484,1
36,18
2506,19
1358,7
2136,0
2705,11
2249,14
2741,11
1356,15
2110,12
2179,7
582,3
389,19
2709,19
2812,6
785,2
2680,0
1725,14
17,10
1197,2
2807,0
126,15
2070,7
1390,12
782,18
382,13
2130,4
1279,3
2901,11
980,9
1636,10
828,4
2172,18
1480,12
1780,1
16,19
902,0
2921,10
107,0
411,14
1312,11
872,14
2953,8
1230,7
1691,8
1612,7
1925,11
2431,6
133,7
924,1
460,10
2144,8
2065,14
909,18
2990,13
2636,16
336,17
1397,0
53,14
2086,19
1136,9
1112,11
693,7
790,4
1341,4
2039,2
331,6
983,2
777,17
239,12
537,18
2943,11
2025,7
20,8
2042,8
2006,11
1135,19
2015,16
878,14
2814,17
1856,5
836,15
1939,0
1327,10
1737,8
2341,0
89,0
2060,9
270,6
1162,8
489,19
2400,13
2363,4
2873,0
2085,16
2250,5
538,14
1201,9
200,5
250,19
1957,1
547,17
2030,13
1751,19
276,0
556,16
153,14
1696,14
867,13
1438,18
449,7
778,3
2488,5
1449,6
2472,4
46,9
1530,7
405,10
1761,15
2529,14
2242,12
2658,5
2703,14
466,16
528,0
1420,12
461,19
409,8
1137,2
1514,9
