doc_idx,category
2713,7
3761,12
3910,3
3904,2
2359,5
3812,8
1488,11
3222,5
3366,2
4063,7
3131,7
2981,2
1921,11
3058,10
3177,5
2053,7
270,3
3448,6
548,10
3103,1
3392,4
1661,3
2986,9
3367,3
894,11
1755,1
144,2
3789,2
2338,9
2209,4
1458,12
1678,1
1464,1
731,4
99,6
1379,7
3814,1
1742,13
3585,11
4074,9
4329,11
2188,2
3,11
1229,9
210,1
2589,3
1945,1
797,5
2331,7
540,3
1584,5
1136,1
4072,9
3290,7
3279,6
2374,3
2551,8
3744,8
2673,10
1508,8
790,4
4172,6
3913,1
1975,7
3330,4
1963,7
2830,6
1165,7
84,2
3317,8
14,10
3468,2
2340,6
130,8
4017,3
3488,7
1273,8
1066,10
2397,4
2092,8
439,10
4008,10
670,1
2618,1
1386,10
3561,2
1326,4
110,6
65,3
1525,1
2796,5
275,2
3334,2
155,7
2369,3
2039,2
1580,2
2982,2
4039,7
2586,2
605,11
2080,11
3531,6
2332,9
754,11
2559,1
775,7
256,4
3125,7
932,2
3758,3
745,5
4032,8
1479,7
3000,7
506,11
2313,5
2003,4
362,9
1837,7
3111,7
537,11
206,5
1370,3
356,3
3373,6
3224,3
4188,1
487,9
3495,5
3909,1
2137,5
372,3
2648,10
1336,5
1450,5
2574,6
902,1
3160,10
2335,7
1871,7
1586,10
2462,2
3229,11
1186,8
2907,5
2414,4
2185,1
3986,7
1722,11
1738,8
3026,5
2515,2
2203,6
3546,10
1316,6
3955,7
3650,0
2812,0
2531,7
4352,5
478,1
199,6
1854,10
3347,5
3514,3
91,2
121,7
3954,0
1490,5
4205,6
1429,12
1034,2
124,7
1918,5
3780,8
332,11
825,10
2248,5
402,5
4320,8
2319,9
1418,2
3351,9
870,4
2104,10
355,9
3712,8
423,5
453,1
3172,5
4176,10
2839,11
2578,13
1616,5
547,2
4315,7
3794,2
2298,5
3537,5
1538,2
2360,7
2987,8
3662,1
365,8
3799,11
2958,11
63,2
428,5
3247,1
2418,9
746,8
1745,5
2597,12
678,7
2075,7
848,4
235,3
466,1
3194,1
1808,6
3336,1
3838,6
323,9
360,1
3057,5
1417,5
2773,7
3967,9
2504,6
1453,5
3159,9
771,5
122,10
4357,6
3635,10
4013,4
2017,11
1958,3
671,7
762,2
3202,6
2054,13
2884,11
367,5
2352,4
3305,7
81,10
407,10
2485,6
3323,3
2798,3
359,3
1708,12
1423,6
3480,7
207,1
2995,3
430,5
3763,7
1721,10
3075,6
2507,10
313,7
2198,5
450,0
30,11
716,11
2439,6
1799,3
1017,11
2777,7
2949,2
2974,10
59,8
308,10
2391,7
625,13
1192,2
3508,4
3353,11
1054,2
3884,5
3858,10
1014,2
2881,3
3192,4
4164,9
3620,11
730,4
4177,9
3542,11
2905,8
3665,8
4182,9
3768,1
3682,1
806,1
2605,4
2361,10
2869,7
2850,10
3284,6
610,2
4276,2
1214,1
1119,9
4213,8
61,4
2256,5
2271,11
1813,2
3484,4
11,9
2785,5
41,1
4363,1
2692,8
3405,9
3451,3
2568,3
818,9
1636,9
3708,10
3326,0
2383,2
306,1
1938,2
2346,3
2112,6
1118,3
4343,7
1180,3
1594,4
1502,3
1253,10
2729,2
1230,1
4300,8
397,5
1954,2
93,4
273,5
295,6
3465,7
3817,5
1272,1
1682,7
140,3
4124,5
626,2
2320,11
2350,13
2466,5
2289,3
2876,2
259,3
4152,10
2827,11
2765,11
435,5
2787,1
2275,5
2887,6
2701,13
1126,10
2503,8
2038,7
1614,1
1257,6
2142,9
4183,6
2709,1
1776,12
2804,5
1947,3
919,8
909,2
1966,6
505,5
1038,0
1353,11
231,0
492,7
1314,2
3387,10
3010,7
3206,11
1606,7
2367,11
737,4
3272,4
1115,1
3933,13
1706,6
1213,5
1842,4
2428,9
503,10
2427,3
1882,3
1664,10
1719,3
2167,4
3692,6
2476,5
1952,0
4091,2
3661,3
676,5
1335,5
1251,6
4382,13
3043,6
3424,2
4187,3
2247,3
2048,10
611,4
662,4
2826,11
2500,2
2278,10
262,7
3826,8
1187,9
1117,13
1617,6
1437,4
1893,11
1002,3
2162,5
691,10
3981,10
1676,3
883,1
2672,6
1850,10
2728,8
1531,10
3157,1
2086,1
2529,13
1726,6
1869,7
96,11
1939,2
2581,9
1128,7
2988,3
3527,2
778,11
4005,9
3491,8
1048,3
2041,2
2829,6
1189,8
4080,11
4243,5
1672,6
2599,1
1780,2
100,10
1449,2
2395,5
1413,1
4327,6
3760,13
1884,1
4181,4
798,7
509,10
1274,2
3656,7
617,2
2896,5
1006,7
3035,11
689,3
2537,8
3119,9
4094,8
4279,8
954,1
2168,10
2946,6
4347,5
4165,5
1240,4
721,5
2057,2
1073,7
1361,7
46,2
3073,3
4194,8
3870,8
3095,7
232,5
2156,5
3004,5
4018,4
265,1
2849,3
804,6
858,7
1420,7
2109,2
3238,2
3705,8
1778,1
4303,2
3444,3
4254,11
2860,2
3137,1
930,1
601,4
4372,5
1624,10
153,10
381,4
3460,11
1569,7
1459,5
2159,4
2214,5
178,2
1289,7
283,2
2781,9
1097,1
2199,4
1059,8
1695,6
2562,6
3252,2
114,9
1211,2
1789,12
3142,7
4370,5
3462,1
4095,2
1007,7
924,8
1851,1
1224,11
2456,1
1748,3
3519,10
3557,3
2004,5
2116,5
2892,9
118,4
3916,2
1904,3
3487,5
2975,7
177,4
3777,2
1371,6
139,0
3107,2
3570,10
2825,10
3866,5
1578,11
895,5
3005,5
2966,4
4112,10
4023,2
4222,6
1264,4
2403,11
3666,1
1248,3
642,6
1065,7
3309,8
3742,11
1092,7
3450,4
52,4
480,5
1444,5
1597,1
1210,10
2087,5
2055,10
4128,6
4207,4
3181,8
1694,5
3006,5
2459,5
1245,10
2341,3
3419,3
1200,3
832,6
4160,11
3589,5
879,2
2375,3
982,5
3481,9
3786,8
796,8
1994,3
1728,7
726,1
3624,7
4377,10
2452,0
3649,7
868,3
1290,2
2155,8
3275,3
4093,10
4180,8
2127,5
462,5
769,1
1522,7
2190,1
3894,5
2307,5
2511,3
1524,2
3410,3
1063,1
3719,2
3949,11
3384,7
3414,1
3738,7
2102,5
3169,6
2257,2
3942,2
4042,7
132,1
3878,10
842,5
1448,5
1574,4
1056,3
3316,5
845,5
2517,9
3376,6
1222,5
1004,7
1974,7
2994,2
174,8
1302,1
4281,2
116,6
3029,6
2696,6
4336,5
3082,4
1077,1
2638,1
2457,2
565,1
3433,3
2124,3
2656,6
2315,4
563,7
2208,2
1471,2
3568,3
458,1
2047,1
2333,12
4331,1
1349,7
3883,10
3828,3
3248,7
263,1
896,4
3408,8
3893,7
2201,3
2110,10
1704,7
3882,8
1164,5
960,7
2679,7
3097,2
1943,1
241,9
2571,5
2996,9
2400,2
2917,4
4263,8
2121,2
2569,5
1428,8
1585,3
3014,5
4153,10
3477,8
1410,1
2874,6
2111,6
39,8
4266,3
3957,11
2778,7
4212,9
3467,2
3292,9
3146,6
2609,6
2303,4
3841,5
2222,7
142,2
3996,5
3311,2
1710,1
3549,5
3781,13
4025,7
942,10
3977,7
1016,2
2262,6
421,3
70,9
68,11
4373,2
3416,13
2231,7
2799,5
2997,1
1689,1
216,2
2425,0
3257,4
1916,5
4225,2
