doc_idx,category
1975,0
1112,9
1779,0
311,8
700,12
1697,0
1349,5
966,0
2170,4
1533,7
2569,5
1489,0
1088,0
403,3
1156,0
1493,3
199,5
1106,4
543,1
550,0
2233,3
1701,3
2425,7
2134,14
1071,14
2732,0
349,9
2346,8
2330,1
1626,0
2143,9
936,7
2239,10
451,6
351,4
1049,9
1375,6
743,7
1430,7
458,0
127,3
2945,0
2218,5
735,9
248,0
865,0
2131,10
1066,0
2394,11
2491,5
1847,7
1022,13
2350,6
814,5
877,3
2169,0
354,11
1656,7
915,0
1753,0
405,5
1653,7
409,4
407,5
2018,12
928,9
1915,3
681,0
1092,0
1767,0
509,0
2009,7
444,0
1739,3
1684,0
352,0
606,9
2600,0
1740,3
2023,0
1834,0
2250,14
597,0
2964,7
2946,7
2190,3
2204,0
904,0
2411,11
1507,0
2194,0
205,0
2079,7
414,4
1296,10
2423,6
1983,10
357,2
2046,9
2731,7
596,3
2659,9
253,4
1619,6
174,7
678,12
686,12
1117,14
2514,0
541,3
857,0
2663,3
2333,6
1932,0
2808,11
1108,0
1305,7
1309,12
2729,1
102,13
2441,4
406,11
956,9
2740,15
1519,10
934,4
2184,3
2926,5
588,0
2274,4
1513,11
2699,4
1105,0
1990,10
1752,3
1308,3
1116,0
2363,2
1373,0
365,4
331,3
1187,15
2507,0
1808,3
1682,5
2178,11
1663,11
1138,1
262,0
1029,6
1497,3
974,3
1799,13
1888,4
2151,10
332,0
1485,13
831,0
120,12
691,14
663,8
2848,4
2268,12
2518,0
98,8
512,3
142,3
2258,12
1476,7
2889,7
1768,0
1473,11
2691,7
2741,7
1083,0
1212,9
1875,7
1387,0
1202,0
2717,4
838,11
1929,3
2816,0
776,10
1498,0
1067,0
516,5
2135,10
2040,12
2672,0
2606,7
2576,11
369,5
135,4
2020,10
2510,7
518,4
92,5
2185,0
2654,0
1404,11
508,9
2868,11
2453,1
420,5
2058,11
862,6
1894,3
2736,4
1857,6
1076,11
580,9
1314,0
2150,6
266,3
1027,3
2907,11
1976,10
1007,0
2320,4
827,0
722,7
1895,9
1509,11
75,3
1864,0
1023,3
1629,7
218,12
252,0
2504,0
2912,3
307,5
61,7
2180,5
561,3
223,4
438,3
626,14
1233,0
1593,6
2175,7
1502,7
1446,5
1432,7
60,10
581,0
715,3
720,1
474,10
1560,8
2200,7
1406,0
2779,8
2283,4
355,6
1125,11
2361,13
393,15
1809,1
2637,5
1594,4
589,14
2533,3
2162,3
1866,11
2112,0
1577,0
2293,1
1725,0
836,0
2323,12
2219,0
721,10
189,0
1616,3
2313,7
2191,0
1856,7
389,3
2002,8
950,12
1333,5
1562,12
1639,4
2810,11
2255,4
938,3
1798,0
1776,7
2275,0
472,3
2537,0
2897,2
816,12
1065,0
2859,0
1064,7
1585,0
1369,3
1047,13
2551,14
564,0
1698,6
221,4
1391,7
2343,7
1018,1
1141,0
9,0
944,0
450,5
1032,9
1241,0
363,6
254,13
1052,7
660,0
2069,0
1759,0
95,3
2812,12
897,0
276,3
206,10
224,4
346,1
1456,0
278,7
671,9
1237,8
901,7
1353,0
1861,0
1561,12
973,9
284,15
795,0
2969,10
1060,3
704,6
958,7
1930,0
1214,15
2797,11
1445,9
1396,9
1468,3
2017,3
116,0
697,4
773,0
2950,7
2066,0
448,7
3,0
353,8
1332,0
2158,2
2182,4
1288,11
891,10
2544,0
209,15
690,0
2199,12
911,0
371,6
2289,12
265,4
1832,4
2853,7
2262,9
1017,5
2766,3
1330,0
733,7
755,0
2631,14
2877,8
2246,7
2253,0
63,3
1812,0
1285,0
1992,1
2384,4
673,11
1696,0
1665,5
1830,3
963,10
2136,12
2149,0
2497,6
488,8
1053,13
2426,12
873,0
1994,11
2327,4
2302,13
2056,4
2555,14
1650,7
318,9
908,8
1447,4
1320,3
2958,3
536,0
587,9
852,12
2804,4
1220,5
2664,15
2078,0
2775,5
1002,7
1246,3
203,12
2799,4
786,2
439,0
1947,6
1520,12
1646,3
2419,3
2783,5
440,5
1424,5
2095,9
1331,6
1806,7
2359,1
328,13
560,12
6,0
1164,14
1054,0
1021,0
219,5
2431,3
418,3
1622,9
1217,1
1826,0
301,0
2605,3
2065,12
121,11
1059,7
828,7
834,5
194,12
2678,5
932,1
2903,0
436,3
2750,4
2546,6
2408,0
1389,11
88,0
2001,12
2367,14
648,11
631,0
1840,7
2266,4
2287,6
1924,9
1488,4
2846,0
182,5
802,11
312,12
1745,5
709,0
280,7
2195,4
967,8
1837,10
579,0
486,11
2854,8
653,3
361,5
1892,7
71,5
2919,6
314,5
1946,14
2895,10
338,4
810,4
2572,0
1638,9
1802,6
2477,11
2874,0
1197,4
1736,3
1405,4
2973,7
1057,0
239,6
1419,3
730,6
1448,0
2580,5
130,8
1410,5
27,1
1355,7
2436,0
780,12
471,0
1319,9
1683,3
2300,11
807,4
2547,15
1000,5
196,7
2285,0
2705,0
1226,0
632,0
954,0
2183,0
169,12
495,0
2280,0
1190,9
2301,12
1625,0
2192,0
997,4
305,0
2778,11
201,0
2475,7
2520,6
923,13
1902,9
2630,7
122,3
105,0
399,4
549,9
2814,0
794,11
2708,15
2726,13
1301,0
1549,6
1955,9
2636,11
1848,15
2624,5
1691,3
2892,2
2656,15
93,4
2416,0
524,7
1256,4
883,4
2299,7
1979,5
1339,0
1882,0
929,11
2670,6
2474,10
143,5
1540,3
343,7
501,0
1692,10
96,3
1811,0
2230,5
126,7
2306,0
257,11
1935,1
2688,6
1908,6
1667,4
988,0
2620,7
2959,15
874,9
1193,10
377,12
1475,6
876,0
56,4
46,3
848,8
1026,7
1207,11
1450,4
2054,11
1670,7
2694,4
16,7
2198,10
1362,3
283,9
2938,1
2256,15
2376,0
507,5
313,6
151,13
1883,0
2953,5
1981,0
167,0
498,14
1713,3
228,0
2602,7
1660,8
2511,4
1231,0
1443,10
565,0
2532,9
808,7
2432,6
427,3
1163,10
1671,3
1326,12
2809,7
2828,5
1647,5
232,5
388,6
985,7
1962,4
2527,11
1160,3
1386,7
734,4
350,9
627,15
267,11
744,0
1262,2
975,5
2697,3
809,0
955,5
1044,7
1031,0
1973,9
2887,8
1209,3
788,4
1495,0
1522,5
2526,0
879,5
1364,0
2006,0
2719,11
1091,3
1532,0
1090,1
1550,6
10,0
1434,3
987,7
40,7
1170,10
2039,11
2536,11
2362,3
1273,7
210,4
2261,5
2628,6
1392,4
2152,5
2811,5
2505,5
2337,0
2748,8
131,4
1196,5
1342,5
1971,10
2413,3
869,15
1543,6
2921,3
306,11
482,4
1546,6
330,0
1782,0
2154,7
557,6
1916,5
2369,0
397,7
1184,9
582,0
806,3
996,10
2340,7
940,11
1452,7
1211,6
2613,0
2417,4
2388,7
2855,0
1891,3
1491,0
2144,0
1761,7
2331,0
446,3
366,1
953,0
608,9
2282,0
2276,8
1180,3
1950,7
1674,14
2339,12
529,11
274,0
2723,1
900,0
2353,11
21,3
2032,0
2060,9
577,0
2586,9
969,0
74,7
2087,1
2601,11
70,3
1995,6
2216,5
144,0
1199,15
676,4
1917,7
1439,4
179,0
872,9
1222,6
2,4
2904,3
2240,0
2072,0
2251,0
2707,5
665,7
675,0
2603,3
2629,10
737,0
2961,10
2071,1
1821,7
2795,14
970,4
1603,0
1147,8
1426,7
2692,3
1531,10
473,9
947,0
1928,7
1884,3
706,8
1401,1
1210,13
1781,11
2669,0
2570,2
2358,3
381,7
2869,15
1525,15
1329,1
2041,0
2917,5
2045,6
2621,0
1172,7
666,0
2119,0
1666,15
544,1
892,0
1457,4
511,14
2685,0
576,3
1274,9
1131,0
1993,9
374,4
1407,0
2967,0
2296,0
1578,10
2801,3
921,0
1705,10
1425,0
2760,0
991,3
708,12
916,12
2593,7
246,3
1912,4
558,0
2188,15
1896,3
2759,5
1749,3
2485,4
479,8
644,0
1877,13
2542,12
1655,5
1956,5
1817,4
184,9
1790,8
1194,4
1685,7
79,0
185,11
1611,10
731,1
2587,11
1056,6
2791,0
846,13
2803,11
2155,6
820,3
110,6
1435,5
39,14
156,0
165,7
2127,0
506,3
2767,3
1545,10
1189,3
2469,5
2210,9
2073,14
1689,1
2430,9
1219,4
500,3
1441,1
2684,8
1774,2
483,3
1213,10
99,15
1299,0
2796,9
2429,0
2645,3
1905,0
1440,7
2839,3
158,7
2860,0
1673,0
1807,4
2380,10
1765,0
475,5
295,0
2831,13
136,0
1523,3
1359,12
2241,0
2403,5
2753,0
1183,12
1142,13
1001,6
1376,0
2271,15
2248,0
824,11
718,10
2564,0
2499,10
123,4
2132,5
395,1
1576,0
2147,3
2769,3
68,0
345,5
2730,8
2467,10
861,7
2591,4
1632,0
2746,3
1251,4
334,0
1206,0
2168,5
2965,0
272,0
1870,0
