doc_idx,category
1857,1
2526,1
2550,4
510,2
1023,10
403,15
1764,6
1302,11
3748,11
3015,0
1617,4
2050,0
1550,3
3306,1
3572,1
2168,3
3205,8
549,5
61,7
1705,6
2073,3
3914,18
267,5
1974,2
314,5
2280,3
3456,0
2054,9
3265,4
4229,16
698,6
666,5
305,1
492,16
2787,1
1428,8
3529,6
374,5
2814,0
2603,0
590,7
920,5
544,3
3112,8
3090,16
283,6
3471,6
156,19
3718,6
2199,7
369,8
1061,17
618,17
49,19
595,6
2027,6
2451,9
1565,8
564,5
626,6
585,6
4193,5
3795,2
486,16
3517,5
4361,5
3401,6
1665,2
850,5
1895,4
3562,5
4269,8
967,5
1136,1
2196,5
2157,0
4267,2
4067,5
4216,17
940,2
2158,0
3894,5
2002,14
3379,16
3870,14
123,3
763,7
2958,2
3966,2
2006,19
370,3
201,0
802,2
1745,5
4057,0
3844,3
332,0
863,6
4002,6
1200,6
4322,6
3092,14
3231,0
3204,5
681,6
1749,4
4101,4
2697,2
1576,13
361,1
1645,5
3793,5
991,2
2874,4
3003,3
3916,6
2155,14
465,6
357,14
1112,0
3140,5
2972,2
2057,6
846,6
3037,4
3838,4
2182,8
4090,8
3853,6
253,4
1987,1
3278,2
975,2
2933,6
1690,6
3047,5
2486,0
988,6
2832,4
3560,5
3788,5
3470,0
3516,0
3202,4
3312,4
1255,4
3287,20
3428,6
1353,10
1653,7
3143,6
1494,10
1861,3
2869,2
2359,5
3045,17
480,5
2841,3
3592,1
3302,0
3153,7
970,4
3589,5
3079,1
900,2
2512,5
2682,5
2330,6
1172,8
2386,0
4049,2
3601,2
773,6
3824,2
947,4
1053,0
4219,4
1540,6
1756,1
3818,5
4165,5
219,4
2268,7
810,5
1973,5
482,0
2108,2
687,0
19,18
3913,1
2441,0
206,5
2109,6
194,4
4199,4
835,6
1595,6
954,6
1002,0
331,2
4097,0
1006,2
3445,0
2615,18
1982,6
2366,6
2568,6
1387,10
1314,6
3026,5
1718,5
290,5
2945,0
2879,5
1981,5
3902,5
4357,4
1296,6
2668,6
1875,6
1096,7
569,19
4187,6
2757,0
259,6
2954,14
3882,8
3621,8
2408,7
838,5
2955,2
3640,1
1226,5
1629,5
2340,4
3262,10
3430,1
501,6
2965,10
3566,0
507,19
1188,2
542,2
4221,1
987,4
4018,7
2184,16
2718,1
2093,0
895,5
836,5
726,1
15,6
307,5
406,20
4012,0
3712,8
2397,7
2011,6
4320,14
1946,1
589,0
3545,5
1995,5
3246,7
2960,5
431,1
2939,5
3036,7
3810,1
955,0
627,7
2315,7
3399,0
