doc_idx,category
598,0
3679,7
352,1
2703,0
2818,0
2821,0
2568,20
588,0
3205,15
90,0
3514,0
157,0
3469,0
368,16
2944,0
137,0
2452,0
3487,0
2387,0
2620,0
353,6
2523,28
57,6
1417,17
790,0
3129,30
2907,0
1176,0
3464,13
2,19
1079,30
991,30
2705,0
272,15
3081,12
2345,0
3236,6
2287,0
2104,18
944,0
2385,12
3704,0
1057,0
3290,12
2655,3
2980,0
3489,14
656,0
1505,3
2761,3
879,3
3275,0
2190,0
314,0
1792,0
1375,0
1263,0
854,15
3176,28
1298,0
1024,1
3154,6
2756,21
1429,20
469,0
127,0
576,30
565,18
1422,0
814,0
2228,0
1527,19
834,6
765,3
683,0
968,0
1339,25
1891,8
1274,0
404,20
2166,10
1214,0
1188,0
1275,0
425,15
342,0
1821,0
2969,28
890,12
2386,0
931,15
2032,0
2383,0
1654,0
1887,0
2337,26
655,0
191,0
2332,0
334,6
847,13
1359,18
3324,17
1084,20
1361,28
2542,13
978,17
449,0
2173,28
207,18
3536,0
1779,0
3102,28
19,0
2333,10
618,14
2790,0
3287,12
731,17
2526,8
2889,23
2184,0
2625,14
2808,28
2357,0
1329,0
3207,0
1576,0
556,0
2041,0
1760,15
2809,16
3699,0
2114,13
932,28
1794,0
1714,0
2432,0
2757,0
730,16
205,12
1288,15
2995,16
1751,6
976,6
60,15
2680,0
1173,6
1099,6
634,15
2860,0
27,15
651,0
2512,0
1480,7
2473,0
1689,15
2453,0
2161,6
541,1
2424,0
641,0
3340,19
3670,0
2791,0
2629,0
2846,0
3246,0
2256,26
3211,0
2220,0
831,10
2740,0
2627,0
2721,0
70,0
2533,26
1047,0
2116,13
950,0
1737,3
1629,0
2769,0
2725,0
1841,0
619,0
1989,0
507,0
1910,0
2143,0
974,0
1026,0
1379,0
2495,0
722,0
3755,0
1039,0
2920,0
1160,0
2063,0
3501,0
1285,0
134,0
2158,0
1342,15
2050,0
2713,0
2673,9
2232,0
898,0
1112,3
574,0
793,0
2313,0
1899,0
1332,0
1943,0
882,17
1939,15
3195,0
2890,13
1884,0
2954,16
1065,0
3548,19
389,0
2955,15
1473,0
2668,0
715,0
3710,0
3743,14
2738,0
1250,18
2194,0
452,11
694,0
3365,0
1303,12
2621,0
2412,0
408,1
2601,0
2316,0
2219,0
221,27
758,0
994,0
234,0
1096,2
2535,0
3220,0
3441,0
2691,0
2502,0
1999,0
1209,0
39,0
68,0
3115,0
3241,11
1432,12
2380,12
1807,28
3292,28
2739,0
836,28
1990,0
1233,28
2080,0
1504,0
2465,11
2888,0
1070,12
2225,0
2085,28
2679,0
2307,12
740,0
2428,28
338,13
922,0
487,22
1003,0
3590,3
2915,0
2300,18
2764,28
1559,0
2570,0
1732,23
1162,0
1954,0
2981,0
881,0
2043,0
369,0
1577,24
2774,0
2583,0
438,1
3285,0
2127,21
3645,0
1928,0
2895,0
1050,0
838,0
1565,0
2393,0
1485,0
2675,0
2464,0
1665,30
2941,0
3079,0
2023,0
2643,0
143,0
3572,0
2656,0
2884,0
1206,0
594,0
358,1
3180,0
942,0
545,0
810,0
2209,0
608,0
290,0
2664,0
843,0
2154,0
2617,0
412,19
3437,0
3552,0
654,7
909,7
1247,0
1563,0
1753,0
135,28
1398,0
443,0
1888,0
2457,0
1894,0
812,0
1062,0
1455,0
1540,18
638,0
3032,19
637,0
3131,0
2319,0
3453,22
2250,16
3045,8
2294,9
2466,0
192,20
1632,0
2729,0
2538,0
2342,0
1054,0
3613,0
2160,0
3505,24
948,0
2192,15
3217,24
523,0
3033,16
667,18
1304,0
3680,24
3019,0
596,0
196,28
835,0
2686,0
3651,0
1055,0
756,0
435,2
987,0
1120,18
310,0
2828,0
1620,0
54,0
2599,0
2202,0
1412,0
3716,30
1705,0
3264,11
813,19
2997,28
2576,0
842,0
1317,0
821,17
366,16
2031,16
3069,0
3402,0
3198,4
3691,0
2662,18
380,0
1609,0
1115,0
3693,0
333,0
1890,10
1221,5
2372,17
1291,0
2782,5
2638,0
291,0
1542,0
3156,28
3416,17
1566,0
2612,0
511,0
155,0
3126,28
3234,28
2334,22
213,0
110,28
3615,28
3444,15
3587,0
162,0
3578,0
1326,0
2280,18
981,0
3269,11
1249,0
3667,0
2923,0
184,0
1521,0
1961,0
3107,0
3168,4
3305,0
3706,0
1671,0
166,0
1499,24
580,0
109,0
2266,0
1720,0
259,0
2854,0
355,0
3763,15
128,0
506,0
2267,0
2541,0
642,0
1268,0
1789,1
2715,0
1006,0
288,0
3557,0
1051,0
845,30
3043,0
1983,13
1985,0
3401,0
1738,14
1042,21
1150,14
309,12
170,0
3554,16
1534,0
903,0
1408,0
2426,0
3164,0
2214,0
1033,14
2975,4
373,22
3752,12
2417,22
2504,0
3181,10
3724,0
3519,0
1623,0
2998,10
1552,28
303,0
432,0
1421,6
2636,28
253,0
3601,0
106,6
3511,0
3260,0
2213,12
1594,6
3668,0
3773,0
2651,16
2642,0
3649,0
2390,0
824,0
2189,0
723,16
1688,0
2665,0
3347,0
996,0
625,0
805,4
2699,0
3378,23
177,15
2073,0
3538,0
3351,0
2825,6
3213,0
632,0
51,20
296,0
2259,11
1906,0
1818,0
3172,0
185,0
2402,0
1255,0
1901,8
239,0
1254,0
2690,0
743,0
3002,0
3477,1
1806,12
1158,28
918,8
941,0
1324,0
1733,0
2388,0
3,16
1858,0
1296,28
936,16
1013,0
2257,0
3652,16
597,13
439,0
2478,28
308,0
3447,28
701,3
3301,15
2917,30
2278,0
742,0
26,2
3315,0
1628,15
1031,17
2430,0
1507,0
2630,0
536,5
9,19
886,0
3450,0
2894,25
1967,0
2970,3
2251,0
271,0
989,0
203,22
95,0
1966,0
2551,0
1799,0
2863,0
2639,0
1897,0
2094,0
672,0
3341,0
1802,0
2594,0
396,0
3414,0
1109,0
3111,0
2784,0
301,11
3082,0
284,15
1307,0
3189,0
1264,0
1676,0
3261,0
3630,10
3559,0
2733,0
644,0
2057,0
2872,0
440,25
3499,19
558,0
2284,0
1861,18
1754,0
2723,0
3729,0
745,0
3568,0
2807,0
3393,0
1971,0
2660,0
653,0
141,0
2859,0
416,0
500,0
20,0
876,0
2513,0
1902,0
3491,0
2238,0
3065,0
264,19
1614,12
684,19
1265,23
3001,19
1273,15
724,23
2348,27
784,28
1127,27
3342,28
3556,6
1344,19
770,8
951,1
3361,23
1387,0
2956,28
2781,15
2720,12
3062,16
1111,0
2044,15
1866,0
2233,15
1280,0
1728,0
3144,0
1302,0
2798,0
896,0
913,4
508,0
2792,0
3718,0
3595,0
3573,15
1441,0
364,0
902,0
1970,6
2646,0
105,1
2254,0
1391,4
1512,11
1905,0
827,0
1091,12
2652,8
2145,5
1136,21
3522,0
1854,30
354,5
2183,0
3276,0
1784,18
604,0
1142,26
3703,0
850,0
698,16
2626,0
3087,16
1311,0
3141,0
3488,0
2671,0
2131,0
318,0
1459,0
2122,0
326,0
1932,0
3498,0
2315,16
1330,0
3020,0
3777,0
3762,0
567,0
1338,0
1166,0
1749,0
2077,0
472,0
2874,0
2121,0
3055,0
2687,0
3070,0
1862,0
3061,0
3096,0
2708,0
2433,0
2802,0
2125,0
2137,0
3455,0
1660,4
1646,0
2856,0
3092,14
2437,0
2392,22
3786,0
587,0
3209,0
1465,0
2435,0
2613,1
798,0
1380,20
73,0
447,0
1933,0
3606,0
3633,21
2034,0
689,0
3219,0
3783,0
429,0
2946,0
2813,0
682,0
69,0
3298,0
2182,0
3297,0
1327,0
1611,0
1968,0
2059,0
584,0
1588,0
964,0
734,0
1049,6
3279,0
1415,0
1914,21
1920,18
2135,18
1431,0
551,0
245,26
2548,0
1710,0
518,0
970,0
1847,0
2676,0
2487,0
3372,0
2919,14
132,0
592,26
2483,3
2053,0
1713,7
690,0
617,19
1011,22
2534,0
671,0
1175,3
1522,0
242,0
76,0
3230,0
2000,0
84,0
75,0
2481,0
2674,0
345,0
104,0
571,15
2475,10
405,0
2277,15
935,2
2064,0
14,15
3271,15
1130,12
2735,15
3295,16
510,15
3369,15
1795,15
2984,0
1453,15
1348,0
1945,0
2796,0
1871,0
2260,13
2659,0
1580,0
422,0
3582,12
1261,0
735,28
906,0
3022,0
3421,0
3345,0
2556,0
1201,0
1769,0
2264,12
2459,0
3659,0
3635,0
2864,12
1463,0
2902,0
1419,0
3171,0
1982,0
2519,0
1721,0
1722,0
829,0
1693,0
2886,0
2109,0
3137,0
1524,0
1724,0
2824,0
1730,0
2747,0
1535,0
3252,0
583,0
46,0
581,11
841,14
420,0
2082,0
1105,15
1240,0
3409,0
2931,30
2017,0
1322,0
47,0
74,18
2817,0
2559,0
832,18
1360,0
864,0
1438,0
2229,25
2206,11
754,16
3553,0
1752,15
2480,9
826,15
3259,0
3454,0
2976,0
2492,0
150,0
1383,0
315,0
3426,12
804,12
919,0
1213,10
407,12
726,0
2401,0
1739,0
1625,0
1639,0
3493,0
1683,0
45,0
3429,0
3284,0
1974,0
1167,0
1004,0
2949,0
1673,0
1044,0
1997,0
2783,0
1271,0
3229,0
464,0
2924,0
3027,13
222,18
792,0
2226,0
844,18
2508,0
3077,0
79,0
3280,5
3161,12
3051,0
3151,0
2709,0
1868,0
3665,0
80,0
3496,0
2855,0
1093,0
3006,0
2581,19
1335,15
1536,28
579,26
2597,25
851,30
2366,15
1680,15
1457,2
58,12
2896,15
1384,7
943,19
1413,12
1615,1
3208,12
532,18
2142,15
1279,16
3594,23
